date,open,high,low,close,volume
2019-10-25,16172.0498046875,16189.599609375,15926.400390625,16071.650390625,1400800
2019-11-01,16211.599609375,16544.05078125,16152.25,16381.0498046875,3412100
2019-11-08,16431.25,16485.69921875,15888.0498046875,15911.0,3499700
2019-11-15,15921.75,16072.7998046875,15807.2998046875,15856.650390625,3328300
2019-11-22,15906.75,16424.349609375,15853.400390625,16221.400390625,4083900
2019-11-29,16243.599609375,16402.0,16142.099609375,16232.150390625,4012600
2019-12-06,16431.5,16431.5,15751.349609375,15811.75,2991700
2019-12-13,15836.0,16093.900390625,15655.150390625,16068.0498046875,3885400
2019-12-20,16117.25,16184.75,15899.2001953125,16081.150390625,2846100
2019-12-27,15903.099609375,16033.2998046875,15664.75,15944.9501953125,2803900
2020-01-03,15952.900390625,16169.5498046875,15871.400390625,16054.7998046875,3099900
2020-01-10,15936.0498046875,16037.7001953125,15581.599609375,15940.150390625,3443700
2020-01-17,15951.75,16152.75,15941.099609375,16077.650390625,3268100
2020-01-24,16196.349609375,16196.349609375,15498.7998046875,15674.650390625,6520600
2020-01-31,15642.400390625,15671.75,14790.5498046875,14838.7998046875,6505200
2020-02-07,14374.5498046875,15266.900390625,14271.849609375,15189.9501953125,4675600
2020-02-14,15185.849609375,15380.75,14947.25,15048.650390625,5670400
2020-02-21,15095.9501953125,15148.849609375,14568.599609375,14987.650390625,4624400
2020-02-28,14911.900390625,14911.900390625,13564.7998046875,13651.0,6128100
2020-03-06,13914.650390625,14048.5,13118.0498046875,13342.599609375,5757700
2020-03-13,13071.849609375,13116.400390625,9767.7998046875,11721.25,12314700
2020-03-20,11296.599609375,11542.150390625,9802.650390625,10910.099609375,14249000
2020-03-27,9904.150390625,10937.4501953125,9750.0,10626.2998046875,8157500
2020-04-03,10338.099609375,11176.400390625,10210.849609375,10888.400390625,5970200
2020-04-10,11184.900390625,12037.25,11079.2998046875,11987.0,4711900
2020-04-17,11972.349609375,12419.349609375,11631.900390625,12281.150390625,4572800
2020-04-24,12361.099609375,12831.400390625,11864.4501953125,12500.7998046875,8016800
2020-05-01,12640.9501953125,13228.650390625,12433.4501953125,13154.7001953125,6099400
2020-05-08,12825.5498046875,13119.099609375,12689.150390625,12896.7001953125,7615100
2020-05-15,13007.5,13188.849609375,12440.7001953125,12615.4501953125,8302700
2020-05-22,12672.5,12672.5,12189.25,12463.5498046875,7917800
2020-05-29,12534.0498046875,13117.150390625,12441.7998046875,13060.5,7610000
2020-06-05,13205.900390625,14002.5,13161.2998046875,13925.400390625,9694400
2020-06-12,14234.2001953125,14328.5,13269.400390625,13855.75,8138600
2020-06-19,13755.650390625,14604.650390625,13589.599609375,14535.25,7845300
2020-06-26,14684.5,14957.2001953125,14462.400390625,14832.650390625,11231200
2020-07-03,14775.4501953125,14833.4501953125,14275.7001953125,14771.0498046875,7941800
2020-07-10,14887.7001953125,15057.0,14514.5498046875,14698.5,7015100
2020-07-17,14827.75,15025.099609375,14070.75,14942.25,7786000
2020-07-24,14985.2998046875,15964.7998046875,14887.5,15895.849609375,9210700
2020-07-31,16030.75,16064.0,15238.4501953125,15309.150390625,7458900
2020-08-07,15280.5,15566.5,15003.599609375,15498.0498046875,7091300
2020-08-14,15601.2001953125,15705.2998046875,15282.099609375,15394.9501953125,7074500
2020-08-21,15444.0,16252.849609375,15315.5498046875,16085.349609375,12509100
2020-08-28,16171.900390625,16243.400390625,15914.849609375,15970.75,7731500
2020-09-04,16208.099609375,16301.7001953125,15393.150390625,15434.7001953125,9325200
2020-09-11,15507.0498046875,16046.2998046875,15095.2998046875,15942.2998046875,8416500
2020-09-18,16010.7001953125,16092.400390625,15649.2998046875,15777.099609375,6244300
2020-09-25,15771.099609375,15784.0,14492.2998046875,14826.2998046875,7245100
2020-10-02,15004.7998046875,15378.9501953125,14959.7001953125,15049.7001953125,5223000
2020-10-09,15134.75,15166.349609375,14714.25,14833.7998046875,5944100
2020-10-16,14883.75,14969.900390625,14399.650390625,14562.5498046875,5881700
2020-10-23,14656.849609375,14947.599609375,14478.7001953125,14901.7001953125,7366200
2020-10-30,14905.7001953125,15024.0498046875,14534.349609375,14977.7998046875,8430900
2020-11-06,14972.5498046875,15232.9501953125,14444.5,15180.75,9073600
2020-11-13,15379.2001953125,15926.150390625,15282.5498046875,15869.25,8332200
2020-11-20,16277.2998046875,16284.75,15770.5,15959.75,8063400
2020-11-27,16182.0498046875,16597.150390625,16066.5,16251.849609375,13517400
2020-12-04,16326.599609375,17102.099609375,16207.4501953125,16923.55078125,11443900
2020-12-11,16953.5,17400.80078125,16785.0,17204.05078125,11438000
2020-12-18,17298.5,17484.099609375,17098.900390625,17231.94921875,9848700
2020-12-25,17223.05078125,17223.05078125,15989.7998046875,16860.69921875,8438900
2021-01-01,16958.650390625,17110.150390625,16807.44921875,16922.5,5296500
2021-01-08,17096.150390625,17283.69921875,16926.25,17255.150390625,9707900
2021-01-15,17336.5,17811.94921875,17051.349609375,17341.05078125,10457500
2021-01-22,17371.19921875,17835.650390625,16933.30078125,17564.150390625,6537000
2021-01-29,17327.94921875,17340.69921875,16104.599609375,16159.2001953125,8136600
2021-02-05,16294.400390625,17644.44921875,16202.7998046875,17415.5,12379000
2021-02-12,17441.5,18041.25,17422.599609375,17753.05078125,9816800
2021-02-19,17749.849609375,19035.55078125,17734.599609375,18681.5,10914700
2021-02-26,18669.80078125,19519.19921875,18252.599609375,18793.349609375,13074500
2021-03-05,19096.44921875,19767.69921875,18962.150390625,19428.19921875,12664900
2021-03-12,19516.05078125,19907.94921875,19053.849609375,19318.30078125,11338800
2021-03-19,19440.150390625,19497.0,18045.150390625,18985.400390625,8576800
2021-03-26,19151.30078125,19152.19921875,18075.5,18217.650390625,9397600
2021-04-02,18392.0,18588.900390625,18160.400390625,18516.19921875,5415300
2021-04-09,18438.80078125,18537.349609375,17973.400390625,18077.150390625,6702900
2021-04-16,17796.94921875,17982.75,17215.25,17841.05078125,7152400
2021-04-23,17456.0,17594.099609375,17159.30078125,17537.69921875,5462800
2021-04-30,17662.69921875,18387.349609375,17609.5,18031.099609375,6615300
2021-05-07,17854.900390625,18366.0,17789.55078125,18295.599609375,6098300
2021-05-14,18428.25,19088.19921875,18379.30078125,18652.94921875,6781600
2021-05-21,18803.75,19358.900390625,18684.55078125,19326.30078125,6820000
2021-05-28,19420.30078125,19713.599609375,19263.849609375,19566.80078125,7324300
2021-06-04,19967.05078125,20517.19921875,19895.599609375,20368.05078125,6303500
2021-06-11,20497.099609375,21061.099609375,20416.30078125,20797.19921875,14147600
2021-06-18,20755.349609375,21066.099609375,19939.05078125,20164.19921875,9690200
2021-06-25,19937.400390625,20715.849609375,19891.19921875,19961.05078125,6357700
2021-07-02,20097.30078125,20101.30078125,19636.55078125,19684.099609375,5607100
2021-07-09,19712.400390625,19889.900390625,19420.25,19501.19921875,3762300
2021-07-16,19548.05078125,19681.19921875,19397.55078125,19567.900390625,737147200
2021-07-23,19506.900390625,19686.30078125,19235.44921875,19503.80078125,4149300
2021-07-30,19491.5,19496.55078125,18803.30078125,18934.150390625,4466400
2021-08-06,19045.900390625,19636.44921875,18982.05078125,19411.80078125,6885400
2021-08-13,19458.55078125,19692.099609375,19000.599609375,19677.05078125,1246584800
2021-08-20,19703.900390625,19888.19921875,19285.19921875,19348.69921875,4121500
2021-08-27,19518.5,19966.650390625,19132.5,19942.44921875,4391200
2021-09-03,20036.150390625,20958.75,19977.75,20934.0,5437400
2021-09-10,21104.099609375,21242.900390625,20795.650390625,21148.349609375,3353100
2021-09-17,21200.650390625,21785.30078125,20893.55078125,21444.650390625,7227800
2021-09-24,21236.05078125,21993.650390625,21115.30078125,21716.44921875,5624300
2021-10-01,21841.0,23136.69921875,21758.150390625,23000.19921875,11892200
2021-10-08,23222.05078125,24405.150390625,23054.099609375,23902.30078125,12002600
2021-10-15,24132.25,24826.44921875,23987.75,24766.349609375,9874500
2021-10-22,25010.75,25343.5,24094.650390625,24280.5,13725900
2021-10-29,24524.25,24540.650390625,22974.349609375,23236.099609375,8953500
2021-11-05,23415.80078125,23723.650390625,23176.099609375,23584.05078125,4659200
2021-11-12,23827.25,24245.349609375,23564.80078125,24209.30078125,6504500
2021-11-19,24359.05078125,24453.44921875,23554.599609375,23794.349609375,4936000
2021-11-26,23713.80078125,24298.650390625,22849.599609375,23349.400390625,7565000
2021-12-03,23207.75,23665.30078125,22709.94921875,23258.349609375,9893600
2021-12-10,23319.25,23510.650390625,22863.75,23429.94921875,4323700
2021-12-17,23640.0,23804.0,22663.30078125,22755.75,5569800
2021-12-24,22498.349609375,22956.599609375,21841.94921875,22588.849609375,4525100
2021-12-31,22591.349609375,22881.900390625,22406.849609375,22631.94921875,3950300
2022-01-07,22657.849609375,23641.75,22630.30078125,23577.69921875,4552300
2022-01-14,23647.25,24902.5,23517.80078125,24867.849609375,4713000
2022-01-21,24891.349609375,25418.900390625,24774.5,25055.849609375,5513500
