date,open,high,low,close,volume
2019-10-25,31739.69921875,32176.400390625,31589.599609375,31685.599609375,101700
2019-11-01,31828.69921875,32591.30078125,31526.69921875,32449.849609375,166800
2019-11-08,32541.099609375,32644.900390625,31907.400390625,31947.5,143700
2019-11-15,31928.400390625,32061.30078125,31235.30078125,31289.69921875,95400
2019-11-22,31342.94921875,31422.349609375,30745.150390625,30809.55078125,108500
2019-11-29,30798.900390625,31290.30078125,30783.150390625,30975.5,140600
2019-12-06,30977.0,31018.55078125,30482.5,30536.44921875,111300
2019-12-13,30562.0,30574.5,29985.400390625,30426.25,112900
2019-12-20,30459.80078125,30523.349609375,29964.80078125,30356.349609375,140000
2019-12-27,30392.150390625,30548.5,30040.650390625,30145.44921875,98100
2020-01-03,30206.400390625,30367.75,30050.75,30109.25,79300
2020-01-10,30024.75,30393.19921875,29660.099609375,30370.44921875,107800
2020-01-17,30455.75,31507.69921875,30443.5,31371.44921875,191600
2020-01-24,31369.650390625,31546.80078125,30995.30078125,31474.900390625,113100
2020-01-31,31373.25,31506.55078125,30729.599609375,30775.30078125,200300
2020-02-07,30049.30078125,31158.650390625,29833.05078125,30809.5,323000
2020-02-14,30863.69921875,31205.900390625,30375.349609375,30646.75,160100
2020-02-21,30660.349609375,30904.44921875,30076.650390625,30636.25,138000
2020-02-28,30545.5,30590.0,29151.80078125,29310.25,191400
2020-03-06,29610.150390625,29913.099609375,28689.44921875,28937.0,211000
2020-03-13,28466.25,28530.44921875,23420.400390625,26208.0,268700
2020-03-20,25586.400390625,26113.69921875,22699.05078125,25931.599609375,409500
2020-03-27,23950.55078125,26557.69921875,23082.19921875,25740.44921875,384400
2020-04-03,25218.5,27683.900390625,25159.849609375,26537.75,242100
2020-04-10,27491.599609375,29817.599609375,27272.900390625,28953.19921875,219800
2020-04-17,28913.30078125,30202.75,28357.75,29202.349609375,264000
2020-04-24,29490.25,29698.349609375,28063.30078125,28636.69921875,258900
2020-05-01,28805.19921875,29233.400390625,28460.05078125,28669.30078125,189500
2020-05-08,28197.44921875,28235.44921875,25984.0,26759.80078125,543900
2020-05-15,26895.650390625,27765.900390625,26321.900390625,26958.650390625,280900
2020-05-22,27057.5,28051.25,26653.94921875,27786.099609375,319900
2020-05-29,28071.69921875,29384.900390625,27742.25,29296.94921875,362400
2020-06-05,29579.44921875,30023.349609375,29311.30078125,29542.0,251300
2020-06-12,29891.30078125,30117.650390625,28319.099609375,29145.599609375,254700
2020-06-19,29187.5,29215.849609375,28349.0,28709.44921875,243400
2020-06-26,28961.05078125,30505.150390625,28718.94921875,29757.05078125,380200
2020-07-03,30035.30078125,30632.30078125,29820.19921875,30529.099609375,363400
2020-07-10,30724.80078125,30919.099609375,30402.75,30821.150390625,244700
2020-07-17,31011.900390625,31528.400390625,30633.69921875,31439.30078125,203000
2020-07-24,31571.400390625,31708.0,30653.400390625,31018.849609375,278800
2020-07-31,31129.44921875,31183.150390625,30582.75,30872.44921875,211900
2020-08-07,30892.80078125,31597.0,30674.44921875,31490.599609375,274100
2020-08-14,31597.05078125,32155.5,31115.5,31237.94921875,271200
2020-08-21,31428.94921875,31911.25,31179.05078125,31604.400390625,155500
2020-08-28,31692.25,31799.400390625,31203.69921875,31253.44921875,220000
2020-09-04,31457.849609375,31457.849609375,30475.849609375,30828.650390625,336000
2020-09-11,30897.69921875,31053.25,30407.849609375,30972.25,212900
2020-09-18,31151.849609375,31153.80078125,30321.900390625,30460.849609375,272500
2020-09-25,30491.75,30526.650390625,28969.349609375,29633.5,269500
2020-10-02,29754.94921875,30155.94921875,29396.80078125,30009.55078125,168600
2020-10-09,30083.80078125,30397.0,29862.30078125,29923.900390625,210300
2020-10-16,30107.349609375,30297.5,29546.05078125,29671.05078125,281200
2020-10-23,29815.849609375,30151.0,29483.19921875,29782.19921875,208100
2020-10-30,29927.69921875,30240.30078125,29329.80078125,29428.44921875,232600
2020-11-06,29538.599609375,30393.099609375,29307.25,30150.650390625,246500
2020-11-13,30388.80078125,31393.44921875,30086.05078125,31222.099609375,351400
2020-11-20,31572.849609375,31572.849609375,30783.349609375,31454.349609375,232300
2020-11-27,31593.599609375,32006.0,31305.650390625,31718.80078125,310600
2020-12-04,32090.80078125,32404.849609375,31591.849609375,32356.75,179700
2020-12-11,32358.599609375,34427.69921875,32351.94921875,34364.8515625,352000
2020-12-18,34505.3515625,34596.05078125,33878.19921875,34102.69921875,218200
2020-12-25,34121.75,34288.44921875,32570.75,34115.6484375,220000
2021-01-01,34262.05078125,34377.3984375,33982.3515625,34177.1015625,151800
2021-01-08,34535.25,34788.3515625,33988.19921875,34276.75,293500
2021-01-15,34597.3515625,35000.3515625,34350.1484375,34630.05078125,366700
2021-01-22,34735.69921875,34974.05078125,34248.19921875,34494.3984375,249300
2021-01-29,34613.3984375,34647.5,32972.25,33121.05078125,226600
2021-02-05,33304.1484375,34818.19921875,32996.30078125,34644.5,514200
2021-02-12,34938.05078125,34978.1484375,33785.6015625,33928.30078125,408300
2021-02-19,34089.30078125,34162.75,33115.1015625,33336.80078125,156400
2021-02-26,33330.05078125,33357.0,32312.44921875,32443.150390625,284400
2021-03-05,32610.400390625,33562.1015625,32429.599609375,33360.30078125,188700
2021-03-12,33493.1015625,33578.1015625,32827.3984375,33068.5,150500
2021-03-19,33172.6015625,34173.1015625,32720.0,34028.3515625,321500
2021-03-26,34049.44921875,34814.3984375,33071.69921875,33818.44921875,266200
2021-04-02,34023.3515625,35102.69921875,33981.25,34874.55078125,154300
2021-04-09,34800.55078125,35442.8515625,34024.1484375,35253.1015625,186100
2021-04-16,34865.1015625,35046.75,34349.6484375,34853.1484375,154300
2021-04-23,34463.44921875,34772.05078125,33631.69921875,33726.1015625,139700
2021-04-30,33874.75,34455.0,33544.8515625,33623.44921875,150100
2021-05-07,33515.6484375,34233.55078125,33505.19921875,34123.5,179100
2021-05-14,34273.94921875,34835.0,33988.44921875,34781.5,178800
2021-05-21,35050.6015625,35125.6015625,34522.69921875,34690.55078125,178600
2021-05-28,34722.5,35084.19921875,34487.55078125,34890.5,203800
2021-06-04,35357.44921875,35378.80078125,34953.1484375,35138.0,280300
2021-06-11,35336.1015625,35901.75,35199.5,35646.94921875,214100
2021-06-18,35620.3515625,36360.6015625,35258.0,36287.1484375,193700
2021-06-25,36056.8984375,36565.25,35975.6484375,36006.55078125,155700
2021-07-02,36104.19921875,36425.44921875,35955.8984375,36216.69921875,145000
2021-07-09,36364.44921875,36503.94921875,36083.19921875,36184.3984375,112200
2021-07-16,36301.1015625,36418.69921875,35912.25,36253.55078125,29544800
2021-07-23,36073.3515625,36734.0,36054.75,36558.6484375,157700
2021-07-30,36639.1484375,36746.5,35859.8984375,36051.8984375,193000
2021-08-06,36250.1484375,36935.6484375,36123.69921875,36669.80078125,217500
2021-08-13,36816.6484375,37016.94921875,36088.25,36842.05078125,31182300
2021-08-20,36844.1484375,38741.44921875,36703.3515625,38596.05078125,151600
2021-08-27,38780.30078125,38913.75,38124.6015625,38819.5,148500
2021-09-03,38945.1484375,40441.8515625,38915.3984375,40226.25,176100
2021-09-10,40388.1015625,40642.6484375,39910.69921875,40577.94921875,135100
2021-09-17,40569.8984375,41406.1015625,40404.30078125,40798.8984375,356000
2021-09-24,40716.3515625,41821.8984375,40631.94921875,41090.8984375,315100
2021-10-01,41268.19921875,41273.0,40036.44921875,40399.0,161600
2021-10-08,40465.44921875,40754.44921875,39915.0,39993.3515625,140200
2021-10-15,40070.25,41789.30078125,40061.8984375,41377.19921875,253700
2021-10-22,42021.44921875,42021.44921875,38563.6484375,38874.80078125,303000
2021-10-29,38774.5,39177.5,37878.8515625,38222.1015625,238600
2021-11-05,38383.6015625,38875.44921875,38082.44921875,38710.1015625,118900
2021-11-12,39045.6015625,39141.05078125,38419.30078125,38912.75,132100
2021-11-19,39014.75,39407.1484375,38646.25,38866.5,164000
2021-11-26,38998.69921875,39026.25,37457.8515625,37547.1484375,163800
2021-12-03,37359.05078125,37930.30078125,36808.69921875,37498.1015625,164800
2021-12-10,37527.55078125,38337.3984375,36745.30078125,38189.55078125,150700
2021-12-17,38408.80078125,38450.94921875,36378.25,36438.0,196100
2021-12-24,36231.1484375,37152.30078125,35653.55078125,36913.75,166100
2021-12-31,36871.30078125,37630.3984375,36558.0,37579.94921875,84500
2022-01-07,37673.25,37941.3984375,37427.94921875,37864.44921875,93000
2022-01-14,38012.19921875,38174.6015625,37781.6484375,37816.0,115200
2022-01-21,37850.1484375,38218.1484375,36502.94921875,36812.8984375,138100
2022-01-28,36838.6484375,36880.69921875,35366.55078125,36188.30078125,132300
2022-02-04,36361.44921875,37712.25,36351.75,37508.3984375,247600
2022-02-11,37468.3984375,37591.05078125,36407.6484375,36671.6484375,148300
2022-02-18,35988.05078125,36698.75,35556.1015625,36498.69921875,121400
2022-02-25,36291.1015625,36400.1484375,34608.6484375,35292.55078125,182400
2022-03-04,35150.55078125,35593.8515625,34136.5,34627.8515625,213200
2022-03-11,33960.1015625,35655.44921875,33407.55078125,35613.6484375,289800
2022-03-18,35654.30078125,36822.3984375,35237.8515625,36782.69921875,192400
2022-03-25,36843.8515625,36869.25,35314.8515625,35522.75,248900
2022-04-01,35632.55078125,36829.8984375,35264.8984375,36712.1484375,179200
2022-04-08,36767.69921875,38378.80078125,36613.8515625,38322.6484375,187700
2022-04-15,38398.69921875,38533.3515625,37797.1484375,38191.3984375,121100
2022-04-22,38028.6015625,38808.69921875,37102.55078125,37775.44921875,171000
2022-04-29,37317.8984375,38781.05078125,36926.05078125,38204.1484375,189200
2022-05-06,38008.69921875,38737.3515625,36762.6484375,37279.30078125,153700
2022-05-13,37078.25,37371.55078125,35826.69921875,36887.1484375,153200
2022-05-20,37067.3515625,38699.1484375,36653.8984375,38546.3515625,222200
2022-05-27,38551.6015625,38784.30078125,37346.30078125,38242.69921875,140400
2022-06-03,38444.30078125,39280.75,37952.19921875,38273.8984375,158800
2022-06-10,38190.1484375,38399.30078125,36862.55078125,37428.69921875,109200
2022-06-17,36999.25,37318.69921875,36024.05078125,36264.55078125,118300
2022-06-24,36300.1015625,37872.1484375,36179.0,37778.8515625,114200
2022-07-01,38027.1015625,38814.6484375,37415.80078125,38725.8515625,142100
2022-07-08,38761.30078125,41170.6484375,38761.30078125,40925.25,174300
2022-07-15,40859.5,41534.55078125,40513.3984375,41498.80078125,108900
2022-07-22,41710.30078125,42555.1015625,41211.5,42502.75,119200
2022-07-29,42450.6015625,42584.75,41635.6484375,42487.3984375,114800
2022-08-05,42582.94921875,43221.8515625,42257.05078125,42930.8984375,179400
2022-08-12,42961.75,43245.6015625,42126.8515625,42457.30078125,77200
2022-08-19,42603.6015625,43671.3984375,42566.25,42945.3515625,67400
2022-08-26,42947.8984375,43364.3515625,42584.3515625,42768.94921875,123200
2022-09-02,42286.55078125,43870.05078125,42226.55078125,43666.55078125,130100
2022-09-09,43736.0,44305.19921875,43403.6015625,43837.69921875,105400
