date,open,high,low,close,volume
2020-01-10,15893.349609375,16059.349609375,15799.7998046875,15959.900390625,99700
2020-01-17,16135.5,16447.349609375,16075.75,16356.599609375,177000
2020-01-24,16389.599609375,16501.19921875,16133.599609375,16472.75,122600
2020-01-31,16456.19921875,16577.94921875,16098.4501953125,16144.150390625,100700
2020-02-07,16282.0,16621.349609375,16034.2998046875,16470.150390625,115800
2020-02-14,16481.5,16828.19921875,16306.25,16642.75,92100
2020-02-21,16707.650390625,16882.44921875,16526.400390625,16649.400390625,58000
2020-02-28,16642.75,16749.25,15156.7998046875,15212.9501953125,142900
2020-03-06,15355.0498046875,16150.599609375,15298.0,15663.5,151100
2020-03-13,15333.5498046875,15371.0,11624.849609375,13539.099609375,170400
2020-03-20,12963.7001953125,13078.650390625,10991.25,12363.4501953125,258000
2020-03-27,11328.25,12949.599609375,11108.650390625,12569.099609375,234000
2020-04-03,12152.9501953125,12930.7998046875,11621.2001953125,11680.0498046875,161100
2020-04-10,12147.0,12897.5,12132.2998046875,12728.5498046875,115900
2020-04-17,12698.849609375,12992.0498046875,12205.900390625,12649.25,192300
2020-04-24,12812.599609375,13199.75,12322.9501953125,12816.2001953125,176400
2020-05-01,12957.349609375,14212.099609375,12928.0498046875,14108.400390625,177800
2020-05-08,13646.099609375,13700.25,13262.25,13403.599609375,172500
2020-05-15,13521.599609375,13960.349609375,13108.400390625,13196.349609375,159100
2020-05-22,13278.25,13902.7998046875,13109.9501953125,13842.650390625,157900
2020-05-29,13860.849609375,14080.5498046875,13488.099609375,14010.5,196900
2020-06-05,14155.650390625,14732.849609375,14140.849609375,14627.4501953125,202500
2020-06-12,14824.75,14990.25,14123.5498046875,14402.75,197300
2020-06-19,14444.25,14667.400390625,14238.0498046875,14499.7998046875,0
2020-06-26,14537.7998046875,15086.0,14320.7001953125,14994.650390625,224000
2020-07-03,14874.2001953125,15336.849609375,14692.4501953125,15285.900390625,142200
2020-07-10,15351.7001953125,15806.849609375,15351.7001953125,15565.2001953125,166100
2020-07-17,15643.099609375,17491.150390625,15611.849609375,16821.349609375,559300
2020-07-24,16880.349609375,17514.05078125,16849.150390625,17286.0,274600
2020-07-31,17323.0,18353.5,17290.55078125,18071.849609375,296400
2020-08-07,18099.400390625,18222.80078125,17716.400390625,18004.150390625,144600
2020-08-14,18090.25,18344.05078125,17900.0,18022.650390625,156700
2020-08-21,18136.650390625,18375.150390625,18047.94921875,18065.30078125,39300
2020-08-28,18092.55078125,18305.55078125,17914.5,18122.0,0
2020-09-04,18163.25,18497.94921875,17775.650390625,18073.94921875,0
2020-09-11,18093.05078125,18740.849609375,17962.349609375,18633.25,28400
2020-09-18,18804.849609375,20067.69921875,18799.55078125,19827.099609375,0
2020-09-25,19855.55078125,20331.599609375,18914.69921875,19629.349609375,0
2020-10-02,19774.75,20196.05078125,19463.650390625,20110.400390625,0
2020-10-09,20375.900390625,22169.30078125,20341.44921875,21837.650390625,0
2020-10-16,21990.849609375,22619.0,21247.55078125,21538.150390625,0
2020-10-23,21683.80078125,21892.30078125,21290.44921875,21523.599609375,0
2020-10-30,21493.30078125,21595.80078125,20548.30078125,20916.849609375,0
2020-11-06,20964.150390625,21596.0,20669.349609375,21492.30078125,0
2020-11-13,21751.650390625,21926.900390625,20862.69921875,21436.849609375,0
2020-11-20,21704.05078125,21706.19921875,21070.25,21409.25,0
2020-11-27,21551.849609375,22281.849609375,21432.650390625,21764.900390625,36600
2020-12-04,21921.099609375,22458.80078125,21814.400390625,22309.80078125,0
2020-12-11,22333.30078125,22901.75,22271.0,22664.0,0
2020-12-18,22786.0,23416.5,22487.30078125,23256.599609375,60400
2020-12-25,23233.5,24228.80078125,22458.150390625,24009.25,0
2021-01-01,24065.400390625,24424.19921875,24037.80078125,24251.349609375,0
2021-01-08,24612.05078125,26227.5,24508.94921875,26162.400390625,0
2021-01-15,26703.19921875,27176.5,26245.099609375,26362.80078125,0
2021-01-22,26395.599609375,26872.94921875,25830.400390625,26489.75,96000
2021-01-29,26607.650390625,26685.80078125,24559.650390625,24645.75,0
2021-02-05,24709.25,25949.69921875,24308.900390625,25331.599609375,74000
2021-02-12,25588.5,26455.05078125,25415.94921875,26093.80078125,0
2021-02-19,26243.099609375,26279.30078125,25234.69921875,25503.19921875,0
2021-02-26,25579.75,25617.349609375,24212.80078125,24301.44921875,54200
2021-03-05,24494.650390625,25981.349609375,24451.44921875,25229.599609375,0
2021-03-12,25368.19921875,26298.0,25095.349609375,25888.25,0
2021-03-19,25859.150390625,26657.099609375,25012.5,25562.75,0
2021-03-26,25649.05078125,26315.80078125,25131.400390625,25385.099609375,0
2021-04-02,25531.099609375,26306.650390625,25429.19921875,25980.400390625,44200
2021-04-09,26035.5,27520.099609375,25978.94921875,27367.05078125,0
2021-04-16,27504.400390625,27524.599609375,25293.30078125,26324.900390625,0
2021-04-23,26012.400390625,26524.650390625,25531.94921875,25609.099609375,64600
2021-04-30,25633.099609375,26162.19921875,25521.19921875,25664.44921875,0
2021-05-07,25544.849609375,26454.099609375,25398.94921875,26269.44921875,53800
2021-05-14,26340.599609375,26390.80078125,25461.94921875,25588.19921875,0
2021-05-21,25650.44921875,26262.69921875,25499.44921875,26105.30078125,0
2021-05-28,26150.599609375,27350.25,26095.400390625,27122.80078125,0
2021-06-04,27144.099609375,27254.150390625,26737.150390625,26996.75,0
2021-06-11,27078.400390625,28347.5,26997.80078125,28217.5,0
2021-06-18,28371.900390625,28934.05078125,28134.650390625,28445.599609375,0
2021-06-25,28224.099609375,29284.0,28083.75,29210.55078125,0
2021-07-02,29259.599609375,29311.55078125,28704.0,29007.94921875,32300
2021-07-09,29117.44921875,29185.599609375,28381.30078125,28662.19921875,0
2021-07-16,28837.05078125,29835.900390625,28381.900390625,29400.25,0
2021-07-23,29248.30078125,30059.69921875,28992.0,29894.30078125,0
2021-07-30,29886.19921875,30818.55078125,29510.349609375,30480.05078125,0
