date,open,high,low,close,volume
2020-01-14,370.07,378.23,370.07,372.75,459266
2020-01-15,372.64,383.99,370.9,371.64,536699
2020-01-16,373.43,376.44,371.79,374.61,491527
2020-01-17,377.44,382.11,373.95,375.15,448348
2020-01-20,377.03,380.72,375.85,376.96,303795
2020-01-21,376.35,379.54,373.19,377.31,178061
2020-01-22,379.19,380.04,372.64,375.57,152205
2020-01-23,376.22,379.62,372.45,378.77,172015
2020-01-24,380.5,380.67,367.14,371.16,333445
2020-01-27,372.6,377.01,368.72,374.28,184984
2020-01-28,377.44,396.38,373.08,393.74,836175
2020-01-29,397.51,435.91,396.34,431.62,3073844
2020-01-30,434.32,434.6,412.35,425.83,1130633
2020-01-31,430.24,435.91,414.97,429.85,741203
2020-02-01,429.37,454.65,419.33,421.34,808284
2020-02-03,418.46,435.87,416.74,422.84,473234
2020-02-04,428.91,435.48,417.19,420.31,454165
2020-02-05,421.88,433.73,421.88,430.26,403547
2020-02-06,432.82,435.48,417.59,419.27,307386
2020-02-07,421.88,434.41,421.8,431.51,397128
2020-02-10,435.04,447.26,428.5,443.53,518558
2020-02-11,446.28,450.55,436.68,440.41,305539
2020-02-12,442.72,442.9,423.98,429.65,271009
2020-02-13,422.39,431.55,404.19,423.67,414722
2020-02-14,426.31,447.24,426.2,441.94,1070507
2020-02-17,443.46,445.71,425.57,432.01,544097
2020-02-18,434.17,440.74,417.15,434.65,712453
2020-02-19,434.17,439.84,430.81,434.47,545234
2020-02-20,436.76,459.91,435.63,454.04,1262179
2020-02-24,453.37,467.33,442.46,446.15,618851
2020-02-25,449.18,452.3,442.9,445.06,794754
2020-02-26,445.06,448.13,434.58,436.22,785394
2020-02-27,439.08,451.19,429.37,432.05,762949
2020-02-28,428.06,434.71,414.97,425.9,607860
2020-03-02,430.24,436.13,417.15,423.7,702463
2020-03-03,434.17,434.17,421.64,429.13,516608
2020-03-04,430.35,431.86,417.63,420.51,592875
2020-03-05,425.0,436.35,421.08,431.77,372943
2020-03-06,419.77,433.93,416.71,429.98,347810
2020-03-09,428.17,428.17,406.42,411.22,1456230
2020-03-11,412.48,413.77,397.71,406.35,564051
2020-03-12,392.71,392.71,362.17,369.33,1004652
2020-03-13,342.62,393.15,322.9,380.76,1236026
2020-03-16,375.26,379.52,348.64,351.89,891087
2020-03-17,350.83,358.9,339.07,344.96,498551
2020-03-18,353.01,358.48,335.55,344.93,702729
2020-03-19,327.26,346.03,321.61,326.59,612256
2020-03-20,327.26,342.53,325.08,335.12,853260
2020-03-23,305.44,322.88,291.48,296.5,1711738
2020-03-24,322.88,322.88,299.66,302.59,410629
2020-03-25,296.72,316.22,296.72,307.71,322834
2020-03-26,314.17,329.44,309.44,322.31,376346
2020-03-27,329.88,344.67,320.8,334.2,382644
2020-03-30,322.9,327.04,314.61,317.88,317958
2020-03-31,320.28,340.22,316.42,334.57,266398
2020-04-01,339.48,357.37,335.14,347.25,1039468
2020-04-03,349.56,350.83,336.32,345.02,311412
2020-04-07,352.57,367.71,349.52,362.48,468465
2020-04-08,366.51,396.99,356.93,373.04,1095004
2020-04-09,387.92,401.4,382.92,397.65,686118
2020-04-13,399.26,425.29,390.53,392.74,1013507
2020-04-15,401.44,409.65,391.41,398.1,988408
2020-04-16,403.62,411.91,399.74,403.36,495902
2020-04-17,411.48,415.38,404.23,411.89,463669
2020-04-20,416.02,419.46,405.46,408.82,315079
2020-04-21,403.62,413.66,397.58,399.87,900171
2020-04-22,399.26,407.77,394.24,397.34,288511
2020-04-23,403.73,418.9,403.62,409.12,710166
2020-04-24,408.86,412.18,400.57,404.43,457577
2020-04-27,405.81,448.79,405.81,443.9,1874635
2020-04-28,455.99,486.53,455.11,482.36,3132402
2020-04-29,486.97,496.5,466.89,483.87,1556076
2020-04-30,492.2,496.13,472.13,481.03,1225697
2020-05-04,474.31,490.89,456.05,477.96,1059372
2020-05-05,486.97,520.13,482.69,496.92,4896333
2020-05-06,501.8,507.69,472.13,482.04,1611410
2020-05-07,470.39,490.89,469.08,473.53,550791
2020-05-08,479.03,486.75,458.19,464.65,681455
2020-05-11,467.77,471.69,442.94,447.13,1149001
2020-05-12,446.78,462.51,443.03,451.64,1387642
2020-05-13,467.11,467.11,447.26,449.42,621436
2020-05-14,448.48,458.17,443.55,445.75,1353028
2020-05-15,448.09,456.53,445.08,447.72,623174
2020-05-18,451.16,451.16,429.8,436.74,519463
2020-05-19,439.4,447.26,430.68,432.82,504083
2020-05-20,435.91,438.75,428.69,436.98,323698
2020-05-21,438.97,450.53,435.94,439.58,666572
2020-05-22,441.22,457.29,441.22,449.29,1036049
2020-05-26,448.13,448.13,432.42,440.65,1129636
2020-05-27,443.75,445.51,429.37,430.46,875004
2020-05-28,433.03,439.75,426.75,429.15,655755
2020-05-29,430.74,430.74,420.23,425.94,972774
2020-06-01,430.24,439.1,426.31,428.82,1626359
2020-06-02,431.9,435.59,423.74,424.83,822349
2020-06-03,425.0,433.47,414.53,416.91,1944528
2020-06-04,416.28,418.87,389.73,392.45,3701010
2020-06-05,396.21,401.44,389.75,396.53,1489205
2020-06-08,402.31,409.3,397.54,402.84,1469698
2020-06-09,405.81,408.86,402.31,405.89,819454
2020-06-10,408.42,412.35,406.11,407.22,759009
2020-06-11,407.11,409.3,401.05,404.1,631350
2020-06-12,386.17,402.12,386.17,400.57,1178379
2020-06-15,394.9,400.57,371.03,379.38,11673821
2020-06-16,389.22,407.11,384.03,403.3,5725663
2020-06-17,404.5,414.1,399.87,408.01,2994263
2020-06-18,408.01,412.9,403.75,410.08,2284883
2020-06-19,412.35,420.1,407.99,419.42,1698510
2020-06-22,420.84,427.62,416.5,426.47,1863751
2020-06-23,426.75,426.75,419.77,423.08,765126
2020-06-24,422.56,422.74,402.88,410.8,2442207
2020-06-25,410.61,422.56,399.7,414.82,1438845
2020-06-26,422.56,423.24,412.35,416.15,509036
