date,open,high,low,close,volume
2020-01-10,233.43,238.9,227.53,228.21,363521
2020-01-13,230.02,231.38,223.67,224.6,287036
2020-01-14,224.65,229.33,224.65,227.23,143091
2020-01-15,224.94,231.38,223.57,225.38,561824
2020-01-16,225.57,233.34,225.57,232.16,475584
2020-01-17,232.36,233.87,227.48,230.11,304216
2020-01-20,228.5,231.72,224.55,225.48,436973
2020-01-21,226.4,228.21,223.57,223.96,190704
2020-01-22,228.45,231.38,224.84,229.14,283782
2020-01-23,230.21,235.29,226.45,228.26,352654
2020-01-24,228.45,231.68,225.72,229.28,514780
2020-01-27,227.38,231.38,226.55,228.7,274691
2020-01-28,228.45,229.53,221.72,223.28,371874
2020-01-29,224.35,226.5,221.72,222.69,176694
2020-01-30,222.69,226.11,220.84,224.21,194983
2020-01-31,224.6,229.63,222.21,228.11,278079
2020-02-01,225.53,230.07,218.06,227.14,265666
2020-02-03,224.55,227.09,218.89,224.55,417330
2020-02-04,225.53,226.89,222.11,224.21,518626
2020-02-05,223.28,241.93,222.4,232.99,2199399
2020-02-06,233.82,254.81,226.5,248.32,3191551
2020-02-07,247.88,257.69,245.05,254.77,2154499
2020-02-10,256.08,256.08,244.47,252.86,1048342
2020-02-11,255.4,269.17,254.33,265.99,1604366
2020-02-12,266.53,270.44,262.19,262.92,1715033
2020-02-13,261.21,274.68,258.72,269.41,1247506
2020-02-14,269.26,271.12,257.21,259.21,823185
2020-02-17,258.43,261.06,247.98,258.82,580827
2020-02-18,259.6,264.58,252.86,255.64,687516
2020-02-19,257.26,268.48,255.89,267.7,1182138
2020-02-20,266.77,277.07,264.67,271.66,1194870
2020-02-24,269.26,278.73,265.6,271.66,972016
2020-02-25,269.9,276.98,258.33,260.96,866827
2020-02-26,260.18,260.18,253.84,256.18,619867
2020-02-27,256.77,260.53,248.71,255.6,664672
2020-02-28,249.84,254.33,244.08,245.44,1297746
2020-03-02,246.13,253.84,228.99,232.36,682750
2020-03-03,238.12,253.84,233.34,248.22,1139111
2020-03-04,249.93,253.5,237.53,244.22,1824524
2020-03-05,245.69,249.15,243.1,246.47,259418
2020-03-06,230.6,245.98,230.6,243.05,562212
2020-03-09,224.55,238.9,224.55,236.07,2058829
2020-03-11,236.07,241.54,226.75,229.72,688621
2020-03-12,220.25,224.55,208.49,218.54,1083231
2020-03-13,189.35,231.33,189.35,221.62,1311948
2020-03-16,212.05,221.03,191.01,199.26,2127678
2020-03-17,200.14,208.73,199.17,204.29,403001
2020-03-18,202.29,207.02,175.73,180.32,1296348
2020-03-19,170.85,182.57,156.79,177.34,2054609
2020-03-20,174.27,184.18,170.07,181.93,959349
