date,open,high,low,close,volume
2019-12-09,54.45,55.4,54.25,54.45,1406
2019-12-10,55.05,55.05,54.0,54.15,591
2019-12-11,54.85,60.0,53.55,53.75,7293
2019-12-12,54.0,54.9,53.5,53.6,3197
2019-12-13,55.0,55.0,52.3,53.15,1715
2019-12-16,54.95,55.1,53.3,53.8,6232
2019-12-17,54.9,54.95,53.5,54.4,1147
2019-12-18,54.4,55.05,52.55,52.85,8824
2019-12-19,53.3,53.9,52.95,53.45,910
2019-12-20,53.6,54.95,52.1,54.75,8846
2019-12-23,58.0,58.35,55.05,55.55,75053
2019-12-24,56.0,56.85,52.75,53.75,20335
2019-12-26,54.3,54.7,53.3,54.2,3253
2019-12-27,53.45,55.9,53.05,54.35,4811
2019-12-30,54.05,54.3,52.05,53.35,13461
2019-12-31,53.25,54.95,52.0,53.2,6989
2020-01-01,53.75,53.85,51.3,53.4,10519
2020-01-02,53.5,54.2,52.3,53.4,19556
2020-01-03,52.6,53.7,52.6,53.4,4736
2020-01-06,52.0,53.75,51.6,52.2,2261
2020-01-07,52.4,53.95,52.25,52.5,1346
2020-01-08,52.55,52.75,51.2,51.85,2133
2020-01-09,52.75,53.1,52.0,52.15,6398
2020-01-10,54.0,54.0,52.0,52.2,2595
2020-01-13,54.5,55.85,53.55,54.9,62162
2020-01-14,55.0,55.0,53.25,54.1,6314
2020-01-15,53.55,54.85,53.1,54.0,4878
2020-01-16,54.85,54.9,53.15,53.55,6185
2020-01-17,54.05,54.5,53.05,53.5,3738
2020-01-20,53.5,54.25,52.65,52.9,3134
2020-01-21,52.1,53.85,52.1,53.55,823
2020-01-22,53.0,54.35,53.0,53.3,4839
2020-01-23,53.9,55.25,53.3,54.7,7345
2020-01-24,56.95,56.95,54.5,54.85,5409
2020-01-27,55.4,55.4,52.5,53.1,4405
2020-01-28,54.0,56.0,52.5,54.8,12776
2020-01-29,54.95,57.7,53.65,57.25,25321
2020-01-30,59.8,59.8,54.65,57.35,17974
2020-01-31,59.9,59.9,53.1,53.85,53774
2020-02-01,54.1,55.8,52.15,53.05,3463
2020-02-03,53.2,53.25,51.55,52.15,4584
2020-02-04,55.25,59.8,54.2,55.7,38668
2020-02-05,55.8,57.95,55.0,55.85,19214
2020-02-06,56.0,57.8,56.0,57.5,17319
2020-02-07,55.5,58.95,55.5,56.4,2710
2020-02-10,58.0,58.05,56.0,57.25,10335
2020-02-11,60.1,61.0,58.0,58.8,49792
2020-02-12,59.35,59.5,55.3,56.15,4289
2020-02-13,55.15,58.2,55.1,58.1,6632
2020-02-14,56.2,60.6,56.2,58.25,20476
2020-02-17,58.25,59.6,56.85,57.2,3250
2020-02-18,56.55,58.0,55.8,56.4,2623
2020-02-19,56.4,57.0,56.25,56.55,1194
2020-02-20,56.2,57.7,56.1,57.1,3396
2020-02-24,57.0,57.1,54.0,54.45,2893
2020-02-25,54.8,55.55,53.6,54.1,1555
2020-02-26,53.15,55.45,53.1,53.75,9271
2020-02-27,53.05,54.8,52.1,53.25,1904
