date,open,high,low,close,volume
2020-01-13,2282.95,2350.0,2278.0,2339.5,231850
2020-01-14,2344.5,2351.0,2241.3,2323.8,160556
2020-01-15,2307.7,2405.0,2307.7,2365.7,159401
2020-01-16,2354.85,2375.0,2342.8,2362.65,85579
2020-01-17,2362.65,2375.0,2331.0,2338.2,76445
2020-01-20,2387.55,2387.55,2344.3,2359.35,72290
2020-01-21,2359.95,2374.05,2321.55,2356.85,127081
2020-01-22,2360.1,2370.0,2342.85,2360.85,47447
2020-01-23,2363.15,2365.0,2310.0,2329.7,57972
2020-01-24,2337.0,2350.0,2323.05,2346.95,45894
2020-01-27,2350.0,2388.7,2325.0,2357.1,67100
2020-01-28,2371.8,2380.0,2313.25,2324.6,29306
2020-01-29,2339.05,2349.0,2252.15,2299.9,80168
2020-01-30,2314.25,2314.25,2277.0,2295.85,32387
2020-01-31,2310.15,2400.1,2280.85,2397.65,131984
2020-02-01,2380.1,2395.0,2322.05,2354.35,27804
2020-02-03,2380.0,2395.0,2352.55,2376.6,49486
2020-02-04,2380.0,2443.2,2335.0,2370.8,128380
2020-02-05,2396.0,2410.0,2367.0,2387.25,33615
2020-02-06,2375.0,2423.95,2369.95,2398.85,127417
2020-02-07,2400.0,2558.0,2350.0,2502.5,572347
2020-02-10,2558.3,2700.0,2520.3,2585.2,582152
2020-02-11,2612.0,2655.0,2603.75,2635.2,123493
2020-02-12,2650.0,2675.0,2630.65,2644.6,159878
2020-02-13,2660.0,2672.0,2605.0,2615.05,74610
2020-02-14,2612.5,2650.05,2606.0,2649.3,65471
2020-02-17,2650.0,2650.0,2535.0,2582.25,53972
2020-02-18,2598.3,2643.9,2542.0,2618.2,141580
2020-02-19,2655.6,2716.9,2610.0,2623.8,141279
2020-02-20,2628.7,2690.0,2628.65,2658.7,81789
2020-02-24,2628.0,2666.0,2573.5,2599.7,85246
2020-02-25,2590.0,2650.0,2580.9,2643.65,55473
2020-02-26,2640.0,2671.45,2606.4,2632.8,35926
2020-02-27,2649.95,2700.0,2600.0,2641.6,96629
2020-02-28,2561.0,2648.0,2561.0,2625.5,97832
2020-03-02,2645.0,2664.45,2562.75,2600.2,131561
2020-03-03,2629.0,2670.0,2610.0,2642.35,55170
2020-03-04,2655.0,2668.0,2545.85,2549.75,92578
2020-03-05,2550.0,2650.0,2549.85,2611.1,54742
2020-03-06,2551.0,2650.0,2551.0,2614.0,46133
2020-03-09,2626.6,2626.6,2455.05,2566.9,55847
2020-03-11,2580.0,2635.0,2550.0,2590.95,133143
2020-03-12,2549.1,2549.1,2192.8,2386.5,246970
2020-03-13,2202.0,2617.4,1911.05,2413.85,197498
2020-03-16,2428.9,2548.0,2359.4,2426.9,126622
2020-03-17,2430.0,2532.55,2282.85,2326.05,97828
2020-03-18,2342.0,2426.0,2255.1,2294.2,71704
2020-03-19,2250.0,2266.9,2102.6,2177.85,82486
2020-03-20,2249.1,2359.15,2175.45,2348.6,122231
2020-03-23,1881.3,2348.0,1881.3,2269.65,80723
2020-03-24,2297.55,2366.35,2206.55,2216.3,51921
2020-03-25,2110.0,2394.1,2110.0,2273.65,85037
2020-03-26,2273.0,2377.75,2273.0,2307.1,50439
2020-03-27,2349.95,2463.55,2234.85,2344.95,111495
2020-03-30,2320.2,2361.0,2280.2,2336.25,130407
2020-03-31,2343.0,2374.5,2280.05,2325.85,161297
2020-04-01,2364.95,2364.95,2250.45,2270.05,43849
2020-04-03,2279.0,2299.75,2250.0,2267.05,196222
2020-04-07,2360.0,2367.0,2292.0,2324.05,604146
2020-04-08,2360.0,2736.5,2326.2,2671.15,371259
2020-04-09,2700.0,2879.0,2675.0,2709.0,238145
2020-04-13,2768.0,2824.0,2680.1,2693.8,164501
2020-04-15,2748.0,2809.95,2674.0,2686.85,152184
2020-04-16,2686.0,2809.0,2685.0,2757.85,313956
2020-04-17,2810.0,2810.0,2664.0,2678.55,92804
2020-04-20,2670.0,2719.4,2585.05,2603.65,82229
2020-04-21,2603.0,2669.95,2535.55,2581.7,162343
2020-04-22,2581.7,2584.9,2521.4,2534.5,195224
2020-04-23,2570.6,2595.0,2502.0,2517.95,58942
2020-04-24,2500.0,2764.0,2500.0,2734.45,410823
2020-04-27,2730.0,2870.0,2713.25,2777.5,285585
2020-04-28,2801.0,2801.0,2664.9,2699.8,155012
2020-04-29,2705.0,2750.0,2625.0,2653.1,58536
2020-04-30,2675.1,2745.9,2575.55,2599.4,200131
2020-05-04,2599.4,2723.0,2480.0,2663.55,259890
2020-05-05,2696.0,2730.0,2646.0,2674.15,205986
2020-05-06,2694.0,2713.95,2580.0,2614.65,207689
2020-05-07,2617.0,2653.95,2521.0,2557.6,104896
2020-05-08,2579.9,2600.0,2551.0,2587.95,185260
2020-05-11,2612.1,2625.5,2563.0,2599.6,139331
2020-05-12,2608.0,2608.0,2522.55,2577.7,134787
2020-05-13,2605.0,2610.0,2455.05,2487.05,247466
2020-05-14,2487.05,2546.4,2471.0,2527.1,121072
2020-05-15,2545.0,2547.95,2461.3,2473.35,78644
2020-05-18,2486.0,2486.0,2336.0,2360.15,103172
2020-05-19,2370.6,2421.75,2346.85,2372.85,74442
2020-05-20,2384.0,2445.0,2361.05,2433.65,53335
2020-05-21,2443.0,2493.0,2441.9,2474.95,40994
2020-05-22,2475.0,2524.0,2463.6,2497.9,94050
2020-05-26,2502.0,2514.0,2403.0,2411.85,81091
2020-05-27,2425.0,2425.0,2222.0,2299.15,351576
2020-05-28,2320.0,2360.0,2295.05,2324.3,129793
2020-05-29,2305.0,2330.0,2238.0,2262.9,200741
2020-06-01,2290.0,2312.35,2260.0,2282.05,135019
2020-06-02,2298.0,2413.0,2286.6,2401.0,220218
2020-06-03,2424.4,2483.1,2378.45,2424.05,177273
2020-06-04,2430.15,2455.0,2401.0,2445.0,83280
2020-06-05,2459.9,2510.15,2375.0,2394.55,209490
2020-06-08,2430.0,2434.0,2365.0,2375.45,241433
2020-06-09,2380.0,2415.0,2368.05,2399.1,240768
2020-06-10,2420.0,2452.95,2355.5,2378.65,367846
2020-06-11,2390.55,2394.0,2340.0,2357.8,179804
2020-06-12,2300.0,2397.9,2300.0,2355.95,219005
2020-06-15,2368.0,2379.25,2327.25,2369.85,74038
2020-06-16,2380.0,2415.5,2361.45,2393.2,168904
2020-06-17,2393.2,2396.0,2311.0,2336.1,259949
2020-06-18,2310.0,2355.05,2289.75,2302.5,110846
2020-06-19,2313.9,2333.35,2282.85,2305.35,525249
2020-06-22,2325.0,2348.25,2296.25,2307.3,136249
2020-06-23,2320.0,2390.05,2302.4,2384.25,167237
2020-06-24,2384.4,2418.7,2320.05,2333.1,187936
2020-06-25,2329.0,2357.0,2317.25,2350.7,150285
2020-06-26,2364.6,2380.0,2320.1,2349.35,141519
2020-06-29,2339.35,2389.0,2335.0,2353.7,148999
2020-06-30,2359.9,2388.0,2343.05,2368.3,130516
2020-07-01,2366.0,2377.85,2343.65,2352.15,72516
2020-07-02,2344.0,2359.85,2325.1,2350.8,104336
2020-07-03,2365.0,2365.0,2340.0,2350.8,133180
2020-07-06,2359.9,2363.0,2325.0,2333.6,138448
2020-07-07,2351.95,2368.05,2325.0,2335.35,158130
2020-07-08,2345.0,2439.95,2332.45,2427.7,271887
2020-07-09,2450.0,2465.8,2393.0,2423.05,191260
2020-07-10,2407.75,2446.2,2405.0,2422.35,80854
2020-07-13,2425.85,2444.95,2351.0,2407.0,86902
2020-07-14,2416.0,2500.0,2382.25,2474.9,220432
2020-07-15,2500.0,2543.0,2476.45,2536.25,344270
2020-07-16,2550.0,2575.0,2512.4,2560.85,149742
2020-07-17,2583.0,2583.0,2477.35,2497.5,208003
2020-07-20,2517.9,2517.9,2480.0,2507.35,132681
2020-07-21,2533.5,2533.5,2437.25,2450.15,105792
2020-07-22,2468.0,2500.15,2420.05,2453.65,115810
2020-07-23,2468.75,2509.95,2442.0,2494.95,128625
2020-07-24,2508.0,2508.0,2455.3,2489.5,148254
2020-07-27,2485.0,2499.2,2423.35,2449.95,141444
2020-07-28,2449.95,2489.95,2415.1,2462.45,72459
2020-07-29,2465.0,2558.0,2430.65,2539.2,105572
2020-07-30,2545.0,2575.0,2503.0,2545.5,113443
2020-07-31,2559.6,2718.35,2545.0,2662.1,450832
2020-08-03,2700.0,2848.0,2680.35,2790.7,679549
2020-08-04,2825.0,2974.0,2790.75,2931.3,904544
2020-08-05,2920.0,2950.0,2825.0,2847.45,275247
2020-08-06,2901.0,2969.0,2853.0,2866.9,435995
2020-08-07,2889.0,3090.0,2885.0,2981.95,2337098
2020-08-10,3033.85,3069.0,2940.0,2978.0,517068
2020-08-11,2998.9,3020.25,2765.0,2783.15,493730
2020-08-12,2810.0,2886.0,2783.15,2787.85,529864
2020-08-13,2812.15,2930.0,2802.85,2909.7,372603
2020-08-14,2918.0,2961.9,2866.2,2925.15,352258
2020-08-17,2951.0,2954.95,2871.05,2886.45,89529
2020-08-18,2906.5,2928.75,2880.0,2893.25,107694
2020-08-19,2905.0,2950.0,2840.05,2846.4,163205
2020-08-20,2857.0,2872.95,2832.55,2862.55,231702
2020-08-21,2874.7,2888.7,2826.0,2844.3,303759
2020-08-24,2873.0,2873.0,2781.0,2800.15,155100
2020-08-25,2824.0,2840.0,2776.75,2798.7,131591
2020-08-26,2823.6,2839.9,2790.8,2822.45,153199
2020-08-27,2821.1,2894.0,2821.1,2873.45,233719
2020-08-28,2895.0,2895.0,2851.0,2873.45,173469
2020-08-31,2875.0,2889.25,2705.55,2722.7,170879
2020-09-01,2729.0,2835.0,2688.1,2805.95,184789
2020-09-02,2810.0,2858.8,2785.0,2843.35,173703
2020-09-03,2856.0,2900.0,2840.0,2875.45,124212
2020-09-04,2818.0,2866.95,2790.0,2804.95,61916
2020-09-07,2814.95,2863.0,2790.0,2819.75,98099
2020-09-08,2829.0,2871.0,2820.25,2841.9,228951
2020-09-09,2800.0,2880.0,2799.05,2861.55,285581
2020-09-10,2875.0,2947.35,2852.4,2923.6,212996
2020-09-11,2943.0,2967.0,2857.0,2900.9,238569
2020-09-14,2922.0,2940.0,2891.25,2909.2,185810
2020-09-15,2922.0,2932.0,2833.75,2851.7,173773
2020-09-16,2872.9,2872.95,2812.0,2823.8,152176
2020-09-17,2832.0,2854.95,2821.0,2840.95,77609
2020-09-18,2855.0,2930.0,2826.25,2874.85,253381
2020-09-21,2888.0,2900.1,2829.8,2863.4,145194
2020-09-22,2870.0,2875.0,2745.35,2802.5,213484
2020-09-23,2825.0,2848.0,2724.15,2748.35,181077
2020-09-24,2738.9,2987.9,2682.0,2788.45,485671
2020-09-25,2762.0,2825.0,2762.0,2802.35,135837
2020-09-28,2881.0,2898.0,2749.2,2775.45,278899
2020-09-29,2806.95,2830.0,2765.0,2775.45,172734
2020-09-30,2780.0,2814.35,2766.0,2777.95,166078
2020-10-01,2784.0,2800.0,2727.25,2742.1,110657
2020-10-05,2769.0,2769.0,2714.1,2755.05,48450
2020-10-06,2777.0,2795.0,2743.0,2774.1,121541
2020-10-07,2770.0,2823.0,2720.0,2731.55,239838
2020-10-08,2746.95,2759.0,2725.0,2731.55,90367
2020-10-09,2741.0,2753.0,2705.55,2723.8,92636
