date,open,high,low,close,volume
2020-01-13,212.6,214.8,210.65,211.5,2628821
2020-01-14,212.2,212.45,208.8,209.3,3725008
2020-01-15,209.0,212.9,206.65,212.05,3359831
2020-01-16,213.5,214.4,209.1,209.75,3126006
2020-01-17,209.65,212.4,208.6,210.4,1968147
2020-01-20,211.4,211.75,206.65,207.05,1743715
2020-01-21,206.0,209.9,205.7,207.6,3142796
2020-01-22,208.9,212.2,208.3,210.35,3780055
2020-01-23,210.0,214.95,209.45,213.65,4656562
2020-01-24,214.1,216.9,212.6,215.95,3540793
2020-01-27,214.6,218.9,214.3,215.55,2903622
2020-01-28,215.8,220.25,214.05,216.15,5093967
2020-01-29,216.75,218.25,213.25,214.05,3410299
2020-01-30,214.15,214.2,208.7,209.9,2971434
2020-01-31,210.55,211.75,203.5,204.5,2906515
2020-02-01,204.1,207.75,194.0,195.35,3301796
2020-02-03,196.05,202.45,196.05,200.75,4031740
2020-02-04,202.8,210.0,202.45,206.8,3761981
2020-02-05,206.9,208.75,205.2,206.4,4000586
2020-02-06,207.25,209.25,204.55,207.5,3569538
2020-02-07,207.6,212.0,207.15,209.8,1957283
2020-02-10,209.8,210.8,206.15,207.1,1734578
2020-02-11,208.1,213.45,208.0,212.0,4444457
2020-02-12,212.0,214.0,210.25,211.4,3036372
2020-02-13,210.6,211.45,207.9,208.55,1177002
2020-02-14,208.4,212.25,205.0,205.65,3183445
2020-02-17,205.35,206.35,202.3,203.8,1397181
2020-02-18,203.25,203.6,197.75,200.85,4007197
2020-02-19,202.25,206.4,201.7,205.8,1630613
2020-02-20,204.95,210.25,200.1,205.4,3826080
2020-02-24,206.85,212.7,202.0,209.9,7946307
2020-02-25,211.0,214.0,209.3,211.6,6147428
2020-02-26,211.9,216.05,210.05,213.6,6034979
2020-02-27,213.6,215.15,210.5,211.6,3753324
2020-02-28,207.75,209.4,203.25,205.05,7650031
2020-03-02,208.6,216.55,199.8,202.25,5187934
2020-03-03,203.9,212.2,203.65,211.15,4549626
2020-03-04,211.35,213.0,204.7,208.1,3541106
2020-03-05,208.2,211.9,203.65,204.4,2414347
2020-03-06,198.75,206.55,195.4,205.1,2587514
2020-03-09,199.8,203.25,191.45,193.7,3910317
2020-03-11,194.1,196.45,189.8,190.45,3553048
2020-03-12,183.0,183.75,169.1,175.5,8015858
2020-03-13,166.0,190.7,152.05,187.75,3970888
2020-03-16,180.0,184.05,172.15,179.45,5362750
