date,open,high,low,close,volume
2020-01-13,302.7,302.9,296.0,296.7,5434
2020-01-14,295.05,333.3,295.05,324.45,152076
2020-01-15,326.4,328.9,315.0,317.55,30185
2020-01-16,315.3,326.5,311.55,322.9,21152
2020-01-17,328.0,332.9,321.0,322.4,15933
2020-01-20,319.0,321.7,311.0,312.45,4791
2020-01-21,312.45,318.4,307.4,308.95,9082
2020-01-22,308.95,315.0,302.1,303.55,5135
2020-01-23,302.25,307.55,297.65,303.2,5211
2020-01-24,304.0,306.0,300.15,301.25,5015
2020-01-27,305.0,317.8,297.95,304.4,11513
2020-01-28,308.75,308.75,301.0,303.15,3400
2020-01-29,307.95,312.0,301.0,303.85,7803
2020-01-30,305.0,307.8,286.0,292.35,6239
2020-01-31,287.0,299.6,287.0,291.35,4284
2020-02-01,287.6,296.0,280.0,283.85,6314
2020-02-03,291.0,300.9,275.65,280.5,7075
2020-02-04,281.9,292.0,281.25,286.1,14367
2020-02-05,289.9,289.9,282.5,283.5,5134
2020-02-06,283.5,296.75,282.1,291.85,7009
2020-02-07,291.9,293.55,288.85,290.5,2867
2020-02-10,294.35,294.35,286.2,287.75,1921
2020-02-11,276.2,294.0,276.2,283.25,5287
2020-02-12,281.1,285.0,278.0,279.2,3109
2020-02-13,279.2,285.0,275.0,276.55,6497
2020-02-14,268.0,277.15,268.0,272.05,2980
2020-02-17,272.05,273.5,261.2,267.5,7145
2020-02-18,269.95,272.8,265.0,271.95,2911
2020-02-19,272.95,279.95,268.5,274.0,2556
2020-02-20,284.0,293.55,273.0,275.15,7400
2020-02-24,273.4,276.0,259.0,261.35,8351
2020-02-25,264.0,268.0,263.0,263.0,1950
2020-02-26,263.0,265.5,259.0,260.8,4011
2020-02-27,253.4,271.0,253.1,259.6,1406
2020-02-28,263.0,263.0,243.1,255.15,4165
2020-03-02,261.0,268.0,245.35,249.5,7490
2020-03-03,250.0,255.1,235.05,240.1,8104
2020-03-04,235.05,243.5,229.0,230.65,6226
2020-03-05,238.0,248.7,227.0,243.2,2994
2020-03-06,242.0,242.0,228.0,229.0,4613
2020-03-09,229.0,232.0,186.55,201.4,13726
2020-03-11,201.2,209.85,195.0,195.8,25817
2020-03-12,184.0,192.7,167.0,168.6,19450
2020-03-13,160.0,187.1,134.9,168.1,13205
2020-03-16,168.1,168.95,160.0,166.9,4051
2020-03-17,175.5,175.5,158.05,159.5,14775
2020-03-18,165.0,170.0,155.0,160.1,6825
2020-03-19,164.95,164.95,144.1,151.95,8128
2020-03-20,151.0,153.9,139.2,144.6,18692
2020-03-23,130.15,139.0,130.15,132.25,5793
2020-03-24,135.0,136.8,119.05,120.8,14980
2020-03-25,122.0,128.0,112.0,124.8,3617
2020-03-26,129.95,131.0,119.1,130.85,4989
2020-03-27,137.35,137.35,128.0,136.9,5280
2020-03-30,143.5,143.7,132.5,143.55,6788
2020-03-31,148.0,150.7,140.0,141.6,10153
2020-04-01,138.25,142.75,134.55,137.0,7159
2020-04-03,137.0,143.0,130.15,134.8,9782
2020-04-07,141.5,141.5,134.8,141.5,8821
2020-04-08,148.55,148.55,147.0,148.55,2622
