date,open,high,low,close,volume
2020-01-13,1493.3,1504.0,1479.45,1483.45,374704
2020-01-14,1485.1,1502.0,1483.9,1493.3,308514
2020-01-15,1488.3,1529.0,1488.0,1511.95,932167
2020-01-16,1519.7,1607.0,1518.05,1591.55,2305288
2020-01-17,1595.55,1624.0,1580.0,1618.6,893254
2020-01-20,1620.0,1659.0,1616.5,1629.55,1047368
2020-01-21,1629.85,1642.5,1621.0,1626.2,317357
2020-01-22,1643.65,1664.0,1626.5,1634.45,736367
2020-01-23,1638.8,1699.9,1631.25,1686.9,764590
2020-01-24,1690.0,1697.55,1649.1,1668.7,1023849
2020-01-27,1668.0,1713.0,1662.0,1696.05,791549
2020-01-28,1695.9,1704.8,1673.8,1677.75,681671
2020-01-29,1687.0,1694.95,1671.05,1688.0,230705
2020-01-30,1685.0,1709.75,1680.25,1690.8,634505
2020-01-31,1699.2,1699.25,1656.45,1660.2,377299
2020-02-01,1658.1,1703.45,1630.0,1654.45,547355
2020-02-03,1616.0,1717.6,1616.0,1695.85,584886
2020-02-04,1695.85,1704.9,1661.0,1671.05,384789
2020-02-05,1681.0,1681.0,1650.0,1657.45,438855
2020-02-06,1665.7,1665.7,1622.2,1645.05,552992
2020-02-07,1649.8,1678.5,1628.0,1663.15,554048
2020-02-10,1663.0,1701.6,1634.5,1665.7,778081
2020-02-11,1670.5,1702.9,1669.0,1697.95,606839
2020-02-12,1705.0,1716.95,1670.55,1683.6,728165
2020-02-13,1675.0,1707.0,1655.0,1695.5,902548
2020-02-14,1721.0,1747.7,1674.45,1704.4,3179224
2020-02-17,1727.0,1737.0,1700.1,1715.05,808709
2020-02-18,1716.0,1784.4,1704.8,1774.9,1860803
2020-02-19,1774.9,1792.6,1750.7,1780.5,1029649
2020-02-20,1790.0,1813.45,1778.25,1800.7,799535
2020-02-24,1796.0,1813.55,1764.25,1797.45,708469
2020-02-25,1798.0,1810.0,1778.0,1790.45,459592
2020-02-26,1785.95,1796.95,1763.0,1767.2,494854
2020-02-27,1765.0,1803.0,1755.1,1795.4,919960
2020-02-28,1780.5,1799.75,1726.1,1735.8,1234826
2020-03-02,1750.0,1777.9,1711.2,1728.55,980080
2020-03-03,1738.9,1753.2,1695.0,1725.7,672514
2020-03-04,1727.0,1772.0,1711.65,1755.25,1164850
2020-03-05,1764.95,1768.85,1718.6,1727.2,661463
2020-03-06,1700.0,1710.0,1673.0,1688.9,498503
2020-03-09,1650.0,1671.75,1606.1,1640.9,486073
2020-03-11,1629.0,1642.8,1611.0,1629.25,617559
2020-03-12,1580.0,1590.05,1480.3,1508.0,1279868
2020-03-13,1380.1,1598.5,1379.0,1513.65,828569
2020-03-16,1431.0,1540.9,1363.35,1472.8,1197701
2020-03-17,1492.8,1518.95,1415.45,1426.75,610719
2020-03-18,1454.0,1454.0,1233.55,1282.7,1731138
2020-03-19,1195.1,1248.25,1052.35,1180.1,2412020
2020-03-20,1190.25,1400.4,1150.0,1362.95,2002361
2020-03-23,1226.7,1299.35,1149.0,1158.65,816579
2020-03-24,1250.0,1265.0,1124.15,1156.0,1641799
2020-03-25,1180.0,1222.2,1072.05,1183.75,2323541
2020-03-26,1190.0,1336.3,1132.0,1215.85,2809837
2020-03-27,1259.0,1259.0,1130.3,1167.0,2480908
2020-03-30,1139.0,1167.0,1080.15,1098.25,1207572
2020-03-31,1122.0,1155.1,1047.05,1139.05,1882578
2020-04-01,1136.0,1139.0,1080.05,1088.85,1017298
2020-04-03,1094.2,1239.45,1088.05,1189.55,2397409
2020-04-07,1236.0,1278.65,1212.5,1225.95,1473098
2020-04-08,1225.9,1338.4,1211.0,1263.95,2070270
2020-04-09,1266.0,1300.0,1256.65,1279.85,1156778
2020-04-13,1300.0,1300.0,1229.8,1279.4,1027810
2020-04-15,1295.0,1414.95,1291.6,1360.55,2274130
2020-04-16,1370.75,1440.0,1334.05,1423.45,1281809
2020-04-17,1450.0,1472.0,1360.0,1374.1,1718048
2020-04-20,1385.0,1465.0,1373.0,1450.95,1860261
2020-04-21,1416.0,1433.05,1330.1,1351.15,1669512
2020-04-22,1351.25,1368.35,1311.4,1348.3,1272573
2020-04-23,1372.0,1416.9,1361.8,1384.05,1301177
2020-04-24,1360.0,1377.5,1341.1,1359.5,756054
2020-04-27,1370.1,1423.35,1370.1,1418.9,1179829
2020-04-28,1429.8,1458.2,1417.05,1426.45,1214114
2020-04-29,1420.0,1428.8,1375.0,1417.95,1010961
2020-04-30,1441.9,1441.9,1387.25,1394.35,731401
2020-05-04,1394.65,1427.15,1355.5,1371.75,1532116
2020-05-05,1399.0,1401.8,1334.45,1347.6,652261
2020-05-06,1350.0,1359.0,1261.75,1305.75,1621448
2020-05-07,1293.95,1335.0,1265.5,1271.15,935845
2020-05-08,1280.3,1327.5,1276.2,1314.8,1250587
2020-05-11,1320.0,1341.75,1282.4,1304.2,718005
2020-05-12,1296.1,1320.0,1280.95,1301.1,663107
2020-05-13,1334.0,1334.0,1258.0,1284.55,1508002
2020-05-14,1289.3,1310.0,1265.8,1294.4,907116
2020-05-15,1299.0,1377.1,1290.15,1355.3,1984100
