date,open,high,low,close,volume
2020-01-14,634.05,640.07,627.19,633.68,105779
2020-01-15,638.44,641.36,632.81,637.93,128812
2020-01-16,638.61,640.13,624.94,635.12,218984
2020-01-17,630.0,633.57,624.49,629.61,387946
2020-01-20,634.44,634.44,618.75,620.04,157032
2020-01-21,623.78,623.98,608.96,615.54,205386
2020-01-22,618.75,622.1,605.28,612.0,126392
2020-01-23,619.31,623.53,613.74,618.41,140801
2020-01-24,621.56,626.68,614.08,621.87,254741
2020-01-27,627.13,655.31,622.91,645.98,435576
2020-01-28,649.69,703.13,649.69,691.51,754604
2020-01-29,687.38,700.31,661.53,668.17,249358
2020-01-30,672.92,678.38,667.13,676.63,141020
2020-01-31,676.74,700.31,672.19,688.13,249280
2020-02-01,683.41,685.69,641.81,648.17,131073
2020-02-03,644.43,670.98,631.13,656.21,80520
2020-02-04,663.27,682.68,657.48,666.98,117553
2020-02-05,673.88,680.23,660.94,671.93,78218
2020-02-06,680.43,680.43,666.56,673.59,34890
2020-02-07,675.0,680.74,669.38,674.89,147459
2020-02-10,677.25,679.05,665.44,674.02,117408
2020-02-11,675.56,691.88,675.0,685.07,189029
2020-02-12,699.19,711.56,675.59,681.02,272069
2020-02-13,686.19,686.19,664.31,674.1,115656
2020-02-14,671.2,681.13,666.56,673.68,118321
2020-02-17,675.0,682.96,666.56,673.99,181166
2020-02-18,671.63,673.2,654.3,663.67,139283
2020-02-19,662.37,674.44,660.18,672.55,119584
2020-02-20,673.96,679.5,666.87,672.1,135790
2020-02-24,672.1,676.1,663.75,673.99,127925
2020-02-25,669.38,673.73,663.78,665.63,123205
2020-02-26,663.75,671.03,658.77,661.11,127676
2020-02-27,661.5,664.26,654.24,657.17,126881
2020-02-28,651.83,651.83,632.81,643.73,300160
2020-03-02,644.06,664.88,638.47,646.93,130556
2020-03-03,647.16,658.13,632.03,645.41,61777
2020-03-04,657.56,657.56,624.94,632.45,50616
2020-03-05,638.1,638.1,625.5,629.66,78325
2020-03-06,596.31,635.06,596.31,630.34,72325
2020-03-09,621.56,632.81,613.13,630.25,73777
2020-03-11,630.28,649.69,627.19,646.57,233111
2020-03-12,624.43,630.0,556.88,578.22,206487
2020-03-13,520.37,635.09,479.42,615.77,266593
2020-03-16,610.31,615.94,567.62,588.43,193921
2020-03-17,579.91,596.22,551.31,561.12,208499
2020-03-18,573.16,573.75,523.69,560.42,149095
2020-03-19,534.38,568.07,503.41,523.38,407340
2020-03-20,525.38,562.33,506.81,524.28,110643
2020-03-23,502.37,502.45,419.43,423.98,313459
2020-03-24,449.44,457.73,426.29,451.04,164664
2020-03-25,437.34,473.77,428.79,468.14,139240
2020-03-26,483.75,548.44,469.41,536.29,176213
2020-03-27,561.94,568.55,504.56,511.03,121713
2020-03-30,492.19,528.75,483.83,494.44,100684
2020-03-31,510.69,542.25,496.15,526.98,107363
2020-04-01,526.98,543.26,518.06,535.28,62017
2020-04-03,537.53,573.75,514.1,548.66,171418
2020-04-07,567.56,567.56,540.28,547.79,105189
2020-04-08,541.13,554.63,535.5,537.44,105265
2020-04-09,537.75,552.88,537.75,545.82,50732
2020-04-13,545.63,545.82,503.94,517.84,341962
2020-04-15,517.84,535.5,507.97,511.4,154757
2020-04-16,523.13,523.13,495.03,504.62,466814
2020-04-17,514.69,519.75,504.28,506.45,194535
2020-04-20,517.39,517.5,500.06,505.18,263365
2020-04-21,500.63,505.18,480.94,484.31,320428
2020-04-22,494.44,496.1,478.13,487.1,203265
2020-04-23,492.19,511.82,479.84,507.26,221619
2020-04-24,507.26,510.75,493.9,504.59,92183
2020-04-27,516.94,533.81,503.44,530.52,201674
2020-04-28,533.81,548.41,523.13,528.55,224336
2020-04-29,528.19,536.79,527.63,532.83,117207
2020-04-30,542.76,549.0,500.85,528.81,472604
2020-05-04,517.5,541.13,513.06,523.21,205121
2020-05-05,524.25,534.6,495.62,509.85,87678
2020-05-06,511.31,529.03,508.28,518.01,83160
2020-05-07,527.63,533.76,510.22,517.36,62503
2020-05-08,530.94,538.31,512.18,514.72,78940
2020-05-11,514.69,517.47,492.19,495.28,191635
2020-05-12,506.25,511.31,488.28,491.77,115665
2020-05-13,514.69,517.87,487.69,503.02,203585
2020-05-14,495.0,506.25,490.25,498.32,452168
2020-05-15,493.82,497.78,482.06,486.2,232826
2020-05-18,488.81,489.94,449.07,460.41,225688
2020-05-19,465.75,465.75,455.63,457.37,113886
2020-05-20,461.25,468.53,433.18,459.87,452403
2020-05-21,461.81,486.56,456.64,479.45,344245
2020-05-22,483.69,483.75,464.63,472.92,121269
2020-05-26,464.06,472.5,445.53,456.86,310600
2020-05-27,456.86,464.06,453.77,457.37,329600
