date,open,high,low,close,volume
2019-11-05,148.05,148.85,146.5,146.75,458786
2019-11-06,147.2,149.15,146.7,147.7,918476
2019-11-07,147.95,148.7,147.1,147.35,385595
2019-11-08,147.45,148.7,146.6,146.8,557647
2019-11-11,147.3,148.5,146.6,148.0,616045
2019-11-13,148.7,151.4,148.2,148.4,1862264
2019-11-14,148.9,148.9,147.15,147.4,546430
2019-11-15,147.5,147.85,146.05,146.55,498918
2019-11-18,146.8,147.0,146.15,146.35,316184
2019-11-19,146.35,147.75,146.2,146.45,337626
2019-11-20,146.15,148.4,146.15,146.55,527163
2019-11-21,146.6,147.4,146.15,146.3,437965
2019-11-22,146.9,147.4,145.95,146.25,709471
2019-11-25,146.25,148.2,146.25,147.3,619423
2019-11-26,147.5,147.9,146.05,146.2,507181
2019-11-27,146.1,147.2,146.1,146.7,312919
2019-11-28,146.9,151.95,146.7,149.45,2975528
2019-11-29,150.5,168.7,149.1,161.35,10414685
2019-12-02,161.5,167.7,158.15,164.15,3953480
2019-12-03,164.0,164.9,153.95,155.25,1702781
2019-12-04,153.4,158.45,151.8,156.0,1564047
2019-12-05,156.6,156.7,151.5,152.25,754544
2019-12-06,152.3,155.25,150.0,150.65,1304654
2019-12-09,151.0,153.35,150.0,150.7,891402
2019-12-10,151.2,157.65,151.2,153.3,1686674
2019-12-11,154.05,155.5,151.05,152.0,825701
2019-12-12,152.9,154.45,151.4,151.9,654162
2019-12-13,152.0,153.4,151.1,151.55,542839
2019-12-16,151.25,153.75,151.25,151.6,627133
2019-12-17,152.0,152.55,150.4,150.65,562415
2019-12-18,151.0,151.9,150.5,150.75,380427
2019-12-19,150.6,151.5,150.45,151.1,374913
2019-12-20,151.1,152.9,151.0,151.0,879699
2019-12-23,150.7,150.85,148.75,150.05,551702
2019-12-24,150.15,158.7,150.15,157.05,3877678
2019-12-26,156.2,159.95,154.1,155.0,2044960
2019-12-27,155.65,158.5,153.95,155.7,1048977
2019-12-30,156.0,156.9,154.05,155.8,866718
2019-12-31,155.45,164.4,155.15,162.7,3897522
2020-01-01,163.4,179.7,160.4,176.85,7801084
2020-01-02,178.35,185.6,177.2,179.95,8005588
2020-01-03,177.0,182.0,172.3,174.5,3420929
2020-01-06,173.0,173.35,157.0,163.3,3235049
2020-01-07,165.8,173.0,165.8,171.1,3698599
2020-01-08,167.3,173.0,165.8,168.25,2106347
2020-01-09,172.5,174.9,168.9,169.6,1688538
2020-01-10,170.7,171.0,163.0,164.25,1484336
2020-01-13,165.0,169.95,165.0,168.0,1371568
2020-01-14,168.55,171.5,166.45,169.25,1181436
2020-01-15,171.0,177.7,170.65,174.9,3823035
2020-01-16,175.95,178.4,173.25,174.15,1539425
2020-01-17,172.5,178.45,171.65,174.65,2357915
2020-01-20,175.9,176.95,171.35,172.05,983264
2020-01-21,171.35,172.55,169.2,169.8,646295
2020-01-22,170.7,171.45,165.25,166.85,710302
2020-01-23,167.3,174.8,166.55,172.9,1942737
2020-01-24,155.0,177.5,148.75,175.25,14812545
2020-01-27,173.65,179.45,172.0,173.9,2660162
2020-01-28,175.0,176.0,168.25,170.15,946344
2020-01-29,171.9,174.45,168.5,169.9,992354
2020-01-30,170.4,171.15,165.55,166.75,652688
2020-01-31,168.8,171.0,165.7,166.4,912144
2020-02-01,165.95,171.8,164.2,165.2,1240435
