date,open,high,low,close,volume
2020-01-13,740.0,746.75,735.35,737.4,6423758
2020-01-14,740.0,751.4,734.2,747.9,7237665
2020-01-15,747.05,749.0,738.0,746.3,7911661
2020-01-16,746.5,750.4,735.1,737.3,6487613
2020-01-17,734.85,742.45,730.85,739.9,7678864
2020-01-20,742.95,746.2,725.0,727.2,10677371
2020-01-21,726.35,729.6,716.05,717.6,8242803
2020-01-22,717.0,722.75,706.6,712.6,13321307
2020-01-23,725.05,737.55,719.4,723.0,20643257
2020-01-24,723.4,741.7,720.4,737.4,9541490
2020-01-27,732.45,748.45,731.0,740.25,9170435
2020-01-28,738.4,746.5,735.0,737.15,7836737
2020-01-29,740.0,745.5,733.55,735.25,7985274
2020-01-30,735.75,736.4,727.3,730.9,6041343
2020-01-31,734.7,737.25,725.2,729.3,8345819
2020-02-01,728.55,734.35,702.0,705.45,7341770
2020-02-03,704.7,712.8,695.55,708.95,11594991
2020-02-04,712.45,720.6,710.0,715.0,9653925
2020-02-05,719.45,725.65,715.2,724.05,7975101
2020-02-06,727.45,745.0,723.0,736.95,9627252
2020-02-07,736.7,749.2,734.0,748.15,8438354
2020-02-10,746.3,746.8,739.0,741.1,4713339
2020-02-11,743.0,757.1,742.0,749.95,7845657
2020-02-12,752.0,760.7,751.0,755.25,6190440
2020-02-13,751.1,753.45,742.3,747.8,5031706
2020-02-14,748.1,752.55,732.1,736.5,6155000
2020-02-17,737.4,743.1,730.2,738.4,4275465
2020-02-18,737.75,737.75,724.7,733.65,5215502
2020-02-19,740.65,745.1,735.35,741.05,4372673
2020-02-20,742.75,754.0,737.6,744.3,7529403
2020-02-24,737.95,738.4,723.0,725.45,6589087
2020-02-25,729.4,732.0,722.05,728.75,5419596
2020-02-26,725.3,735.75,722.0,729.4,7136975
2020-02-27,728.7,739.45,716.55,735.85,8867328
2020-02-28,718.9,724.7,691.0,697.3,16428944
2020-03-02,709.3,713.25,675.3,684.2,13854352
2020-03-03,689.9,695.8,675.0,687.15,11198145
2020-03-04,690.0,696.0,668.3,682.2,14802724
2020-03-05,686.5,694.0,675.25,677.9,10508008
2020-03-06,650.0,660.8,641.05,657.65,12969235
2020-03-09,639.0,641.85,615.1,623.55,14336439
2020-03-11,613.65,634.4,612.1,619.35,11021533
2020-03-12,592.0,594.0,528.15,543.25,29369628
2020-03-13,516.95,585.65,451.1,568.8,25599380
2020-03-16,542.35,545.0,502.35,508.6,21543626
2020-03-17,515.15,531.3,477.45,488.35,20594426
2020-03-18,490.0,506.05,392.1,473.45,36268578
2020-03-19,441.05,464.95,423.75,428.25,33244422
