date,open,high,low,close,volume
2020-01-13,3106.0,3119.95,3080.2,3094.05,154993
2020-01-14,3091.1,3118.0,3074.0,3101.6,278534
2020-01-15,3101.0,3138.0,3092.0,3123.55,553613
2020-01-16,3129.8,3150.0,3101.5,3112.1,287553
2020-01-17,3112.0,3138.0,3098.0,3118.1,272072
2020-01-20,3130.0,3144.65,3083.15,3103.7,365554
2020-01-21,3096.0,3119.0,3085.5,3097.05,215722
2020-01-22,3105.0,3110.0,3070.1,3076.4,269339
2020-01-23,3072.0,3089.95,3051.1,3065.2,256329
2020-01-24,3068.0,3092.95,3064.0,3074.15,209961
2020-01-27,3069.8,3122.95,3044.05,3082.6,308445
2020-01-28,3089.8,3109.6,3048.0,3060.9,239986
2020-01-29,3079.0,3099.0,3060.0,3091.85,243945
2020-01-30,3108.5,3185.0,3041.1,3145.5,2400831
2020-01-31,3150.0,3239.95,3150.0,3180.05,1141144
2020-02-01,3173.6,3215.6,3124.8,3143.3,477309
2020-02-03,3143.0,3315.15,3115.1,3284.5,921166
2020-02-04,3270.0,3313.0,3151.0,3162.8,1546450
2020-02-05,3185.0,3220.9,3150.0,3161.5,646723
2020-02-06,3170.0,3211.0,3141.4,3149.8,514236
2020-02-07,3164.8,3189.0,3106.6,3134.85,454698
2020-02-10,3138.0,3150.85,3091.7,3103.3,386072
2020-02-11,3125.0,3150.0,3100.0,3145.45,274244
2020-02-12,3164.7,3184.65,3136.85,3146.3,345354
2020-02-13,3149.0,3172.2,3120.4,3136.4,268031
2020-02-14,3145.0,3205.0,3136.8,3146.4,381580
2020-02-17,3152.55,3159.45,3070.0,3075.6,269986
2020-02-18,3064.7,3090.55,3033.5,3082.5,337054
2020-02-19,3092.0,3111.95,3072.4,3090.9,220584
2020-02-20,3091.0,3100.05,3057.65,3065.5,256115
2020-02-24,3077.0,3084.65,2970.05,2980.5,499562
2020-02-25,2992.0,3007.0,2931.0,2947.4,527499
2020-02-26,2937.0,2974.0,2920.0,2946.6,445577
2020-02-27,2944.8,2969.95,2913.5,2936.6,416726
2020-02-28,2890.0,2915.0,2850.45,2890.0,925702
2020-03-02,2920.0,2944.5,2772.0,2792.2,1281846
2020-03-03,2700.0,2730.0,2653.0,2692.25,1459848
2020-03-04,2720.0,2764.5,2653.5,2711.5,954038
2020-03-05,2719.95,2749.0,2696.2,2703.65,384427
2020-03-06,2640.0,2758.0,2620.0,2735.05,658891
2020-03-09,2675.0,2690.0,2558.6,2573.35,706898
2020-03-11,2580.0,2630.0,2562.7,2591.55,641982
2020-03-12,2519.95,2535.0,2319.05,2338.9,799317
2020-03-13,2249.0,2432.45,2040.0,2357.1,883265
2020-03-16,2315.0,2389.0,2290.0,2339.55,963321
2020-03-17,2345.2,2372.7,2250.05,2270.45,659035
2020-03-18,2290.0,2309.9,2157.15,2169.0,593993
2020-03-19,2119.75,2377.4,2032.35,2166.6,1010352
2020-03-20,2189.9,2298.9,2153.95,2242.3,718412
2020-03-23,2052.0,2389.0,1900.0,1935.55,797174
2020-03-24,2000.0,2057.9,1788.65,1937.15,1210613
2020-03-25,1917.0,1989.0,1866.6,1946.75,606235
2020-03-26,1998.2,2133.9,1934.0,2106.85,989242
2020-03-27,2149.0,2167.0,2007.15,2053.45,938567
2020-03-30,2016.0,2020.8,1945.05,1986.7,462909
2020-03-31,2037.35,2048.4,1930.3,2022.35,762791
2020-04-01,2000.0,2095.8,1990.0,2051.1,869738
2020-04-03,2051.1,2056.3,1957.55,2033.75,692220
2020-04-07,2065.0,2303.55,2065.0,2280.05,1069884
2020-04-08,2180.0,2383.45,2168.55,2241.7,840875
2020-04-09,2290.0,2524.95,2289.9,2435.95,1788928
2020-04-13,2430.15,2430.15,2321.75,2397.55,654478
2020-04-15,2410.0,2483.6,2320.05,2335.15,986750
2020-04-16,2330.0,2365.0,2264.5,2333.55,944581
2020-04-17,2380.0,2425.05,2347.05,2379.15,690554
2020-04-20,2410.0,2415.0,2351.7,2378.3,427669
2020-04-21,2344.0,2354.45,2295.0,2323.25,702627
2020-04-22,2323.25,2412.1,2296.1,2379.7,712534
2020-04-23,2379.7,2446.95,2368.0,2430.65,1179212
2020-04-24,2410.0,2472.0,2381.0,2445.35,669287
2020-04-27,2470.0,2551.85,2453.25,2505.75,1128657
2020-04-28,2510.85,2546.4,2431.35,2463.7,646908
2020-04-29,2474.0,2520.0,2450.0,2499.15,525271
2020-04-30,2525.1,2654.0,2510.15,2623.3,1118713
2020-05-04,2550.0,2554.95,2415.4,2442.15,574562
2020-05-05,2475.0,2488.9,2400.8,2422.8,663761
2020-05-06,2425.0,2495.0,2361.3,2471.85,778603
2020-05-07,2470.0,2485.75,2400.0,2406.55,422146
2020-05-08,2446.05,2450.0,2401.05,2419.05,455836
2020-05-11,2430.0,2624.95,2428.0,2566.3,1627649
2020-05-12,2531.0,2655.9,2494.25,2628.85,1335103
2020-05-13,2774.0,2774.0,2671.35,2696.0,1257856
2020-05-14,2601.5,2730.0,2601.5,2702.65,893108
2020-05-15,2705.0,2710.0,2650.0,2663.6,645549
2020-05-18,2650.0,2653.35,2461.0,2477.45,1172814
2020-05-19,2518.0,2555.0,2486.9,2509.3,641588
2020-05-20,2496.0,2580.45,2477.45,2557.75,947445
2020-05-21,2634.5,2724.2,2621.25,2640.35,3481431
2020-05-22,2623.0,2634.5,2542.8,2553.75,1328369
2020-05-26,2580.0,2597.95,2533.6,2564.85,686476
2020-05-27,2569.0,2605.0,2540.3,2580.55,563893
2020-05-28,2588.0,2619.5,2450.0,2600.0,1087116
2020-05-29,2603.0,2741.0,2591.25,2710.5,2057709
2020-06-01,2730.0,2790.0,2725.45,2758.3,1008599
2020-06-02,2759.9,2814.25,2726.2,2796.1,1283508
2020-06-03,2825.0,2876.5,2770.1,2783.4,750002
2020-06-04,2778.0,2833.2,2756.0,2817.25,709467
2020-06-05,2842.0,2842.9,2762.0,2776.3,723898
2020-06-08,2800.0,2814.0,2745.0,2801.05,727119
2020-06-09,2805.1,2814.6,2766.0,2791.15,619517
2020-06-10,2790.2,2803.95,2703.35,2717.2,687956
2020-06-11,2717.2,2758.0,2703.4,2718.55,661183
2020-06-12,2610.25,2799.05,2610.25,2782.15,895713
2020-06-15,2774.0,2774.0,2707.95,2728.55,517426
2020-06-16,2764.0,2786.95,2702.85,2718.45,611383
2020-06-17,2718.45,2737.8,2674.2,2689.45,600389
2020-06-18,2689.45,2697.15,2646.15,2678.35,579581
2020-06-19,2690.0,2710.0,2655.0,2674.35,929101
2020-06-22,2690.0,2873.95,2659.55,2855.75,1872879
2020-06-23,2890.0,2910.1,2844.95,2862.15,1089948
2020-06-24,2899.8,2979.9,2805.65,2817.25,1617177
2020-06-25,2789.8,2890.0,2772.7,2820.45,1341923
2020-06-26,2853.7,2900.0,2825.0,2867.6,1227666
2020-06-29,2825.0,2870.0,2815.0,2859.5,680242
2020-06-30,2902.4,2913.45,2815.0,2826.05,751691
2020-07-01,2838.05,2872.0,2828.6,2842.05,525801
2020-07-02,2857.9,2903.45,2837.1,2879.35,754915
2020-07-03,2899.0,2960.0,2887.6,2932.4,1394994
2020-07-06,2942.05,2946.0,2884.0,2897.1,1126391
2020-07-07,2901.0,2974.0,2826.55,2847.15,2168031
2020-07-08,2882.0,2899.0,2811.6,2852.45,1348820
2020-07-09,2878.0,2895.0,2840.2,2882.0,700527
