date,open,high,low,close,volume
2020-01-13,495.8,517.9,492.2,514.0,2760791
2020-01-14,521.1,525.0,498.2,518.55,8854312
2020-01-15,519.5,526.0,491.0,492.3,3792641
2020-01-16,495.5,498.0,473.8,475.85,3387070
2020-01-17,477.0,484.9,475.15,481.0,2620773
2020-01-20,482.0,486.55,478.35,483.7,1033438
2020-01-21,481.0,483.9,476.0,476.75,1253858
2020-01-22,479.8,487.5,473.5,475.5,2611708
2020-01-23,476.8,480.3,474.0,475.1,1265094
2020-01-24,476.5,484.9,470.3,481.85,1325867
2020-01-27,478.4,484.4,473.9,474.6,943592
2020-01-28,475.0,477.0,460.0,462.3,1204858
2020-01-29,465.0,466.0,445.25,451.15,2273052
2020-01-30,451.0,451.1,435.0,437.7,1803225
2020-01-31,446.0,459.75,446.0,450.35,2762309
2020-02-01,448.75,452.75,436.5,440.75,979555
2020-02-03,439.7,442.0,432.85,438.0,1272221
2020-02-04,440.0,442.35,433.0,437.9,2472717
2020-02-05,439.5,439.9,427.5,429.2,2489013
2020-02-06,431.75,436.25,421.0,425.45,3502440
2020-02-07,428.1,447.85,425.45,442.7,5359754
2020-02-10,444.7,461.2,437.15,457.45,4552331
2020-02-11,463.0,468.45,453.0,459.4,2665917
2020-02-12,465.0,481.2,461.0,469.8,4142162
2020-02-13,455.0,456.7,445.1,452.05,2416819
2020-02-14,454.3,463.5,448.6,452.55,1575017
2020-02-17,452.9,456.55,432.6,433.95,1056099
2020-02-18,434.65,437.65,420.2,422.35,2735301
2020-02-19,426.0,427.35,409.0,414.9,3247010
2020-02-20,417.95,434.0,410.1,415.95,5025228
2020-02-24,414.7,424.5,406.25,408.25,2221943
2020-02-25,419.0,425.95,402.0,403.9,3500768
2020-02-26,415.0,423.0,391.3,394.1,7223093
2020-02-27,395.0,406.0,387.3,398.8,12889686
2020-02-28,385.2,388.75,370.0,383.5,12490831
2020-03-02,395.8,406.85,385.0,394.05,6530741
2020-03-03,398.0,410.7,395.2,400.8,4542669
2020-03-04,401.5,409.9,396.6,400.4,4446134
2020-03-05,405.6,424.9,403.1,423.2,4734555
2020-03-06,395.0,408.9,388.15,403.85,6061657
2020-03-09,394.4,402.0,368.1,374.3,5349844
2020-03-11,376.45,389.0,372.0,376.1,3534322
2020-03-12,362.55,362.7,327.25,334.95,6089088
2020-03-13,301.5,362.8,271.0,327.55,9561878
2020-03-16,322.45,322.9,268.4,274.6,8155175
2020-03-17,283.2,292.55,252.2,257.75,6694761
2020-03-18,260.0,265.0,185.7,224.4,26937172
2020-03-19,202.0,212.95,195.05,200.75,14033031
2020-03-20,203.75,239.85,203.75,231.6,19133518
2020-03-23,208.45,220.0,170.0,173.65,11419604
2020-03-24,191.0,191.0,157.05,161.05,11501071
2020-03-25,163.0,165.0,152.2,154.75,16358073
2020-03-26,160.8,224.35,158.0,215.6,20248870
2020-03-27,237.15,269.5,230.05,249.55,24788799
2020-03-30,225.05,248.9,212.15,216.25,18918036
2020-03-31,225.0,229.0,198.5,203.75,12604384
2020-04-01,205.9,207.7,191.0,194.9,9322297
2020-04-03,196.2,197.05,180.0,181.55,9147321
2020-04-07,198.0,199.25,164.3,167.25,45525395
2020-04-08,167.95,209.05,167.5,193.75,30692919
2020-04-09,205.0,205.0,182.25,192.25,19531393
2020-04-13,184.0,195.8,173.5,193.0,22145672
2020-04-15,212.3,212.3,185.0,186.8,24176595
2020-04-16,184.6,204.75,180.0,198.2,22001767
2020-04-17,211.0,226.65,200.9,216.3,23292305
2020-04-20,223.0,229.7,213.0,216.0,21748571
2020-04-21,205.5,207.4,183.6,195.35,15122339
2020-04-22,194.0,200.7,190.0,198.85,13940860
2020-04-23,199.5,208.0,197.8,201.05,11788661
2020-04-24,195.0,202.9,193.0,198.45,9301273
2020-04-27,203.0,210.5,200.45,208.35,10393596
2020-04-28,214.0,224.5,213.1,221.1,12897638
2020-04-29,221.1,237.9,219.65,234.45,20055779
2020-04-30,245.05,266.45,245.05,262.35,28033566
2020-05-04,245.0,245.0,236.15,240.95,15031872
2020-05-05,247.95,253.0,235.5,236.25,12060273
2020-05-06,237.8,253.5,222.15,249.3,15816377
2020-05-07,247.4,263.9,244.45,252.2,13823577
2020-05-08,261.8,262.85,234.55,240.0,12440914
2020-05-11,246.95,250.85,237.5,239.85,9656545
2020-05-12,238.0,238.65,229.0,233.9,13232702
2020-05-13,251.0,257.25,243.35,252.2,20769565
2020-05-14,246.9,255.3,243.0,251.8,9422831
2020-05-15,254.0,255.3,242.15,243.7,10302272
2020-05-18,243.7,244.6,224.35,229.6,13568120
2020-05-19,231.1,235.5,216.3,220.4,16406583
2020-05-20,214.9,223.85,212.25,222.1,10838891
2020-05-21,222.0,222.0,209.95,210.85,10227592
2020-05-22,204.0,209.75,195.4,202.95,26939888
2020-05-26,204.25,208.5,201.0,202.15,7915168
2020-05-27,204.0,220.85,202.0,219.15,15436494
2020-05-28,221.0,230.9,219.3,222.25,13473247
2020-05-29,215.2,220.0,211.15,218.15,14060944
2020-06-01,225.0,230.5,223.5,226.65,10176543
2020-06-02,227.0,243.65,223.0,240.65,15033296
2020-06-03,248.95,261.4,245.0,250.25,18061923
2020-06-04,248.0,253.0,231.8,233.45,14470466
2020-06-05,234.0,251.6,233.55,247.7,14951009
2020-06-08,257.6,268.0,256.0,263.25,15486212
2020-06-09,265.5,278.9,257.1,259.85,25395438
