date,open,high,low,close,volume
2020-01-13,328.55,329.8,327.6,328.65,49028
2020-01-14,328.65,328.7,326.65,327.85,20591
2020-01-15,328.05,328.05,323.9,324.8,89742
2020-01-16,325.4,326.4,323.65,325.15,85986
2020-01-17,326.4,326.4,322.15,322.9,163727
2020-01-20,324.6,324.6,317.7,318.0,171089
2020-01-21,318.0,318.4,315.7,316.4,85599
2020-01-22,315.05,318.85,313.15,313.85,78043
2020-01-23,314.2,317.6,313.5,317.1,147834
2020-01-24,317.45,320.3,315.55,319.55,36330
2020-01-27,319.55,319.55,315.2,315.5,61506
2020-01-28,315.5,317.5,312.7,314.15,390121
2020-01-29,314.55,316.9,314.55,315.55,39598
2020-01-30,315.6,315.6,312.0,312.7,199110
2020-01-31,315.35,317.35,313.5,316.9,2346565
2020-02-01,316.5,316.5,303.1,304.7,472932
2020-02-03,307.0,307.8,302.35,306.95,296664
2020-02-04,308.35,314.2,308.2,312.9,604382
2020-02-05,313.25,317.0,312.15,316.8,63958
2020-02-06,315.5,321.85,315.0,319.85,427816
2020-02-07,319.85,320.8,317.15,318.35,71435
2020-02-10,317.75,318.05,316.1,317.7,65043
2020-02-11,318.55,321.0,318.5,319.45,79858
2020-02-12,320.35,322.0,320.2,321.05,256346
2020-02-13,321.1,321.1,317.7,318.2,52112
2020-02-14,318.5,320.05,313.9,314.75,146724
2020-02-17,316.8,316.8,312.55,313.05,156900
2020-02-18,312.1,313.25,309.45,312.3,138748
2020-02-19,315.0,315.25,312.1,314.0,707865
2020-02-20,316.0,316.6,312.6,315.1,314430
2020-02-24,314.95,315.0,309.55,309.65,583995
2020-02-25,315.0,315.0,309.35,310.55,34370
2020-02-26,310.0,311.4,307.5,309.9,47536
2020-02-27,312.0,312.0,304.8,307.4,905082
2020-02-28,303.0,304.85,295.8,296.7,301214
2020-03-02,297.5,302.3,291.6,294.45,139338
2020-03-03,300.3,304.0,293.25,298.25,609199
2020-03-04,292.3,299.9,287.5,292.7,142861
2020-03-05,293.35,297.4,291.05,294.6,77804
2020-03-06,293.0,293.0,280.0,284.75,894919
2020-03-09,278.05,283.5,265.55,271.6,502996
2020-03-11,273.5,274.2,268.5,270.6,166022
2020-03-12,276.0,281.4,242.1,244.9,672887
2020-03-13,238.0,264.5,225.8,257.75,533578
2020-03-16,256.5,256.5,239.0,239.95,551730
2020-03-17,237.05,245.9,225.0,226.35,279262
2020-03-18,230.9,231.85,206.9,210.1,914405
2020-03-19,209.0,212.5,195.0,203.55,444723
2020-03-20,203.0,211.4,196.8,204.25,1795349
2020-03-23,195.05,196.0,172.2,174.8,1012427
2020-03-24,180.0,184.0,169.55,174.05,355305
2020-03-25,173.9,189.0,172.55,186.85,290843
2020-03-26,189.0,204.75,186.85,197.9,410333
2020-03-27,201.8,215.0,195.0,201.2,572079
2020-03-30,199.3,199.5,190.6,191.6,239075
2020-03-31,196.0,199.0,191.45,194.55,570830
