date,open,high,low,close,volume
2019-11-06,70.3,70.9,68.65,69.95,12651773
2019-11-07,70.25,70.65,68.05,68.75,7872854
2019-11-08,68.0,69.2,66.1,66.45,8076600
2019-11-11,66.1,67.65,66.0,67.15,5110559
2019-11-13,67.2,67.75,65.0,65.5,5485479
2019-11-14,65.55,66.75,63.9,66.25,7293774
2019-11-15,66.6,71.25,66.6,69.35,19836274
2019-11-18,69.65,71.6,68.9,71.3,10705199
2019-11-19,71.5,75.4,70.8,74.1,20170328
2019-11-20,74.95,76.15,72.8,73.6,16356384
2019-11-21,74.45,74.85,72.85,73.15,7478130
2019-11-22,73.25,74.15,72.25,73.05,9925433
2019-11-25,73.15,74.85,72.7,74.6,7777899
2019-11-26,75.1,78.15,73.15,74.55,19932357
2019-11-27,75.25,77.4,74.8,76.85,9202396
2019-11-28,77.15,79.8,76.25,77.4,16993173
2019-11-29,77.0,77.95,75.5,75.9,4333117
2019-12-02,76.5,76.5,74.35,74.9,2888461
2019-12-03,75.0,75.25,70.85,71.4,2992850
2019-12-04,70.75,72.5,70.05,72.2,3921450
2019-12-05,72.4,73.35,70.5,70.95,3390760
2019-12-06,71.3,71.6,67.65,68.4,3078818
2019-12-09,68.05,69.5,67.25,68.3,2964339
2019-12-10,68.75,68.95,66.8,67.05,2186009
2019-12-11,67.15,68.35,65.85,68.05,2611531
2019-12-12,68.45,69.2,68.2,68.8,2218573
2019-12-13,69.15,71.3,69.1,70.9,4419601
2019-12-16,71.5,72.4,70.55,71.05,2650660
2019-12-17,71.4,72.3,70.8,71.25,1839246
2019-12-18,71.2,73.55,69.4,71.35,2478131
2019-12-19,71.7,72.0,70.5,71.45,2082189
2019-12-20,71.5,72.2,69.0,69.9,3206039
2019-12-23,69.9,70.3,68.85,69.6,1972983
2019-12-24,69.75,69.9,68.85,69.15,1315830
2019-12-26,69.4,71.8,68.6,70.95,2397295
2019-12-27,71.45,72.75,71.1,71.8,2886692
