date,open,high,low,close,volume
2020-01-14,2.83,2.83,2.62,2.66,543164
2020-01-15,2.59,2.64,2.54,2.57,507474
2020-01-16,2.62,2.64,2.45,2.59,326887
2020-01-17,2.71,2.71,2.69,2.71,705910
2020-01-20,2.83,2.83,2.71,2.83,589345
2020-01-21,2.83,2.83,2.71,2.71,376779
2020-01-22,2.71,2.78,2.59,2.69,290141
2020-01-23,2.57,2.71,2.57,2.62,532437
2020-01-24,2.64,2.64,2.5,2.5,576487
2020-01-27,2.38,2.54,2.38,2.38,836604
2020-01-28,2.42,2.42,2.28,2.28,680987
2020-01-29,2.18,2.38,2.18,2.38,943345
2020-01-30,2.47,2.47,2.47,2.47,109347
2020-01-31,2.59,2.59,2.59,2.59,146018
2020-02-01,2.71,2.71,2.47,2.59,1194445
2020-02-03,2.59,2.59,2.47,2.47,544095
2020-02-04,2.47,2.57,2.35,2.38,837772
2020-02-05,2.42,2.45,2.28,2.3,1174639
2020-02-06,2.33,2.4,2.21,2.4,682579
2020-02-07,2.52,2.52,2.4,2.42,1582922
2020-02-10,2.4,2.54,2.38,2.42,1422112
2020-02-11,2.5,2.54,2.3,2.42,897647
2020-02-12,2.45,2.5,2.3,2.3,561618
2020-02-13,2.33,2.38,2.21,2.21,630912
2020-02-14,2.21,2.3,2.11,2.14,1111154
2020-02-17,2.23,2.23,2.23,2.23,385920
2020-02-18,2.33,2.33,2.3,2.33,921949
2020-02-19,2.42,2.42,2.42,2.42,275370
2020-02-20,2.45,2.54,2.4,2.45,1188352
2020-02-24,2.57,2.57,2.4,2.52,1764535
2020-02-25,2.57,2.57,2.4,2.4,841818
2020-02-26,2.33,2.4,2.28,2.33,468756
2020-02-27,2.33,2.42,2.23,2.28,750879
2020-02-28,2.26,2.28,2.18,2.18,679627
2020-03-02,2.21,2.28,2.18,2.26,1024385
2020-03-03,2.26,2.28,2.16,2.18,1231702
2020-03-04,2.21,2.28,2.09,2.14,1429045
2020-03-05,2.11,2.16,2.04,2.04,1443343
2020-03-06,2.11,2.11,1.94,1.94,490904
2020-03-09,1.92,1.92,1.85,1.85,864506
2020-03-11,1.82,1.92,1.8,1.92,776079
2020-03-12,2.02,2.02,1.92,2.02,2305951
2020-03-13,2.02,2.11,1.92,2.09,1295208
2020-03-16,2.11,2.11,1.99,1.99,406202
2020-03-17,1.92,1.97,1.9,1.9,926370
2020-03-18,1.87,1.9,1.82,1.82,883120
2020-03-19,1.75,1.75,1.75,1.75,100264
2020-03-20,1.75,1.75,1.68,1.68,410441
2020-03-23,1.61,1.61,1.61,1.61,39831
2020-03-24,1.54,1.63,1.54,1.54,875516
2020-03-25,1.46,1.51,1.46,1.46,282408
2020-03-26,1.46,1.54,1.39,1.54,1654258
2020-03-27,1.58,1.61,1.54,1.61,897760
2020-03-30,1.68,1.68,1.54,1.54,1007599
2020-03-31,1.54,1.61,1.49,1.49,981420
2020-04-01,1.44,1.56,1.42,1.54,490241
2020-04-03,1.56,1.61,1.51,1.61,612389
2020-04-07,1.68,1.68,1.58,1.68,605054
2020-04-08,1.73,1.75,1.7,1.75,636912
2020-04-09,1.92,1.92,1.92,1.92,242854
2020-04-13,2.11,2.11,1.92,2.04,1641235
2020-04-15,2.21,2.21,1.94,2.02,1253420
2020-04-16,2.06,2.09,1.94,2.04,572910
2020-04-17,2.09,2.16,1.94,2.02,793429
2020-04-20,2.16,2.16,1.97,2.02,1928124
2020-04-21,2.04,2.04,1.87,1.9,963502
2020-04-22,1.9,1.97,1.85,1.94,740199
2020-04-23,2.04,2.14,1.97,2.14,1803120
2020-04-24,2.33,2.33,1.99,2.23,4281464
2020-04-27,2.4,2.45,2.23,2.45,3502366
2020-04-28,2.59,2.69,2.57,2.69,2786629
2020-04-29,2.81,2.81,2.57,2.57,4107412
2020-04-30,2.45,2.45,2.45,2.45,315956
2020-05-04,2.33,2.52,2.33,2.33,2521966
