date,open,high,low,close,volume
2019-11-06,320.5,328.8,315.5,318.05,34556
2019-11-07,315.25,333.0,315.25,325.65,70185
2019-11-08,325.0,334.9,323.0,327.95,64135
2019-11-11,323.1,336.2,323.1,333.95,54067
2019-11-13,346.0,364.8,344.65,351.3,725584
2019-11-14,353.55,356.8,337.3,339.05,91590
2019-11-15,341.7,343.95,332.3,333.55,35220
2019-11-18,332.05,336.0,321.0,324.25,56401
2019-11-19,324.25,333.95,324.25,328.95,43674
2019-11-20,336.65,354.45,330.0,342.75,286593
2019-11-21,344.35,361.8,340.2,349.65,255677
2019-11-22,351.6,359.8,345.3,349.45,102795
2019-11-25,346.0,355.15,344.15,345.4,57057
2019-11-26,347.4,353.0,338.0,344.6,86496
2019-11-27,342.0,351.9,339.05,340.9,45326
2019-11-28,340.9,345.0,334.9,337.75,36147
2019-11-29,349.95,349.95,329.0,333.35,98894
2019-12-02,330.0,342.1,330.0,332.15,47679
2019-12-03,334.9,337.9,322.85,325.0,46767
2019-12-04,322.5,323.65,316.0,318.95,50552
2019-12-05,320.4,322.4,307.0,307.75,62846
2019-12-06,308.8,310.85,297.3,301.0,69101
2019-12-09,299.45,303.0,295.25,296.15,41692
2019-12-10,296.8,296.8,285.35,287.2,48640
2019-12-11,287.9,294.5,284.0,284.9,41155
2019-12-12,287.6,290.7,283.05,288.55,75110
2019-12-13,292.8,299.85,287.85,290.65,88702
2019-12-16,292.0,293.4,285.15,285.85,36236
2019-12-17,288.45,289.8,283.4,284.45,41508
2019-12-18,285.0,292.4,283.5,286.3,80681
2019-12-19,287.0,287.95,283.05,283.75,29800
2019-12-20,286.2,286.2,282.3,283.0,36757
2019-12-23,282.8,291.15,282.75,285.1,56104
2019-12-24,285.1,289.85,282.1,283.5,24368
2019-12-26,286.35,306.4,284.0,302.45,330200
2019-12-27,307.2,314.85,299.05,301.45,124154
2019-12-30,303.65,304.55,296.2,298.8,37026
2019-12-31,298.2,298.25,292.8,294.45,35494
2020-01-01,295.0,302.0,291.85,297.85,31747
2020-01-02,297.0,310.5,297.0,306.25,80141
2020-01-03,307.5,309.9,300.0,303.9,54749
2020-01-06,304.45,308.7,293.0,294.0,46508
2020-01-07,296.2,301.35,290.0,297.25,33414
2020-01-08,296.0,299.2,291.2,292.55,38597
2020-01-09,297.35,303.9,293.1,298.85,36610
2020-01-10,301.8,306.0,296.0,297.85,35398
2020-01-13,298.0,308.0,298.0,303.55,69177
2020-01-14,305.0,319.0,303.6,315.05,145620
2020-01-15,320.9,332.0,316.9,319.1,329694
2020-01-16,325.0,326.0,318.2,320.8,64344
2020-01-17,320.8,320.8,312.0,312.75,47454
2020-01-20,313.4,315.95,305.05,306.2,31261
2020-01-21,303.0,311.0,301.0,305.6,104860
2020-01-22,311.0,322.95,306.7,307.75,877632
2020-01-23,308.2,309.65,302.0,303.2,75331
2020-01-24,304.1,307.15,302.0,303.45,55789
2020-01-27,298.5,302.9,297.5,298.55,42825
2020-01-28,299.85,301.65,295.0,295.5,32229
2020-01-29,297.95,310.95,296.0,303.2,106612
2020-01-30,302.0,306.5,294.6,298.45,60075
2020-01-31,298.45,301.5,288.25,290.25,58563
2020-02-01,286.2,300.05,279.7,283.0,66779
2020-02-03,283.1,284.9,275.0,276.15,56049
2020-02-04,278.9,283.9,278.0,279.1,34403
2020-02-05,291.0,291.0,282.0,285.95,86851
2020-02-06,287.8,308.7,286.0,301.95,389597
2020-02-07,303.0,303.9,295.1,296.45,56151
2020-02-10,295.0,298.65,290.6,294.7,42952
2020-02-11,294.0,297.0,288.5,289.2,38931
2020-02-12,291.85,294.95,287.0,289.0,29661
2020-02-13,275.0,277.0,269.0,274.6,123385
2020-02-14,279.0,281.5,273.25,274.0,35930
2020-02-17,278.0,278.35,266.05,267.25,55136
2020-02-18,271.4,271.5,260.1,268.55,83581
2020-02-19,271.55,305.8,271.55,292.75,544448
2020-02-20,294.0,301.85,286.0,294.2,179513
2020-02-24,281.2,304.5,281.2,289.0,191736
2020-02-25,291.9,298.7,282.4,283.85,123342
2020-02-26,284.65,287.35,278.0,280.15,43911
2020-02-27,279.3,323.9,269.1,312.8,951689
2020-02-28,287.1,293.35,272.25,274.15,260609
2020-03-02,280.4,286.0,260.05,264.5,127700
2020-03-03,267.1,274.25,261.0,267.05,178440
2020-03-04,269.0,269.4,256.3,260.65,88044
2020-03-05,261.1,274.0,259.5,262.95,101900
2020-03-06,250.8,256.4,244.95,249.9,92945
2020-03-09,245.8,246.0,228.0,235.8,140015
2020-03-11,231.55,241.7,230.0,231.55,50223
2020-03-12,224.65,224.65,201.35,205.2,106597
2020-03-13,180.75,210.35,174.0,204.75,112891
2020-03-16,202.0,205.85,194.1,195.15,62067
2020-03-17,194.05,199.4,190.0,192.1,57195
2020-03-18,193.1,197.0,176.8,185.15,76005
2020-03-19,180.7,180.7,167.0,173.5,79338
2020-03-20,173.6,185.4,172.05,181.55,61596
2020-03-23,165.0,174.7,145.3,161.05,68269
2020-03-24,164.0,169.0,149.9,158.1,39684
2020-03-25,159.95,162.75,152.55,160.05,29486
2020-03-26,161.95,173.4,159.1,167.7,38633
2020-03-27,180.0,201.2,179.0,184.95,188517
2020-03-30,173.0,190.0,173.0,181.7,51518
2020-03-31,187.0,191.8,175.4,185.15,37381
2020-04-01,185.15,189.45,182.1,184.35,23387
2020-04-03,186.0,186.2,180.15,183.95,12821
2020-04-07,197.0,198.4,186.1,191.4,48037
2020-04-08,191.0,229.0,188.2,218.2,448405
2020-04-09,223.5,225.0,215.0,216.15,57712
2020-04-13,235.0,248.4,230.1,233.0,258893
2020-04-15,241.0,241.0,221.1,222.95,64880
2020-04-16,223.0,245.0,219.45,231.7,137649
2020-04-17,238.0,239.85,228.4,232.15,66706
2020-04-20,230.55,237.25,226.1,228.45,40792
2020-04-21,226.95,226.95,218.05,220.55,31713
2020-04-22,220.5,220.5,215.0,216.5,23494
2020-04-23,215.7,227.55,215.7,219.8,38103
2020-04-24,220.0,224.5,214.6,216.8,27113
2020-04-27,220.0,223.8,215.0,216.0,18230
2020-04-28,217.9,220.0,214.0,214.55,20070
2020-04-29,214.55,217.0,209.5,214.8,26709
2020-04-30,216.35,224.4,215.0,216.3,51893
2020-05-04,215.0,215.35,207.1,209.65,40692
2020-05-05,210.05,235.7,210.05,213.95,692778
2020-05-06,216.0,229.45,214.0,221.85,525555
2020-05-07,222.25,238.0,222.25,229.1,377357
2020-05-08,230.25,231.4,216.5,218.4,77579
2020-05-11,219.0,232.7,213.65,228.75,413183
2020-05-12,223.0,225.9,216.0,218.8,90860
2020-05-13,226.0,245.0,220.0,240.0,941962
2020-05-14,234.8,243.8,232.0,235.5,185303
2020-05-15,237.0,242.8,232.2,239.4,320373
2020-05-18,250.0,252.0,232.0,234.65,453318
2020-05-19,235.1,239.4,222.25,226.05,101992
2020-05-20,225.4,233.8,225.0,228.5,64262
2020-05-21,230.0,235.0,228.5,229.95,49908
2020-05-22,229.7,229.7,223.6,225.15,32510
2020-05-26,226.85,228.9,222.1,223.25,27481
2020-05-27,224.8,225.5,219.95,221.95,58510
2020-05-28,223.9,244.5,222.9,238.65,457228
2020-05-29,238.65,239.0,232.7,235.0,74340
2020-06-01,238.35,242.9,237.05,238.25,79194
2020-06-02,239.0,241.0,234.0,235.25,51354
2020-06-03,237.4,257.0,236.1,246.5,571313
2020-06-04,246.5,249.5,235.05,239.4,99728
2020-06-05,239.4,248.9,236.75,243.1,113486
2020-06-08,244.95,259.0,244.1,246.25,327340
2020-06-09,243.7,246.45,238.1,241.55,68984
2020-06-10,241.95,249.8,240.1,242.85,58233
2020-06-11,240.0,244.9,236.2,237.3,43311
2020-06-12,224.0,238.9,224.0,235.65,78109
2020-06-15,232.0,242.7,231.65,236.0,59436
2020-06-16,238.95,270.0,234.3,262.9,602971
2020-06-17,269.0,274.75,263.0,267.95,817741
2020-06-18,265.45,277.5,260.0,271.0,348492
2020-06-19,272.5,274.0,265.0,266.75,86039
2020-06-22,268.3,276.0,265.0,268.05,136942
2020-06-23,270.8,275.0,268.15,270.8,73767
2020-06-24,272.4,272.4,260.2,261.25,81062
2020-06-25,261.5,311.9,257.0,297.55,1023160
2020-06-26,298.45,301.8,280.5,290.85,416098
2020-06-29,296.0,311.9,293.5,302.35,1013215
2020-06-30,349.0,357.0,325.5,333.25,5993825
2020-07-01,329.0,330.8,311.0,318.3,979394
2020-07-02,318.95,338.9,317.5,334.65,868857
2020-07-03,350.0,381.0,343.1,374.3,8764894
2020-07-06,384.2,446.45,374.3,428.85,12559724
2020-07-07,428.7,455.0,414.6,419.95,9062186
2020-07-08,418.0,433.7,392.0,397.8,3086963
2020-07-09,396.0,405.0,378.5,383.45,2361688
2020-07-10,383.0,414.85,378.1,405.85,5357098
2020-07-13,408.8,415.0,395.5,398.35,1426942
2020-07-14,405.0,409.7,387.1,388.6,1354537
2020-07-15,391.0,393.85,372.15,375.8,765446
2020-07-16,374.9,377.0,354.5,359.45,810686
2020-07-17,362.75,395.35,362.1,391.5,2398454
2020-07-20,398.0,403.5,384.0,388.25,1406540
2020-07-21,390.0,395.0,385.0,386.55,598018
2020-07-22,387.95,396.8,372.5,377.5,769367
2020-07-23,377.9,399.0,377.5,393.95,1792022
2020-07-24,389.8,391.9,377.1,379.55,643891
2020-07-27,381.6,382.7,370.0,371.95,328156
2020-07-28,376.45,390.6,375.15,387.5,706897
2020-07-29,393.85,404.9,391.2,401.5,1472052
2020-07-30,402.0,402.7,381.8,383.65,505672
2020-07-31,386.0,391.05,376.8,384.85,409979
2020-08-03,384.8,396.95,380.6,394.05,481275
2020-08-04,405.0,424.0,404.9,421.2,2913479
2020-08-05,424.4,428.8,411.15,416.95,1211931
2020-08-06,417.7,422.3,411.85,419.35,599676
2020-08-07,421.0,429.4,417.0,419.45,896272
2020-08-10,457.0,465.0,432.7,437.45,3255828
2020-08-11,439.4,443.8,423.5,425.15,772756
2020-08-12,425.8,437.05,415.25,428.65,1257599
2020-08-13,426.5,464.8,426.5,459.65,4234324
2020-08-14,465.0,481.7,443.0,455.15,3893945
2020-08-17,458.65,459.45,440.0,444.35,901337
2020-08-18,445.9,451.5,441.0,444.5,702389
2020-08-19,447.95,453.8,444.0,445.95,571747
2020-08-20,442.0,442.0,433.1,434.75,429752
2020-08-21,435.5,449.4,435.5,437.35,802042
2020-08-24,441.3,444.4,436.0,436.75,305255
2020-08-25,440.0,441.3,424.5,427.15,366046
2020-08-26,428.95,438.8,423.95,429.55,656061
2020-08-27,427.85,429.0,410.0,412.9,882246
2020-08-28,425.0,436.75,421.7,424.85,1647827
2020-08-31,427.0,429.95,385.0,396.0,877238
2020-09-01,379.9,388.95,371.05,383.95,699143
2020-09-02,385.5,394.9,385.0,392.1,330467
2020-09-03,396.0,408.5,395.35,401.25,448158
2020-09-04,394.25,399.3,387.0,390.45,312609
2020-09-07,391.75,395.0,381.5,384.45,289095
2020-09-08,338.8,341.7,330.15,331.0,4880273
2020-09-09,319.85,323.9,313.0,313.85,2989420
2020-09-10,314.9,326.35,314.6,315.9,2394081
2020-09-11,319.5,322.3,310.55,315.3,792511
2020-09-14,320.05,323.0,311.55,314.85,1073305
2020-09-15,317.45,319.0,310.0,311.3,767940
2020-09-16,312.5,317.2,307.6,315.65,662183
2020-09-17,314.0,315.75,311.3,314.1,325731
2020-09-18,314.55,319.95,313.15,318.5,558204
2020-09-21,319.4,321.85,300.0,302.35,585008
2020-09-22,300.3,301.3,280.4,287.95,755045
2020-09-23,290.2,298.55,287.35,294.4,474060
2020-09-24,292.7,304.65,283.05,292.45,1013307
2020-09-25,297.45,302.25,293.0,298.3,419950
2020-09-28,301.75,304.45,297.2,298.25,311931
2020-09-29,302.2,311.35,299.0,303.3,798133
2020-09-30,302.8,317.0,296.35,314.75,714682
2020-10-01,316.0,325.95,315.05,323.8,847625
2020-10-05,325.0,333.0,317.5,330.4,528379
2020-10-06,332.5,333.4,327.0,329.95,377675
2020-10-07,328.0,328.8,317.0,318.2,335468
2020-10-08,319.2,321.3,311.0,312.4,272323
2020-10-09,312.7,315.3,302.0,304.4,241477
2020-10-12,304.6,307.5,298.0,301.3,190425
2020-10-13,300.0,304.25,294.25,301.55,365908
2020-10-14,305.0,305.45,295.0,296.75,407449
2020-10-15,296.95,299.4,289.0,290.35,244500
2020-10-16,290.35,296.2,288.45,295.2,144811
2020-10-19,297.0,301.5,294.0,299.35,130673
2020-10-20,299.75,299.75,293.5,294.5,98743
2020-10-21,296.0,296.0,291.0,292.9,146004
2020-10-22,294.0,299.9,290.65,298.3,303430
2020-10-23,299.9,306.9,297.85,303.45,423281
2020-10-26,305.8,305.8,300.95,304.25,128083
2020-10-27,304.0,304.05,296.35,300.6,115331
2020-10-28,300.95,301.55,293.05,294.95,84197
2020-10-29,293.15,293.95,288.25,291.95,86662
2020-10-30,292.3,293.4,288.0,289.4,120201
2020-11-02,293.0,293.0,286.0,286.95,82948
2020-11-03,290.8,292.0,286.0,286.75,169561
2020-11-04,287.05,291.5,286.0,286.75,64231
2020-11-05,288.05,301.75,285.5,296.65,562055
2020-11-06,296.65,303.45,296.65,301.85,201421
2020-11-09,308.8,308.8,304.25,305.85,209333
2020-11-10,307.0,307.9,297.0,299.6,172960
2020-11-11,301.4,304.0,299.6,300.4,94691
2020-11-12,305.0,319.0,300.5,315.2,940175
2020-11-13,314.0,314.0,305.0,306.45,230034
2020-11-17,307.3,314.05,304.8,306.9,155515
2020-11-18,305.0,311.2,304.3,305.85,118024
2020-11-19,304.0,315.0,304.0,306.75,382089
2020-11-20,310.9,314.0,306.6,307.55,119624
2020-11-23,315.0,315.0,307.2,308.55,198035
2020-11-24,308.5,314.15,308.5,311.85,297213
2020-11-25,312.8,327.5,306.75,322.1,1341137
2020-11-26,326.0,329.9,320.45,324.45,607660
2020-11-27,326.45,331.65,320.6,327.7,601197
2020-12-01,329.2,329.45,323.0,325.4,209495
2020-12-02,326.0,328.8,320.2,322.1,158120
2020-12-03,320.2,332.0,320.2,324.4,376573
2020-12-04,325.65,328.5,321.05,322.6,146930
2020-12-07,328.85,345.4,328.25,342.45,1578649
2020-12-08,344.5,349.0,338.0,341.25,545132
2020-12-09,354.0,356.0,342.8,344.4,1138447
2020-12-10,344.45,346.3,334.3,340.55,204952
2020-12-11,348.85,348.85,338.5,339.8,198789
2020-12-14,339.95,342.7,335.3,338.45,159885
2020-12-15,341.5,343.6,338.0,339.9,165222
2020-12-16,341.5,342.05,338.3,341.0,215488
2020-12-17,342.4,342.4,336.2,337.35,112014
2020-12-18,347.5,347.5,340.0,341.9,396622
2020-12-21,341.8,341.8,311.0,316.7,249491
2020-12-22,316.6,318.55,297.1,315.5,294609
2020-12-23,317.25,325.1,315.55,322.25,133243
2020-12-24,324.45,332.0,324.45,329.05,192499
2020-12-28,330.1,332.95,328.0,329.35,84640
2020-12-29,331.2,337.8,326.5,329.4,244211
2020-12-30,329.9,337.0,326.0,330.25,183241
2020-12-31,345.0,346.5,334.0,340.35,979736
2021-01-01,344.5,348.95,341.55,348.1,766722
2021-01-04,352.9,352.9,348.05,350.0,507561
2021-01-05,340.0,355.6,337.15,345.75,624083
