date,open,high,low,close,volume
2020-01-14,32.95,33.4,32.65,33.28,21417703
2020-01-15,33.4,34.88,33.17,34.62,39241376
2020-01-16,35.33,35.75,34.78,35.25,54250449
2020-01-17,35.2,36.32,34.9,36.2,33279853
2020-01-20,36.33,36.33,34.55,35.0,28115968
2020-01-21,34.67,35.33,34.62,35.02,17126626
2020-01-22,35.02,35.02,33.33,33.65,46807382
2020-01-23,33.7,34.85,33.38,33.72,64975341
2020-01-24,33.78,34.55,33.77,33.95,20621761
2020-01-27,33.9,34.5,33.67,33.88,24177364
2020-01-28,33.87,34.02,33.13,33.4,32134051
2020-01-29,33.63,33.72,33.23,33.52,28345555
2020-01-30,33.75,34.48,33.43,33.58,33639179
2020-01-31,32.08,33.0,29.97,30.22,169748005
2020-02-01,29.77,30.57,27.78,28.32,79915417
2020-02-03,28.33,29.15,26.92,27.83,76345222
2020-02-04,28.18,29.03,28.15,28.28,44426846
2020-02-05,28.33,29.38,28.18,28.97,45829712
2020-02-06,29.28,29.33,28.55,29.0,31688881
2020-02-07,29.03,29.33,28.73,29.18,30367870
2020-02-10,29.28,29.28,28.62,28.83,37802357
2020-02-11,28.63,29.07,28.43,28.57,40352261
2020-02-12,28.47,28.55,27.83,28.0,23629243
2020-02-13,28.0,28.5,27.72,28.4,25245034
2020-02-14,28.42,28.58,27.55,27.68,28646770
2020-02-17,27.7,27.85,26.83,27.0,36810131
2020-02-18,26.92,27.97,26.52,27.6,45656495
2020-02-19,27.75,28.3,27.32,28.23,29176000
2020-02-20,28.22,29.03,27.95,28.85,38155337
2020-02-24,28.57,28.57,27.08,27.32,25592290
2020-02-25,27.4,27.93,27.4,27.5,17040832
2020-02-26,27.37,27.57,26.43,26.77,19537645
2020-02-27,26.83,26.92,25.72,25.82,42868820
2020-02-28,25.52,25.52,24.28,24.65,52332153
2020-03-02,25.33,25.63,24.0,24.32,27625069
2020-03-03,24.47,25.05,24.08,24.83,57863334
2020-03-04,24.9,25.07,23.52,24.95,61044006
2020-03-05,25.5,25.5,24.22,24.37,46784885
2020-03-06,23.63,24.05,23.05,23.83,29644699
2020-03-09,23.3,23.5,22.55,23.23,51248199
2020-03-11,23.17,23.38,22.53,22.95,36373145
2020-03-12,22.05,22.25,20.8,21.88,71924848
2020-03-13,20.0,23.52,20.0,23.3,65882409
2020-03-16,22.83,23.32,21.67,21.97,41016308
2020-03-17,22.0,23.8,21.95,23.23,37735799
2020-03-18,23.3,26.72,22.38,24.93,98469941
2020-03-19,23.02,24.17,20.97,21.52,60527511
2020-03-20,21.67,24.0,21.5,23.77,55460712
2020-03-23,21.68,22.55,19.05,19.82,24523072
2020-03-24,20.67,21.17,18.67,19.48,27423106
2020-03-25,19.27,21.12,18.87,20.9,18227227
2020-03-26,21.08,22.82,20.37,22.45,37021736
2020-03-27,24.67,25.58,22.92,24.38,47228870
2020-03-30,24.22,25.3,23.57,24.2,46532129
2020-03-31,24.98,25.27,24.2,24.82,21484552
2020-04-01,24.6,25.42,22.47,23.02,28985326
2020-04-03,23.92,23.97,22.83,23.32,27959032
2020-04-07,24.27,24.33,22.83,23.0,37885697
2020-04-08,23.0,23.77,21.7,22.13,50099657
2020-04-09,22.47,23.82,22.35,23.38,29167723
2020-04-13,24.33,24.5,23.37,23.5,29985415
2020-04-15,24.0,24.42,22.97,23.2,34458932
2020-04-16,23.5,24.07,23.4,23.67,70596538
2020-04-17,24.17,24.37,23.55,23.77,59156427
2020-04-20,24.1,25.77,23.82,25.12,104548953
2020-04-21,24.98,25.68,24.1,25.3,62020032
2020-04-22,25.32,25.9,24.97,25.53,31721569
2020-04-23,25.57,26.37,25.23,25.33,39150188
2020-04-24,25.03,25.9,24.45,24.85,72878557
2020-04-27,25.07,25.28,24.38,24.55,21746113
2020-04-28,24.75,24.83,24.23,24.42,14137224
2020-04-29,24.65,24.7,24.05,24.38,29329681
2020-04-30,24.7,24.82,23.78,24.03,51330270
2020-05-04,23.52,23.57,22.33,22.48,36061685
2020-05-05,22.87,22.87,21.72,21.8,25049128
2020-05-06,21.77,21.95,20.92,21.22,31888789
2020-05-07,21.13,21.45,20.85,20.88,26105647
2020-05-08,21.17,21.25,19.83,19.9,39652934
2020-05-11,20.17,20.67,19.78,20.05,43531997
2020-05-12,19.9,20.4,19.25,20.18,40166456
2020-05-13,21.47,22.2,20.75,21.9,84071870
2020-05-14,21.48,21.83,21.08,21.22,33958202
2020-05-15,21.02,22.93,20.75,22.58,100684413
2020-05-18,23.67,23.93,21.33,21.5,128709187
2020-05-19,21.85,22.22,20.55,20.77,63289044
2020-05-20,20.87,21.4,20.57,21.07,50209940
2020-05-21,21.47,21.8,20.8,21.0,61143504
2020-05-22,20.83,21.18,20.5,21.02,34434320
2020-05-26,21.18,21.77,21.12,21.67,32416549
2020-05-27,21.68,22.37,21.4,22.22,48061703
2020-05-28,22.32,23.47,22.07,23.22,70316905
2020-05-29,23.0,23.48,22.67,23.07,40149740
2020-06-01,23.33,23.67,23.07,23.13,47417279
2020-06-02,23.2,23.47,22.88,23.22,21861922
2020-06-03,23.43,24.73,23.17,24.53,72960754
2020-06-04,24.53,24.93,23.9,24.27,30661546
2020-06-05,24.47,24.78,24.28,24.65,28620475
2020-06-08,25.07,25.8,24.72,24.88,45796304
2020-06-09,25.12,25.38,24.18,24.35,35357372
2020-06-10,24.55,24.85,23.92,24.48,28261918
2020-06-11,24.62,24.9,23.43,23.55,31889020
2020-06-12,22.47,24.08,22.47,23.97,42305804
2020-06-15,23.98,24.18,23.15,23.65,27797926
2020-06-16,24.28,24.3,23.07,23.55,31937173
2020-06-17,23.72,24.27,23.55,23.88,35644019
2020-06-18,23.98,25.75,23.88,25.62,100178519
2020-06-19,25.82,27.17,25.48,26.68,85909778
2020-06-22,27.3,27.63,26.73,27.1,68068435
2020-06-23,27.28,27.92,26.83,27.77,66446154
2020-06-24,28.03,28.53,27.35,27.5,69845329
2020-06-25,27.32,28.32,27.0,27.9,60787263
2020-06-26,28.32,28.82,27.93,28.43,46126904
2020-06-29,28.32,29.57,28.1,29.18,69976042
2020-06-30,31.03,31.4,29.33,29.55,186680687
2020-07-01,29.55,29.77,29.18,29.57,35384975
2020-07-02,29.98,30.17,29.5,29.68,27362218
2020-07-03,30.33,32.65,30.17,32.4,205338747
2020-07-06,32.73,34.52,32.33,34.07,132086185
2020-07-07,33.9,34.47,33.23,34.02,93082709
2020-07-08,33.67,35.13,33.52,34.52,68150698
2020-07-09,34.2,34.32,33.17,33.28,54331383
2020-07-10,33.28,33.83,32.78,33.23,36404936
2020-07-13,33.57,33.78,32.57,32.83,32373283
2020-07-14,33.1,33.38,31.85,32.37,57522024
2020-07-15,33.17,33.2,31.8,32.03,37965797
2020-07-16,32.17,32.25,31.38,31.48,36942917
2020-07-17,31.47,32.82,31.35,32.67,30475228
2020-07-20,32.67,33.3,32.1,32.25,34048934
2020-07-21,32.53,33.6,32.2,33.08,42524069
2020-07-22,33.3,33.32,32.17,32.63,26702344
2020-07-23,32.67,34.5,32.52,34.17,63985929
2020-07-24,34.32,34.88,33.73,34.05,68262028
2020-07-27,34.25,34.25,32.75,33.13,34956044
2020-07-28,32.4,33.07,31.78,32.18,64749753
2020-07-29,32.18,33.4,32.17,32.43,52237467
2020-07-30,32.6,32.78,31.65,31.88,36716210
2020-07-31,31.93,32.25,31.25,31.95,44032877
2020-08-03,32.0,33.07,31.68,32.27,31151002
2020-08-04,32.65,33.67,32.3,33.47,51832335
2020-08-05,33.65,34.08,32.95,33.47,34169150
2020-08-06,33.47,33.78,32.87,33.02,20006413
2020-08-07,33.1,33.58,32.78,33.07,23311573
2020-08-10,35.15,37.97,34.8,36.1,197465579
2020-08-11,36.47,36.78,35.08,35.28,64312842
2020-08-12,35.32,37.07,35.12,36.88,86740736
2020-08-13,37.0,38.47,36.55,38.15,89867825
