date,open,high,low,close,volume
2020-01-14,425.71,445.0,424.33,441.42,2358489
2020-01-15,441.67,454.96,441.67,453.21,3572674
2020-01-16,458.33,458.33,449.5,456.21,1320104
2020-01-17,456.67,471.67,455.04,469.37,2598049
2020-01-20,469.33,474.04,466.33,472.62,1614619
2020-01-21,470.5,470.83,455.83,457.87,2740874
2020-01-22,458.42,459.67,447.92,449.87,1961421
2020-01-23,450.46,462.92,448.75,460.46,965480
2020-01-24,461.92,472.92,461.92,466.46,2127856
2020-01-27,468.33,474.58,464.46,467.21,1125820
2020-01-28,469.54,473.08,463.37,467.29,959488
2020-01-29,468.21,479.04,467.29,477.46,1352409
2020-01-30,480.0,483.25,469.71,474.96,2135574
2020-01-31,473.33,478.75,464.58,466.79,1452553
2020-02-01,466.79,473.75,452.67,457.08,651805
2020-02-03,457.08,477.92,457.08,475.25,2163325
2020-02-04,480.08,494.96,470.96,490.42,2358718
2020-02-05,494.08,497.5,485.12,490.54,3480298
2020-02-06,489.96,489.96,474.17,478.83,2140288
2020-02-07,480.83,484.87,472.62,475.71,1353930
2020-02-10,478.08,486.42,470.08,485.17,1311846
2020-02-11,488.33,491.67,483.33,485.67,1354748
2020-02-12,485.5,493.42,481.25,485.21,1599414
2020-02-13,484.83,487.08,480.0,484.75,935252
2020-02-14,481.67,489.79,480.54,483.0,821558
2020-02-17,482.08,489.71,480.83,483.46,984625
2020-02-18,482.12,483.71,475.17,482.92,1122661
2020-02-19,486.5,486.58,476.67,482.62,1105149
2020-02-20,482.0,485.25,475.92,477.17,913168
2020-02-24,475.0,479.67,470.46,473.58,1221262
2020-02-25,472.54,480.87,472.5,474.25,871347
2020-02-26,475.0,477.79,470.87,472.5,950600
2020-02-27,472.5,483.33,471.0,481.08,1633497
2020-02-28,474.17,489.92,458.79,472.12,3346203
2020-03-02,479.17,480.83,458.83,464.12,1543694
2020-03-03,464.08,469.17,449.29,451.37,1875846
2020-03-04,452.92,460.17,442.67,450.67,2376073
2020-03-05,455.83,458.33,447.92,449.83,1736091
2020-03-06,435.0,447.67,435.0,446.04,1258773
2020-03-09,448.33,458.0,429.5,439.29,2495586
2020-03-11,439.29,441.42,415.21,418.67,3032240
2020-03-12,401.87,410.17,383.33,393.71,2372235
2020-03-13,367.5,409.71,333.33,381.83,2456250
2020-03-16,381.83,381.83,355.29,357.71,1686970
2020-03-17,357.08,387.96,351.92,373.58,2522269
2020-03-18,379.17,384.96,357.96,363.33,2212153
2020-03-19,337.5,370.0,324.46,336.71,3292056
2020-03-20,344.92,380.0,333.33,375.54,2669024
2020-03-23,338.33,375.0,338.33,344.54,1875823
2020-03-24,341.12,369.58,329.17,354.08,1692609
2020-03-25,341.37,379.12,340.21,374.83,1861593
2020-03-26,374.96,411.67,374.17,398.58,2560681
2020-03-27,412.5,416.58,387.96,404.67,1445578
2020-03-30,400.58,404.67,388.58,398.62,1609934
2020-03-31,413.33,419.17,400.96,414.96,1363615
2020-04-01,417.0,417.37,397.0,402.87,1201891
2020-04-03,400.08,402.5,370.54,373.87,1716668
2020-04-07,388.04,401.67,368.62,399.33,1881016
2020-04-08,399.92,406.37,383.33,386.25,2074874
2020-04-09,390.75,402.08,387.5,395.25,998986
2020-04-13,393.42,414.0,387.5,410.75,1636503
2020-04-15,415.0,436.62,414.75,427.21,2901691
2020-04-16,430.0,434.67,422.5,429.5,1772286
2020-04-17,434.33,443.25,423.33,429.79,1138629
2020-04-20,433.92,437.08,422.71,428.62,934388
2020-04-21,427.92,439.79,420.87,437.62,1911867
2020-04-22,439.25,447.75,433.33,442.21,2834912
2020-04-23,441.42,452.5,432.54,435.96,1423898
2020-04-24,434.17,445.83,429.17,433.08,1802961
2020-04-27,435.0,445.0,432.37,442.67,1026046
2020-04-28,449.92,455.46,436.25,441.62,1931520
2020-04-29,442.5,446.58,426.21,431.04,1429350
2020-04-30,429.17,431.04,418.79,423.67,2753677
2020-05-04,416.67,418.33,398.96,400.92,1443442
2020-05-05,401.83,408.12,386.67,390.42,2504738
2020-05-06,383.5,395.46,379.21,387.08,1892803
2020-05-07,387.62,392.54,367.0,375.54,3818826
2020-05-08,380.83,387.58,374.0,379.5,2710137
2020-05-11,386.58,386.58,372.21,377.12,1537257
2020-05-12,371.67,382.5,369.33,381.08,1585638
2020-05-13,391.67,392.5,373.67,379.17,1847514
2020-05-14,375.0,383.25,370.08,379.12,1907810
2020-05-15,383.33,383.33,373.37,375.71,1803598
2020-05-18,375.0,377.46,365.29,367.04,965204
2020-05-19,367.92,372.62,362.5,366.08,1936204
2020-05-20,365.0,376.67,359.54,370.08,2084638
2020-05-21,369.5,394.04,365.08,387.87,2285911
2020-05-22,386.33,394.58,377.5,381.08,2464386
2020-05-26,383.33,390.42,377.5,381.17,1667768
2020-05-27,381.37,381.67,367.21,379.25,1775924
2020-05-28,384.17,387.92,378.67,383.67,1839234
2020-05-29,380.83,415.83,380.54,409.79,3456777
2020-06-01,413.33,417.75,405.92,408.37,1761094
2020-06-02,409.96,422.71,407.37,418.96,1766883
2020-06-03,423.33,432.5,418.33,429.79,1967514
2020-06-04,433.33,439.54,416.67,419.75,2149093
2020-06-05,421.67,427.08,419.08,425.71,1108090
2020-06-08,428.29,431.12,413.58,416.25,1949217
2020-06-09,417.5,423.62,406.33,408.71,2419891
2020-06-10,409.0,415.21,407.58,412.21,1034155
2020-06-11,412.21,418.62,405.33,407.67,2102688
2020-06-12,391.67,420.46,391.67,418.04,1984419
2020-06-15,416.71,424.08,410.62,416.17,1658847
2020-06-16,424.92,424.92,412.58,421.21,1359926
2020-06-17,422.75,426.37,413.54,417.21,1271667
2020-06-18,417.67,420.5,409.79,416.12,1082540
2020-06-19,418.25,425.62,414.17,417.08,2535537
2020-06-22,420.83,427.71,416.21,421.17,1527026
2020-06-23,422.08,433.17,421.67,429.58,2211146
2020-06-24,430.0,460.0,429.67,450.67,6688928
2020-06-25,450.0,453.25,431.12,433.5,2864073
2020-06-26,438.33,440.33,423.33,425.67,1656307
2020-06-29,426.67,432.42,416.75,418.5,1988761
2020-06-30,419.17,421.92,410.25,411.58,1911031
2020-07-01,412.5,416.67,409.0,411.92,1192894
2020-07-02,413.25,418.08,406.71,411.17,1336236
2020-07-03,413.17,422.5,412.25,419.67,1994796
2020-07-06,424.17,429.17,420.42,421.96,1815343
2020-07-07,423.08,428.12,420.0,423.75,1479348
2020-07-08,427.5,431.17,414.17,415.54,1769388
2020-07-09,416.12,422.17,413.62,420.37,1067790
2020-07-10,420.0,422.0,412.5,415.46,807284
2020-07-13,416.29,423.29,414.58,416.46,1029991
2020-07-14,415.83,418.79,410.75,417.04,1074889
2020-07-15,421.71,428.25,421.5,425.33,2670680
2020-07-16,429.17,429.79,413.33,422.83,1887842
2020-07-17,420.83,434.17,420.58,432.08,1761445
2020-07-20,433.33,438.33,430.83,436.42,1602363
2020-07-21,441.67,443.33,429.33,431.04,3858488
2020-07-22,432.83,434.17,424.42,432.87,1583527
2020-07-23,434.17,442.5,431.04,435.08,1495932
2020-07-24,434.17,439.58,425.71,436.75,2970390
2020-07-27,438.33,445.25,432.58,442.54,1991614
2020-07-28,444.17,447.5,433.67,435.04,2921346
2020-07-29,431.67,439.08,427.67,435.54,2221614
2020-07-30,436.67,439.83,430.37,438.67,1864468
2020-07-31,441.67,442.87,435.71,438.75,837806
2020-08-03,441.67,444.17,434.62,437.58,1360058
2020-08-04,440.83,440.83,432.08,438.04,1547310
2020-08-05,439.96,444.96,436.0,437.0,851107
2020-08-06,437.46,442.5,436.87,440.71,841551
2020-08-07,441.17,465.0,439.04,462.62,4426519
2020-08-10,466.67,470.62,454.17,459.54,1992471
2020-08-11,460.0,467.08,454.5,456.12,2475655
2020-08-12,456.12,460.0,447.25,458.33,1303392
2020-08-13,462.5,466.08,456.71,459.04,1651377
2020-08-14,462.42,464.71,453.92,458.62,1658342
2020-08-17,458.33,463.58,439.42,451.25,3150908
2020-08-18,450.83,473.33,450.83,468.96,4950406
2020-08-19,469.17,475.75,462.08,463.5,2626272
2020-08-20,463.5,466.17,458.75,462.75,817026
2020-08-21,465.0,474.87,463.62,472.33,2508242
2020-08-24,477.75,484.96,471.87,474.87,4327962
2020-08-25,474.87,480.71,467.12,472.75,1639198
2020-08-26,475.0,475.08,463.42,468.87,1015819
2020-08-27,470.83,474.79,466.21,468.87,937546
2020-08-28,471.67,473.75,464.17,470.25,1125445
2020-08-31,470.0,471.04,445.83,448.08,2150398
2020-09-01,450.83,463.75,448.21,461.08,2135413
2020-09-02,464.71,474.42,458.42,462.17,2335210
2020-09-03,466.75,471.67,462.21,463.58,1770567
2020-09-04,456.62,467.5,455.25,459.79,808357
2020-09-07,459.17,465.54,456.75,462.5,995668
2020-09-08,462.54,466.46,458.75,461.29,1183446
2020-09-09,460.83,470.54,459.21,468.17,2367170
2020-09-10,474.12,480.83,468.5,478.79,3601190
2020-09-11,480.83,482.08,470.5,477.21,1796334
2020-09-14,480.83,485.92,471.67,481.54,2211637
