date,open,high,low,close,volume
2020-01-13,515.0,518.75,511.45,515.6,975174
2020-01-14,517.2,521.75,514.0,518.8,1210947
2020-01-15,517.9,530.0,511.0,528.05,1320196
2020-01-16,530.0,533.9,521.4,527.15,1164193
2020-01-17,527.0,530.7,519.3,522.45,597719
2020-01-20,522.0,525.4,514.45,518.65,929302
2020-01-21,515.15,519.0,506.65,510.95,1430656
2020-01-22,514.5,515.0,500.3,502.7,1150991
2020-01-23,502.8,516.2,502.15,515.25,1418500
2020-01-24,517.95,524.8,511.6,522.05,1360540
2020-01-27,521.5,524.9,504.0,508.95,914230
2020-01-28,509.1,513.6,494.15,499.8,1019061
2020-01-29,499.8,512.7,499.8,505.0,623861
2020-01-30,505.0,508.9,492.1,499.2,809937
2020-01-31,499.95,503.5,487.75,490.65,700915
2020-02-01,487.9,499.75,467.35,474.8,616738
2020-02-03,473.0,496.0,472.0,488.45,953099
2020-02-04,489.0,509.0,489.0,502.3,847450
2020-02-05,498.25,518.4,497.0,508.95,1167931
2020-02-06,510.05,527.95,510.05,511.3,1540411
2020-02-07,513.9,519.85,508.65,518.0,939053
2020-02-10,515.05,519.2,483.65,499.3,6078229
2020-02-11,492.2,501.35,483.0,491.45,2916081
2020-02-12,491.45,494.4,479.25,483.25,2141454
2020-02-13,482.7,485.55,474.15,482.1,1175915
2020-02-14,484.55,496.4,484.0,485.45,1570830
2020-02-17,486.0,488.4,481.25,485.35,960652
2020-02-18,482.1,482.65,473.0,480.4,949344
2020-02-19,483.25,487.65,477.65,480.05,1174731
2020-02-20,479.0,490.9,476.0,484.5,893829
2020-02-24,482.55,482.55,458.25,462.3,1341865
2020-02-25,458.0,468.7,456.0,464.85,1184693
2020-02-26,458.6,465.15,452.65,458.3,1382554
2020-02-27,454.7,463.9,450.05,461.6,1190250
2020-02-28,450.0,450.0,422.7,435.4,2250396
2020-03-02,440.5,466.4,440.0,450.95,1421454
2020-03-03,448.0,461.2,435.75,443.85,2683562
2020-03-04,438.9,441.9,426.0,436.6,2354370
2020-03-05,436.0,443.4,432.1,439.95,1473099
2020-03-06,428.1,442.0,422.75,439.4,1385610
2020-03-09,418.0,418.0,401.0,412.8,2249589
2020-03-11,412.4,412.95,394.0,402.4,2606148
2020-03-12,381.2,381.75,363.3,369.15,4375189
2020-03-13,332.5,382.0,332.5,378.15,1900965
2020-03-16,351.0,378.0,349.2,370.3,1238077
2020-03-17,370.0,389.95,350.85,356.85,1538037
2020-03-18,365.0,366.5,335.95,347.1,1713773
2020-03-19,330.0,334.85,301.5,305.1,3200996
2020-03-20,305.0,328.0,292.4,301.25,3649712
2020-03-23,279.0,284.0,242.6,245.75,1940415
2020-03-24,243.3,267.0,234.2,245.15,3289425
2020-03-25,246.65,261.6,237.85,253.65,1436123
2020-03-26,255.0,288.0,248.0,283.75,2370298
2020-03-27,291.25,297.75,255.4,264.1,1954228
2020-03-30,258.7,259.65,244.0,246.35,1963543
2020-03-31,249.95,253.55,231.05,234.95,2858267
2020-04-01,234.4,234.4,223.25,230.05,3183893
2020-04-03,230.0,230.05,215.0,219.65,2286237
2020-04-07,224.85,225.2,207.5,218.5,5465834
2020-04-08,218.45,261.0,214.6,231.55,5030681
2020-04-09,239.8,250.0,235.05,245.55,1893139
2020-04-13,250.0,250.0,235.45,239.35,1008742
2020-04-15,243.7,253.0,235.05,237.3,1875218
2020-04-16,237.3,243.75,229.0,238.45,2238188
2020-04-17,250.1,286.0,246.0,283.8,11341639
2020-04-20,289.3,295.0,277.4,290.35,6400830
2020-04-21,282.0,283.85,256.55,259.3,3072550
2020-04-22,255.0,263.35,250.6,256.4,2497060
2020-04-23,260.0,271.4,254.25,256.5,3012848
2020-04-24,251.1,265.0,251.1,263.25,2241342
2020-04-27,268.5,278.85,265.75,271.2,2874070
2020-04-28,272.0,277.85,263.3,266.75,1615301
2020-04-29,267.5,287.45,265.6,282.05,3470987
2020-04-30,290.0,324.35,287.0,309.2,8508750
2020-05-04,298.5,298.7,267.9,269.8,3450715
2020-05-05,276.0,283.9,270.3,279.15,4391954
2020-05-06,279.0,287.8,272.5,284.8,3620864
2020-05-07,284.0,292.5,276.4,278.15,2853200
2020-05-08,285.7,298.8,277.0,279.8,3936943
2020-05-11,280.8,295.9,280.75,286.55,4424434
2020-05-12,283.0,287.55,270.1,284.0,2888134
2020-05-13,299.0,303.35,282.95,285.3,6278981
2020-05-14,282.0,282.0,271.35,276.3,2984629
2020-05-15,279.1,280.75,271.15,277.3,3499251
2020-05-18,284.0,288.0,263.1,269.7,5345896
2020-05-19,273.6,281.3,269.0,270.6,2623792
2020-05-20,270.5,283.8,267.7,281.9,2514032
2020-05-21,284.35,296.0,281.55,291.6,3845052
2020-05-22,287.65,294.45,277.7,284.35,3357259
2020-05-26,290.0,294.9,286.7,291.7,1913305
2020-05-27,293.55,301.8,287.15,288.35,4310016
2020-05-28,291.3,310.4,290.0,306.95,4702998
2020-05-29,305.0,336.6,300.65,326.05,5943563
2020-06-01,332.9,338.9,328.0,334.2,3600488
2020-06-02,336.0,342.0,332.0,333.85,4370997
2020-06-03,336.25,344.75,331.1,334.45,2993273
2020-06-04,336.5,350.3,335.65,340.95,4237284
2020-06-05,345.6,350.0,341.8,349.05,2421775
2020-06-08,354.05,372.75,354.05,363.0,6093965
2020-06-09,373.0,378.9,356.15,362.15,5881891
2020-06-10,364.9,366.3,350.4,353.95,2361211
2020-06-11,354.5,363.55,349.45,353.35,1191137
2020-06-12,330.0,355.2,327.0,350.5,2224297
2020-06-15,351.0,351.2,337.05,340.5,1534878
2020-06-16,348.3,358.9,343.5,348.15,2349784
2020-06-17,346.7,363.9,344.5,358.15,3218428
2020-06-18,357.7,363.6,355.75,360.35,1479580
2020-06-19,363.9,379.8,361.55,375.8,3234212
2020-06-22,379.9,385.7,367.05,373.15,3190009
2020-06-23,373.15,377.8,367.0,368.95,1895011
2020-06-24,368.95,374.6,353.7,356.65,1634500
2020-06-25,351.95,365.0,348.15,357.45,1726134
2020-06-26,363.2,363.2,350.45,352.5,1246484
2020-06-29,350.0,353.6,309.25,316.5,9808566
2020-06-30,315.0,322.55,306.6,319.35,9499227
2020-07-01,322.0,341.7,321.0,337.35,6851171
2020-07-02,337.0,342.1,331.55,334.4,1795803
2020-07-03,340.95,361.4,338.05,358.8,8521915
2020-07-06,360.1,370.0,353.75,368.35,4786462
2020-07-07,368.95,378.0,362.4,375.35,3343697
2020-07-08,375.0,378.7,360.25,362.5,1854406
2020-07-09,364.15,371.9,363.2,369.75,2555821
2020-07-10,368.95,374.45,353.15,354.5,2925735
2020-07-13,359.0,377.9,358.3,369.05,8621256
2020-07-14,366.9,375.0,363.0,366.8,4831790
2020-07-15,371.95,376.8,363.8,366.55,3224172
2020-07-16,369.65,383.8,362.95,379.3,5333436
2020-07-17,381.0,386.0,375.25,377.45,2685540
2020-07-20,382.8,387.15,376.85,382.7,3833809
2020-07-21,383.5,386.75,379.65,384.35,2329620
2020-07-22,386.0,389.0,379.25,387.2,3337571
2020-07-23,388.0,397.6,386.0,389.45,3381800
2020-07-24,389.0,389.0,377.2,384.1,2205238
2020-07-27,384.0,388.65,379.25,382.8,1628936
2020-07-28,383.5,394.5,379.45,393.25,2260234
2020-07-29,395.0,398.0,382.8,385.95,1995708
2020-07-30,389.25,393.9,383.3,385.25,1868423
2020-07-31,385.3,389.6,380.15,381.95,2639052
2020-08-03,380.2,391.8,376.0,386.25,2520665
2020-08-04,389.3,395.0,383.0,392.3,2092928
2020-08-05,398.1,413.9,393.4,401.05,3786527
2020-08-06,401.95,406.0,400.0,403.75,1724074
2020-08-07,405.0,413.5,404.7,407.8,2008743
2020-08-10,430.0,434.9,419.0,422.8,6397863
2020-08-11,424.7,424.7,411.0,413.55,2928453
2020-08-12,412.8,442.3,406.6,434.8,9540538
2020-08-13,439.1,507.0,437.0,502.9,27030796
2020-08-14,497.15,511.9,485.2,494.95,11399103
2020-08-17,496.95,503.55,487.15,497.15,4036827
2020-08-18,497.0,504.85,493.5,499.55,2584867
2020-08-19,500.0,504.8,487.6,490.05,3915596
2020-08-20,483.9,496.0,482.05,490.55,2718834
2020-08-21,494.9,497.8,488.55,489.8,2703551
2020-08-24,492.8,508.0,491.15,499.4,4639009
2020-08-25,499.0,513.8,494.0,499.85,3885011
2020-08-26,502.0,503.0,494.75,499.15,1709264
2020-08-27,500.0,519.25,498.3,510.9,4404470
2020-08-28,522.0,522.1,499.3,502.25,3939607
2020-08-31,506.0,509.75,483.95,491.2,3203028
2020-09-01,492.0,500.0,484.55,496.65,1815482
2020-09-02,490.0,501.7,476.0,498.6,2978631
2020-09-03,505.5,512.7,489.2,491.15,2703423
2020-09-04,483.0,505.6,478.0,488.65,3409255
2020-09-07,493.1,495.65,482.8,486.8,2040432
2020-09-08,487.9,489.55,468.25,471.15,1488528
2020-09-09,466.0,469.0,456.0,465.95,3005948
2020-09-10,470.0,472.0,454.35,461.45,2270798
2020-09-11,459.5,466.5,456.3,463.4,1726710
2020-09-14,465.25,481.85,465.0,475.6,4173115
2020-09-15,478.5,481.4,471.75,476.7,1682862
2020-09-16,476.7,487.55,475.05,480.65,2974795
2020-09-17,474.0,483.6,469.05,478.65,1181393
2020-09-18,481.0,487.4,476.6,479.35,2531657
2020-09-21,479.35,483.8,451.05,455.05,2037919
2020-09-22,453.5,459.95,433.1,452.65,2301486
2020-09-23,454.0,457.9,443.2,446.65,1794217
2020-09-24,441.4,444.0,427.5,431.25,1423649
2020-09-25,433.9,448.65,428.65,444.9,2974187
2020-09-28,452.0,457.9,445.0,454.15,1904837
2020-09-29,457.4,459.35,447.05,449.35,1367816
2020-09-30,448.15,451.45,444.1,447.55,626631
2020-10-01,448.0,455.8,445.65,448.15,1061152
2020-10-05,458.05,469.0,454.4,465.6,5051942
2020-10-06,470.25,472.9,463.55,466.2,1899130
2020-10-07,469.45,476.8,465.6,468.0,2235404
2020-10-08,472.55,474.0,464.05,467.3,1218250
2020-10-09,465.25,478.0,464.05,465.8,1711561
2020-10-12,468.0,469.95,452.25,460.3,1748962
2020-10-13,459.9,476.75,456.2,458.0,2213111
2020-10-14,456.95,456.95,439.5,443.5,2793042
2020-10-15,443.0,458.3,441.05,444.95,3117597
2020-10-16,447.6,458.75,446.1,452.5,1925351
2020-10-19,455.2,458.45,450.5,451.45,1077596
2020-10-20,450.0,462.5,445.75,461.15,2114072
2020-10-21,465.0,468.6,452.3,457.45,2076931
2020-10-22,453.1,467.2,452.75,464.1,1720250
2020-10-23,468.2,498.75,462.0,495.1,6277026
2020-10-26,495.1,495.9,476.55,483.4,2591523
2020-10-27,482.5,482.5,465.6,468.55,1620873
2020-10-28,474.0,484.5,457.4,460.05,3254782
2020-10-29,452.05,458.85,447.25,454.95,1587359
2020-10-30,454.95,459.75,448.0,451.3,1699848
2020-11-02,454.0,457.1,445.0,450.9,1634382
2020-11-03,454.85,462.2,452.5,458.35,1770775
