date,open,high,low,close,volume
2020-01-13,283.45,285.55,281.15,283.9,1580164
2020-01-14,285.05,285.8,280.55,282.1,2441388
2020-01-15,282.8,284.3,279.55,281.55,2832670
2020-01-16,282.0,288.4,281.05,287.8,3793695
2020-01-17,288.5,291.95,286.0,290.55,2989855
2020-01-20,292.5,294.6,288.5,292.05,2567355
2020-01-21,291.6,295.9,290.1,294.65,1876487
2020-01-22,295.55,297.0,290.1,292.65,2043331
2020-01-23,294.0,296.8,291.25,294.3,2503937
2020-01-24,288.0,296.3,282.45,294.35,8973074
2020-01-27,289.0,297.9,286.0,290.1,4281963
2020-01-28,290.1,292.5,286.25,288.6,2283893
2020-01-29,289.05,303.9,289.0,297.45,7779268
2020-01-30,296.85,299.8,293.0,295.35,3150843
2020-01-31,295.5,298.7,290.6,294.35,1949668
2020-02-01,293.6,297.3,284.35,287.25,1783506
2020-02-03,288.0,307.0,288.0,298.5,6391361
2020-02-04,300.35,301.5,279.0,290.1,12882529
2020-02-05,291.5,298.35,288.1,295.25,5284304
2020-02-06,295.5,301.0,293.85,295.55,2786408
2020-02-07,295.45,311.5,294.0,308.9,4270700
2020-02-10,311.95,316.8,307.7,309.75,5937650
2020-02-11,311.0,312.9,302.75,305.85,4381088
2020-02-12,306.5,311.9,306.5,307.45,3311333
2020-02-13,308.0,309.75,305.4,307.05,1953998
2020-02-14,306.5,309.25,301.55,307.8,2119124
2020-02-17,309.05,311.5,302.3,303.15,3201093
2020-02-18,303.1,304.4,295.05,300.65,3625458
2020-02-19,303.0,309.2,303.0,306.1,2287640
2020-02-20,305.95,319.0,305.8,315.05,6990659
2020-02-24,306.0,323.5,303.3,314.25,9992600
2020-02-25,315.0,315.7,295.6,303.85,10227070
2020-02-26,299.9,307.7,297.65,298.75,4964185
2020-02-27,296.0,302.0,292.45,298.9,6122061
2020-02-28,292.45,294.9,285.0,286.9,5345967
2020-03-02,290.1,296.0,278.15,282.65,4391067
2020-03-03,286.0,307.0,285.3,304.0,5949680
2020-03-04,305.85,307.0,297.4,303.9,4471521
2020-03-05,304.0,314.0,304.0,312.95,4949625
2020-03-06,305.5,312.4,302.6,310.05,3440903
2020-03-09,305.05,309.25,298.5,301.0,3585552
2020-03-11,303.0,312.5,293.0,296.7,6484434
2020-03-12,294.7,294.7,267.25,274.55,7953481
2020-03-13,247.25,293.65,238.9,288.0,7126715
2020-03-16,270.0,287.65,266.35,268.2,4445377
2020-03-17,270.0,275.25,261.0,263.25,5279973
2020-03-18,270.0,270.0,249.25,252.4,5294940
2020-03-19,240.3,264.95,235.55,252.9,5393068
2020-03-20,258.2,276.95,253.5,274.5,5172536
2020-03-23,254.0,269.7,250.0,255.6,2795102
2020-03-24,257.0,274.15,254.05,271.0,3196619
2020-03-25,267.95,286.0,265.05,271.65,4207895
2020-03-26,274.8,284.65,270.6,282.5,4741471
2020-03-27,284.0,291.2,272.0,277.7,3958414
2020-03-30,276.9,280.6,273.2,275.6,2551015
2020-03-31,278.0,281.85,268.1,270.55,3740173
2020-04-01,277.95,285.7,274.4,278.4,4724998
2020-04-03,278.1,295.85,277.9,290.95,6293405
2020-04-07,300.0,320.0,297.3,318.3,9742331
2020-04-08,322.4,345.0,315.0,327.4,14303728
2020-04-09,334.0,342.95,330.3,333.75,6297479
2020-04-13,335.95,355.5,331.6,340.55,13175876
2020-04-15,353.0,353.0,330.15,336.85,8436365
2020-04-16,340.0,353.5,339.1,349.9,9196409
2020-04-17,355.45,360.9,343.05,355.25,10074247
2020-04-20,359.9,367.8,351.6,357.95,9125641
2020-04-21,349.7,366.2,347.0,357.0,10212965
2020-04-22,357.0,364.35,354.5,360.6,5087479
2020-04-23,360.5,365.5,344.55,347.7,7383981
2020-04-24,346.0,360.0,339.0,357.4,11732992
2020-04-27,361.85,367.65,355.2,363.15,7967136
2020-04-28,365.95,365.95,348.4,352.0,6311044
2020-04-29,366.0,366.0,350.7,352.15,8830744
2020-04-30,360.0,360.0,347.25,353.95,5869794
2020-05-04,352.0,366.0,349.15,357.95,9023425
2020-05-05,366.9,366.9,347.0,349.2,8533655
2020-05-06,350.95,355.5,345.35,353.25,6743672
2020-05-07,353.95,361.0,348.1,349.75,6104708
2020-05-08,355.0,361.0,349.2,359.25,5545612
2020-05-11,359.45,363.8,350.05,351.6,8182348
2020-05-12,354.0,356.8,337.65,343.45,7690803
2020-05-13,352.85,352.85,334.1,337.25,8732455
2020-05-14,337.25,343.5,333.0,335.15,8706259
2020-05-15,325.0,338.65,320.7,328.5,26971956
2020-05-18,329.0,336.8,325.0,331.75,11946594
2020-05-19,334.0,338.5,329.3,336.6,8104299
2020-05-20,335.95,349.75,334.0,346.85,7499821
2020-05-21,346.5,357.7,344.75,354.85,9872658
2020-05-22,355.0,356.85,347.6,350.3,4965522
2020-05-26,352.5,361.0,351.2,358.3,8874192
2020-05-27,358.0,363.3,347.3,350.85,7297080
2020-05-28,354.8,354.8,342.55,345.45,6473586
2020-05-29,346.15,359.15,345.0,354.7,46798867
2020-06-01,360.0,389.9,357.45,385.5,20555189
2020-06-02,389.0,396.0,381.2,382.7,11915870
2020-06-03,387.0,390.0,381.35,382.5,4094227
2020-06-04,382.5,395.75,382.0,393.65,7533702
2020-06-05,397.0,400.5,388.6,389.6,5323724
2020-06-08,393.0,393.9,378.35,381.25,5661410
2020-06-09,383.0,390.0,378.0,381.65,5427669
2020-06-10,384.0,393.5,382.5,389.95,5871242
2020-06-11,389.95,393.9,384.5,386.95,3729429
2020-06-12,386.0,396.25,381.2,384.8,7259146
2020-06-15,390.0,394.3,381.3,387.55,5516082
2020-06-16,389.9,393.0,378.05,385.1,4888349
2020-06-17,384.9,399.8,383.0,396.1,5810761
2020-06-18,395.95,404.6,391.2,393.85,7878288
2020-06-19,393.85,397.25,380.1,381.25,6460477
2020-06-22,385.85,391.55,383.0,387.55,3952489
2020-06-23,391.0,398.7,388.0,396.5,5777685
2020-06-24,399.0,403.7,387.6,389.9,4999774
2020-06-25,389.0,406.4,388.45,404.3,6439906
2020-06-26,406.0,410.45,399.3,401.8,6825060
2020-06-29,401.6,408.35,394.6,397.75,4004002
2020-06-30,400.0,401.2,388.35,390.1,3211018
2020-07-01,390.4,393.75,384.5,388.45,2727818
2020-07-02,388.45,397.45,388.4,391.95,2877135
2020-07-03,392.0,397.9,390.3,395.6,3047932
2020-07-06,399.05,406.35,392.65,401.85,4992143
2020-07-07,403.8,406.35,397.5,400.2,3194010
2020-07-08,401.0,410.35,400.4,401.75,4745612
2020-07-09,395.95,407.8,395.3,405.95,4085452
2020-07-10,400.5,420.5,400.5,414.3,9984659
2020-07-13,446.95,446.95,412.75,414.85,20181221
2020-07-14,419.8,441.25,417.0,437.6,26086415
2020-07-15,441.0,441.0,422.45,424.8,6557756
2020-07-16,425.0,432.5,416.2,426.45,5033817
2020-07-17,427.2,433.3,423.0,431.6,3695915
2020-07-20,433.0,434.9,424.35,428.0,3442969
2020-07-21,431.2,433.5,424.55,426.3,2774113
2020-07-22,428.0,441.0,425.7,430.7,9092887
2020-07-23,433.25,438.5,423.05,430.3,7095324
2020-07-24,428.0,435.6,413.55,415.15,10177556
2020-07-27,413.5,416.5,397.45,399.6,5594057
2020-07-28,401.0,407.5,396.5,399.0,4421520
2020-07-29,400.0,403.45,393.0,395.8,4788604
2020-07-30,396.0,404.9,395.1,403.45,6207478
2020-07-31,408.0,412.8,400.8,409.6,7274624
2020-08-03,411.8,416.75,407.7,411.9,5226709
2020-08-04,414.45,416.65,404.0,413.8,4147575
2020-08-05,415.0,418.8,407.2,408.2,4342571
2020-08-06,410.95,413.95,405.95,407.45,3597943
2020-08-07,409.0,411.85,396.05,399.45,5634992
2020-08-10,402.2,414.5,400.7,412.45,7028465
2020-08-11,415.0,417.0,406.3,407.55,5384759
2020-08-12,407.55,407.8,392.1,396.6,5536772
2020-08-13,399.0,401.1,391.7,393.25,4016926
2020-08-14,394.5,402.3,391.5,395.1,5377067
2020-08-17,398.8,399.65,389.35,391.25,3371658
2020-08-18,392.5,397.0,388.0,394.85,3100512
2020-08-19,397.4,402.2,394.5,396.35,3750578
2020-08-20,396.0,397.9,391.35,394.15,2563762
2020-08-21,397.0,398.15,392.55,394.05,2233107
2020-08-24,395.95,396.45,390.5,392.2,2093401
2020-08-25,394.0,394.6,385.5,387.4,3293330
2020-08-26,388.2,394.45,386.55,392.35,3691062
2020-08-27,394.7,397.0,390.6,391.35,3531298
2020-08-28,391.85,393.65,388.0,391.55,2849943
2020-08-31,393.8,397.9,372.25,376.15,7035041
2020-09-01,382.45,408.0,379.0,405.35,17386465
2020-09-02,405.5,413.4,402.05,411.25,9366591
2020-09-03,412.0,426.5,410.55,425.35,10173157
2020-09-04,421.7,434.4,418.45,420.95,12330441
2020-09-07,420.95,424.3,415.4,422.0,3966218
2020-09-08,421.25,424.55,413.9,415.8,2994233
2020-09-09,410.0,432.0,409.7,427.9,9364809
2020-09-10,430.6,433.9,425.0,430.65,3975287
2020-09-11,430.45,439.65,427.35,433.1,5770700
2020-09-14,435.3,440.0,426.35,430.0,2912856
2020-09-15,430.0,445.0,429.0,440.05,6044433
2020-09-16,440.05,453.9,434.55,438.65,10058926
2020-09-17,439.0,444.85,432.55,442.2,4431118
2020-09-18,442.75,463.9,442.75,454.0,11410425
2020-09-21,453.95,453.95,425.35,429.35,4258326
2020-09-22,429.15,431.65,413.5,422.05,4813418
2020-09-23,424.6,429.0,418.2,423.9,2537774
2020-09-24,421.6,423.4,406.1,408.25,2881986
2020-09-25,414.65,430.55,410.5,428.0,4535634
2020-09-28,430.0,452.2,428.1,450.4,7268448
2020-09-29,452.0,462.8,449.15,455.5,8425414
2020-09-30,455.5,463.5,444.6,447.7,4767307
2020-10-01,450.55,456.95,444.3,452.65,2796965
2020-10-05,453.6,460.0,448.0,458.35,2454225
2020-10-06,461.1,469.25,455.5,457.8,4423127
2020-10-07,457.75,463.1,448.5,452.15,2382861
2020-10-08,453.0,473.75,451.15,469.15,4296616
2020-10-09,473.5,478.0,449.5,451.9,8233144
2020-10-12,452.0,463.65,443.85,462.65,6012803
2020-10-13,461.9,464.45,450.5,451.5,3674721
2020-10-14,452.0,453.45,444.65,446.7,3073379
2020-10-15,448.05,451.0,431.4,433.45,3403035
2020-10-16,435.0,449.5,434.05,447.9,4502795
2020-10-19,448.5,448.5,434.3,437.9,3027835
2020-10-20,438.9,444.15,437.1,439.8,2325637
2020-10-21,439.05,443.5,432.5,439.6,2393158
2020-10-22,441.25,441.8,427.35,429.65,3242065
2020-10-23,420.05,430.5,415.7,417.2,7474787
2020-10-26,419.0,419.75,389.75,402.55,9674843
2020-10-27,401.25,415.0,401.25,413.6,6337477
2020-10-28,411.25,416.5,405.0,406.45,3214903
2020-10-29,402.55,408.85,399.0,403.2,2353631
2020-10-30,404.3,408.6,398.1,403.6,3090935
2020-11-02,403.6,407.0,395.6,404.15,2582524
2020-11-03,404.2,412.8,401.6,406.9,4350062
2020-11-04,406.95,411.9,402.35,410.5,2700433
2020-11-05,413.0,415.0,406.4,413.3,3442421
2020-11-06,415.0,416.9,409.8,414.8,2844165
2020-11-09,430.0,430.0,413.3,416.0,6594973
2020-11-10,417.55,417.8,398.05,406.15,6221362
2020-11-11,410.0,420.5,406.25,417.9,4289470
2020-11-12,415.0,427.7,413.1,422.7,4545563
2020-11-13,423.9,435.4,423.35,433.45,4922210
2020-11-17,435.05,436.35,422.9,428.15,3459673
2020-11-18,429.8,429.8,419.7,423.0,3057647
2020-11-19,422.15,426.8,420.35,422.75,2835931
2020-11-20,423.1,425.95,415.0,419.95,3344749
2020-11-23,421.0,425.3,417.6,420.25,7777720
2020-11-24,422.35,436.0,418.1,433.55,6936794
2020-11-25,440.0,444.0,418.65,420.15,6156478
2020-11-26,422.45,427.9,418.25,425.75,3912570
2020-11-27,426.1,435.1,422.3,429.35,14778896
2020-12-01,436.95,438.35,429.55,433.3,3028740
2020-12-02,435.0,436.0,427.3,430.3,2346320
2020-12-03,430.0,439.5,429.35,433.9,2909161
2020-12-04,435.05,444.0,431.45,442.65,6358494
2020-12-07,444.85,453.3,437.0,450.6,5920675
2020-12-08,451.0,459.0,440.55,445.45,6249683
2020-12-09,445.45,453.55,445.1,450.95,3297713
2020-12-10,452.45,457.5,446.85,453.95,2511207
2020-12-11,455.0,456.9,450.0,455.5,2521883
2020-12-14,459.0,461.2,450.55,454.0,3253116
2020-12-15,454.95,459.9,450.0,455.3,3057712
2020-12-16,459.0,462.5,455.4,460.0,3074459
2020-12-17,461.8,466.0,458.95,460.9,2153719
2020-12-18,461.4,473.15,460.2,471.95,4375062
2020-12-21,470.0,473.4,439.6,450.0,3273294
2020-12-22,447.35,464.15,437.0,462.15,2403391
2020-12-23,462.2,487.75,459.1,483.6,4958976
2020-12-24,486.25,486.25,472.9,481.95,2510351
2020-12-28,468.9,477.5,463.0,465.8,8799162
2020-12-29,476.5,476.5,457.35,460.5,7430686
2020-12-30,462.0,463.65,453.25,458.7,3511348
2020-12-31,459.0,466.95,456.6,465.4,3581850
2021-01-01,466.0,468.5,463.35,465.75,2175568
2021-01-04,468.0,469.8,464.45,467.0,2820612
2021-01-05,471.5,471.75,460.85,466.1,2558014
2021-01-06,467.35,469.25,453.8,459.75,2960179
2021-01-07,461.5,464.1,453.85,454.8,3181891
2021-01-08,466.15,467.95,461.25,465.65,5550289
2021-01-11,464.65,472.9,457.2,471.25,3548559
2021-01-12,472.0,474.35,466.1,471.75,3013195
2021-01-13,472.0,472.2,460.55,462.65,3430009
2021-01-14,463.1,469.3,458.55,466.45,3484462
2021-01-15,466.5,466.6,455.0,457.05,2793465
2021-01-18,456.0,459.35,440.5,448.9,2897773
2021-01-19,450.1,456.65,449.35,451.6,2055428
2021-01-20,451.6,453.9,448.05,449.8,2502512
2021-01-21,455.0,455.0,440.15,441.95,3617232
2021-01-22,422.4,423.0,376.3,393.75,28402894
2021-01-25,393.1,394.3,377.65,382.7,13622040
2021-01-27,380.0,386.95,368.55,377.55,10428128
2021-01-28,376.55,386.8,373.0,380.1,9105651
2021-01-29,385.0,386.0,369.0,371.8,6603963
2021-02-01,373.5,382.6,363.25,379.2,4003051
2021-02-02,384.0,394.0,379.1,391.5,4889980
2021-02-03,396.35,404.9,391.55,401.2,7248307
2021-02-04,402.0,410.9,399.75,409.5,5667322
2021-02-05,417.7,417.7,398.2,408.0,9807594
2021-02-08,407.65,413.25,406.1,409.0,3331295
2021-02-09,409.0,409.95,402.8,404.8,3194349
2021-02-10,404.4,409.85,400.0,408.15,2646444
2021-02-11,403.0,412.55,403.0,406.4,3799650
2021-02-12,407.0,411.25,403.8,408.05,2998189
2021-02-15,408.95,410.5,405.2,407.95,2039885
2021-02-16,407.95,418.6,406.25,417.4,5404227
2021-02-17,418.95,422.95,415.2,417.85,7393775
2021-02-18,418.7,424.75,414.0,420.75,4309799
2021-02-19,419.8,419.8,401.6,404.0,4831305
2021-02-22,405.0,406.8,395.25,397.65,3182390
2021-02-23,398.25,400.75,384.1,385.35,9099769
2021-02-24,387.8,390.4,385.35,389.5,1425510
2021-02-25,391.7,400.7,390.55,399.0,4347039
2021-02-26,393.95,401.85,387.0,390.0,5191488
2021-03-01,395.0,399.0,387.4,395.65,2691379
2021-03-02,397.8,399.9,392.1,398.0,2769588
2021-03-03,399.0,403.8,396.6,402.7,2974923
2021-03-04,399.0,407.1,398.3,399.75,1937467
2021-03-05,398.5,401.25,393.5,394.6,1607741
2021-03-08,396.0,396.95,391.3,393.35,1922625
2021-03-09,397.5,397.5,385.6,389.0,2604380
2021-03-10,392.0,404.45,388.7,402.55,7941264
2021-03-12,402.55,404.8,397.7,400.2,3755264
2021-03-15,401.05,401.1,387.0,395.75,2962758
2021-03-16,396.0,396.0,389.3,391.7,2742455
2021-03-17,391.7,393.6,386.4,388.2,2104474
2021-03-18,390.0,392.95,383.25,389.15,2764230
2021-03-19,386.5,398.0,385.85,395.7,4198749
2021-03-22,395.6,403.4,394.05,402.25,3712331
2021-03-23,403.0,405.7,398.05,400.75,3442251
2021-03-24,398.0,403.4,397.7,402.1,2566223
2021-03-25,401.8,405.8,397.35,398.5,3409417
2021-03-26,396.5,399.0,390.75,395.25,4226523
2021-03-30,400.9,409.5,399.05,408.45,4190813
2021-03-31,413.0,413.4,405.8,407.3,5228159
2021-04-01,409.2,413.2,408.8,410.0,1859930
2021-04-05,410.55,410.55,401.55,406.45,1318437
2021-04-06,406.6,415.55,405.1,414.25,2107119
2021-04-07,415.95,418.5,412.45,414.2,2466469
2021-04-08,414.0,416.55,411.15,413.25,2086792
2021-04-09,413.05,424.4,412.2,420.3,3199938
2021-04-12,418.7,420.5,401.0,404.3,3598276
2021-04-13,406.7,412.35,401.35,406.95,2067863
2021-04-15,411.9,411.9,400.0,404.6,2742852
2021-04-16,403.0,418.55,399.35,412.85,5667444
2021-04-19,412.85,412.85,399.75,406.35,4443271
2021-04-20,409.95,409.95,397.8,401.15,4433757
2021-04-22,402.0,404.75,398.65,399.35,3844822
2021-04-23,399.35,403.35,396.0,397.6,3385221
2021-04-26,401.2,401.2,395.0,395.5,2467044
2021-04-27,395.0,399.05,392.2,398.1,4371031
2021-04-28,398.0,399.8,387.5,390.85,11359907
2021-04-29,389.7,402.25,385.95,394.0,13681100
2021-04-30,391.8,391.8,378.2,379.65,9702414
2021-05-03,380.95,381.85,375.1,378.5,3472284
2021-05-04,381.0,382.15,372.5,373.2,3487895
2021-05-05,375.0,382.6,370.15,381.3,6251333
2021-05-06,382.95,384.4,377.4,379.7,3002959
2021-05-07,381.55,383.95,379.4,381.15,2238149
2021-05-10,383.05,387.45,382.45,384.5,3710303
2021-05-11,383.55,391.65,382.35,387.65,4095498
2021-05-12,387.65,390.5,384.15,385.45,2212112
2021-05-14,387.0,392.9,386.25,388.8,3421903
2021-05-17,393.65,393.65,384.6,385.8,2222856
