date,open,high,low,close,volume
2020-01-14,17.84,18.49,17.2,17.68,611800
2020-01-15,17.64,17.7,17.2,17.55,192372
2020-01-16,17.55,18.25,17.53,18.18,74956
2020-01-17,18.24,18.38,17.63,17.74,58700
2020-01-20,17.75,18.23,17.13,17.23,47828
2020-01-21,17.25,17.4,16.88,16.99,39932
2020-01-22,17.09,17.33,16.89,17.06,78764
2020-01-23,16.99,17.75,16.89,17.54,126144
2020-01-24,17.46,17.75,17.0,17.19,165740
2020-01-27,17.25,17.54,17.1,17.21,85340
2020-01-28,17.73,17.73,16.75,16.86,48440
2020-01-29,16.75,17.18,16.63,16.78,34172
2020-01-30,16.78,16.78,16.23,16.5,77640
2020-01-31,16.5,16.98,16.49,16.61,30376
2020-02-01,16.5,17.06,15.79,16.16,63656
2020-02-03,16.06,17.16,15.95,16.8,119480
2020-02-04,16.38,17.48,16.38,17.18,141372
2020-02-05,17.14,17.23,16.58,17.08,120828
2020-02-06,16.65,17.84,16.65,17.65,151240
2020-02-07,17.65,17.73,17.03,17.34,38576
2020-02-10,17.84,17.91,17.08,17.81,97640
2020-02-11,17.89,18.23,17.5,17.76,45432
2020-02-12,17.66,18.0,17.25,17.73,61300
2020-02-13,17.09,18.0,17.09,17.59,73132
2020-02-14,17.63,18.23,17.28,17.93,126928
2020-02-17,17.89,17.89,16.74,17.39,461648
2020-02-18,17.26,17.26,16.63,16.81,62148
2020-02-19,16.96,17.31,16.43,17.21,292788
2020-02-20,17.25,17.41,16.69,17.19,190348
2020-02-24,17.0,17.63,15.65,17.4,197124
2020-02-25,17.03,17.68,17.03,17.35,126236
2020-02-26,17.16,17.81,17.13,17.5,176748
2020-02-27,17.5,17.5,16.54,16.69,48368
2020-02-28,16.3,16.3,15.3,15.53,112740
2020-03-02,15.11,15.35,14.78,15.15,174808
2020-03-03,15.16,15.16,14.65,14.84,129004
2020-03-04,14.78,14.8,13.48,13.69,183336
2020-03-05,13.03,13.8,13.03,13.64,143228
2020-03-06,13.38,13.38,12.53,12.94,47528
2020-03-09,12.53,14.1,11.23,13.09,267380
2020-03-11,13.09,13.09,11.79,12.13,170848
2020-03-12,11.53,11.53,9.7,9.85,373260
2020-03-13,8.03,8.76,7.89,8.44,743048
2020-03-16,8.71,8.73,7.6,7.6,156488
2020-03-17,7.6,8.2,6.85,7.81,488360
2020-03-18,7.6,8.59,7.15,8.55,631820
2020-03-19,8.75,8.75,7.7,7.99,138112
2020-03-20,8.0,8.75,7.2,8.73,834440
2020-03-23,8.55,8.75,7.86,7.88,110100
2020-03-24,7.88,8.66,7.09,8.29,188848
2020-03-25,7.54,8.75,7.46,7.5,588980
2020-03-26,7.28,8.2,6.96,7.88,234088
2020-03-27,7.99,7.99,7.09,7.24,263752
2020-03-30,7.36,7.36,6.93,7.29,63376
2020-03-31,7.26,7.85,7.05,7.29,163784
2020-04-01,7.39,7.48,7.24,7.4,40464
2020-04-03,7.25,7.58,7.0,7.06,121396
2020-04-07,7.48,7.48,7.04,7.14,84516
