date,open,high,low,close,volume
2020-01-14,387.75,390.0,384.9,386.45,151786
2020-01-15,384.0,384.0,368.0,375.5,931365
2020-01-16,375.5,387.35,374.95,385.0,414665
2020-01-17,386.9,391.0,383.25,388.75,231417
2020-01-20,393.0,397.05,387.05,389.3,406361
2020-01-21,398.0,467.15,398.0,463.6,8414117
2020-01-22,470.25,505.0,447.1,455.1,10128155
2020-01-23,456.4,485.0,451.35,477.2,2636458
2020-01-24,481.8,484.9,470.0,472.65,835841
2020-01-27,471.0,475.0,462.6,470.1,353739
2020-01-28,471.95,479.4,467.0,473.65,332191
2020-01-29,474.65,495.8,472.65,487.95,1017911
2020-01-30,486.9,488.0,478.3,481.1,362211
2020-01-31,483.0,491.9,480.25,484.05,457239
2020-02-01,483.0,512.95,467.0,471.05,1631941
2020-02-03,473.0,495.0,461.65,487.75,495222
2020-02-04,489.0,489.2,475.0,483.75,250481
2020-02-05,484.9,488.1,475.25,479.15,229103
2020-02-06,479.0,498.35,478.7,490.3,956765
2020-02-07,492.4,493.35,482.2,487.65,318981
2020-02-10,487.0,488.95,477.0,481.0,211402
2020-02-11,480.25,495.0,480.0,492.5,462817
2020-02-12,495.1,519.0,495.1,510.7,2931425
2020-02-13,513.0,514.2,503.35,506.35,397397
2020-02-14,508.3,517.5,508.0,510.15,367636
2020-02-17,513.3,514.0,503.0,509.65,389070
2020-02-18,507.0,512.7,504.15,509.85,475940
2020-02-19,512.05,517.95,506.3,509.45,531095
2020-02-20,510.0,514.65,507.05,509.5,243208
2020-02-24,509.7,514.0,504.0,510.4,274934
2020-02-25,515.25,517.4,506.7,510.05,601041
2020-02-26,505.0,510.0,505.0,507.9,183689
2020-02-27,508.1,509.55,500.0,505.05,334846
2020-02-28,501.15,503.5,490.1,500.05,515552
2020-03-02,486.0,501.75,486.0,500.05,366929
2020-03-03,498.05,502.0,480.5,485.3,315822
2020-03-04,485.0,491.9,471.35,478.35,225730
2020-03-05,478.0,484.4,473.0,480.0,183826
2020-03-06,470.0,471.9,440.05,464.45,275087
2020-03-09,455.0,459.65,416.25,428.0,560611
2020-03-11,416.5,445.9,404.6,419.0,485012
2020-03-12,405.0,433.5,336.1,398.6,671681
2020-03-13,341.0,418.05,320.1,397.1,350245
2020-03-16,366.55,379.9,357.35,363.2,227491
2020-03-17,363.2,367.8,350.0,363.0,407792
2020-03-18,363.0,369.95,318.15,331.6,421641
2020-03-19,296.0,342.95,266.0,319.75,845755
2020-03-20,320.4,347.4,310.25,335.7,583965
