date,open,high,low,close,volume
2020-01-13,316.05,320.7,312.8,319.95,1354842
2020-01-14,320.0,325.5,316.85,320.5,1171343
2020-01-15,319.9,333.45,317.0,331.65,1587871
2020-01-16,330.5,334.9,326.0,327.1,2175032
2020-01-17,325.0,329.85,323.2,325.25,931898
2020-01-20,327.25,327.25,318.25,319.2,683308
2020-01-21,315.6,318.85,308.95,314.95,2824500
2020-01-22,315.75,319.45,312.0,317.5,2017725
2020-01-23,318.75,325.0,313.65,323.5,4802353
2020-01-24,329.0,329.0,320.4,323.8,3994678
2020-01-27,323.05,336.8,323.05,329.45,4961789
2020-01-28,331.9,336.0,324.0,325.8,4294074
2020-01-29,327.0,333.75,324.0,327.65,6085725
2020-01-30,329.4,330.5,325.0,326.85,1485564
2020-01-31,327.65,334.3,324.25,327.55,1687153
2020-02-01,325.0,328.9,315.0,318.55,1412660
2020-02-03,318.0,330.5,315.3,324.95,1061299
2020-02-04,326.0,334.5,325.7,332.25,1491701
2020-02-05,333.1,347.6,333.1,342.65,7914829
2020-02-06,345.3,349.0,328.95,340.2,4835953
2020-02-07,339.95,342.45,332.75,339.95,1819012
2020-02-10,339.95,339.95,332.05,335.6,835496
2020-02-11,336.5,341.75,332.25,333.3,977759
2020-02-12,333.5,339.8,333.5,338.85,1568078
2020-02-13,340.0,340.95,333.7,337.0,571382
2020-02-14,338.5,338.95,330.6,332.75,624421
2020-02-17,334.35,334.35,327.0,331.45,803122
2020-02-18,331.45,331.45,322.0,327.9,833069
2020-02-19,328.9,331.5,327.35,329.3,756692
2020-02-20,328.9,334.75,327.05,332.0,1549090
2020-02-24,332.0,332.0,321.9,323.25,1356324
2020-02-25,324.05,327.6,321.15,325.35,860974
2020-02-26,325.0,325.2,312.9,318.1,1060934
2020-02-27,319.95,319.95,311.0,314.55,1543557
2020-02-28,308.6,315.65,300.55,306.5,2260806
2020-03-02,309.0,317.0,299.55,302.0,1251381
2020-03-03,304.7,309.95,298.9,306.2,1957857
2020-03-04,308.0,308.0,289.55,295.6,2700726
2020-03-05,296.0,297.95,283.0,289.55,5632169
2020-03-06,275.0,283.0,267.0,280.55,2409257
2020-03-09,275.75,278.7,262.0,274.0,3423344
2020-03-11,275.65,279.55,256.1,262.1,2520194
2020-03-12,250.0,255.0,233.0,243.15,3641431
2020-03-13,230.0,263.9,210.35,245.35,10826629
2020-03-16,235.0,246.95,220.85,228.3,2408003
2020-03-17,234.7,242.0,214.05,217.4,3760442
2020-03-18,219.35,224.45,188.45,200.5,4387979
2020-03-19,185.0,198.25,170.95,183.75,4443978
2020-03-20,180.45,200.95,175.2,193.25,3550622
2020-03-23,175.0,184.0,126.6,136.05,3306915
2020-03-24,140.25,161.6,123.6,143.2,4060463
2020-03-25,143.2,162.0,141.1,157.85,4354542
2020-03-26,161.0,181.5,150.7,167.8,6448246
2020-03-27,175.8,184.0,166.75,169.15,4490909
2020-03-30,167.0,167.0,148.3,160.5,4677802
2020-03-31,166.9,167.05,151.0,152.85,3034121
2020-04-01,150.85,151.0,137.85,142.85,3774330
2020-04-03,147.0,147.0,122.5,124.65,4407286
2020-04-07,136.9,137.0,117.4,130.5,10843810
2020-04-08,130.5,154.8,125.6,150.75,7778145
2020-04-09,152.65,177.8,151.85,171.75,8111940
2020-04-13,170.0,170.55,146.0,150.15,7959997
2020-04-15,153.0,162.65,145.0,153.65,5959935
2020-04-16,152.85,162.9,149.0,159.4,8238477
2020-04-17,168.85,180.8,165.0,176.6,11964947
2020-04-20,180.0,183.7,151.0,155.75,10790371
2020-04-21,152.0,152.0,135.65,143.65,9325938
2020-04-22,142.15,154.45,137.0,150.35,8070184
2020-04-23,151.0,159.3,148.1,151.8,7826250
2020-04-24,145.0,145.8,132.05,132.9,16734283
2020-04-27,136.45,140.6,133.0,134.3,10768278
2020-04-28,136.8,147.7,135.5,147.2,13193551
2020-04-29,148.2,154.0,145.2,150.65,12004183
2020-04-30,154.8,170.6,153.35,159.45,18444012
2020-05-04,150.0,150.9,139.05,141.7,11859044
2020-05-05,147.6,151.3,140.05,142.05,12612405
2020-05-06,142.65,152.4,138.55,150.05,21966200
2020-05-07,148.5,155.95,145.0,148.85,15593429
2020-05-08,152.5,155.45,142.9,144.1,12318025
2020-05-11,146.95,154.5,142.75,151.9,18116072
2020-05-12,148.0,151.9,141.5,150.9,18182112
2020-05-13,162.1,165.95,153.75,157.7,14841950
2020-05-14,156.95,160.4,147.1,148.25,12910908
2020-05-15,149.95,151.25,146.3,149.35,6748261
2020-05-18,149.0,149.0,122.5,125.0,18614167
2020-05-19,129.7,132.35,126.35,127.1,12230168
2020-05-20,127.0,136.8,125.0,135.15,11693226
2020-05-21,137.15,138.75,128.7,129.85,12926318
2020-05-22,130.3,133.2,121.2,123.2,19823411
2020-05-26,126.55,126.9,120.5,122.1,10894130
2020-05-27,122.55,140.4,120.1,135.3,21892618
2020-05-28,135.0,137.55,129.6,135.1,17517968
2020-05-29,132.25,143.2,131.15,141.7,16719953
