date,open,high,low,close,volume
2020-01-13,1724.9,1789.95,1712.1,1774.75,536820
2020-01-14,1774.5,1818.0,1765.4,1807.0,687344
2020-01-15,1805.0,1819.9,1775.0,1804.55,438185
2020-01-16,1804.0,1804.45,1765.8,1782.95,323490
2020-01-17,1782.0,1818.9,1777.8,1799.1,263017
2020-01-20,1803.0,1805.0,1773.95,1781.2,134513
2020-01-21,1787.4,1818.0,1775.15,1801.65,374093
2020-01-22,1803.3,1896.0,1801.75,1872.65,1210892
2020-01-23,1872.0,2059.5,1857.4,1979.05,1207141
2020-01-24,1976.1,1979.05,1900.15,1932.05,1196651
2020-01-27,1929.0,1957.0,1912.0,1948.85,428335
2020-01-28,1951.0,2034.0,1950.0,2009.1,1231656
2020-01-29,2009.1,2042.55,1921.0,1941.05,1845201
2020-01-30,1935.0,1935.0,1832.05,1849.0,1514678
2020-01-31,1865.0,1964.6,1854.05,1942.45,1129204
2020-02-01,1929.0,1929.0,1845.0,1876.55,450704
2020-02-03,1879.9,1917.9,1868.75,1885.4,341567
2020-02-04,1899.9,1950.0,1897.6,1922.6,458477
2020-02-05,1929.95,1970.7,1921.35,1935.45,366975
2020-02-06,1953.0,1956.95,1880.45,1899.5,244162
2020-02-07,1910.8,1938.0,1876.2,1885.75,364726
2020-02-10,1890.0,1896.0,1833.05,1857.95,268670
2020-02-11,1861.85,1881.9,1823.3,1830.4,233960
2020-02-12,1836.0,1857.2,1781.2,1833.65,490258
2020-02-13,1832.0,1837.5,1800.0,1820.2,620623
2020-02-14,1825.0,1869.3,1825.0,1835.65,453478
2020-02-17,1846.45,1855.9,1792.85,1824.2,208806
2020-02-18,1827.9,1853.7,1806.0,1848.55,278478
2020-02-19,1850.55,1908.9,1844.55,1882.6,666656
2020-02-20,1885.05,1913.85,1845.05,1854.4,511083
2020-02-24,1854.45,1869.35,1829.15,1838.8,266476
2020-02-25,1848.4,1904.7,1841.4,1889.4,710576
2020-02-26,1895.0,1910.0,1853.0,1889.85,550885
2020-02-27,1875.85,1908.95,1860.6,1885.8,369349
2020-02-28,1820.0,1874.0,1667.55,1689.75,791185
2020-03-02,1697.0,1857.45,1697.0,1790.65,1411779
2020-03-03,1808.6,1917.1,1806.15,1901.7,1483311
2020-03-04,1906.4,1985.75,1792.2,1830.65,905618
2020-03-05,1830.0,1880.0,1796.6,1827.65,435452
2020-03-06,1800.0,1801.35,1736.65,1788.05,414794
2020-03-09,1765.0,1770.0,1631.65,1660.9,422301
2020-03-11,1667.0,1668.0,1595.1,1625.9,478474
2020-03-12,1479.55,1551.3,1401.65,1439.65,478545
2020-03-13,1296.0,1571.05,1252.1,1378.7,400395
2020-03-16,1291.0,1341.95,1228.25,1239.55,277815
2020-03-17,1232.1,1260.0,1170.0,1181.9,465562
2020-03-18,1189.25,1209.95,1102.05,1119.25,432196
2020-03-19,1064.0,1099.8,905.55,1035.85,863244
2020-03-20,1139.0,1165.0,994.4,1143.15,646910
2020-03-23,1030.0,1074.95,857.4,864.2,248231
2020-03-24,911.85,1080.25,735.35,1018.95,1063694
2020-03-25,986.0,1273.65,970.05,1242.95,843375
2020-03-26,1253.2,1367.2,1150.1,1169.2,1257919
2020-03-27,1180.0,1275.0,1160.5,1201.25,663879
2020-03-30,1150.0,1201.0,1103.15,1131.15,533300
2020-03-31,1201.0,1217.0,1131.35,1147.75,330841
2020-04-01,1135.0,1205.0,1066.4,1164.1,337957
2020-04-03,1171.1,1182.0,1011.05,1037.55,512848
2020-04-07,1071.0,1116.15,1042.0,1102.55,328969
2020-04-08,1100.0,1159.3,1062.5,1101.0,350000
2020-04-09,1116.15,1151.5,1104.0,1110.85,259795
2020-04-13,1100.0,1110.0,1061.35,1075.35,210552
2020-04-15,1115.0,1131.0,1071.4,1092.3,506393
2020-04-16,1080.0,1115.0,1054.2,1079.1,452690
2020-04-17,1101.0,1164.5,1101.0,1112.2,475932
2020-04-20,1125.0,1136.9,1080.0,1088.35,525659
2020-04-21,1075.0,1075.0,1028.5,1040.85,349913
2020-04-22,1042.0,1099.0,1019.4,1080.75,378375
2020-04-23,1083.5,1220.15,1083.5,1178.65,864933
2020-04-24,1181.0,1199.0,1085.25,1116.1,945001
2020-04-27,1130.0,1173.8,1078.3,1121.5,1040984
2020-04-28,1140.0,1215.9,1136.75,1178.9,1442053
2020-04-29,1185.0,1247.0,1161.75,1181.85,1396991
2020-04-30,1205.0,1245.45,1192.9,1203.45,657726
2020-05-04,1166.0,1225.0,1152.1,1181.5,900476
2020-05-05,1205.0,1235.0,1174.75,1189.75,801208
2020-05-06,1234.9,1448.0,1225.5,1418.8,5148456
2020-05-07,1401.0,1414.35,1350.15,1373.85,1354819
2020-05-08,1385.0,1431.95,1360.1,1402.55,1296521
2020-05-11,1405.05,1465.95,1400.0,1436.6,821363
2020-05-12,1420.0,1454.9,1396.1,1431.0,649246
2020-05-13,1488.0,1488.0,1408.05,1419.25,395733
2020-05-14,1401.0,1404.95,1326.15,1345.4,435909
2020-05-15,1354.95,1375.0,1334.1,1358.65,361711
2020-05-18,1369.85,1390.95,1330.2,1344.35,746100
2020-05-19,1354.25,1407.0,1348.55,1373.8,700013
2020-05-20,1375.0,1424.0,1370.0,1415.15,456700
2020-05-21,1416.0,1452.0,1396.0,1442.25,439237
2020-05-22,1451.0,1573.0,1450.0,1507.05,2494242
2020-05-26,1481.15,1526.35,1462.2,1485.5,598598
2020-05-27,1486.0,1513.65,1468.0,1493.85,650795
2020-05-28,1499.05,1511.35,1456.95,1472.9,472137
2020-05-29,1478.4,1497.0,1445.15,1451.7,547199
2020-06-01,1461.1,1503.0,1446.5,1450.95,626997
2020-06-02,1465.6,1486.6,1448.5,1457.6,457703
2020-06-03,1478.0,1488.0,1440.5,1444.15,627622
2020-06-04,1444.15,1459.85,1430.15,1445.3,368932
2020-06-05,1454.0,1517.9,1451.05,1468.15,1153845
2020-06-08,1480.0,1501.95,1443.2,1450.4,313359
2020-06-09,1459.8,1467.05,1381.7,1414.3,645680
2020-06-10,1425.15,1434.9,1389.25,1404.55,375893
2020-06-11,1406.9,1418.75,1353.05,1366.3,300744
2020-06-12,1302.0,1354.0,1302.0,1343.15,302615
2020-06-15,1345.0,1378.0,1324.5,1332.95,320523
2020-06-16,1351.0,1369.8,1328.05,1347.2,254767
2020-06-17,1335.5,1368.0,1322.0,1338.05,244650
2020-06-18,1338.05,1397.95,1334.4,1370.05,509157
