date,open,high,low,close,volume
2020-01-13,1459.0,1487.5,1459.0,1477.55,1006686
2020-01-14,1480.0,1507.0,1474.95,1502.7,1223576
2020-01-15,1508.8,1514.0,1494.35,1508.95,648059
2020-01-16,1513.95,1518.65,1498.1,1509.35,407701
2020-01-17,1511.95,1518.6,1506.9,1509.95,334414
2020-01-20,1515.0,1525.0,1495.0,1501.25,405916
2020-01-21,1499.45,1499.45,1483.2,1487.15,220146
2020-01-22,1487.0,1494.15,1461.2,1478.0,345273
2020-01-23,1477.9,1492.0,1476.95,1488.8,265153
2020-01-24,1491.0,1520.35,1491.0,1514.35,569596
2020-01-27,1511.0,1517.0,1475.05,1482.8,296520
2020-01-28,1485.0,1496.9,1465.0,1482.15,520787
2020-01-29,1494.7,1503.0,1480.25,1484.1,542146
2020-01-30,1490.0,1508.0,1385.7,1396.0,2247117
2020-01-31,1394.8,1394.8,1324.25,1328.55,2453672
2020-02-01,1329.0,1355.95,1290.5,1306.35,682989
2020-02-03,1314.5,1362.25,1309.05,1350.7,1223477
2020-02-04,1359.65,1379.8,1347.2,1359.4,714233
2020-02-05,1367.0,1379.8,1362.6,1372.5,365263
2020-02-06,1373.5,1388.9,1367.0,1384.9,541630
2020-02-07,1392.95,1393.25,1366.85,1370.65,481289
2020-02-10,1372.0,1376.0,1354.95,1368.45,221995
2020-02-11,1368.15,1369.65,1343.4,1349.75,668936
2020-02-12,1349.0,1369.95,1340.0,1349.0,535926
2020-02-13,1350.05,1357.0,1327.55,1345.4,622346
2020-02-14,1347.1,1358.75,1332.8,1340.3,302469
2020-02-17,1347.35,1352.0,1328.45,1332.35,314694
2020-02-18,1332.35,1334.0,1306.6,1325.7,365859
2020-02-19,1330.0,1357.0,1326.0,1353.4,415878
2020-02-20,1361.95,1366.95,1339.55,1343.5,467051
2020-02-24,1342.0,1361.9,1326.0,1333.65,425905
2020-02-25,1335.0,1355.0,1328.55,1345.3,439256
2020-02-26,1344.8,1344.8,1315.55,1325.8,400747
2020-02-27,1333.1,1338.4,1313.25,1325.1,552259
2020-02-28,1312.0,1320.0,1280.5,1285.4,681998
2020-03-02,1300.2,1325.0,1288.75,1295.35,638567
2020-03-03,1303.75,1328.95,1296.05,1319.85,463353
2020-03-04,1320.55,1327.45,1288.9,1312.45,596703
2020-03-05,1312.45,1350.0,1310.05,1343.2,615834
2020-03-06,1310.0,1334.5,1292.0,1320.9,488488
2020-03-09,1320.9,1321.0,1245.1,1264.2,645399
2020-03-11,1272.05,1280.0,1246.0,1250.15,349954
2020-03-12,1223.0,1254.0,1172.0,1205.05,1631263
2020-03-13,1170.0,1277.4,1084.55,1200.9,861741
2020-03-16,1199.6,1199.6,1144.45,1156.2,582975
2020-03-17,1165.2,1195.9,1142.7,1149.7,764273
2020-03-18,1158.9,1169.95,1111.1,1131.05,938588
2020-03-19,1100.0,1136.0,1065.0,1112.55,924958
2020-03-20,1125.0,1212.0,1115.0,1186.45,693780
2020-03-23,1100.0,1215.4,1080.0,1095.0,845164
2020-03-24,1084.05,1151.0,1082.6,1124.0,1053937
