date,open,high,low,close,volume
2020-01-13,563.55,567.4,559.5,561.8,562622
2020-01-14,561.8,570.8,561.75,566.95,581279
2020-01-15,566.5,566.5,556.0,557.1,789912
2020-01-16,563.9,565.0,554.1,558.05,1061246
2020-01-17,557.9,560.55,552.35,554.4,472663
2020-01-20,554.0,556.35,549.15,550.95,393683
2020-01-21,550.5,554.25,550.0,551.55,327726
2020-01-22,551.0,552.95,546.3,550.3,628321
2020-01-23,549.05,555.35,547.3,552.9,1063748
2020-01-24,552.9,563.0,552.5,561.35,1002863
2020-01-27,559.0,574.5,557.0,570.2,1280402
2020-01-28,574.85,579.9,569.0,571.75,1132177
2020-01-29,575.0,581.9,570.45,579.65,902503
2020-01-30,580.0,584.65,568.5,572.8,1345292
2020-01-31,572.8,578.85,563.1,567.0,692547
2020-02-01,570.5,579.0,534.95,542.75,1066397
2020-02-03,540.1,552.95,540.1,545.15,856408
2020-02-04,548.0,568.0,547.9,566.35,779973
2020-02-05,566.5,600.0,552.0,594.5,2991672
2020-02-06,599.45,602.2,582.3,584.8,1073812
2020-02-07,583.0,588.35,573.0,575.2,782279
2020-02-10,569.55,575.9,562.9,572.45,739211
2020-02-11,575.95,581.9,570.9,574.7,836442
2020-02-12,574.4,576.8,569.2,571.2,526605
2020-02-13,570.9,572.95,564.5,566.0,446752
2020-02-14,565.0,566.95,558.05,560.2,684950
2020-02-17,561.7,562.2,548.85,551.35,551122
2020-02-18,551.35,552.55,531.7,535.5,799197
2020-02-19,537.1,561.5,535.45,554.4,1032847
2020-02-20,551.4,560.0,548.0,550.05,539812
2020-02-24,549.0,563.95,541.25,548.0,777678
2020-02-25,548.2,550.95,540.4,542.0,601461
2020-02-26,535.4,542.2,510.15,515.8,1684463
2020-02-27,511.1,521.35,502.55,513.0,1504002
2020-02-28,506.1,530.25,492.2,509.65,2747757
2020-03-02,514.0,523.55,491.0,496.15,729206
2020-03-03,499.15,510.35,485.0,489.55,1337625
2020-03-04,492.6,501.4,468.85,478.95,2246982
2020-03-05,481.4,482.5,462.0,466.15,2296805
2020-03-06,450.2,453.9,440.0,444.35,1328003
2020-03-09,426.2,433.95,412.35,417.25,1748116
2020-03-11,414.9,417.0,391.05,394.65,2468238
2020-03-12,377.95,385.4,351.0,376.15,2759840
2020-03-13,342.0,402.15,300.95,388.6,1918753
2020-03-16,378.0,387.25,352.0,354.85,1911154
2020-03-17,357.0,367.9,338.0,341.45,1060085
2020-03-18,341.0,345.0,291.45,298.4,2805978
2020-03-19,290.0,304.5,270.2,285.9,1787595
2020-03-20,288.45,352.35,288.45,331.9,3787027
2020-03-23,302.0,310.45,284.5,299.15,1900207
2020-03-24,306.1,328.0,271.0,279.35,2463499
2020-03-25,270.0,287.9,263.4,285.8,2323539
2020-03-26,284.0,314.35,275.0,305.7,2537652
2020-03-27,325.35,351.55,306.0,309.2,2980150
2020-03-30,305.2,314.4,292.3,304.25,1414245
2020-03-31,309.1,334.65,309.1,331.65,2473004
2020-04-01,334.0,337.7,311.3,317.5,1305776
2020-04-03,321.0,330.0,302.0,304.5,1536089
2020-04-07,315.0,334.95,312.4,329.2,1479999
2020-04-08,329.75,353.95,328.1,333.75,1536264
2020-04-09,336.0,384.7,336.0,374.25,4174365
2020-04-13,380.0,398.8,376.0,382.2,2845404
2020-04-15,382.5,398.8,380.65,383.55,1724976
2020-04-16,385.0,386.0,366.7,371.05,1819182
2020-04-17,388.15,394.9,370.15,376.9,2008707
2020-04-20,380.0,383.55,368.6,370.3,1953902
2020-04-21,367.3,373.95,361.15,365.75,1414222
2020-04-22,363.0,370.85,358.5,367.0,808825
2020-04-23,367.0,373.6,362.9,367.8,547744
2020-04-24,368.0,376.6,359.5,361.1,934149
2020-04-27,362.0,378.0,354.05,358.7,752258
2020-04-28,358.1,367.95,352.45,357.2,1231981
2020-04-29,360.0,370.1,357.25,366.1,1320934
2020-04-30,371.0,381.9,369.1,373.05,1463582
2020-05-04,369.0,371.0,342.3,348.35,989252
2020-05-05,352.5,367.85,333.3,336.0,1824134
2020-05-06,339.0,354.0,325.85,351.45,1552815
2020-05-07,351.45,366.85,345.25,359.4,1208483
2020-05-08,357.95,366.55,356.35,358.75,786847
2020-05-11,359.0,369.35,356.7,364.95,1107641
2020-05-12,366.9,375.0,359.4,362.3,1266342
2020-05-13,374.0,384.0,365.0,380.45,1959768
2020-05-14,382.7,394.9,374.35,378.45,2553969
2020-05-15,378.95,385.85,371.2,378.35,1983442
2020-05-18,380.9,381.6,343.45,349.5,1826005
2020-05-19,355.0,364.8,347.9,350.55,2538310
2020-05-20,345.6,354.4,341.1,350.75,1422459
2020-05-21,355.0,362.0,350.3,359.05,1830218
2020-05-22,357.7,365.0,345.3,348.35,1839883
2020-05-26,350.5,355.8,342.55,351.2,755153
2020-05-27,355.0,355.5,339.3,350.15,1213102
2020-05-28,351.5,359.95,347.2,351.65,1313151
2020-05-29,352.0,386.8,346.15,376.1,5144640
2020-06-01,380.0,413.0,380.0,394.4,5182488
2020-06-02,396.1,401.0,386.2,391.55,3091310
2020-06-03,394.0,405.2,386.35,389.5,2598152
2020-06-04,391.0,396.8,385.65,390.4,2284389
2020-06-05,393.5,409.9,392.65,402.6,3315528
2020-06-08,409.0,419.95,401.3,411.55,2611702
2020-06-09,427.0,434.95,411.55,419.6,8761201
2020-06-10,421.0,422.6,407.85,410.05,1775442
2020-06-11,410.0,410.0,388.25,389.9,2555378
2020-06-12,370.0,397.5,365.1,394.55,2083700
2020-06-15,391.4,398.7,382.0,383.85,2062852
2020-06-16,386.95,393.2,372.75,378.55,3319865
2020-06-17,377.5,391.65,374.05,384.5,1534928
2020-06-18,385.0,403.1,383.05,400.5,2314054
2020-06-19,402.0,411.95,399.35,409.05,2254649
