date,open,high,low,close,volume
2020-01-13,539.8,549.9,536.3,544.55,272841
2020-01-14,542.6,560.95,539.95,558.0,177853
2020-01-15,557.4,580.0,556.25,572.4,455544
2020-01-16,579.3,597.1,572.0,583.8,325962
2020-01-17,586.0,596.0,583.65,586.35,216816
2020-01-20,590.0,604.0,576.7,601.75,264829
2020-01-21,592.85,599.9,581.1,592.8,441459
2020-01-22,592.8,600.2,589.5,594.65,321505
2020-01-23,597.6,619.0,592.8,612.6,1151686
2020-01-24,615.65,618.0,594.45,608.55,308523
2020-01-27,604.0,610.0,596.25,603.45,155986
2020-01-28,607.0,624.0,604.8,615.05,423283
2020-01-29,617.35,624.0,612.3,618.1,405868
2020-01-30,617.0,629.75,601.3,620.8,281357
2020-01-31,624.8,641.45,612.0,631.85,717405
2020-02-01,630.0,638.95,608.5,617.65,163853
2020-02-03,611.55,638.0,605.05,629.65,320154
2020-02-04,633.4,642.0,614.65,619.75,307825
2020-02-05,622.7,630.0,612.0,619.75,135142
2020-02-06,625.0,630.0,619.0,628.6,44729
2020-02-07,626.15,627.85,612.65,619.6,184254
2020-02-10,622.7,622.7,612.0,614.5,107882
2020-02-11,615.1,618.95,604.0,608.15,91983
2020-02-12,609.85,619.4,603.8,616.8,243669
2020-02-13,621.0,630.0,619.0,624.2,193945
2020-02-14,626.0,636.95,625.05,633.2,228021
2020-02-17,638.0,638.9,616.7,626.8,285111
2020-02-18,623.9,628.7,604.35,623.75,179790
2020-02-19,623.75,626.8,615.25,619.75,49910
2020-02-20,624.7,627.0,601.65,619.6,201592
2020-02-24,619.0,629.0,611.05,624.7,139972
2020-02-25,620.55,626.9,618.1,620.05,114040
2020-02-26,620.0,621.9,605.8,612.2,210506
2020-02-27,612.2,620.0,601.45,614.55,69179
2020-02-28,604.0,619.0,578.6,615.5,711231
2020-03-02,611.0,622.0,604.0,615.35,322847
2020-03-03,610.15,632.85,603.25,619.25,162529
2020-03-04,619.4,628.9,610.0,618.5,126717
2020-03-05,613.65,621.9,606.05,618.65,150578
2020-03-06,602.3,625.0,602.3,618.55,146256
2020-03-09,615.5,619.0,582.6,602.75,499248
2020-03-11,608.0,630.0,604.25,622.1,239980
2020-03-12,603.55,610.25,555.05,576.55,353897
2020-03-13,539.0,628.75,470.0,599.1,679271
2020-03-16,573.0,596.0,540.0,569.3,245202
2020-03-17,558.0,578.35,548.2,569.55,378631
2020-03-18,566.3,576.85,544.0,550.8,493888
2020-03-19,515.0,539.7,507.3,524.15,261794
2020-03-20,525.75,565.0,475.0,554.0,492688
