date,open,high,low,close,volume
2019-11-13,1416.95,1438.0,1395.1,1406.65,15518
2019-11-14,1406.0,1425.0,1375.0,1422.45,42356
2019-11-15,1430.0,1490.7,1410.05,1481.1,20768
2019-11-18,1485.0,1514.2,1456.55,1503.25,265323
2019-11-19,1512.0,1527.0,1490.05,1513.95,13569
2019-11-20,1524.2,1524.2,1500.0,1519.65,9736
2019-11-21,1515.0,1520.0,1500.0,1515.05,12368
2019-11-22,1514.7,1525.0,1505.0,1515.5,10407
2019-11-25,1520.0,1549.0,1500.0,1509.95,26936
2019-11-26,1511.5,1532.0,1506.75,1511.0,124130
2019-11-27,1510.1,1550.0,1510.1,1545.7,18185
2019-11-28,1548.0,1582.0,1529.3,1572.65,16075
2019-11-29,1566.3,1609.0,1555.55,1595.95,17501
2019-12-02,1587.0,1635.0,1587.0,1621.75,18971
2019-12-03,1624.95,1650.0,1620.0,1645.65,15928
2019-12-04,1645.65,1674.0,1606.55,1667.65,17324
2019-12-05,1652.0,1661.0,1621.0,1633.85,10906
2019-12-06,1639.9,1658.05,1630.0,1644.65,9243
2019-12-09,1641.55,1669.0,1622.15,1662.85,7493
2019-12-10,1651.35,1699.0,1632.65,1682.05,21010
2019-12-11,1685.0,1698.0,1640.1,1665.3,21808
2019-12-12,1656.85,1729.45,1642.1,1703.1,53112
2019-12-13,1703.0,1728.95,1685.05,1716.55,20734
2019-12-16,1717.55,1746.75,1717.0,1723.9,16858
2019-12-17,1721.0,1796.0,1721.0,1778.75,20540
2019-12-18,1779.8,1779.8,1751.1,1771.05,11040
2019-12-19,1765.4,1800.0,1746.15,1789.8,11513
2019-12-20,1809.0,1810.0,1790.0,1801.8,38009
2019-12-23,1805.0,2068.0,1800.0,1987.7,339157
2019-12-24,1926.0,1953.75,1845.0,1871.1,174739
2019-12-26,1880.0,1907.0,1810.0,1844.65,57941
2019-12-27,1853.3,1875.0,1812.0,1823.95,33131
2019-12-30,1826.55,1846.0,1782.0,1819.9,33938
2019-12-31,1820.2,1975.0,1810.2,1907.6,396704
2020-01-01,1900.0,1978.7,1872.05,1947.85,199897
2020-01-02,1947.85,1955.75,1918.0,1928.9,35794
2020-01-03,1932.0,1932.0,1885.45,1891.45,28412
2020-01-06,1881.75,1883.15,1802.3,1815.0,27473
2020-01-07,1815.0,1861.0,1815.0,1835.35,22069
2020-01-08,1824.0,1824.05,1781.4,1805.8,20941
2020-01-09,1825.0,1870.8,1812.0,1827.45,11103
2020-01-10,1817.05,1888.95,1817.05,1830.5,24896
2020-01-13,1835.25,1845.0,1815.5,1824.7,17435
2020-01-14,1836.0,1840.0,1800.0,1803.9,14108
2020-01-15,1805.0,1848.95,1804.05,1810.4,17789
2020-01-16,1816.0,1840.0,1816.0,1834.35,20355
2020-01-17,1834.0,1845.0,1810.0,1820.6,12225
2020-01-20,1822.0,1867.0,1805.0,1814.6,25654
2020-01-21,1810.0,1826.95,1783.0,1787.85,13874
2020-01-22,1800.0,1839.8,1795.0,1809.9,26339
2020-01-23,1800.0,1825.0,1790.0,1797.85,10557
2020-01-24,1797.85,1819.9,1785.1,1801.05,6824
2020-01-27,1802.0,1820.9,1782.0,1789.85,11231
2020-01-28,1800.0,1806.8,1750.0,1758.3,9292
2020-01-29,1760.05,1774.8,1711.0,1742.6,29260
2020-01-30,1742.6,1742.8,1663.15,1700.7,43126
2020-01-31,1701.0,1733.0,1677.55,1702.65,16874
2020-02-01,1702.2,1770.0,1699.7,1701.95,12743
2020-02-03,1702.2,1711.75,1677.05,1699.05,40715
2020-02-04,1700.0,1740.8,1683.75,1699.95,20899
2020-02-05,1722.0,1733.95,1688.1,1695.35,51040
2020-02-06,1686.0,1702.75,1685.0,1690.45,29695
2020-02-07,1690.5,1698.0,1665.2,1680.15,9916
2020-02-10,1670.05,1692.55,1652.8,1667.25,12098
2020-02-11,1667.0,1677.4,1610.0,1621.9,17479
2020-02-12,1622.0,1625.0,1584.6,1608.75,55089
2020-02-13,1614.95,1632.0,1590.0,1594.75,39015
2020-02-14,1595.0,1620.05,1548.65,1585.3,14027
2020-02-17,1587.45,1616.3,1580.0,1582.25,42323
2020-02-18,1590.45,1597.55,1540.0,1585.5,40921
2020-02-19,1588.6,1663.7,1588.6,1636.4,60922
2020-02-20,1640.0,1700.0,1634.75,1672.7,103477
2020-02-24,1698.0,1698.0,1650.1,1665.8,31656
2020-02-25,1679.9,1695.0,1628.6,1640.15,14962
2020-02-26,1600.0,1646.35,1550.0,1569.25,52409
2020-02-27,1579.95,1610.0,1546.0,1550.65,37845
2020-02-28,1525.0,1538.0,1472.0,1519.1,28864
2020-03-02,1528.0,1559.95,1511.15,1525.95,27160
2020-03-03,1531.85,1569.0,1512.65,1530.05,19819
2020-03-04,1531.0,1538.0,1486.55,1509.65,14405
2020-03-05,1520.0,1570.0,1515.0,1564.05,10989
2020-03-06,1520.0,1555.0,1516.2,1540.2,12889
2020-03-09,1505.0,1520.0,1485.0,1505.6,20673
2020-03-11,1505.6,1519.9,1420.0,1437.05,20862
2020-03-12,1410.0,1534.45,1368.3,1425.35,49568
2020-03-13,1380.0,1499.95,1320.65,1485.8,48697
2020-03-16,1469.5,1469.5,1355.0,1371.3,22677
2020-03-17,1370.0,1399.75,1340.85,1362.6,16924
2020-03-18,1341.0,1391.0,1305.2,1316.65,33310
2020-03-19,1290.0,1297.3,1216.1,1225.95,37442
2020-03-20,1240.0,1308.15,1152.4,1227.35,48810
2020-03-23,1052.7,1299.0,1052.7,1155.95,23760
2020-03-24,1250.0,1294.7,1225.65,1240.7,21917
2020-03-25,1230.0,1270.0,1162.0,1232.3,26473
2020-03-26,1244.0,1450.0,1202.3,1399.6,56693
2020-03-27,1451.65,1477.0,1250.0,1274.35,65633
2020-03-30,1274.95,1330.0,1255.0,1274.15,14568
2020-03-31,1276.0,1319.95,1247.0,1254.3,19499
2020-04-01,1257.05,1265.55,1205.0,1209.55,15915
2020-04-03,1233.75,1233.75,1160.5,1170.25,145590
2020-04-07,1186.15,1243.0,1186.15,1219.45,213746
2020-04-08,1230.0,1275.0,1202.15,1211.4,84943
2020-04-09,1249.95,1309.0,1226.15,1300.6,26182
2020-04-13,1339.0,1479.9,1290.05,1437.45,139292
2020-04-15,1445.0,1475.0,1359.05,1393.55,36006
2020-04-16,1403.0,1429.9,1357.0,1400.15,20103
