date,open,high,low,close,volume
2020-01-13,238.5,240.95,238.5,240.15,563247
2020-01-14,241.65,245.45,240.5,242.6,3935343
2020-01-15,242.8,247.75,241.5,246.15,418612
2020-01-16,247.65,250.0,245.95,246.35,714170
2020-01-17,247.5,258.4,247.0,254.2,816700
2020-01-20,255.5,258.3,253.1,255.15,585793
2020-01-21,255.0,258.0,253.1,255.1,274560
2020-01-22,255.15,262.6,252.15,260.95,916653
2020-01-23,261.0,264.5,258.15,260.1,367592
2020-01-24,259.5,263.05,258.5,262.4,769979
2020-01-27,262.4,267.0,260.3,261.9,264073
2020-01-28,260.1,264.3,256.45,258.65,461251
2020-01-29,260.25,263.3,255.0,258.25,343453
2020-01-30,262.0,273.0,260.0,267.05,1141906
2020-01-31,269.0,293.8,269.0,284.45,3088450
2020-02-01,279.7,284.85,264.85,278.75,883198
2020-02-03,278.0,301.4,278.0,287.45,1600397
2020-02-04,286.2,290.35,280.3,283.9,655666
2020-02-05,285.6,292.0,283.1,288.7,903786
2020-02-06,288.0,288.95,279.1,283.65,564939
2020-02-07,283.7,289.0,277.0,284.65,643728
2020-02-10,285.5,290.0,279.75,281.45,567353
2020-02-11,282.0,286.45,272.0,273.85,791784
2020-02-12,275.35,287.35,272.5,282.3,1359708
2020-02-13,286.75,288.65,275.65,278.05,908329
2020-02-14,280.0,284.8,273.55,281.9,754034
2020-02-17,282.9,301.0,282.9,290.5,2112998
2020-02-18,290.9,296.75,281.55,286.2,1157302
2020-02-19,285.9,293.65,284.1,290.2,563624
2020-02-20,293.2,301.45,289.55,290.95,1635968
2020-02-24,288.0,299.0,282.65,287.7,4029951
2020-02-25,287.45,291.8,282.4,286.9,563594
2020-02-26,287.2,289.15,280.65,287.6,673356
2020-02-27,288.7,288.7,280.5,283.35,722680
2020-02-28,277.5,285.0,260.1,279.0,1528606
2020-03-02,281.5,285.85,273.0,276.0,1481974
2020-03-03,276.05,283.0,273.2,277.85,871807
2020-03-04,279.7,283.9,264.0,269.65,1103861
2020-03-05,274.0,280.4,267.5,276.35,588208
2020-03-06,262.8,279.5,262.7,271.65,620362
2020-03-09,266.2,269.95,260.0,264.4,622715
2020-03-11,261.3,263.85,250.0,253.95,1359509
2020-03-12,242.35,255.0,233.0,246.3,1240998
2020-03-13,224.0,251.95,224.0,246.6,3565016
2020-03-16,235.5,244.25,228.05,230.0,3530135
2020-03-17,234.8,237.85,220.0,221.75,2163094
2020-03-18,223.05,228.8,216.8,220.2,933535
2020-03-19,212.0,222.45,185.5,211.1,2368945
2020-03-20,211.1,227.0,203.05,213.85,1297630
2020-03-23,200.0,207.7,177.3,190.6,1086477
2020-03-24,195.65,203.0,187.0,189.8,1213412
2020-03-25,192.0,197.0,187.15,190.75,435363
2020-03-26,196.9,205.9,188.75,195.4,1078539
2020-03-27,198.85,208.8,189.2,192.6,1667697
2020-03-30,193.4,197.65,186.0,189.05,814487
2020-03-31,192.25,215.0,191.15,208.8,1167467
2020-04-01,210.1,213.15,199.7,203.85,1191284
2020-04-03,203.85,218.3,201.3,207.0,1179375
2020-04-07,213.4,213.4,202.0,210.2,1735161
2020-04-08,211.0,219.85,208.1,210.9,635316
2020-04-09,217.8,230.8,215.25,224.0,889101
2020-04-13,225.8,227.75,210.05,212.9,502697
2020-04-15,215.15,221.35,210.0,219.15,822043
2020-04-16,219.0,219.0,210.2,212.3,744202
2020-04-17,216.0,220.05,215.05,218.0,661359
2020-04-20,221.5,221.5,212.0,213.4,479787
2020-04-21,212.2,223.3,200.3,216.0,836368
2020-04-22,220.05,225.35,213.25,219.25,926772
2020-04-23,221.75,237.0,221.75,228.15,919239
2020-04-24,222.5,224.7,216.5,219.6,346301
2020-04-27,223.7,225.6,214.0,216.3,624998
2020-04-28,219.7,219.7,210.1,214.75,726506
2020-04-29,216.0,220.95,212.75,217.55,1775039
2020-04-30,221.9,239.65,219.9,222.2,1834769
2020-05-04,219.9,226.4,212.25,213.25,552983
2020-05-05,216.6,217.7,210.75,214.75,472135
2020-05-06,216.0,217.9,205.05,209.45,1108387
2020-05-07,208.0,209.55,204.15,207.75,555299
2020-05-08,211.95,211.95,202.5,203.1,227910
2020-05-11,207.0,216.0,205.2,213.7,553267
2020-05-12,211.0,217.75,210.2,216.35,575358
2020-05-13,222.0,224.0,214.1,214.95,634324
2020-05-14,213.0,213.75,207.5,208.15,363835
2020-05-15,210.25,212.8,207.45,207.85,247080
2020-05-18,209.0,211.1,196.55,199.7,1471291
2020-05-19,202.1,207.0,199.75,202.15,1490496
2020-05-20,204.9,215.0,203.25,211.5,765122
2020-05-21,211.7,222.75,208.25,211.8,1380812
2020-05-22,213.0,216.95,209.15,213.0,394648
2020-05-26,213.8,217.6,210.1,215.2,1570657
2020-05-27,217.4,221.15,210.55,215.05,939236
2020-05-28,216.9,223.4,211.2,218.7,2053120
2020-05-29,219.0,227.9,213.55,224.35,2664731
2020-06-01,228.0,238.7,226.0,230.45,1538110
2020-06-02,231.2,244.9,231.15,240.95,1162285
2020-06-03,245.55,247.75,237.6,238.9,1255356
2020-06-04,239.9,240.05,227.15,229.5,484416
2020-06-05,232.9,232.9,227.5,228.2,1696604
2020-06-08,231.9,231.9,224.0,227.8,861161
2020-06-09,229.5,229.5,220.65,223.4,528801
2020-06-10,220.6,241.8,217.2,236.85,1500644
2020-06-11,236.45,236.45,226.25,228.05,333165
2020-06-12,218.5,228.85,218.5,225.05,309074
2020-06-15,225.0,227.2,220.65,221.65,425745
2020-06-16,227.0,230.95,222.35,225.25,1067779
2020-06-17,225.0,231.9,222.8,229.95,892416
2020-06-18,227.1,232.65,227.1,229.55,364772
2020-06-19,230.0,231.55,226.0,229.7,838680
2020-06-22,229.0,231.05,224.8,225.2,707170
2020-06-23,227.4,231.5,225.25,230.45,1042372
2020-06-24,232.0,232.9,226.05,227.1,920761
2020-06-25,227.9,235.75,224.3,230.8,1156332
2020-06-26,232.0,238.9,229.4,236.25,599980
2020-06-29,234.6,238.4,228.5,235.05,342116
2020-06-30,236.25,243.75,234.0,238.65,1629034
2020-07-01,237.6,240.95,235.05,238.8,362160
2020-07-02,240.5,240.9,237.25,240.05,394558
2020-07-03,240.55,244.0,235.35,236.4,215062
2020-07-06,239.8,248.0,235.5,246.5,1602685
2020-07-07,242.65,245.8,234.3,241.1,3300762
2020-07-08,242.45,243.4,236.3,239.65,1086596
2020-07-09,241.0,250.2,237.05,247.0,1028151
2020-07-10,245.9,245.9,239.05,240.85,398444
2020-07-13,240.05,254.0,238.9,245.8,979806
2020-07-14,246.65,246.65,238.05,243.15,510481
2020-07-15,245.1,245.4,238.2,242.25,776758
2020-07-16,242.1,243.9,238.25,241.25,299828
2020-07-17,242.25,243.75,239.1,242.95,548455
2020-07-20,241.9,253.7,240.15,250.45,726606
2020-07-21,254.0,254.85,242.1,243.1,564322
2020-07-22,243.0,246.95,241.4,246.0,597904
2020-07-23,243.5,253.35,243.5,252.15,591854
2020-07-24,249.0,254.95,240.4,250.45,1205651
2020-07-27,250.0,252.85,239.05,246.8,960607
2020-07-28,247.1,253.25,243.2,251.95,1078492
2020-07-29,253.45,253.45,245.1,249.05,1243667
2020-07-30,251.95,252.0,244.4,245.05,421537
2020-07-31,245.0,246.8,242.45,244.1,497252
2020-08-03,244.1,245.9,238.0,240.2,508683
2020-08-04,242.6,246.0,241.3,245.6,330146
2020-08-05,246.0,256.65,245.35,250.0,747642
2020-08-06,248.5,266.8,248.5,260.05,2405382
2020-08-07,262.45,265.6,252.05,260.65,668445
2020-08-10,258.05,262.7,257.8,259.8,488928
2020-08-11,261.0,269.0,260.05,261.6,621579
2020-08-12,260.0,261.0,247.0,249.35,833078
2020-08-13,250.95,253.3,248.1,251.0,1107730
2020-08-14,251.8,251.8,246.6,250.45,736511
2020-08-17,251.95,255.95,249.35,252.45,668908
2020-08-18,254.4,265.0,254.4,259.0,2000627
2020-08-19,258.2,262.8,255.15,260.55,352102
2020-08-20,260.45,265.9,258.0,263.9,563252
2020-08-21,264.2,266.8,261.35,264.0,327090
2020-08-24,266.0,268.9,259.1,260.75,340922
2020-08-25,259.2,267.55,258.65,264.45,366302
2020-08-26,266.0,267.75,260.0,260.75,334901
2020-08-27,265.0,270.0,262.25,266.1,543148
2020-08-28,267.0,272.55,267.0,270.25,616853
2020-08-31,272.3,278.0,258.35,271.8,990375
2020-09-01,271.0,278.0,265.1,266.6,681484
2020-09-02,268.75,269.95,259.8,262.8,574304
2020-09-03,262.8,270.4,258.8,266.8,517378
2020-09-04,260.8,267.75,260.8,263.45,527373
2020-09-07,262.15,264.25,258.0,261.1,624803
2020-09-08,262.8,264.25,254.8,256.0,1422348
2020-09-09,255.95,257.8,249.95,250.3,1590015
2020-09-10,252.6,255.65,249.0,250.3,207128
2020-09-11,250.45,258.8,250.45,254.3,240832
2020-09-14,258.0,278.8,257.0,267.9,2212457
2020-09-15,270.95,283.5,270.95,276.05,4515488
2020-09-16,278.0,284.0,273.55,280.15,1019261
2020-09-17,275.1,283.0,273.65,279.1,294108
2020-09-18,282.8,285.45,275.7,279.7,862059
2020-09-21,280.0,282.85,266.8,269.25,402860
2020-09-22,267.2,276.0,252.65,265.9,730911
