date,open,high,low,close,volume
2020-01-13,591.9,592.4,586.0,590.4,242018
2020-01-14,591.85,598.8,589.45,593.45,298076
2020-01-15,593.8,595.0,577.05,580.35,541744
2020-01-16,582.0,597.25,582.0,591.8,749424
2020-01-17,595.45,597.1,577.45,578.9,470283
2020-01-20,581.7,588.9,573.0,584.15,425150
2020-01-21,580.0,592.0,578.7,580.4,361234
2020-01-22,579.9,587.65,579.9,584.15,215727
2020-01-23,587.0,587.0,568.0,569.35,608267
2020-01-24,570.9,606.0,570.35,595.15,1515868
2020-01-27,594.0,608.95,590.15,605.25,1922343
2020-01-28,608.4,614.4,583.6,588.35,1051918
2020-01-29,624.0,652.8,594.0,601.2,18713513
2020-01-30,597.9,600.95,580.1,584.6,1929888
2020-01-31,585.0,595.45,572.2,574.55,991940
2020-02-01,568.0,585.0,552.0,562.1,889597
2020-02-03,562.0,569.85,555.0,560.95,559415
2020-02-04,561.0,572.2,561.0,564.75,279291
2020-02-05,566.9,580.5,566.05,570.4,489017
2020-02-06,573.2,577.0,564.0,567.7,360422
2020-02-07,560.95,563.9,552.15,558.05,598230
2020-02-10,560.8,561.5,541.15,546.7,748649
2020-02-11,548.1,556.95,544.0,545.85,322707
2020-02-12,545.8,556.35,543.0,551.1,455991
2020-02-13,550.0,554.8,546.15,549.05,314176
2020-02-14,547.0,552.2,535.45,536.95,332513
2020-02-17,534.0,539.45,528.65,536.75,391945
2020-02-18,536.35,536.5,523.55,530.4,464714
2020-02-19,531.15,544.45,531.15,539.8,292470
2020-02-20,539.85,556.5,539.85,554.75,493528
2020-02-24,555.0,559.4,542.1,545.0,501427
2020-02-25,544.0,547.55,531.4,535.65,304682
2020-02-26,535.0,543.5,527.0,533.35,415081
2020-02-27,535.0,535.35,511.2,518.1,903380
2020-02-28,509.45,515.0,496.6,510.95,583329
2020-03-02,513.0,521.55,497.0,500.4,432302
2020-03-03,502.8,550.4,500.1,506.25,579484
2020-03-04,506.0,511.65,492.0,497.7,670122
2020-03-05,499.7,508.9,494.5,502.55,375385
2020-03-06,492.0,509.0,483.6,503.6,336317
2020-03-09,499.05,499.05,477.5,482.45,644253
2020-03-11,485.0,489.5,471.45,477.8,480834
2020-03-12,465.0,465.0,418.5,448.3,1268931
2020-03-13,410.0,453.9,404.0,447.8,463441
2020-03-16,437.0,443.35,415.8,437.65,787495
2020-03-17,430.0,460.0,417.3,446.55,898666
2020-03-18,449.05,451.2,431.55,441.7,461346
2020-03-19,430.0,442.0,414.0,420.1,2095708
2020-03-20,421.5,436.4,414.9,422.15,1706018
2020-03-23,408.2,414.75,388.0,395.9,1744984
2020-03-24,400.0,414.0,385.0,395.35,738512
2020-03-25,390.0,392.9,365.8,369.75,1460575
2020-03-26,372.0,389.7,365.2,379.3,793362
2020-03-27,390.0,395.0,348.2,357.6,668074
2020-03-30,351.0,357.0,326.7,331.6,1364098
2020-03-31,340.0,347.95,322.75,326.7,1344531
2020-04-01,328.65,330.9,304.45,308.5,1195274
2020-04-03,311.0,314.95,296.45,298.65,1396809
2020-04-07,315.8,315.8,283.0,287.15,3777546
2020-04-08,286.0,338.05,280.0,330.05,5604056
2020-04-09,340.0,358.95,334.2,353.4,2857017
2020-04-13,359.0,371.95,341.0,362.0,1997978
2020-04-15,360.15,388.0,360.15,375.4,2314627
2020-04-16,370.0,396.0,362.5,389.8,2037046
2020-04-17,400.0,406.0,392.05,403.9,1229378
2020-04-20,407.95,411.05,396.6,400.4,1361181
2020-04-21,400.25,406.75,382.4,401.25,1674880
2020-04-22,404.25,414.0,399.0,411.55,783606
2020-04-23,414.5,424.2,405.0,419.15,1487449
2020-04-24,420.95,426.55,377.25,384.95,1276331
2020-04-27,382.0,382.0,358.5,369.65,2774768
2020-04-28,371.05,388.45,363.65,386.25,2175035
2020-04-29,394.55,395.85,375.0,378.95,1629667
2020-04-30,379.0,382.0,371.0,377.5,1797179
2020-05-04,358.0,382.0,354.0,373.0,2134801
2020-05-05,367.35,374.3,365.15,366.75,1427683
2020-05-06,370.0,379.25,358.4,369.85,2912933
2020-05-07,372.2,374.85,355.0,358.25,1013292
2020-05-08,361.1,367.0,352.15,358.1,960318
2020-05-11,358.85,375.7,358.55,368.95,1902973
2020-05-12,364.15,367.5,347.05,354.35,2190667
2020-05-13,366.0,374.65,361.15,362.65,2026539
2020-05-14,359.65,368.6,344.5,347.25,7244155
2020-05-15,351.95,353.0,335.0,338.35,5797111
2020-05-18,338.3,338.35,311.2,317.5,2742340
2020-05-19,322.0,332.0,315.95,326.95,2120543
2020-05-20,325.55,334.85,324.0,333.3,910470
2020-05-21,333.0,343.65,328.05,337.5,721427
2020-05-22,335.3,339.1,326.55,329.7,933192
2020-05-26,334.0,342.5,330.0,340.75,807861
2020-05-27,343.5,347.0,338.45,345.05,891151
2020-05-28,348.5,361.4,342.75,359.7,948477
2020-05-29,355.0,382.15,351.0,376.35,2468840
2020-06-01,379.95,392.45,372.35,374.75,2198709
2020-06-02,377.8,384.5,373.0,378.95,1365129
2020-06-03,383.95,387.55,377.25,380.0,683131
2020-06-04,379.0,385.85,374.6,378.55,636163
2020-06-05,379.0,395.6,376.0,384.35,2629754
2020-06-08,394.0,403.7,386.85,399.2,2236707
2020-06-09,401.0,407.0,387.05,390.4,1226112
2020-06-10,393.0,393.35,384.25,390.9,607746
2020-06-11,390.2,401.4,388.05,396.1,2027282
2020-06-12,380.05,394.0,380.05,391.85,808426
2020-06-15,388.0,401.1,386.05,393.5,1007594
2020-06-16,401.0,401.1,380.2,383.25,1204359
2020-06-17,383.25,389.75,380.7,385.9,648350
2020-06-18,383.0,383.0,368.35,369.65,2461538
2020-06-19,372.0,379.0,370.6,376.25,1894591
2020-06-22,380.0,400.5,377.3,396.65,1613249
2020-06-23,398.0,408.4,395.0,399.65,1215367
2020-06-24,403.0,416.6,399.05,401.1,1933479
2020-06-25,398.9,408.85,395.1,403.7,1189573
2020-06-26,410.9,417.4,405.5,410.6,1574985
2020-06-29,410.2,414.65,396.0,397.6,1149871
2020-06-30,402.0,404.05,391.05,392.35,630969
2020-07-01,392.35,399.75,388.65,397.2,889353
2020-07-02,401.65,405.0,394.05,397.8,446745
2020-07-03,399.0,412.5,397.8,410.75,979346
2020-07-06,415.5,433.9,411.0,431.15,4654555
2020-07-07,435.6,439.45,421.25,429.65,2965461
2020-07-08,427.8,428.7,408.55,411.05,2837698
2020-07-09,411.2,415.7,399.3,400.4,1607996
2020-07-10,399.0,400.75,391.2,393.1,1456659
2020-07-13,397.0,399.85,387.0,388.4,1522264
2020-07-14,387.0,390.45,377.5,386.65,1150765
2020-07-15,387.25,393.75,378.0,380.25,1135158
2020-07-16,382.0,385.7,373.25,382.85,960025
2020-07-17,384.45,388.7,381.2,384.75,992062
2020-07-20,384.75,396.0,384.5,393.05,1077251
2020-07-21,397.0,399.25,386.5,388.3,1488683
2020-07-22,390.0,395.0,385.0,393.3,999602
2020-07-23,394.0,399.0,390.1,393.3,921532
2020-07-24,392.0,398.55,388.25,395.2,1213583
2020-07-27,395.05,396.75,389.0,394.1,473469
