date,open,high,low,close,volume
2020-01-13,398.95,400.0,385.4,389.55,223295
2020-01-14,390.6,397.65,387.25,389.15,231974
2020-01-15,388.85,394.75,385.6,390.15,182183
2020-01-16,392.7,393.65,383.1,384.5,162559
2020-01-17,384.0,395.0,376.1,391.15,329455
2020-01-20,398.0,398.2,387.5,393.8,298396
2020-01-21,391.0,396.0,386.95,389.35,159955
2020-01-22,392.85,395.7,389.65,391.1,153483
2020-01-23,386.7,406.2,386.7,402.05,661750
2020-01-24,402.95,405.0,395.0,399.5,284548
2020-01-27,398.0,404.9,397.0,399.85,251055
2020-01-28,403.9,409.6,395.3,400.85,384610
2020-01-29,403.8,404.7,397.35,399.25,215183
2020-01-30,401.7,401.7,392.0,393.85,267826
2020-01-31,395.65,398.5,377.05,383.6,323462
2020-02-01,381.85,393.45,371.45,376.0,242595
2020-02-03,375.8,414.9,375.0,409.4,814556
2020-02-04,420.0,423.0,400.5,404.5,1532615
2020-02-05,408.95,414.0,402.5,408.3,390177
2020-02-06,412.95,412.95,396.0,397.2,468159
2020-02-07,400.0,408.95,393.2,404.7,660633
2020-02-10,408.25,418.8,404.0,410.55,883560
2020-02-11,413.15,418.8,409.1,413.3,517233
2020-02-12,415.5,428.85,407.1,426.7,755115
2020-02-13,426.7,432.5,421.55,427.6,515963
2020-02-14,430.0,464.9,424.05,459.85,2016075
2020-02-17,459.9,462.35,445.7,454.3,436983
2020-02-18,453.7,491.55,431.75,482.7,1436290
2020-02-19,485.0,499.0,475.2,483.5,927418
2020-02-20,480.0,491.7,476.65,483.9,497872
2020-02-24,481.7,489.75,465.0,467.75,533632
2020-02-25,472.5,518.1,465.1,506.35,2517684
2020-02-26,500.25,520.8,496.0,501.45,2054528
2020-02-27,504.0,511.1,473.0,494.3,945565
2020-02-28,470.0,482.0,458.0,461.9,888153
2020-03-02,483.0,524.0,470.4,505.1,2380603
2020-03-03,512.8,537.85,510.2,532.95,2231123
2020-03-04,542.5,542.5,498.15,521.8,1370234
2020-03-05,527.0,530.0,514.0,519.85,730753
2020-03-06,490.0,523.0,488.05,519.0,917859
2020-03-09,508.8,508.8,463.45,490.6,988007
2020-03-11,490.6,509.0,470.75,475.2,806521
2020-03-12,445.0,450.0,390.0,439.5,2091687
2020-03-13,377.0,484.6,370.1,468.7,1434867
2020-03-16,441.0,448.9,419.3,429.25,856985
2020-03-17,425.0,447.0,402.6,410.9,726513
2020-03-18,415.0,427.55,358.5,363.1,840461
2020-03-19,335.0,381.6,310.0,341.55,1974070
2020-03-20,360.0,399.0,349.0,377.9,1116097
2020-03-23,331.0,349.0,311.0,324.0,710326
2020-03-24,350.0,388.0,314.05,336.15,856447
2020-03-25,336.15,365.5,328.0,362.0,579454
2020-03-26,372.0,417.0,364.5,388.2,1457924
2020-03-27,400.0,410.0,374.5,376.0,661240
2020-03-30,372.95,372.95,345.0,364.95,462869
2020-03-31,376.4,399.0,369.0,385.05,1232918
2020-04-01,383.5,399.85,377.0,380.45,572211
2020-04-03,385.0,388.7,358.4,379.85,445088
2020-04-07,395.0,439.7,384.8,432.4,1374413
2020-04-08,439.95,465.0,432.5,435.35,1023721
2020-04-09,452.0,493.8,451.05,469.95,1850133
2020-04-13,474.55,488.5,447.05,458.05,703775
2020-04-15,465.0,477.3,436.0,446.85,714310
2020-04-16,470.0,474.9,457.25,466.25,614723
2020-04-17,475.6,479.5,463.25,469.6,485485
2020-04-20,473.0,476.55,460.0,460.9,355712
2020-04-21,449.55,477.0,442.3,449.5,1188546
2020-04-22,449.0,464.95,445.25,457.35,571574
2020-04-23,478.0,489.25,475.15,482.4,1631784
2020-04-24,478.8,491.7,452.0,461.25,1520457
2020-04-27,470.0,484.0,466.0,480.35,1036585
2020-04-28,490.1,499.0,482.05,485.6,1133340
2020-04-29,486.9,534.9,480.0,507.1,3619395
2020-04-30,518.4,530.0,501.0,506.15,1657681
2020-05-04,482.0,491.85,468.25,485.05,1310368
2020-05-05,492.9,522.85,488.0,510.8,2834156
2020-05-06,522.1,546.0,518.3,525.1,2755229
2020-05-07,523.55,557.8,512.2,552.8,3096707
2020-05-08,556.9,567.7,528.4,531.65,2218804
2020-05-11,533.1,546.0,515.25,518.1,911962
2020-05-12,517.0,529.8,499.0,510.3,1283362
2020-05-13,525.05,529.0,514.8,520.0,824165
2020-05-14,515.0,521.0,509.55,511.3,394012
2020-05-15,514.75,527.4,507.05,517.65,844738
2020-05-18,521.95,522.6,493.1,501.0,621724
2020-05-19,508.0,516.0,500.25,503.4,599651
2020-05-20,504.65,510.9,503.05,505.6,395756
2020-05-21,505.9,523.7,505.9,518.4,743760
2020-05-22,510.0,514.15,481.65,493.9,1182839
2020-05-26,499.0,508.0,496.0,501.15,726829
2020-05-27,524.0,524.0,495.3,500.05,2688690
2020-05-28,505.15,515.5,503.0,506.0,804504
2020-05-29,507.85,510.0,491.0,498.1,1444901
2020-06-01,505.0,510.5,501.15,504.4,1012709
2020-06-02,505.0,509.0,496.3,499.1,793944
2020-06-03,504.4,504.7,490.0,491.05,811457
2020-06-04,493.5,494.4,482.2,485.6,540201
2020-06-05,489.0,490.4,481.5,484.2,607840
2020-06-08,487.85,503.0,485.0,491.85,1769407
2020-06-09,494.65,495.0,480.55,482.6,500239
2020-06-10,483.0,497.6,480.8,484.15,963089
2020-06-11,486.9,491.8,483.0,484.8,455448
2020-06-12,465.0,483.55,465.0,481.85,475935
2020-06-15,481.95,488.4,475.2,476.35,378331
2020-06-16,482.95,484.65,465.0,471.75,487250
2020-06-17,472.0,474.15,458.6,462.85,809240
2020-06-18,462.95,469.75,457.7,465.0,752624
2020-06-19,465.85,500.0,465.85,498.25,1532643
2020-06-22,507.85,510.0,492.0,494.55,1321749
2020-06-23,502.0,511.9,498.0,501.5,1136905
2020-06-24,510.0,513.55,495.0,499.4,1048215
2020-06-25,495.0,507.5,490.55,503.3,711188
2020-06-26,507.0,509.25,501.2,504.1,529839
2020-06-29,503.8,505.15,490.15,493.1,509593
2020-06-30,494.95,497.95,473.65,475.05,598652
2020-07-01,478.75,486.85,475.1,478.75,474368
2020-07-02,484.1,487.9,478.75,481.35,428937
2020-07-03,483.0,486.25,474.5,478.95,487823
2020-07-06,486.0,524.0,481.0,516.05,1904514
2020-07-07,519.85,537.9,515.75,525.7,2474770
2020-07-08,533.1,534.8,510.65,513.9,811944
2020-07-09,515.0,534.8,515.0,531.3,1020083
2020-07-10,530.65,538.4,518.1,524.5,788546
2020-07-13,529.0,554.7,524.5,551.2,2791837
2020-07-14,550.95,564.8,540.1,548.8,1670005
2020-07-15,555.0,556.15,530.1,533.55,916031
2020-07-16,535.0,537.85,511.3,519.4,754618
2020-07-17,522.9,534.5,521.6,529.3,601305
2020-07-20,532.5,533.45,521.6,523.6,409104
2020-07-21,528.85,543.9,524.5,534.4,727999
2020-07-22,535.0,547.45,523.1,534.45,826638
2020-07-23,535.0,554.4,531.0,551.1,1058129
2020-07-24,548.7,599.0,545.0,592.85,4100942
2020-07-27,602.25,623.35,593.0,612.15,3644796
2020-07-28,612.0,621.9,603.35,616.2,1259751
2020-07-29,616.0,648.3,606.0,614.9,3485017
2020-07-30,618.9,636.6,605.25,617.0,1227731
2020-07-31,619.0,648.0,606.35,643.15,1794003
2020-08-03,647.4,673.35,641.05,646.85,1623970
2020-08-04,651.55,659.25,627.7,630.35,885516
2020-08-05,635.0,649.0,629.15,640.95,672483
2020-08-06,647.0,648.8,636.0,643.25,687605
2020-08-07,602.0,619.5,581.2,611.2,2160175
2020-08-10,610.0,616.0,582.3,588.75,1616802
2020-08-11,590.0,595.3,573.0,577.15,1058288
2020-08-12,575.0,607.0,567.0,598.8,1221681
2020-08-13,602.85,624.9,594.0,601.8,1838732
2020-08-14,602.0,602.0,583.0,585.7,863636
2020-08-17,590.0,615.2,582.0,606.2,1388704
2020-08-18,612.0,613.8,600.3,604.25,501929
2020-08-19,608.5,618.0,604.0,614.95,707110
2020-08-20,611.5,644.4,605.1,638.5,1787720
2020-08-21,640.3,665.0,640.3,649.6,1532327
2020-08-24,667.0,779.5,654.1,753.8,6840670
2020-08-25,795.0,824.55,727.0,744.35,7373105
2020-08-26,745.0,772.0,737.5,742.45,1860149
2020-08-27,745.0,775.0,732.0,761.95,2271131
2020-08-28,765.0,768.0,745.1,747.8,868792
2020-08-31,749.9,752.85,663.0,683.45,2779454
2020-09-01,690.2,712.85,671.15,702.0,1375687
2020-09-02,706.6,746.8,700.1,731.45,1443251
2020-09-03,736.15,761.1,731.45,736.85,901601
2020-09-04,720.9,758.9,705.0,732.45,1854432
2020-09-07,735.0,747.0,712.1,717.1,792038
2020-09-08,720.1,757.0,712.5,742.0,1250812
2020-09-09,728.1,741.8,713.5,730.75,895720
2020-09-10,738.5,755.7,736.0,751.6,887096
2020-09-11,757.85,769.75,727.0,733.15,1432789
2020-09-14,755.0,801.8,753.6,795.6,2988274
2020-09-15,804.8,866.35,792.0,857.3,3658449
2020-09-16,864.4,864.4,819.0,857.25,2824763
2020-09-17,853.0,871.0,840.45,847.4,1766012
2020-09-18,851.0,888.0,816.0,853.85,3852089
2020-09-21,856.0,867.45,804.4,812.8,2902205
2020-09-22,822.0,854.9,777.0,848.15,2903928
2020-09-23,860.0,873.5,830.0,844.1,1970396
2020-09-24,828.0,835.0,785.25,799.95,1385740
2020-09-25,815.8,825.45,791.15,801.15,1528926
2020-09-28,809.0,844.0,806.0,838.55,1438549
2020-09-29,846.0,846.8,815.6,823.7,856038
2020-09-30,827.0,839.5,816.55,821.2,771896
2020-10-01,829.0,833.9,815.0,819.4,570174
2020-10-05,825.95,826.0,802.0,808.3,624593
2020-10-06,812.35,818.7,802.6,805.0,638210
2020-10-07,804.0,804.0,785.5,796.45,664078
2020-10-08,796.45,797.95,756.3,760.15,1879686
2020-10-09,762.5,776.75,760.6,763.45,793062
2020-10-12,767.3,767.3,726.0,734.3,1107201
2020-10-13,738.0,758.0,730.5,735.7,823965
2020-10-14,735.95,759.0,723.1,754.15,1470204
2020-10-15,758.95,760.45,723.4,726.35,834165
2020-10-16,730.0,733.7,708.1,718.5,983097
2020-10-19,722.8,729.8,708.1,709.9,507760
2020-10-20,708.0,736.0,702.1,708.85,1289064
2020-10-21,714.8,724.8,705.0,720.8,729096
2020-10-22,719.5,742.1,712.0,731.35,725619
2020-10-23,740.0,745.6,717.1,720.5,605471
2020-10-26,722.25,726.9,708.0,713.8,481360
2020-10-27,711.0,749.9,703.75,745.1,965732
2020-10-28,747.95,775.95,737.85,757.75,1362216
2020-10-29,754.75,758.0,736.2,739.6,782757
2020-10-30,743.0,759.45,738.0,742.25,639636
