date,open,high,low,close,volume
2020-01-13,244.35,253.75,244.35,252.8,14466469
2020-01-14,252.1,257.6,250.55,254.55,6843491
2020-01-15,252.5,258.0,252.5,255.9,7020963
2020-01-16,255.7,259.65,254.65,258.15,5235129
2020-01-17,257.0,262.0,256.9,261.25,5766591
2020-01-20,261.95,264.0,257.35,258.95,6096170
2020-01-21,258.0,258.85,255.0,257.1,5387621
2020-01-22,258.4,261.25,255.0,258.1,5476635
2020-01-23,258.1,262.0,257.1,260.7,5101631
2020-01-24,262.0,265.9,261.1,262.85,7257409
2020-01-27,261.5,264.0,255.8,257.1,5577299
2020-01-28,256.0,261.25,255.3,257.65,4763857
2020-01-29,259.0,261.8,256.65,258.6,4977662
2020-01-30,258.6,258.85,252.05,254.65,5549648
2020-01-31,257.8,262.8,254.3,260.45,10810838
2020-02-01,258.95,266.55,224.0,228.9,21006917
2020-02-03,230.0,233.7,217.85,230.85,20842165
2020-02-04,231.4,247.75,230.8,245.25,15797056
2020-02-05,250.15,255.8,245.65,253.45,12352880
2020-02-06,247.0,254.7,243.4,246.3,17929026
2020-02-07,246.0,246.9,234.75,235.8,14050194
2020-02-10,235.3,236.6,231.15,233.8,8120421
2020-02-11,236.0,237.8,232.6,233.85,5475597
2020-02-12,233.9,235.75,226.8,230.85,6806019
2020-02-13,230.55,232.6,227.45,231.35,6913597
2020-02-14,232.4,234.45,224.45,226.2,6757171
2020-02-17,228.4,229.8,217.85,219.4,10788768
2020-02-18,217.2,219.35,216.55,217.95,6678150
2020-02-19,220.7,228.65,218.3,226.9,7405952
2020-02-20,226.9,228.35,219.0,220.1,7654026
2020-02-24,215.0,219.0,211.25,212.5,7761069
2020-02-25,213.0,219.5,213.0,216.75,8778643
2020-02-26,214.85,217.7,210.6,212.45,6037598
2020-02-27,212.0,212.8,204.3,208.7,8839033
2020-02-28,203.5,204.9,193.15,201.7,15083273
2020-03-02,206.0,213.4,199.8,203.85,25328271
2020-03-03,205.0,212.05,203.4,206.8,11084288
2020-03-04,208.05,210.1,198.5,203.95,9357919
2020-03-05,205.8,207.35,200.4,202.6,8576035
2020-03-06,195.0,196.1,187.85,194.45,10991688
2020-03-09,188.0,189.0,178.65,182.35,12053473
2020-03-11,182.35,184.8,177.0,178.45,9238369
2020-03-12,168.0,169.0,154.5,156.9,14049953
2020-03-13,145.05,171.95,142.0,166.75,11231755
2020-03-16,155.25,157.0,147.6,149.0,7065375
2020-03-17,150.0,155.0,143.9,144.6,8919578
2020-03-18,149.9,149.9,138.0,140.15,9347932
2020-03-19,132.65,140.35,125.5,128.45,10873570
2020-03-20,129.0,141.75,121.35,139.8,18143402
2020-03-23,125.85,134.2,123.8,126.15,6918861
2020-03-24,126.0,133.05,117.7,120.8,13129144
2020-03-25,120.0,127.4,114.55,123.8,14618656
2020-03-26,126.1,147.0,121.65,138.15,16809428
2020-03-27,142.0,158.85,136.8,138.75,14470204
2020-03-30,134.0,135.5,128.8,130.75,7737955
2020-03-31,137.0,138.9,130.35,137.45,10027716
2020-04-01,135.95,136.95,130.3,132.55,5567170
2020-04-03,133.55,136.0,130.35,132.1,6553107
2020-04-07,137.7,142.9,135.1,141.55,6419110
2020-04-08,137.0,146.8,136.85,138.0,7944486
2020-04-09,142.1,151.8,140.7,149.1,7216451
2020-04-13,148.4,148.9,134.6,139.75,12595353
2020-04-15,138.95,144.65,137.8,140.3,9821552
2020-04-16,138.0,143.35,132.7,134.0,13414652
2020-04-17,139.9,145.3,135.8,136.9,30164652
2020-04-20,138.2,139.45,131.3,134.4,18161265
2020-04-21,131.4,133.7,129.15,132.65,12612460
2020-04-22,132.95,135.2,129.8,133.55,11250707
2020-04-23,134.4,138.5,133.0,137.0,10333997
2020-04-24,135.0,135.0,127.6,128.2,12295346
2020-04-27,131.0,133.7,129.7,133.0,6956597
2020-04-28,135.0,138.65,133.9,138.0,10118659
2020-04-29,138.5,142.5,137.5,141.65,7030077
2020-04-30,143.65,152.25,142.25,146.85,12818946
2020-05-04,141.25,141.25,131.1,133.05,7768173
2020-05-05,135.65,136.25,126.1,126.8,9178838
2020-05-06,127.9,131.2,125.0,129.9,8703337
2020-05-07,131.0,133.35,128.6,129.15,5890404
2020-05-08,132.9,132.9,129.35,130.15,5882098
2020-05-11,133.0,135.4,131.1,133.35,6546304
2020-05-12,131.75,137.85,130.15,136.95,7708941
2020-05-13,143.5,146.5,139.6,141.1,11157101
2020-05-14,139.85,140.0,135.0,137.05,8704139
2020-05-15,139.0,140.5,136.65,138.8,8090978
2020-05-18,138.5,138.8,129.7,132.45,7009940
2020-05-19,134.5,135.45,130.4,131.45,6068689
2020-05-20,132.05,141.8,130.75,139.25,11788743
2020-05-21,139.0,141.0,136.6,138.6,5864536
2020-05-22,137.5,140.0,133.85,135.15,6331378
2020-05-26,135.75,137.85,134.55,136.75,4595672
2020-05-27,137.5,138.2,134.8,137.65,4864921
2020-05-28,136.85,145.95,136.7,144.05,8686378
2020-05-29,140.0,152.85,140.0,150.65,15478799
2020-06-01,153.0,158.55,150.8,152.2,13138735
2020-06-02,153.0,158.85,150.4,157.2,10651414
2020-06-03,158.05,163.05,154.7,156.0,16147229
2020-06-04,153.05,158.3,152.65,156.35,11047021
2020-06-05,153.0,158.3,148.8,157.2,24856656
2020-06-08,162.0,163.55,152.1,152.95,13212637
2020-06-09,154.0,158.3,151.95,153.35,10649535
2020-06-10,154.0,158.55,153.35,156.8,7195413
2020-06-11,156.75,161.0,149.6,150.75,13544700
2020-06-12,145.0,154.85,143.8,154.05,11237376
2020-06-15,153.35,154.4,145.2,145.9,11614920
2020-06-16,150.0,151.4,143.7,146.6,8630991
2020-06-17,146.3,152.0,144.95,150.05,7838504
2020-06-18,149.45,150.2,146.0,147.7,6470562
2020-06-19,148.5,162.45,148.5,161.8,22606656
2020-06-22,164.5,164.5,158.3,159.95,12877819
2020-06-23,162.0,170.25,159.5,168.65,16147689
2020-06-24,168.65,171.25,158.85,160.05,13866743
2020-06-25,159.8,161.4,156.55,157.25,10615968
2020-06-26,159.15,159.15,152.35,154.4,10524946
2020-06-29,154.2,155.3,149.7,151.5,5370205
2020-06-30,153.0,154.4,147.2,148.05,6991814
2020-07-01,148.45,152.5,147.9,150.25,7325712
2020-07-02,151.2,154.1,150.0,152.85,5754433
2020-07-03,154.0,154.75,149.5,151.25,6698888
2020-07-06,153.0,156.0,152.25,154.85,5813548
2020-07-07,154.05,155.25,150.0,153.05,7492628
2020-07-08,152.5,154.5,145.6,146.4,12826654
2020-07-09,148.9,151.0,144.6,146.0,19957900
2020-07-10,145.5,149.45,144.65,147.75,15581405
2020-07-13,148.85,149.2,141.65,142.9,13687808
2020-07-14,144.0,144.95,139.3,139.9,13082474
2020-07-15,141.0,142.6,136.5,137.1,13326740
2020-07-16,137.3,140.25,134.5,138.55,13656677
2020-07-17,139.0,141.3,137.3,140.75,7461988
2020-07-20,142.0,143.75,139.6,140.95,8746550
2020-07-21,142.5,147.35,141.7,143.3,13694418
2020-07-22,144.0,146.45,141.2,142.7,9775312
2020-07-23,142.7,144.35,141.5,142.75,5731413
2020-07-24,142.0,142.4,136.9,138.9,9430566
2020-07-27,139.25,139.4,134.5,136.2,8219123
2020-07-28,136.8,142.1,135.2,141.15,9789458
2020-07-29,139.75,142.9,138.3,139.85,7614355
2020-07-30,140.15,141.7,137.8,140.1,8828387
2020-07-31,140.95,142.75,139.0,141.15,7720316
2020-08-03,140.15,141.7,138.0,138.5,5813192
2020-08-04,139.0,143.6,138.3,142.6,8786634
2020-08-05,143.0,145.2,141.0,142.55,8805210
2020-08-06,141.5,147.45,141.0,142.65,14873713
2020-08-07,143.9,143.9,141.0,141.85,10489309
2020-08-10,142.5,150.3,142.4,148.65,14527334
2020-08-11,149.0,150.4,145.8,146.55,6255637
2020-08-12,145.5,148.1,144.55,146.55,5257547
2020-08-13,147.0,149.0,145.7,147.75,7889782
2020-08-14,148.9,149.75,140.35,142.45,9986928
2020-08-17,144.5,147.5,141.7,147.15,8642516
2020-08-18,147.0,160.35,146.6,157.15,39197183
2020-08-19,157.1,159.9,155.6,157.55,9439687
2020-08-20,156.0,164.55,155.0,160.9,17796868
2020-08-21,162.35,164.0,160.5,161.7,10424330
2020-08-24,162.5,167.0,157.0,157.7,28388350
2020-08-25,158.0,162.45,154.7,156.4,14665726
2020-08-26,157.5,161.5,156.1,160.0,10613576
2020-08-27,161.95,181.85,160.8,175.9,76444741
2020-08-28,176.0,179.7,172.1,173.05,25128213
2020-08-31,174.75,176.6,156.95,158.35,20605993
2020-09-01,158.8,161.8,153.2,160.9,17246779
2020-09-02,160.9,163.85,155.7,161.1,16987780
2020-09-03,161.1,162.45,157.65,158.65,7922397
2020-09-04,156.0,157.5,153.1,154.85,10265412
2020-09-07,156.0,156.7,149.6,152.15,11200977
2020-09-08,152.75,153.9,149.25,150.25,7800724
2020-09-09,149.0,151.35,145.05,150.1,10110075
2020-09-10,151.2,153.25,147.5,150.2,9723095
2020-09-11,149.9,156.9,149.15,154.3,17319975
2020-09-14,156.0,159.3,154.5,155.7,10567394
2020-09-15,156.6,159.0,153.15,155.55,8587437
2020-09-16,156.4,164.2,154.1,163.35,17795601
2020-09-17,162.0,163.1,156.35,156.85,10347762
2020-09-18,158.0,166.35,157.4,161.25,19610622
2020-09-21,161.65,162.45,150.0,151.9,15159129
2020-09-22,151.9,152.85,146.5,148.95,12105412
2020-09-23,150.0,154.3,142.5,150.45,23504074
2020-09-24,148.0,148.35,144.4,146.25,9215076
2020-09-25,149.65,153.0,148.2,151.35,11733841
2020-09-28,153.0,158.4,152.65,157.7,10507683
2020-09-29,158.5,158.95,153.0,154.85,8313533
2020-09-30,155.5,156.6,151.85,152.65,9738929
2020-10-01,153.5,158.7,153.5,155.9,9336209
2020-10-05,157.0,161.85,156.8,159.25,8518857
2020-10-06,160.9,165.5,159.7,162.9,12822886
2020-10-07,162.65,163.65,157.05,158.7,6956925
2020-10-08,159.8,161.95,157.7,159.8,6656052
2020-10-09,159.5,162.65,155.8,157.0,13048412
2020-10-12,158.4,160.15,155.1,155.85,7747619
2020-10-13,156.05,159.45,154.6,155.1,6683490
2020-10-14,154.9,159.9,153.35,159.1,10159928
2020-10-15,160.15,160.8,154.35,155.45,15676743
2020-10-16,156.0,164.25,153.75,162.55,12349164
2020-10-19,164.2,167.85,161.75,164.7,12902014
2020-10-20,164.1,169.2,163.25,167.45,15771594
2020-10-21,168.2,174.2,165.05,172.1,18718295
2020-10-22,173.75,175.1,170.8,172.5,15889305
2020-10-23,173.35,174.0,170.6,171.3,8487199
2020-10-26,172.9,172.9,164.55,166.2,9246577
2020-10-27,166.3,167.2,163.75,165.1,8439659
2020-10-28,165.15,166.0,155.2,156.0,15046056
2020-10-29,154.9,156.2,150.6,153.1,14280083
2020-10-30,153.1,159.3,152.5,158.3,15148639
2020-11-02,160.3,170.9,156.65,164.8,29960943
