date,open,high,low,close,volume
2020-01-17,68.25,77.7,68.25,77.7,11638
2020-01-20,85.75,85.75,70.18,72.93,4453
2020-01-21,64.84,76.04,64.84,70.61,17246
2020-01-22,75.21,75.21,70.0,73.24,3778
2020-01-23,76.65,79.63,70.0,75.51,320
2020-01-24,78.75,79.63,66.54,79.01,6761
2020-01-27,82.25,82.25,69.74,79.54,6771
2020-01-28,73.59,80.41,73.59,76.48,1436
2020-01-29,76.08,79.19,75.34,76.91,51
2020-01-30,78.79,78.79,74.94,75.25,90
2020-01-31,75.25,79.63,75.25,78.75,1890
2020-02-01,78.66,78.66,69.26,75.25,9
2020-02-03,73.5,73.59,73.5,73.59,4
2020-02-04,78.71,78.71,73.59,76.52,825
2020-02-05,80.06,80.06,74.81,76.78,902
2020-02-06,78.27,78.27,77.44,77.44,3
2020-02-07,74.46,77.39,67.42,71.97,1265
2020-02-10,78.4,78.4,66.72,70.0,1672
2020-02-11,70.0,74.38,70.0,73.06,148
2020-02-12,72.63,77.0,72.63,74.73,125
2020-02-13,76.69,76.91,76.04,76.91,81
2020-02-14,68.34,68.34,68.25,68.25,75
2020-02-17,77.0,78.58,67.94,69.43,468
2020-02-18,77.0,77.0,70.13,73.06,2458
2020-02-19,75.16,75.16,75.16,75.16,1
2020-02-20,69.13,74.38,68.51,73.28,145
2020-02-25,62.56,69.13,62.39,68.95,282
2020-02-26,68.86,76.83,63.66,65.84,2261
2020-02-27,65.89,68.25,65.89,66.15,37
2020-02-28,65.63,65.63,65.63,65.63,11
2020-03-02,63.88,63.88,61.95,62.96,38
2020-03-03,67.38,67.38,64.36,64.36,41
2020-03-04,65.63,68.25,63.0,64.66,2504
2020-03-05,63.0,63.44,61.34,61.47,846
2020-03-06,53.59,67.38,53.59,67.38,1212
2020-03-09,67.38,67.38,56.44,67.33,36
2020-03-11,56.35,56.35,56.35,56.35,1
2020-03-12,61.25,67.55,57.79,58.8,2117
2020-03-13,47.21,70.44,47.08,58.49,4197
2020-03-16,56.96,58.32,49.04,51.71,552
2020-03-17,52.5,61.12,43.01,50.09,1116
2020-03-18,46.51,51.36,45.5,49.09,572
2020-03-19,44.23,48.96,43.97,48.65,2520
2020-03-20,48.48,53.38,46.99,52.19,653
2020-03-23,41.78,56.74,41.78,43.36,797
2020-03-24,42.0,43.75,42.0,43.75,21
2020-03-26,44.63,44.63,43.79,44.01,420
2020-03-27,44.01,44.01,39.86,43.84,146
2020-03-30,48.13,48.13,36.01,39.33,6750
2020-03-31,42.83,47.16,42.04,45.33,942
2020-04-01,45.28,45.28,45.24,45.24,2
2020-04-03,38.68,47.16,38.68,41.74,313
2020-04-07,49.96,49.96,36.93,45.5,901
2020-04-08,45.5,48.13,45.5,48.08,566
2020-04-09,48.08,56.79,48.08,53.51,752
2020-04-13,53.51,56.74,46.9,54.73,2229
2020-04-15,45.76,56.83,45.76,52.94,1571
2020-04-16,46.99,61.25,46.94,54.6,3110
2020-04-17,53.55,56.88,47.78,54.34,3304
2020-04-20,54.34,54.34,54.34,54.34,304
2020-04-21,53.38,53.38,49.88,50.14,217
2020-04-22,50.14,60.16,48.13,52.63,5744
2020-04-23,52.68,57.71,50.97,52.68,586
2020-04-24,51.63,57.84,46.59,50.84,2266
2020-04-27,54.25,54.25,51.63,52.63,72
2020-04-28,52.98,54.03,50.88,52.98,126
2020-04-29,51.63,54.64,48.87,52.59,259
2020-04-30,52.59,54.25,52.59,54.25,722
2020-05-04,51.63,54.6,46.86,52.24,1522
2020-05-05,50.75,53.81,49.0,50.4,682
2020-05-06,52.94,53.81,52.94,53.38,40
2020-05-07,51.63,53.33,48.69,50.23,403
2020-05-08,52.76,52.76,52.5,52.5,30
2020-05-11,53.2,53.2,48.61,51.8,560
