date,open,high,low,close,volume
2020-01-13,186.0,186.7,183.75,184.9,962925
2020-01-14,185.2,192.25,184.4,190.75,5139730
2020-01-15,191.6,194.7,189.1,194.0,2875352
2020-01-16,193.85,197.5,193.65,195.1,1808732
2020-01-17,195.75,198.0,194.65,196.55,1079519
2020-01-20,196.95,198.75,192.8,195.05,2224157
2020-01-21,194.65,195.6,192.55,194.05,1122375
2020-01-22,195.5,198.55,193.55,197.8,2271439
2020-01-23,198.15,200.9,196.65,199.35,2916024
2020-01-24,199.5,206.3,199.2,204.65,3700615
2020-01-27,203.7,208.25,202.05,202.75,2002477
2020-01-28,202.75,205.2,200.6,202.95,1370231
2020-01-29,202.95,205.3,202.1,202.75,1089758
2020-01-30,203.8,203.85,198.65,199.7,1755796
2020-01-31,200.7,201.95,196.25,197.15,1466191
2020-02-01,197.0,200.0,189.35,192.15,1729655
2020-02-03,191.25,196.15,189.35,195.4,1045796
2020-02-04,195.6,201.5,187.0,188.35,6413092
2020-02-05,188.0,191.0,178.55,185.65,14705145
2020-02-06,189.0,189.0,181.9,182.95,4375425
2020-02-07,183.05,184.9,181.25,182.05,1850259
2020-02-10,182.75,183.0,177.8,178.5,2401666
2020-02-11,178.8,181.0,176.5,177.75,2257361
2020-02-12,178.5,181.8,177.6,180.4,2317428
2020-02-13,180.95,182.7,179.0,181.05,3185208
2020-02-14,182.0,182.65,177.65,179.05,2329005
2020-02-17,179.5,179.85,175.55,177.25,1764795
2020-02-18,177.25,178.0,173.75,177.55,1142860
2020-02-19,178.3,179.6,177.2,178.25,738500
2020-02-20,179.1,179.9,177.4,178.05,1232465
2020-02-24,177.95,177.95,172.8,173.55,1076209
2020-02-25,174.55,176.05,170.7,173.65,1978354
2020-02-26,173.65,174.4,168.0,170.1,3201542
2020-02-27,170.0,171.5,167.7,171.15,1690276
2020-02-28,166.5,170.0,161.2,164.35,2992108
2020-03-02,165.2,168.0,158.9,159.9,2486077
2020-03-03,162.4,163.75,158.45,161.7,3056334
2020-03-04,158.0,162.8,155.95,161.8,5336003
2020-03-05,160.5,163.0,157.8,161.85,3146718
2020-03-06,156.8,160.5,153.95,159.3,1661787
2020-03-09,157.5,157.95,149.7,154.85,2744590
2020-03-11,153.0,157.35,151.1,153.05,2327120
2020-03-12,150.0,150.0,139.55,143.3,7997096
2020-03-13,129.0,154.0,125.85,148.75,3986615
2020-03-16,144.0,145.0,139.1,141.25,2107813
2020-03-17,141.0,143.7,137.5,140.45,1656227
2020-03-18,141.9,143.0,131.45,133.3,1885411
2020-03-19,130.5,145.0,124.7,139.75,3186447
2020-03-20,140.1,149.0,137.2,147.5,1723560
2020-03-23,135.0,140.0,130.35,132.5,1132536
2020-03-24,133.8,140.5,131.1,136.05,3437460
2020-03-25,131.2,135.4,130.1,132.15,2831968
2020-03-26,132.5,134.5,125.0,126.8,7137948
2020-03-27,130.0,133.35,126.0,130.6,2572890
2020-03-30,128.6,132.4,125.7,126.9,2019213
