date,open,high,low,close,volume
2019-11-06,145.9,147.7,142.2,146.8,1140714
2019-11-07,151.0,154.4,147.9,150.8,13476171
2019-11-08,150.8,153.5,149.8,152.05,3404637
2019-11-11,153.15,159.95,152.25,158.6,7887743
2019-11-13,158.6,159.4,153.35,156.75,3863541
2019-11-14,156.8,159.7,155.2,156.2,3097070
2019-11-15,158.25,161.0,129.0,143.8,44526375
2019-11-18,138.55,143.8,134.4,142.75,7728031
2019-11-19,142.9,144.45,141.55,144.05,1790374
2019-11-20,143.55,143.8,141.75,142.5,1068567
2019-11-21,142.0,142.95,139.05,140.1,991684
2019-11-22,140.4,146.8,140.35,145.55,2060263
2019-11-25,145.4,145.6,143.1,143.9,1091021
2019-11-26,144.0,144.9,138.5,140.25,770323
2019-11-27,140.3,140.85,137.15,139.1,528737
2019-11-28,139.1,141.8,138.7,139.85,339178
2019-11-29,138.75,139.5,138.0,138.75,577673
2019-12-02,138.9,139.7,137.55,139.0,485922
2019-12-03,139.0,139.15,137.15,137.95,323117
2019-12-04,137.1,139.2,137.1,138.85,469128
2019-12-05,138.55,139.05,137.2,137.85,305385
2019-12-06,137.9,139.0,137.05,137.25,304623
2019-12-09,137.25,139.35,136.1,137.3,790653
2019-12-10,137.4,137.7,135.8,136.45,1954970
2019-12-11,136.1,136.8,134.6,135.0,1624675
2019-12-12,135.4,137.9,134.7,137.15,2458953
2019-12-13,137.0,137.65,135.3,136.25,340302
2019-12-16,136.25,136.4,134.6,134.95,561137
2019-12-17,135.4,137.4,134.25,135.0,366930
2019-12-18,135.0,135.55,133.1,133.45,318911
2019-12-19,133.45,138.4,133.1,137.6,1000934
2019-12-20,137.2,137.7,134.4,135.3,413952
2019-12-23,134.3,134.35,130.55,132.05,3146457
2019-12-24,131.7,132.0,130.35,130.6,317923
2019-12-26,130.65,133.2,130.05,130.75,279539
2019-12-27,130.9,133.0,130.1,131.35,697213
2019-12-30,131.5,131.95,129.0,129.3,298050
2019-12-31,129.4,133.95,129.2,131.9,1032722
2020-01-01,132.4,133.4,131.3,132.95,199669
2020-01-02,133.45,136.35,132.55,134.15,637088
2020-01-03,133.6,136.0,133.4,135.05,659414
2020-01-06,134.25,134.65,132.15,133.05,480400
2020-01-07,133.4,135.05,131.35,133.05,500000
2020-01-08,132.5,136.0,131.3,133.6,6238333
2020-01-09,135.6,136.0,134.1,135.5,1081802
2020-01-10,135.1,139.0,134.65,137.9,888491
2020-01-13,139.0,143.95,137.35,143.15,2567210
2020-01-14,144.0,144.0,140.6,143.25,889692
2020-01-15,143.05,144.8,142.4,143.55,791831
2020-01-16,143.9,144.85,142.25,144.0,1133965
2020-01-17,144.0,144.35,138.5,141.65,796786
2020-01-20,142.5,144.15,141.8,143.15,1420996
2020-01-21,142.05,146.8,142.0,146.15,4456421
2020-01-22,148.55,153.35,146.3,151.75,9515716
2020-01-23,152.75,155.4,150.65,154.0,2311259
2020-01-24,153.85,155.25,151.8,153.2,1313374
2020-01-27,156.0,157.15,154.1,155.95,2525124
2020-01-28,156.1,156.95,153.35,155.25,4635625
2020-01-29,155.95,156.8,154.65,156.3,808934
2020-01-30,157.0,157.4,154.8,156.05,1822091
2020-01-31,156.9,157.7,151.45,153.45,1933119
2020-02-01,153.4,154.65,150.3,151.55,2175308
2020-02-03,149.25,155.15,149.25,152.7,2865425
2020-02-04,152.7,159.8,151.65,154.85,1782860
2020-02-05,154.85,157.6,154.0,156.8,874925
2020-02-06,156.55,156.55,153.75,155.7,349186
2020-02-07,154.25,169.0,154.25,163.65,6128752
2020-02-10,164.2,166.0,159.15,164.45,1509455
2020-02-11,163.0,163.0,155.2,159.7,2221649
2020-02-12,159.0,159.1,154.0,155.05,1731166
2020-02-13,155.1,161.7,154.55,157.7,1283770
2020-02-14,157.6,159.3,155.1,156.1,882359
2020-02-17,157.0,157.8,149.1,150.75,1001496
2020-02-18,150.6,155.45,149.55,151.8,903732
2020-02-19,152.05,159.45,151.35,157.4,1093466
2020-02-20,157.3,158.6,153.5,156.3,671168
2020-02-24,156.0,156.4,152.4,153.3,731574
2020-02-25,153.05,156.85,151.0,154.6,1195195
2020-02-26,154.6,160.25,153.1,156.7,2099578
2020-02-27,155.2,156.9,152.0,155.9,854082
2020-02-28,151.55,156.9,150.0,154.05,1098570
2020-03-02,156.1,157.0,151.0,152.0,1824050
2020-03-03,153.5,156.1,151.0,153.8,1262588
2020-03-04,155.7,156.75,152.6,153.8,1409635
2020-03-05,153.5,156.95,153.0,154.55,1132076
2020-03-06,152.0,152.85,148.2,149.3,2962811
2020-03-09,146.0,152.95,141.0,143.85,3478787
2020-03-11,142.15,145.95,139.75,144.9,873771
2020-03-12,138.05,141.9,134.1,135.75,3607900
2020-03-13,120.0,142.4,117.1,138.7,1515437
2020-03-16,133.0,137.8,129.3,130.8,1228944
2020-03-17,131.0,134.35,127.35,130.9,1309478
2020-03-18,132.4,134.0,118.55,121.55,1983802
2020-03-19,117.1,124.0,115.2,121.25,1333182
2020-03-20,123.0,135.9,121.7,131.9,1392885
2020-03-23,118.55,127.85,115.35,121.35,1264255
2020-03-24,123.5,130.5,120.5,128.65,1465145
2020-03-25,130.0,134.1,124.4,131.6,758372
2020-03-26,130.35,133.9,128.2,129.6,1507886
2020-03-27,132.5,132.5,125.0,128.95,1897551
2020-03-30,128.0,129.0,123.0,127.1,1954256
2020-03-31,133.0,133.0,124.75,126.15,1323064
2020-04-01,126.15,127.0,120.25,121.2,677745
2020-04-03,121.7,125.8,119.1,122.15,813065
2020-04-07,124.1,124.8,120.2,123.8,1784112
2020-04-08,123.4,125.95,121.35,123.3,952237
2020-04-09,123.8,130.0,123.1,127.15,1244560
2020-04-13,126.6,127.0,122.1,123.7,1307455
2020-04-15,125.05,125.45,120.1,121.0,1743665
2020-04-16,120.0,120.75,117.7,119.15,916569
2020-04-17,121.0,122.1,117.65,118.05,1182246
2020-04-20,119.05,124.4,118.5,122.65,2048575
2020-04-21,120.2,121.9,117.85,118.35,761056
2020-04-22,118.3,124.9,117.8,123.25,1695494
2020-04-23,124.0,124.8,122.05,124.0,1038138
2020-04-24,122.9,124.0,121.1,121.45,587797
2020-04-27,122.0,122.7,119.0,119.4,807105
2020-04-28,120.95,120.95,116.7,117.5,583081
2020-04-29,118.0,120.2,115.6,117.15,1413452
2020-04-30,119.95,127.95,118.4,127.0,1984965
2020-05-04,124.0,126.8,119.9,125.25,1432507
2020-05-05,125.65,126.45,121.8,122.15,404008
2020-05-06,122.15,123.9,121.1,121.95,408011
2020-05-07,121.25,124.3,121.25,124.0,374022
2020-05-08,124.95,125.95,123.15,125.05,480430
2020-05-11,125.9,125.95,123.05,124.5,1251699
2020-05-12,123.8,124.2,119.85,120.2,644668
2020-05-13,122.95,122.95,118.2,118.85,776796
2020-05-14,119.0,119.35,117.1,117.7,630535
2020-05-15,118.0,118.35,116.6,117.25,467430
2020-05-18,120.9,120.9,116.2,116.5,418243
2020-05-19,117.0,117.5,115.55,115.9,450486
2020-05-20,115.5,116.8,114.6,115.15,463387
2020-05-21,115.4,117.5,115.05,116.5,892730
2020-05-22,116.45,116.9,113.9,114.15,440612
2020-05-26,114.55,115.45,113.1,114.9,610380
2020-05-27,115.0,115.45,113.35,113.5,1475258
2020-05-28,113.55,118.0,113.55,114.55,602404
2020-05-29,114.0,118.15,114.0,115.65,2138902
2020-06-01,116.95,122.5,114.55,120.85,4962452
2020-06-02,122.0,123.0,118.1,118.95,863298
2020-06-03,120.0,120.7,116.75,117.65,836774
2020-06-04,117.65,118.65,116.1,116.75,612869
2020-06-05,117.0,118.4,117.0,117.65,1102172
2020-06-08,118.5,121.3,116.35,117.0,3553101
2020-06-09,118.0,120.0,117.7,118.15,1023160
2020-06-10,118.5,125.4,118.2,121.9,5845389
2020-06-11,122.3,126.7,119.1,120.1,1922882
2020-06-12,117.1,122.35,116.8,120.2,3877838
2020-06-15,120.8,122.75,118.4,119.3,1074884
2020-06-16,120.5,127.9,120.2,123.6,5309493
2020-06-17,123.2,124.8,122.3,122.85,1213435
2020-06-18,122.0,125.9,120.9,122.25,3308818
2020-06-19,122.6,124.9,121.5,122.4,2849024
2020-06-22,123.3,123.85,120.35,121.25,1243817
2020-06-23,121.0,129.8,121.0,127.1,7084326
2020-06-24,130.0,130.65,122.2,123.45,2736359
2020-06-25,122.9,127.0,122.9,124.5,1584245
2020-06-26,125.4,125.9,123.0,123.35,1579278
2020-06-29,123.0,123.6,121.0,122.1,1606216
2020-06-30,122.75,123.45,121.4,121.95,1663312
2020-07-01,122.0,124.9,121.75,122.6,1696766
2020-07-02,124.5,131.75,123.1,128.3,7700160
2020-07-03,129.0,131.25,126.1,126.75,2249177
2020-07-06,128.0,128.0,123.15,123.7,3216603
2020-07-07,124.15,125.65,122.3,123.6,2538388
2020-07-08,124.75,124.75,122.6,122.95,1899425
2020-07-09,123.0,123.9,122.6,122.75,1098799
2020-07-10,122.75,123.9,121.0,121.4,924294
2020-07-13,122.05,124.4,121.8,123.15,1435724
2020-07-14,123.7,130.9,123.55,127.4,6543170
2020-07-15,128.4,133.0,127.4,128.5,3505768
2020-07-16,128.5,130.7,127.1,129.85,1664435
2020-07-17,130.25,134.5,126.55,128.55,6929664
2020-07-20,128.7,133.9,128.7,133.25,2497039
2020-07-21,134.0,136.3,132.7,134.6,2574189
2020-07-22,134.6,135.0,130.7,133.75,1568968
