date,open,high,low,close,volume
2020-01-13,189.3,194.0,189.05,190.5,159997
2020-01-14,194.9,198.0,190.0,191.9,422028
2020-01-15,191.55,195.1,191.1,191.95,193246
2020-01-16,192.9,205.9,192.9,204.0,1599808
2020-01-17,206.85,216.2,205.55,214.0,2464545
2020-01-20,216.0,216.9,204.0,207.3,1189783
2020-01-21,206.0,211.3,204.55,209.6,518561
2020-01-22,210.5,211.5,205.55,207.45,366891
2020-01-23,208.5,208.5,194.05,196.45,1735715
2020-01-24,193.1,194.9,191.1,192.1,2360598
2020-01-27,192.55,199.5,192.45,196.05,616608
2020-01-28,197.1,199.3,191.2,192.75,340236
2020-01-29,193.9,195.55,191.7,193.0,202696
2020-01-30,193.4,193.4,188.5,189.3,179683
2020-01-31,190.1,191.5,185.2,185.85,157764
2020-02-01,184.9,189.95,183.0,184.15,216596
2020-02-03,183.0,184.45,180.4,183.35,197191
2020-02-04,185.5,188.25,184.5,185.1,434006
2020-02-05,186.45,187.5,182.25,183.25,129414
2020-02-06,184.5,186.85,181.6,182.5,275819
2020-02-07,182.55,183.95,180.4,180.75,310261
2020-02-10,181.8,182.8,176.1,176.8,272553
2020-02-11,177.9,179.75,176.0,176.55,221817
2020-02-12,177.45,184.0,177.05,180.2,328235
2020-02-13,178.6,183.4,178.6,181.9,249815
2020-02-14,181.9,183.8,178.5,179.4,213761
2020-02-17,178.0,181.35,175.4,175.8,299091
2020-02-18,175.55,177.35,170.15,171.85,394414
2020-02-19,172.05,173.25,168.95,169.8,502684
2020-02-20,170.25,175.0,170.25,172.95,582710
2020-02-24,171.1,179.0,170.1,174.55,413153
2020-02-25,176.45,177.0,173.25,173.85,566810
2020-02-26,172.55,180.5,171.45,178.45,788188
2020-02-27,182.45,188.75,178.15,186.25,968549
2020-02-28,180.0,182.35,170.0,171.2,552399
2020-03-02,173.1,178.65,162.0,164.1,167840
2020-03-03,166.0,168.4,162.1,164.75,143291
2020-03-04,165.75,168.0,156.45,161.4,167422
2020-03-05,162.6,165.1,161.0,162.15,79170
2020-03-06,157.0,157.4,149.1,150.0,310599
2020-03-09,147.0,148.15,136.2,137.75,355181
2020-03-11,135.3,142.2,135.3,136.7,246696
2020-03-12,130.0,130.05,109.4,109.4,1906684
2020-03-13,97.1,108.8,87.55,103.75,5780241
2020-03-16,99.0,100.0,93.4,97.9,504497
2020-03-17,96.65,105.6,96.65,101.15,399871
2020-03-18,102.0,104.0,91.6,93.1,408464
2020-03-19,92.9,92.9,85.05,85.6,607822
2020-03-20,87.9,92.2,85.6,89.85,351097
2020-03-23,84.0,84.0,80.9,80.9,220903
2020-03-24,80.0,82.05,70.15,72.65,344736
2020-03-25,74.0,75.0,69.05,73.5,240964
2020-03-26,73.6,77.15,71.5,77.15,585152
2020-03-27,81.0,81.0,79.15,81.0,284171
2020-03-30,84.95,85.05,79.05,84.95,965988
2020-03-31,87.4,89.15,86.0,89.15,111438
2020-04-01,93.6,93.6,85.1,93.5,419031
2020-04-03,94.0,96.4,91.1,95.15,222386
2020-04-07,99.8,99.9,96.1,99.9,131803
2020-04-08,104.0,104.85,102.0,104.85,73614
2020-04-09,110.05,110.05,105.1,109.8,314174
2020-04-13,114.5,114.9,104.4,112.85,271138
2020-04-15,115.25,115.25,109.1,112.3,254573
2020-04-16,112.35,114.5,111.0,111.8,124397
2020-04-17,115.0,115.7,110.4,114.55,225202
2020-04-20,117.25,117.85,112.15,113.65,414843
2020-04-21,111.1,112.9,108.0,108.1,122026
2020-04-22,106.6,107.95,102.7,104.0,158150
2020-04-23,106.0,107.85,105.6,106.35,133016
2020-04-24,104.05,104.95,101.05,102.4,145406
2020-04-27,103.5,103.5,98.5,102.4,121376
2020-04-28,104.05,107.5,103.0,107.1,194358
2020-04-29,109.0,109.85,105.1,106.1,152034
2020-04-30,107.4,109.0,104.5,105.0,146314
2020-05-04,103.0,103.0,100.1,101.2,87650
2020-05-05,102.25,103.0,100.0,100.1,81061
2020-05-06,101.45,103.8,100.4,100.95,86755
2020-05-07,100.85,101.5,97.9,99.55,69179
2020-05-08,100.9,102.0,99.65,100.25,117807
2020-05-11,100.9,102.0,97.15,98.2,57366
2020-05-12,97.85,97.95,95.1,96.4,68639
2020-05-13,98.05,101.2,98.05,101.05,134089
2020-05-14,99.9,101.0,99.0,100.15,82440
2020-05-15,100.15,103.7,99.3,102.8,101652
2020-05-18,103.1,104.5,97.7,97.7,104855
2020-05-19,98.0,99.5,96.7,97.35,59646
2020-05-20,98.2,101.5,97.05,98.4,171711
2020-05-21,100.0,102.0,98.35,99.2,174344
2020-05-22,99.5,101.05,98.0,100.6,125977
2020-05-26,101.05,101.95,100.1,100.8,75139
2020-05-27,101.4,105.0,99.15,104.5,393673
2020-05-28,104.15,107.5,103.2,104.3,157900
2020-05-29,104.6,107.0,103.1,106.2,124233
2020-06-01,107.8,111.5,107.7,111.35,222429
2020-06-02,112.0,116.9,111.0,116.9,228878
2020-06-03,120.1,122.7,117.05,119.05,344252
2020-06-04,118.0,123.5,118.0,121.8,157889
2020-06-05,124.5,133.95,122.7,129.2,409205
2020-06-08,132.2,140.45,131.2,138.3,686193
2020-06-09,141.75,141.75,132.25,133.3,432650
2020-06-10,134.95,137.05,133.0,136.65,144254
2020-06-11,135.0,139.4,134.0,135.5,157449
2020-06-12,132.1,138.9,128.7,137.6,273130
2020-06-15,138.5,138.5,133.0,134.45,123476
2020-06-16,136.8,142.95,130.45,136.4,467926
2020-06-17,136.0,137.2,133.6,134.4,66696
2020-06-18,134.4,144.0,134.4,140.65,387973
2020-06-19,142.0,144.9,139.8,140.15,122363
2020-06-22,141.9,147.55,141.3,144.7,275647
2020-06-23,147.0,153.4,145.45,151.35,393411
2020-06-24,152.0,154.8,143.2,143.75,266961
2020-06-25,143.65,145.15,141.0,142.7,109415
2020-06-26,143.0,145.0,138.2,138.65,139649
2020-06-29,138.9,139.3,133.0,133.85,117466
2020-06-30,134.95,138.0,134.55,137.3,257954
2020-07-01,137.4,138.25,134.05,135.2,92082
2020-07-02,137.95,144.8,136.15,141.45,272709
2020-07-03,142.5,145.2,140.05,144.5,208814
2020-07-06,145.7,149.85,144.5,146.2,245072
2020-07-07,146.8,175.4,140.5,171.25,2147028
2020-07-08,180.0,180.0,167.4,169.4,1646200
2020-07-09,168.0,171.1,163.6,164.2,359191
2020-07-10,162.45,166.8,156.0,160.55,327503
2020-07-13,161.9,162.6,155.0,156.55,242083
2020-07-14,152.1,154.95,149.1,151.8,246121
2020-07-15,153.1,163.8,152.35,154.3,856938
2020-07-16,154.3,155.35,149.25,152.7,252208
2020-07-17,153.75,158.0,152.0,153.8,285828
2020-07-20,153.8,159.7,153.55,154.55,369021
2020-07-21,155.2,158.4,153.0,153.4,172341
2020-07-22,154.4,154.95,151.05,152.65,177226
2020-07-23,153.95,163.9,152.5,160.8,1633990
2020-07-24,159.55,160.45,151.35,152.05,1024215
2020-07-27,149.45,149.45,142.05,143.15,377851
2020-07-28,143.5,144.8,140.5,141.5,252701
2020-07-29,144.0,148.7,142.55,143.4,325296
2020-07-30,143.8,145.5,140.55,141.0,187386
2020-07-31,141.5,141.75,137.05,138.3,185996
2020-08-03,139.0,139.0,135.25,135.85,158944
2020-08-04,137.75,143.7,136.25,141.5,303027
2020-08-05,143.05,145.7,141.2,142.4,219461
2020-08-06,143.4,146.6,140.0,141.25,204290
2020-08-07,142.5,146.0,141.1,144.2,602146
2020-08-10,146.9,147.35,144.25,145.0,153660
2020-08-11,145.0,150.4,144.35,149.0,308715
2020-08-12,148.2,152.0,147.25,149.5,184606
2020-08-13,149.5,153.5,149.3,152.0,271323
2020-08-14,152.0,154.0,149.3,150.45,241541
2020-08-17,150.55,152.4,148.8,151.8,110766
2020-08-18,157.0,160.6,154.5,158.0,825004
2020-08-19,158.6,159.05,155.1,158.1,322603
2020-08-20,159.0,164.4,156.1,161.15,428289
2020-08-21,162.65,164.1,160.0,161.9,268485
2020-08-24,164.5,173.5,163.8,172.45,1412370
2020-08-25,175.0,178.8,165.2,168.0,789387
2020-08-26,168.5,171.9,165.85,168.55,291406
2020-08-27,169.75,170.9,167.0,167.65,165851
2020-08-28,169.45,171.0,159.2,165.65,392644
2020-08-31,165.6,165.6,158.1,160.15,261488
2020-09-01,160.35,168.0,156.25,163.45,205155
2020-09-02,165.0,166.4,160.4,162.45,56528
2020-09-03,161.1,167.5,161.1,165.0,101908
2020-09-04,162.0,167.1,158.85,161.9,146490
2020-09-07,162.0,164.55,158.85,163.05,124669
2020-09-08,162.0,165.0,156.8,158.2,100555
2020-09-09,155.25,159.5,155.0,157.75,188993
2020-09-10,159.9,164.95,158.3,161.7,149994
2020-09-11,161.3,164.0,157.85,159.95,91863
2020-09-14,163.9,169.7,162.25,165.85,307682
2020-09-15,168.7,172.0,166.45,170.2,261162
2020-09-16,171.0,173.75,165.25,170.35,260641
2020-09-17,173.45,173.7,168.3,168.9,207567
2020-09-18,169.4,171.25,163.25,164.0,172618
2020-09-21,164.95,167.25,160.2,161.65,219645
2020-09-22,157.65,162.75,150.2,158.35,167336
2020-09-23,158.0,165.7,157.65,161.85,224036
2020-09-24,158.7,160.95,153.75,156.5,174231
2020-09-25,157.1,160.0,157.1,158.9,76369
2020-09-28,160.3,162.45,158.65,160.3,112790
2020-09-29,161.9,164.85,160.3,161.65,258400
2020-09-30,162.25,163.85,158.0,158.6,91119
2020-10-01,160.05,161.4,157.8,158.35,117967
2020-10-05,159.2,164.0,159.2,160.35,145423
2020-10-06,161.0,162.75,160.0,161.4,80892
2020-10-07,161.4,161.5,157.5,158.6,71467
2020-10-08,159.15,159.35,152.95,154.4,124219
2020-10-09,156.5,156.75,152.55,153.85,50234
2020-10-12,155.05,155.7,146.9,148.9,95282
2020-10-13,150.0,151.0,146.2,146.55,60140
2020-10-14,146.0,147.05,144.25,144.8,55193
