date,open,high,low,close,volume
2020-01-13,189.4,195.8,188.0,193.5,1073505
2020-01-14,194.0,198.2,193.3,195.75,757557
2020-01-15,195.0,211.95,191.2,200.25,2093941
2020-01-16,199.2,206.95,197.05,205.65,1323193
2020-01-17,200.5,201.8,196.4,197.5,892029
2020-01-20,196.9,199.65,192.25,194.0,325626
2020-01-21,193.95,196.2,192.0,194.05,442233
2020-01-22,195.05,204.15,194.55,202.75,803254
2020-01-23,203.65,206.6,198.7,205.1,1235742
2020-01-24,205.0,214.9,203.25,209.0,2302385
2020-01-27,211.0,214.0,208.2,209.2,876768
2020-01-28,210.1,212.0,201.5,205.65,530476
2020-01-29,206.9,208.0,201.45,202.35,343164
2020-01-30,203.0,203.0,193.0,194.5,342623
2020-01-31,196.0,196.4,192.0,193.85,218900
2020-02-01,194.0,201.4,180.0,182.65,753341
2020-02-03,182.0,182.0,169.05,170.2,534837
2020-02-04,172.1,176.6,170.4,172.75,548814
2020-02-05,173.25,176.0,173.0,173.55,292385
2020-02-06,174.4,178.9,172.9,174.4,442985
2020-02-07,175.1,185.4,171.65,182.05,982822
2020-02-10,197.75,206.3,194.15,196.55,5872368
2020-02-11,196.55,197.35,188.1,189.95,818509
2020-02-12,199.5,202.9,191.7,192.9,1852020
2020-02-13,194.0,194.15,185.3,186.35,462981
2020-02-14,187.0,189.75,180.55,183.2,610217
2020-02-17,183.0,183.8,176.45,177.55,390587
2020-02-18,175.0,176.5,170.65,173.2,404330
2020-02-19,173.6,182.2,172.7,177.75,515314
2020-02-20,179.0,181.9,176.0,176.95,276648
2020-02-24,175.0,175.85,169.9,170.45,259355
2020-02-25,170.2,175.7,167.6,173.15,549208
2020-02-26,172.8,173.0,168.1,169.15,321907
2020-02-27,169.9,169.9,165.0,165.5,260888
2020-02-28,160.1,163.9,155.1,155.85,333336
2020-03-02,168.0,168.0,158.0,160.05,355318
2020-03-03,161.5,164.2,160.0,161.85,166374
2020-03-04,161.15,162.1,153.5,156.1,229843
2020-03-05,160.0,161.0,155.05,155.8,282128
2020-03-06,150.0,153.0,145.65,146.4,360189
2020-03-09,142.95,142.95,133.0,136.45,420031
2020-03-11,135.3,148.25,135.3,141.35,429984
2020-03-12,132.0,144.95,130.5,132.4,606378
2020-03-13,125.0,140.7,110.05,135.15,859093
2020-03-16,130.8,132.7,125.0,125.65,338503
2020-03-17,128.05,129.8,121.25,122.45,407233
2020-03-18,123.05,126.7,115.05,117.6,321501
2020-03-19,113.2,115.4,104.75,108.8,452301
2020-03-20,112.0,117.5,110.15,115.9,315169
2020-03-23,110.0,110.0,97.05,99.55,295110
2020-03-24,108.9,109.0,96.1,98.0,301159
2020-03-25,97.5,106.35,95.55,102.25,241723
2020-03-26,105.75,114.7,100.2,109.45,1426618
2020-03-27,110.0,114.4,105.2,106.25,564713
2020-03-30,105.8,107.7,100.0,104.95,250833
2020-03-31,105.6,119.5,105.5,114.7,2037087
2020-04-01,114.75,116.25,111.1,112.35,358087
2020-04-03,112.5,113.2,108.05,109.2,567830
2020-04-07,112.3,118.65,112.0,116.6,1385088
2020-04-08,116.6,127.6,116.0,121.85,1372070
2020-04-09,130.2,138.8,128.7,132.25,1992564
2020-04-13,133.9,136.8,125.55,131.6,567548
2020-04-15,135.1,144.9,133.8,139.25,2185051
2020-04-16,141.5,149.8,141.5,144.15,1392266
2020-04-17,149.4,149.4,142.35,145.05,533740
2020-04-20,148.0,148.0,141.35,142.4,403833
2020-04-21,139.9,140.0,134.1,135.05,295215
2020-04-22,134.5,140.4,128.95,137.4,751063
2020-04-23,139.8,145.45,137.1,138.85,1312346
2020-04-24,136.4,143.75,135.05,142.35,1632706
2020-04-27,144.9,147.0,139.1,140.1,997324
2020-04-28,141.5,146.6,139.05,144.35,1327370
2020-04-29,146.85,151.8,145.0,146.2,2129122
2020-04-30,147.95,148.0,140.0,140.7,893397
2020-05-04,141.5,141.7,135.05,137.65,719138
2020-05-05,139.0,143.2,136.2,140.95,1538390
2020-05-06,146.5,148.9,140.5,142.0,1757389
2020-05-07,140.45,142.0,139.05,139.45,291459
2020-05-08,140.05,141.7,135.55,135.8,436238
2020-05-11,137.45,138.6,133.85,134.2,431638
2020-05-12,133.9,136.9,130.5,135.3,571792
2020-05-13,139.7,144.4,137.2,142.2,1471927
2020-05-14,140.2,145.45,138.6,143.4,1176784
2020-05-15,140.0,140.0,137.65,138.35,593941
2020-05-18,138.75,138.75,131.6,132.35,435705
2020-05-19,134.0,135.45,131.25,132.55,571211
2020-05-20,132.2,134.1,131.4,131.75,385879
2020-05-21,132.1,134.0,129.5,130.15,523554
2020-05-22,129.95,133.45,128.1,128.6,646493
2020-05-26,130.0,130.0,126.05,126.5,435101
2020-05-27,127.35,127.6,124.4,126.25,444149
2020-05-28,126.75,132.0,126.55,130.5,641179
2020-05-29,130.5,136.9,128.55,130.65,3012023
2020-06-01,136.0,141.0,136.0,137.6,4159302
2020-06-02,138.0,140.7,137.45,138.35,1109943
2020-06-03,139.5,144.0,138.55,140.65,2180765
2020-06-04,140.7,142.9,138.25,139.75,779381
2020-06-05,140.8,150.2,140.05,145.2,3949281
2020-06-08,147.75,149.9,144.0,145.15,1284525
2020-06-09,146.1,155.0,143.9,152.35,3768447
2020-06-10,153.55,156.5,148.25,152.3,1323427
2020-06-11,152.0,166.4,150.1,155.45,5978125
2020-06-12,151.45,153.9,148.6,152.5,1854519
2020-06-15,153.25,163.5,148.65,160.2,4396595
2020-06-16,163.0,164.0,150.6,155.05,2135414
2020-06-17,153.2,157.8,151.85,153.15,1304788
2020-06-18,154.6,159.9,154.6,157.45,2184965
2020-06-19,158.0,159.4,154.0,155.35,902975
2020-06-22,155.6,158.0,155.05,156.2,777265
2020-06-23,157.4,163.7,155.55,161.6,2174736
2020-06-24,162.7,164.75,156.5,158.25,2231269
2020-06-25,158.25,163.4,157.65,162.1,1602009
2020-06-26,163.1,165.3,160.1,161.1,1434353
2020-06-29,159.8,161.2,156.25,157.15,880131
2020-06-30,158.0,159.9,152.6,153.25,562418
2020-07-01,154.6,156.5,151.25,155.85,719858
2020-07-02,156.0,157.0,153.0,153.95,423940
2020-07-03,154.1,155.9,153.3,154.3,348544
2020-07-06,158.0,160.9,156.6,158.3,922519
2020-07-07,158.5,163.9,157.65,160.25,1547834
2020-07-08,161.9,168.8,161.9,163.45,2515175
2020-07-09,164.9,172.5,164.25,170.4,2934418
2020-07-10,171.0,178.8,170.5,173.2,4374386
2020-07-13,178.8,179.75,170.05,171.0,3007838
2020-07-14,170.0,170.75,162.5,164.1,799071
2020-07-15,166.9,167.7,158.2,159.95,808601
2020-07-16,160.6,161.0,156.15,158.7,451460
2020-07-17,159.8,163.65,159.1,161.7,886167
2020-07-20,162.5,165.25,161.45,163.3,1295336
2020-07-21,164.35,168.6,163.0,163.8,1403209
2020-07-22,164.4,165.5,160.9,163.6,684928
2020-07-23,163.9,166.6,162.75,163.95,1283515
2020-07-24,162.9,164.35,160.6,161.75,972740
2020-07-27,162.1,162.85,157.3,158.15,907541
2020-07-28,158.65,161.25,158.65,160.1,754858
2020-07-29,160.3,168.65,159.55,166.7,2173747
2020-07-30,168.0,169.5,163.1,163.95,1588528
2020-07-31,163.5,165.9,161.75,164.25,1009176
2020-08-03,163.8,165.95,161.55,162.8,1081413
