date,open,high,low,close,volume
2020-01-13,976.0,993.9,965.55,982.1,167704
2020-01-14,982.0,985.7,972.4,976.1,111812
2020-01-15,975.0,985.7,973.0,979.75,113324
2020-01-16,975.3,997.05,975.3,989.35,118915
2020-01-17,985.25,995.25,979.05,987.9,181096
2020-01-20,988.0,995.0,975.15,981.9,103488
2020-01-21,979.0,982.0,950.0,953.5,108496
2020-01-22,959.7,965.0,950.55,960.25,68248
2020-01-23,962.0,1025.0,962.0,1020.3,562451
2020-01-24,1026.65,1058.8,1014.05,1053.0,560053
2020-01-27,1049.85,1080.0,1043.0,1059.95,306722
2020-01-28,1063.65,1076.0,1053.0,1059.15,179620
2020-01-29,1070.0,1111.95,1070.0,1089.05,516906
2020-01-30,1094.5,1094.85,1042.5,1087.95,212466
2020-01-31,1084.0,1084.95,1056.85,1080.3,178002
2020-02-01,1083.7,1089.85,978.0,989.9,347842
2020-02-03,990.0,1088.0,990.0,1071.2,1085778
2020-02-04,1067.95,1134.0,1042.05,1099.0,552401
2020-02-05,1102.0,1189.25,1092.3,1151.4,1071661
2020-02-06,1140.0,1175.9,1140.0,1168.65,449147
2020-02-07,1168.0,1182.7,1153.4,1168.8,137409
2020-02-10,1168.8,1170.0,1145.0,1155.85,88132
2020-02-11,1150.25,1172.8,1143.15,1150.55,168585
2020-02-12,1154.25,1162.0,1095.95,1145.0,164781
2020-02-13,1149.45,1151.75,1122.45,1129.65,51301
2020-02-14,1136.7,1160.0,1121.0,1139.75,129532
2020-02-17,1147.15,1151.85,1126.05,1132.6,255879
2020-02-18,1126.0,1137.95,1096.5,1113.0,79664
2020-02-19,1120.0,1134.2,1071.3,1081.8,115503
2020-02-20,1076.0,1122.0,1075.0,1112.2,309423
2020-02-24,1115.0,1131.05,1095.0,1103.1,111267
2020-02-25,1108.95,1118.6,1092.0,1099.95,293649
2020-02-26,1094.0,1099.45,1052.3,1082.1,89304
2020-02-27,1075.0,1078.65,1034.0,1039.75,133174
2020-02-28,1018.7,1026.9,985.0,1003.05,241238
2020-03-02,1029.5,1044.0,1004.95,1013.95,92761
2020-03-03,1015.0,1034.95,980.5,1000.05,172285
2020-03-04,1015.1,1023.95,950.0,984.1,252766
2020-03-05,990.5,998.95,950.0,954.05,1141134
2020-03-06,921.0,946.0,902.35,915.4,271254
2020-03-09,900.0,922.0,895.5,916.1,295914
