date,open,high,low,close,volume
2020-01-13,35.2,35.25,34.75,34.75,3557668
2020-01-14,34.15,34.85,34.0,34.75,1336531
2020-01-15,35.0,35.1,34.9,35.05,1080717
2020-01-16,35.8,35.8,34.9,35.0,1260631
2020-01-17,35.0,35.65,34.9,34.95,820973
2020-01-20,35.0,35.29,35.0,35.23,925057
2020-01-21,35.5,35.55,35.06,35.13,1407302
2020-01-22,35.3,35.31,34.95,35.29,1583074
2020-01-23,35.34,35.43,35.06,35.21,968621
2020-01-24,35.3,35.5,35.3,35.4,1927549
2020-01-27,35.7,35.89,35.6,35.85,1306403
2020-01-28,35.83,35.93,35.66,35.72,744755
2020-01-29,36.0,36.0,35.0,35.61,598669
2020-01-30,35.85,36.04,35.77,35.93,1246645
2020-01-31,36.0,36.0,35.8,35.87,1330339
2020-02-01,36.45,36.45,36.05,36.21,1557021
2020-02-03,36.8,36.8,35.88,35.91,2151872
2020-02-04,35.8,35.84,35.52,35.58,1300422
2020-02-05,36.0,36.0,35.18,35.31,1744465
2020-02-06,35.5,35.68,35.33,35.58,673255
2020-02-07,35.92,35.92,35.57,35.7,855832
2020-02-10,35.84,37.4,35.75,35.95,997613
2020-02-11,35.79,35.87,35.7,35.82,538313
2020-02-12,35.84,35.85,35.72,35.76,754076
2020-02-13,35.95,36.02,35.82,35.95,777100
2020-02-14,35.25,35.97,35.25,35.85,607034
2020-02-17,36.25,37.3,35.87,35.93,1117666
2020-02-18,36.14,36.18,36.05,36.14,864267
2020-02-19,36.9,36.9,36.2,36.71,1416101
2020-02-20,36.75,37.0,36.65,36.82,1950317
2020-02-24,37.81,39.0,37.8,38.58,11623173
2020-02-25,38.6,38.6,37.22,37.44,3518558
2020-02-26,37.49,37.65,37.2,37.52,2451716
2020-02-27,37.4,37.99,37.21,37.38,1974132
2020-02-28,37.81,37.89,37.12,37.37,4492262
2020-03-02,36.94,37.11,36.31,37.03,5738746
2020-03-03,37.45,37.45,36.85,37.12,1974229
2020-03-04,38.0,38.6,37.91,38.1,5213172
2020-03-05,38.1,38.29,37.93,38.04,2939616
2020-03-06,38.75,39.24,38.42,39.05,5247298
2020-03-09,41.8,43.7,38.37,38.46,7072818
2020-03-11,38.01,38.8,38.01,38.18,3035065
2020-03-12,38.09,38.09,37.56,37.96,6534648
2020-03-13,37.3,37.3,34.5,36.62,5230638
2020-03-16,37.35,37.35,35.55,35.67,5151982
2020-03-17,35.19,35.19,34.64,34.83,5183701
2020-03-18,36.05,36.38,35.13,35.44,5428408
2020-03-19,35.4,35.7,34.46,35.21,9473352
2020-03-20,35.21,36.35,35.11,36.11,4056062
2020-03-23,36.21,40.9,34.8,35.02,6150889
2020-03-24,36.02,37.2,35.95,36.39,2820438
2020-03-25,36.94,37.64,36.11,36.99,2962533
2020-03-26,36.9,37.39,36.32,36.72,1561410
2020-03-27,36.31,38.3,36.11,38.17,2869176
2020-03-30,38.4,40.0,38.0,39.74,5715513
2020-03-31,39.74,40.5,38.0,38.21,6297798
