date,open,high,low,close,volume
2020-01-14,759.75,764.83,750.09,756.86,1190983
2020-01-15,754.97,765.92,744.51,763.33,1522149
2020-01-16,764.28,767.92,750.09,753.03,1041542
2020-01-17,712.14,768.91,708.16,765.18,4938668
2020-01-20,764.53,774.39,759.4,769.71,1581604
2020-01-21,775.88,777.98,760.4,768.56,1667944
2020-01-22,767.77,795.8,764.03,789.73,3094108
2020-01-23,781.86,808.7,779.87,805.66,2597575
2020-01-24,804.77,821.1,792.77,818.71,1933596
2020-01-27,811.74,833.55,806.76,809.85,2820170
2020-01-28,814.23,820.55,794.06,805.66,1790763
2020-01-29,810.74,819.56,796.8,799.09,1840469
2020-01-30,805.76,805.76,784.1,788.08,1330549
2020-01-31,789.93,794.76,772.45,775.78,1304510
2020-02-01,771.9,786.59,751.53,756.36,1141373
2020-02-03,755.96,779.87,747.25,777.28,1541125
2020-02-04,776.93,793.16,776.93,790.53,1075870
2020-02-05,790.53,798.89,784.9,796.7,1062649
2020-02-06,799.19,803.42,790.13,797.8,1222469
2020-02-07,797.8,800.39,782.41,784.5,1086876
2020-02-10,783.85,786.54,748.99,754.52,4260871
2020-02-11,756.96,765.92,751.08,756.26,3394890
2020-02-12,759.05,771.35,751.48,752.33,1853019
2020-02-13,752.33,761.89,742.32,749.24,1884554
2020-02-14,751.48,767.77,734.15,740.08,3413125
2020-02-17,740.03,747.0,730.57,734.45,1522522
2020-02-18,734.4,738.24,712.69,721.0,1757949
2020-02-19,727.08,756.71,723.39,754.12,2076172
2020-02-20,747.0,764.73,742.92,748.29,2137123
2020-02-24,745.01,745.01,719.31,722.0,2367430
2020-02-25,724.09,729.97,712.24,717.52,2281197
2020-02-26,715.13,719.31,697.2,699.99,2852536
2020-02-27,699.99,714.63,683.26,710.0,3364092
2020-02-28,684.25,704.67,681.26,684.45,4407561
2020-03-02,698.2,698.69,654.67,665.78,2254366
2020-03-03,668.32,701.78,668.32,697.25,3363703
2020-03-04,699.69,705.96,679.27,686.74,2853830
2020-03-05,690.03,692.72,675.29,677.58,2171216
2020-03-06,647.4,668.22,642.42,662.39,1701638
2020-03-09,645.41,651.38,622.8,632.06,2787027
2020-03-11,632.46,637.94,613.54,622.75,3001779
2020-03-12,607.31,607.56,552.78,557.61,4779122
2020-03-13,535.45,629.12,502.98,602.53,6209811
2020-03-16,577.68,597.1,556.76,574.59,2988513
2020-03-17,569.01,583.31,551.04,553.43,3007412
2020-03-18,565.73,565.73,490.43,524.94,6866023
2020-03-19,479.08,516.72,479.08,489.09,3915475
2020-03-20,493.02,562.44,486.1,527.28,3046929
2020-03-23,479.37,498.0,395.46,431.52,4492862
2020-03-24,434.26,456.07,391.43,398.5,2997319
2020-03-25,388.44,456.87,383.51,449.54,4213639
2020-03-26,438.19,482.06,422.25,469.51,3976433
2020-03-27,470.16,491.82,445.06,459.06,2028833
2020-03-30,446.21,474.59,436.45,448.7,1999652
2020-03-31,461.55,477.83,451.79,474.2,1808522
2020-04-01,475.99,482.36,450.79,474.25,2128835
2020-04-03,471.61,475.79,449.4,452.88,1476141
2020-04-07,476.09,520.81,461.15,516.48,2642861
2020-04-08,510.45,530.37,498.4,510.55,2411693
2020-04-09,526.88,545.26,510.95,528.43,2500531
2020-04-13,528.43,558.76,507.96,542.32,3276106
2020-04-15,556.66,570.56,528.03,533.26,2133871
2020-04-16,527.88,554.77,520.96,541.57,3609454
2020-04-17,557.76,560.75,531.22,543.37,2741962
2020-04-20,546.06,550.69,517.32,519.56,3118529
2020-04-21,512.79,515.23,501.49,507.51,2599111
2020-04-22,508.96,511.25,500.44,508.36,2334083
2020-04-23,512.94,515.78,496.71,498.45,2049110
2020-04-24,490.03,499.89,482.81,497.05,2560348
2020-04-27,502.88,508.66,490.33,496.26,1765902
2020-04-28,504.92,509.45,491.82,495.46,2128608
2020-04-29,498.0,502.88,493.57,499.94,1404789
2020-04-30,502.98,512.94,499.29,502.88,6561926
2020-05-04,491.03,492.97,474.44,477.13,3321012
2020-05-05,483.06,485.85,467.37,469.56,1735998
2020-05-06,473.1,484.06,467.32,480.47,1896597
2020-05-07,480.47,489.98,474.49,483.26,1743985
2020-05-08,487.84,490.83,480.82,484.35,1451764
2020-05-11,487.24,510.45,482.81,502.43,3913118
2020-05-12,500.69,518.92,490.13,515.88,3123048
2020-05-13,547.8,547.8,516.97,520.86,2712048
2020-05-14,515.93,526.49,506.22,509.35,1940456
2020-05-15,512.19,517.77,507.86,515.78,1384498
2020-05-18,513.44,513.44,492.12,493.82,2678680
2020-05-19,496.21,518.92,493.07,509.8,3300009
2020-05-20,508.96,536.79,504.97,534.7,2862810
2020-05-21,534.7,534.8,519.46,524.84,2006033
2020-05-22,521.8,532.81,511.05,530.22,1752310
2020-05-26,532.86,542.22,525.74,530.52,4004200
2020-05-27,532.86,567.32,526.93,564.38,4754304
2020-05-28,565.73,579.32,555.02,574.19,3331206
2020-05-29,587.94,599.59,574.69,586.84,5980490
2020-06-01,590.13,597.6,577.73,581.17,2564188
2020-06-02,580.67,598.94,573.25,593.96,2681199
2020-06-03,598.15,607.56,589.98,595.41,2436162
2020-06-04,594.61,608.56,580.52,602.68,1650647
2020-06-05,609.15,628.18,607.06,624.64,3146279
2020-06-08,632.46,641.82,611.29,614.68,2757789
2020-06-09,620.61,633.26,604.27,609.45,2091260
2020-06-10,609.55,623.5,607.66,612.29,1797821
2020-06-11,615.53,623.5,580.22,588.24,2508017
2020-06-12,565.93,603.78,565.93,599.54,2110683
2020-06-15,607.56,608.41,574.79,579.57,2927309
2020-06-16,595.61,602.08,577.88,586.74,1815526
2020-06-17,584.75,595.31,578.48,581.51,1161939
2020-06-18,580.67,600.44,575.99,595.71,1808934
2020-06-19,595.61,601.29,591.18,598.84,2630351
2020-06-22,601.48,626.33,584.65,615.13,5901662
2020-06-23,620.11,631.81,610.6,619.86,3194835
2020-06-24,623.5,630.92,596.11,611.2,2452195
2020-06-25,608.51,624.04,601.63,605.02,2097980
2020-06-26,610.45,623.84,607.56,613.69,1767759
2020-06-29,611.29,621.95,596.11,616.77,2018414
2020-06-30,622.75,626.23,608.85,617.22,1635682
2020-07-01,617.32,623.45,609.7,611.89,1403017
2020-07-02,612.49,629.02,612.49,615.48,2512272
2020-07-03,621.3,627.48,611.05,625.64,2074850
2020-07-06,630.47,650.79,626.58,638.59,4076029
2020-07-07,638.59,640.33,618.81,621.16,2165155
2020-07-08,625.49,629.32,602.88,606.07,2401189
2020-07-09,609.55,620.26,607.51,614.18,1631938
2020-07-10,614.18,617.42,594.71,609.0,2704718
2020-07-13,611.94,615.48,605.12,609.3,1722438
2020-07-14,610.0,611.39,591.47,594.31,1758195
2020-07-15,600.04,604.57,584.0,586.54,1921511
2020-07-16,589.63,590.63,577.68,580.72,1515768
2020-07-17,582.16,593.02,580.67,589.73,2180752
2020-07-20,595.61,608.95,590.98,600.74,2295790
2020-07-21,602.58,614.03,599.49,600.69,1950370
2020-07-22,604.57,609.55,591.62,599.39,1749698
2020-07-23,602.88,609.35,594.61,595.86,1211807
2020-07-24,594.41,594.41,579.27,580.37,1255696
2020-07-27,582.66,582.66,566.18,568.52,2225589
2020-07-28,570.51,595.56,562.74,593.86,5626220
2020-07-29,597.6,619.36,596.95,613.83,6110603
2020-07-30,611.69,622.6,598.75,600.54,2519590
2020-07-31,603.92,634.35,599.59,630.52,4769883
2020-08-03,627.48,640.18,619.16,630.97,2556382
2020-08-04,632.86,637.19,619.71,622.15,2070776
2020-08-05,622.2,641.03,619.21,630.92,2506947
2020-08-06,633.46,643.91,626.48,631.66,2312632
2020-08-07,631.46,639.33,625.74,634.0,2235624
2020-08-10,637.44,640.78,625.19,631.51,1932944
2020-08-11,632.46,638.39,616.57,621.75,2069809
2020-08-12,617.52,626.48,612.64,623.65,2151196
2020-08-13,629.27,635.45,619.01,629.32,3049287
2020-08-14,629.47,637.24,620.96,626.43,2852172
2020-08-17,627.63,631.46,608.26,622.85,4326238
2020-08-18,618.52,675.79,618.52,664.43,15527937
2020-08-19,665.28,669.31,657.81,662.19,3258037
2020-08-20,657.51,672.3,652.43,662.94,3027139
2020-08-21,672.0,680.27,666.22,674.64,4009330
2020-08-24,677.68,690.73,663.54,668.86,3836489
2020-08-25,669.31,676.73,659.0,671.05,1831319
2020-08-26,670.26,675.79,655.97,664.53,2460081
2020-08-27,667.47,685.25,664.33,682.31,3272469
2020-08-28,687.19,714.63,681.26,698.35,7416881
2020-08-31,700.19,707.96,667.97,672.15,4474507
2020-09-01,674.24,701.98,648.45,681.81,4746710
2020-09-02,678.28,683.21,660.0,675.74,3946766
2020-09-03,682.26,726.43,678.87,721.85,7528506
2020-09-04,702.18,721.1,695.91,703.67,3620359
2020-09-07,717.12,717.92,690.23,697.35,4195045
2020-09-08,700.09,700.09,671.5,674.39,2836974
2020-09-09,673.3,693.71,661.39,684.35,2847236
2020-09-10,693.76,714.88,678.57,710.45,4943888
2020-09-11,712.14,724.09,701.83,718.07,7359926
2020-09-14,718.12,733.01,700.19,704.17,3057094
2020-09-15,708.75,720.61,706.96,717.52,2938324
2020-09-16,720.06,734.25,711.24,717.52,3050923
2020-09-17,717.52,735.79,713.68,721.8,3943096
2020-09-18,725.04,745.66,721.75,742.02,3229101
2020-09-21,746.65,746.65,707.21,713.98,2436403
2020-09-22,717.52,743.02,703.97,726.18,3326878
