date,open,high,low,close,volume
2020-01-13,53.7,58.9,53.7,56.3,236328
2020-01-14,58.2,60.7,56.3,56.6,308524
2020-01-15,56.5,57.35,55.5,55.85,67464
2020-01-16,56.9,61.5,56.5,60.05,425297
2020-01-17,60.7,62.15,59.85,60.6,194024
2020-01-20,60.6,61.85,58.25,58.55,81160
2020-01-21,57.5,62.6,57.5,61.1,260639
2020-01-22,63.0,64.4,61.5,62.4,141776
2020-01-23,63.7,63.7,60.6,61.55,68082
2020-01-24,62.0,62.55,61.0,61.75,37886
2020-01-27,61.0,62.35,57.9,58.4,104876
2020-01-28,59.7,59.9,58.0,58.35,52257
2020-01-29,58.55,63.15,58.45,61.8,187835
2020-01-30,62.0,63.2,59.05,60.85,109757
2020-01-31,61.8,65.7,61.1,61.9,318828
2020-02-01,61.8,62.35,59.7,60.15,74154
2020-02-03,60.15,60.95,57.8,58.6,98418
2020-02-04,59.8,60.25,58.4,58.9,50816
2020-02-05,59.0,61.5,58.95,60.7,81468
2020-02-06,64.0,64.7,60.1,60.6,210597
2020-02-07,60.5,61.0,59.15,60.15,61881
2020-02-10,60.2,60.7,57.85,59.1,87339
2020-02-11,59.45,60.5,58.0,58.85,57523
2020-02-12,59.05,62.75,59.0,62.0,287585
2020-02-13,62.45,66.8,62.1,66.05,299398
2020-02-14,66.6,68.3,65.3,65.95,180059
2020-02-17,66.4,68.0,66.0,66.5,103601
2020-02-18,66.3,67.45,64.5,65.7,151150
2020-02-19,66.3,69.7,66.0,66.45,96843
2020-02-20,66.95,68.3,65.5,67.2,68675
2020-02-24,66.75,67.6,63.9,65.3,64696
2020-02-25,64.05,65.0,55.65,57.6,225789
2020-02-26,56.9,60.5,54.5,59.5,321581
2020-02-27,60.35,61.3,57.0,57.75,123793
2020-02-28,57.75,57.75,53.5,54.05,121615
2020-03-02,55.35,56.65,50.75,51.85,125624
2020-03-03,52.6,53.9,48.1,49.7,129796
2020-03-04,49.2,50.1,44.1,44.8,168238
2020-03-05,44.05,46.8,44.05,45.15,93702
2020-03-06,43.95,49.7,40.6,47.6,104025
2020-03-09,45.15,47.0,45.0,45.25,43736
2020-03-11,46.7,47.9,45.0,45.0,57042
2020-03-12,44.9,46.0,42.0,44.5,143326
2020-03-13,44.0,46.0,41.0,45.2,146035
2020-03-16,42.2,52.8,42.0,43.5,84038
2020-03-17,43.95,44.7,42.0,43.1,40044
2020-03-18,43.0,44.1,36.3,39.1,88399
2020-03-19,39.1,41.55,38.5,41.1,95272
2020-03-20,41.1,42.7,40.5,41.65,61655
2020-03-23,41.0,46.0,37.0,37.55,34823
2020-03-24,39.95,41.4,36.45,37.15,81323
2020-03-25,36.0,37.9,35.1,37.25,24395
2020-03-26,36.75,40.0,35.7,36.05,67048
2020-03-27,38.85,39.0,34.25,34.95,68116
2020-03-30,35.0,35.0,33.05,33.25,38676
2020-03-31,33.25,33.95,32.15,33.45,66480
2020-04-01,33.5,34.25,32.15,32.7,33056
2020-04-03,33.4,39.15,32.05,33.8,104431
2020-04-07,34.1,35.6,34.1,34.85,53499
2020-04-08,34.05,36.25,34.05,34.95,65806
2020-04-09,36.15,38.0,35.0,37.1,112560
2020-04-13,37.1,38.1,35.1,35.75,39655
2020-04-15,36.1,37.65,35.0,35.35,52601
2020-04-16,35.3,37.8,35.3,36.75,48160
2020-04-17,37.9,38.5,37.1,37.65,68302
2020-04-20,38.0,39.7,37.5,38.95,89577
2020-04-21,38.0,38.2,36.3,36.8,36679
2020-04-22,36.9,37.0,30.2,35.75,68939
2020-04-23,37.4,39.0,35.95,38.25,74381
