date,open,high,low,close,volume
2020-01-13,264.0,265.4,260.05,263.1,623519
2020-01-14,264.6,270.0,263.1,268.5,1955161
2020-01-15,270.4,278.9,266.0,267.4,2776474
2020-01-16,271.65,272.75,268.2,271.1,1087478
2020-01-17,272.5,275.85,267.0,269.9,936164
2020-01-20,270.95,273.9,265.4,271.65,1161488
2020-01-21,270.95,278.25,269.25,276.45,921565
2020-01-22,278.1,282.0,273.05,280.7,828889
2020-01-23,282.0,291.6,279.3,290.65,1440061
2020-01-24,292.8,298.0,290.4,294.45,1991261
2020-01-27,294.5,304.8,294.5,302.25,1205880
2020-01-28,304.65,307.95,286.0,291.15,1743701
2020-01-29,293.7,298.8,288.1,294.9,970493
2020-01-30,296.65,296.65,285.8,288.3,575832
2020-01-31,291.0,293.9,285.2,288.3,695332
2020-02-01,289.8,297.85,281.15,284.7,813716
2020-02-03,280.55,284.3,280.55,282.9,427994
2020-02-04,285.15,297.0,285.15,292.3,1012878
2020-02-05,295.7,302.0,292.55,296.25,1291280
2020-02-06,300.0,305.0,297.0,302.2,2306538
2020-02-07,309.8,313.8,302.7,304.4,1312485
2020-02-10,306.3,307.75,295.25,299.8,865601
2020-02-11,302.75,302.75,291.25,293.15,732512
2020-02-12,296.85,303.1,294.7,301.55,911453
2020-02-13,303.0,308.0,295.25,297.4,1142789
2020-02-14,298.0,301.2,296.45,299.6,438421
2020-02-17,300.0,300.9,282.05,285.3,753958
2020-02-18,285.9,289.65,277.2,286.25,1294394
2020-02-19,288.3,291.75,282.0,287.55,787170
2020-02-20,287.5,289.65,285.75,287.45,1023523
2020-02-24,286.8,286.8,282.05,285.05,1238802
2020-02-25,286.0,293.45,282.2,289.95,1039152
2020-02-26,291.65,292.7,282.55,284.5,1085650
2020-02-27,284.95,288.85,266.65,286.35,1250988
2020-02-28,272.0,282.25,271.0,276.1,591787
2020-03-02,276.1,286.15,275.0,278.8,1019563
2020-03-03,278.25,291.3,278.25,289.35,861926
2020-03-04,290.95,293.25,278.0,290.0,681263
2020-03-05,290.0,299.2,282.05,289.0,907979
2020-03-06,277.9,287.7,274.0,284.25,392220
2020-03-09,285.0,285.9,264.0,277.65,1576267
2020-03-11,274.1,286.7,274.1,276.45,1896066
2020-03-12,263.0,270.25,250.0,261.0,1452268
2020-03-13,242.8,285.9,225.0,258.3,1603163
2020-03-16,257.0,275.0,248.0,260.3,1535707
2020-03-17,250.0,259.6,244.95,250.95,2302434
2020-03-18,252.1,257.65,232.4,236.6,1033646
2020-03-19,226.6,234.65,215.5,229.5,1346393
2020-03-20,231.0,245.0,225.05,241.8,765786
2020-03-23,223.0,234.65,201.05,205.1,761158
2020-03-24,213.6,217.0,190.5,208.05,807797
2020-03-25,201.8,213.0,201.05,211.15,1078863
2020-03-26,213.0,242.4,212.8,232.8,1748505
2020-03-27,237.0,239.0,225.55,228.3,861068
2020-03-30,228.0,234.95,223.1,225.7,601351
2020-03-31,229.0,257.95,216.1,230.85,1304779
2020-04-01,234.0,250.0,225.0,226.7,688946
2020-04-03,227.0,229.0,219.1,223.5,558813
2020-04-07,226.25,239.0,226.25,231.3,2018815
2020-04-08,229.2,237.7,226.55,229.45,887536
2020-04-09,231.0,241.8,230.55,235.15,1620926
2020-04-13,235.0,247.0,226.1,235.3,1226299
2020-04-15,235.9,254.0,235.9,248.05,1710438
2020-04-16,253.0,259.0,250.05,256.3,684165
2020-04-17,261.0,262.85,255.0,257.5,364447
2020-04-20,259.2,274.9,253.4,263.65,1592879
2020-04-21,260.5,260.95,248.5,252.25,681723
2020-04-22,250.0,272.5,249.8,267.4,649495
2020-04-23,270.0,270.95,260.1,262.05,618043
2020-04-24,261.3,264.25,252.15,258.25,436932
2020-04-27,261.8,263.0,254.05,255.45,265082
2020-04-28,256.7,260.6,251.3,252.25,549527
2020-04-29,255.0,260.0,254.05,257.1,598475
2020-04-30,259.6,267.85,255.75,259.0,890423
2020-05-04,254.15,257.95,250.0,251.1,411652
2020-05-05,253.3,255.55,240.15,241.35,367969
2020-05-06,242.85,244.85,232.85,235.0,397001
2020-05-07,235.0,237.9,232.2,234.05,206351
2020-05-08,238.65,245.9,236.1,243.85,787585
2020-05-11,246.0,254.95,245.1,252.25,541749
2020-05-12,251.0,252.25,243.1,246.8,188829
2020-05-13,254.4,255.45,242.2,242.85,490533
2020-05-14,241.0,246.25,240.0,241.7,686958
2020-05-15,244.5,244.75,239.15,239.9,237103
2020-05-18,239.0,240.9,228.0,231.65,357344
2020-05-19,233.65,248.5,228.45,243.6,943693
2020-05-20,250.2,250.2,241.3,249.65,293372
2020-05-21,249.85,256.85,246.5,250.0,387156
2020-05-22,249.45,249.45,242.2,247.3,204246
2020-05-26,248.35,248.9,238.1,240.4,311569
