date,open,high,low,close,volume
2020-01-14,402.5,433.5,402.0,429.4,577164
2020-01-15,427.5,432.45,416.25,426.2,190884
2020-01-16,428.3,433.63,420.55,422.23,58406
2020-01-17,421.0,422.0,410.5,412.0,33206
2020-01-20,405.08,412.5,400.48,402.85,39608
2020-01-21,403.0,443.5,400.53,437.43,362190
2020-01-22,434.55,447.95,425.7,428.68,163582
2020-01-23,430.5,438.65,423.8,426.93,61268
2020-01-24,427.5,434.5,425.0,426.43,36982
2020-01-27,427.35,429.5,413.2,417.73,34524
2020-01-28,418.63,436.35,415.0,416.08,23074
2020-01-29,419.5,422.75,405.65,413.33,27586
2020-01-30,416.0,419.95,393.13,407.45,77826
2020-01-31,408.98,413.98,400.5,402.05,25442
2020-02-01,407.0,407.53,380.05,384.58,46762
2020-02-03,380.0,396.28,377.65,390.03,36632
2020-02-04,392.5,396.1,389.45,391.53,23438
2020-02-05,400.0,409.53,394.05,406.08,82786
2020-02-06,409.4,412.5,400.0,400.65,59052
2020-02-07,403.88,404.93,386.43,388.53,70668
2020-02-10,388.53,394.0,386.53,387.83,32710
2020-02-11,389.0,397.5,382.5,384.78,21346
2020-02-12,384.83,390.5,382.53,387.98,21332
2020-02-13,388.5,397.0,378.85,380.9,250572
2020-02-14,382.5,382.5,372.55,374.38,30336
2020-02-17,391.5,392.48,353.5,362.15,318658
2020-02-18,354.5,361.85,349.38,352.43,61688
2020-02-19,359.93,392.43,358.85,372.18,510192
2020-02-20,373.85,377.5,365.63,368.15,94914
2020-02-24,368.95,372.35,352.5,356.48,169874
2020-02-25,362.05,370.73,354.53,357.1,427086
2020-02-26,353.5,360.0,350.2,352.68,98124
2020-02-27,352.0,370.0,351.5,363.43,154960
2020-02-28,352.5,352.5,341.53,343.03,70284
2020-03-02,348.0,354.0,326.5,332.03,70026
2020-03-03,342.48,342.48,332.5,335.95,45818
2020-03-04,336.0,336.0,319.0,323.63,88612
2020-03-05,324.0,332.0,320.28,322.33,57988
2020-03-06,318.5,318.5,310.0,310.8,46822
2020-03-09,311.88,311.88,292.5,296.08,75578
2020-03-11,296.0,302.5,293.03,294.48,34350
2020-03-12,287.5,287.5,268.0,269.45,66172
2020-03-13,256.75,271.5,236.0,267.1,82154
2020-03-16,265.0,310.0,257.13,279.93,123136
2020-03-17,286.0,290.0,272.5,276.65,170952
2020-03-18,287.0,287.8,270.0,274.88,93910
2020-03-19,270.0,290.5,261.0,278.2,126510
2020-03-20,282.0,287.3,276.55,282.58,100220
2020-03-23,235.0,269.5,235.0,250.38,59318
2020-03-24,257.5,258.58,236.5,239.63,51722
2020-03-25,235.0,246.28,235.0,239.75,35086
2020-03-26,242.5,251.2,239.25,248.63,31240
2020-03-27,252.5,297.5,250.05,262.58,261116
2020-03-30,262.5,262.5,251.68,256.28,25010
2020-03-31,257.0,263.88,257.0,260.15,23822
2020-04-01,275.0,280.5,265.0,266.65,102684
2020-04-03,271.93,271.93,261.48,264.78,23000
2020-04-07,274.78,274.78,262.5,267.35,50988
2020-04-08,268.0,311.0,265.0,273.0,372842
2020-04-09,275.75,283.5,273.25,274.13,102576
2020-04-13,292.63,297.5,280.0,281.65,330606
2020-04-15,287.8,287.8,275.83,277.78,79272
2020-04-16,275.0,287.0,273.5,281.23,100754
2020-04-17,286.45,291.0,278.35,279.9,96236
2020-04-20,281.5,285.85,281.0,282.5,49862
2020-04-21,280.95,280.95,268.03,273.28,50602
2020-04-22,270.55,273.4,267.55,270.38,32644
2020-04-23,273.7,276.83,270.55,271.83,29448
2020-04-24,270.0,276.0,265.0,266.5,43908
2020-04-27,269.85,269.85,262.63,264.08,39748
2020-04-28,266.45,266.48,259.28,259.85,59368
2020-04-29,262.05,265.0,256.78,263.03,55336
2020-04-30,266.05,266.5,263.0,263.58,66642
2020-05-04,260.0,260.0,252.0,254.9,74384
2020-05-05,256.18,259.5,250.75,251.9,92382
2020-05-06,253.18,255.48,250.0,252.5,47104
2020-05-07,250.0,265.4,250.0,255.78,603622
2020-05-08,257.08,259.45,250.0,250.93,74904
