date,open,high,low,close,volume
2020-01-13,3090.0,3110.0,3055.0,3062.1,321948
2020-01-14,3075.0,3154.0,3063.65,3142.1,466628
2020-01-15,3154.0,3211.0,3145.05,3204.15,366511
2020-01-16,3222.0,3259.75,3217.6,3244.8,371056
2020-01-17,3257.9,3270.4,3241.05,3263.25,243008
2020-01-20,3279.6,3285.0,3203.4,3245.0,260251
2020-01-21,3228.0,3240.0,3172.0,3179.45,362236
2020-01-22,3210.0,3262.0,3140.0,3177.75,660200
2020-01-23,3171.4,3240.0,3171.4,3223.35,435772
2020-01-24,3225.0,3244.35,3194.0,3209.5,505490
2020-01-27,3198.9,3204.0,3162.8,3179.55,172858
2020-01-28,3190.0,3219.8,3178.0,3193.0,262484
2020-01-29,3199.7,3205.0,3163.0,3177.65,133279
2020-01-30,3181.0,3201.0,3154.85,3189.6,224807
2020-01-31,3180.0,3194.0,3160.0,3174.2,196125
2020-02-01,3173.95,3225.0,3045.0,3054.9,362779
2020-02-03,3000.0,3091.95,2992.5,3075.2,317506
2020-02-04,3090.6,3211.6,3090.6,3185.9,374359
2020-02-05,3204.8,3230.0,3175.0,3189.8,362120
2020-02-06,3205.0,3335.0,3165.6,3318.1,966152
2020-02-07,3345.0,3378.2,3293.15,3313.9,597375
2020-02-10,3320.0,3337.9,3278.75,3302.5,273251
2020-02-11,3330.0,3418.0,3315.55,3324.15,597307
2020-02-12,3336.8,3383.35,3330.0,3357.9,307000
2020-02-13,3360.0,3369.95,3318.0,3346.65,206696
2020-02-14,3363.4,3378.0,3318.0,3327.0,207023
2020-02-17,3327.0,3335.65,3208.75,3244.3,172453
2020-02-18,3245.0,3246.0,3182.0,3220.65,198514
2020-02-19,3236.0,3375.0,3236.0,3358.3,503635
2020-02-20,3372.0,3446.6,3345.0,3383.8,493099
2020-02-24,3360.0,3389.95,3262.1,3278.25,275139
2020-02-25,3298.0,3345.0,3252.3,3264.5,221332
2020-02-26,3250.0,3315.0,3225.0,3273.75,395946
2020-02-27,3263.0,3265.0,3187.0,3246.65,278275
2020-02-28,3150.0,3178.95,3100.0,3141.4,413686
2020-03-02,3210.0,3220.0,3019.05,3051.3,443650
2020-03-03,3056.0,3102.0,3026.85,3062.1,285682
2020-03-04,3080.0,3080.0,2995.0,3017.25,316386
2020-03-05,3030.0,3092.4,3017.7,3051.75,270095
2020-03-06,2900.0,2999.0,2870.0,2973.4,376843
2020-03-09,2900.0,2939.9,2776.75,2848.75,467146
2020-03-11,2860.1,2962.45,2826.0,2921.95,385368
2020-03-12,2820.0,2820.0,2435.5,2477.3,784125
2020-03-13,2166.0,2799.0,2002.1,2680.95,1080337
2020-03-16,2550.0,2680.0,2426.3,2517.35,487805
2020-03-17,2555.0,2624.0,2410.0,2442.0,494692
2020-03-18,2429.95,2500.0,2211.55,2305.7,987988
2020-03-19,2189.05,2320.0,2070.0,2299.45,754757
2020-03-20,2313.0,2533.0,2272.3,2423.7,712193
2020-03-23,2050.0,2300.0,2050.0,2111.65,599749
2020-03-24,2190.9,2253.95,2000.0,2026.15,637093
2020-03-25,2026.0,2130.0,1962.0,2038.95,662238
2020-03-26,2089.0,2250.0,2050.0,2145.05,818940
2020-03-27,2245.05,2249.95,2070.0,2083.45,676870
2020-03-30,2010.0,2082.75,1970.0,2049.1,442972
2020-03-31,2105.0,2138.0,2051.45,2112.8,465985
2020-04-01,2125.0,2220.0,2115.0,2185.75,418689
2020-04-03,2190.0,2224.0,2135.0,2177.15,520257
2020-04-07,2250.0,2255.0,2181.65,2243.05,676845
2020-04-08,2219.0,2440.0,2214.05,2318.75,601036
2020-04-09,2370.0,2485.0,2353.2,2447.25,368968
2020-04-13,2450.0,2584.0,2362.0,2545.55,519331
2020-04-15,2585.4,2709.5,2585.4,2616.1,593405
2020-04-16,2630.0,2680.0,2562.15,2600.5,389140
2020-04-17,2679.0,2730.0,2650.0,2676.95,306746
2020-04-20,2700.0,2820.0,2700.0,2792.85,364235
2020-04-21,2715.0,2730.0,2610.0,2626.4,479894
2020-04-22,2598.0,2646.0,2575.0,2626.25,406672
2020-04-23,2626.9,2671.15,2575.5,2591.2,296130
2020-04-24,2511.0,2519.0,2362.55,2427.75,622782
2020-04-27,2416.0,2620.15,2100.0,2553.45,1131528
2020-04-28,2585.0,2638.0,2483.6,2496.65,414552
2020-04-29,2514.0,2549.35,2460.0,2511.5,416974
2020-04-30,2555.0,2575.9,2506.0,2530.75,459904
2020-05-04,2415.0,2574.0,2410.05,2554.8,648606
2020-05-05,2599.0,2599.0,2511.0,2528.35,257543
2020-05-06,2544.95,2600.0,2503.0,2591.55,231986
2020-05-07,2570.05,2655.0,2570.05,2636.35,235736
2020-05-08,2650.2,2700.0,2558.5,2619.25,396561
2020-05-11,2525.0,2645.95,2501.3,2542.75,467224
