date,open,high,low,close,volume
2020-01-13,1282.7,1296.5,1276.0,1286.0,3725784
2020-01-14,1289.0,1292.55,1277.5,1289.5,3943145
2020-01-15,1286.4,1287.95,1274.1,1284.25,5893724
2020-01-16,1282.05,1291.0,1279.35,1287.65,3575200
2020-01-17,1281.75,1284.9,1271.9,1278.15,8459407
2020-01-20,1304.85,1304.85,1252.5,1254.9,11089225
2020-01-21,1250.0,1250.0,1238.4,1244.35,7492402
2020-01-22,1248.05,1255.0,1234.4,1240.85,9184155
2020-01-23,1240.0,1246.85,1231.0,1244.85,5754460
2020-01-24,1246.0,1254.0,1239.1,1244.55,5915878
2020-01-27,1235.0,1235.0,1211.75,1213.2,9444276
2020-01-28,1218.8,1227.8,1213.25,1223.2,6706079
2020-01-29,1225.3,1242.0,1222.25,1235.85,6894175
2020-01-30,1238.95,1238.95,1217.2,1226.05,6055992
2020-01-31,1231.45,1237.8,1220.25,1226.3,5589134
2020-02-01,1220.0,1227.7,1191.35,1198.7,4913643
2020-02-03,1197.0,1197.95,1177.7,1192.8,6538505
2020-02-04,1198.0,1234.0,1198.0,1229.8,10448852
2020-02-05,1234.9,1248.0,1227.3,1244.65,9010341
2020-02-06,1244.65,1248.7,1237.2,1239.8,5913775
2020-02-07,1246.0,1247.0,1231.6,1242.2,3407724
2020-02-10,1242.95,1242.95,1226.05,1240.3,4609917
2020-02-11,1243.3,1255.0,1238.05,1240.6,5806760
2020-02-12,1245.2,1252.9,1244.05,1249.0,3148965
2020-02-13,1259.9,1259.9,1233.6,1241.4,4556070
2020-02-14,1243.2,1248.4,1215.0,1219.35,7344429
2020-02-17,1225.0,1233.0,1214.45,1217.15,5076345
2020-02-18,1216.9,1218.5,1203.5,1213.25,5264558
2020-02-19,1222.5,1230.0,1213.9,1227.2,5006134
2020-02-20,1230.0,1230.0,1214.1,1217.1,5561707
2020-02-24,1208.95,1214.75,1200.0,1209.95,8284042
2020-02-25,1204.0,1209.0,1198.0,1200.3,6943340
2020-02-26,1197.5,1204.7,1185.65,1199.25,6907393
2020-02-27,1195.0,1202.5,1181.0,1199.45,10327549
2020-02-28,1175.5,1185.0,1170.1,1177.65,12156528
2020-03-02,1200.2,1201.15,1166.15,1179.6,7332449
2020-03-03,1175.0,1185.35,1168.0,1181.8,11184775
2020-03-04,1178.35,1180.0,1133.1,1148.85,17144435
2020-03-05,1153.0,1165.0,1142.75,1151.35,9774854
2020-03-06,1125.0,1140.9,1101.0,1134.9,11526783
2020-03-09,1110.0,1118.4,1065.0,1107.3,17210297
2020-03-11,1105.0,1120.0,1092.0,1113.8,17769198
2020-03-12,1075.0,1080.0,1003.45,1021.3,29500406
2020-03-13,980.05,1081.45,919.2,1069.8,33171603
2020-03-16,1035.0,1037.0,995.0,999.5,15993174
2020-03-17,1008.0,1010.0,954.7,975.1,21338641
2020-03-18,985.0,993.0,865.0,876.9,30593809
2020-03-19,847.0,919.95,795.0,895.55,33610239
2020-03-20,875.0,914.6,824.55,882.85,44319015
2020-03-23,794.6,838.75,765.0,771.55,25142273
2020-03-24,795.25,810.0,738.75,767.7,30528676
2020-03-25,770.45,867.45,755.25,856.75,23614449
2020-03-26,870.1,937.7,841.0,901.1,28521681
2020-03-27,944.95,988.65,872.1,904.45,27619436
2020-03-30,880.0,901.0,828.0,831.65,22742165
2020-03-31,853.8,873.6,838.0,861.9,17605997
2020-04-01,863.85,863.85,820.0,829.65,14551758
2020-04-03,843.0,844.0,810.0,813.85,17499063
2020-04-07,874.0,907.3,845.35,896.1,30206626
2020-04-08,879.95,945.0,866.1,888.9,28109877
2020-04-09,913.0,930.9,890.0,925.05,22229012
2020-04-13,934.0,946.7,886.2,895.35,17079259
