date,open,high,low,close,volume
2020-01-13,2382.9,2382.9,2352.35,2366.75,434063
2020-01-14,2367.0,2418.8,2361.05,2411.4,787340
2020-01-15,2419.95,2480.55,2414.0,2476.3,1051367
2020-01-16,2474.95,2474.95,2427.0,2434.5,590255
2020-01-17,2445.0,2474.9,2421.6,2454.0,457663
2020-01-20,2454.0,2459.65,2410.1,2415.6,320280
2020-01-21,2410.0,2412.65,2375.0,2398.7,568473
2020-01-22,2408.7,2410.0,2379.0,2399.05,346888
2020-01-23,2397.0,2434.85,2380.0,2429.75,315469
2020-01-24,2440.0,2474.8,2427.1,2468.65,519690
2020-01-27,2456.0,2498.5,2425.05,2455.75,897656
2020-01-28,2456.75,2508.95,2440.0,2468.85,904634
2020-01-29,2484.0,2510.0,2470.0,2486.35,787135
2020-01-30,2486.95,2522.0,2464.0,2482.3,797868
2020-01-31,2508.0,2521.9,2492.05,2501.85,574957
2020-02-01,2489.85,2531.0,2380.15,2446.9,791944
2020-02-03,2391.0,2469.0,2358.0,2376.15,1507692
2020-02-04,2412.0,2484.6,2400.8,2462.05,1187298
2020-02-05,2472.0,2478.9,2345.55,2373.25,2176980
2020-02-06,2395.0,2427.0,2355.0,2411.3,1632634
2020-02-07,2480.0,2496.0,2421.35,2443.45,2709754
2020-02-10,2449.5,2457.45,2375.15,2385.7,949025
2020-02-11,2415.0,2443.35,2390.0,2396.45,680119
2020-02-12,2410.0,2430.0,2400.0,2423.05,467714
2020-02-13,2419.0,2441.3,2401.0,2408.95,514501
2020-02-14,2424.0,2437.8,2351.1,2356.5,798770
2020-02-17,2335.0,2335.0,2269.55,2283.35,818134
2020-02-18,2283.2,2283.2,2225.0,2252.65,839607
2020-02-19,2274.0,2278.0,2227.05,2251.6,729471
2020-02-20,2267.0,2276.0,2235.45,2240.25,886179
2020-02-24,2220.0,2220.0,2175.0,2184.2,808263
2020-02-25,2190.2,2214.0,2164.05,2184.15,861921
2020-02-26,2180.0,2195.0,2136.0,2142.55,972076
2020-02-27,2147.9,2158.65,2101.0,2110.25,1093297
2020-02-28,2080.0,2110.0,2033.95,2051.75,1879071
2020-03-02,2100.0,2110.0,1961.0,1975.45,1207967
2020-03-03,1976.0,2063.85,1976.0,2054.85,1689926
2020-03-04,2070.0,2073.35,2000.5,2046.35,976550
2020-03-05,2061.7,2093.1,2052.3,2063.9,899516
2020-03-06,1971.0,2053.45,1971.0,2038.3,606826
2020-03-09,1995.0,2011.5,1915.3,1956.05,844134
2020-03-11,1968.0,2049.8,1948.9,2036.05,1848135
2020-03-12,1956.0,1978.95,1793.75,1907.2,2248848
2020-03-13,1761.0,1943.0,1535.0,1883.95,1184616
2020-03-16,1818.0,1845.0,1775.3,1783.5,883109
2020-03-17,1783.0,1903.6,1756.35,1841.15,1236906
2020-03-18,1841.0,1860.0,1666.0,1681.15,1118514
2020-03-19,1648.0,1789.0,1561.95,1712.45,1276787
2020-03-20,1725.0,1845.7,1675.0,1815.7,1244977
2020-03-23,1634.15,1673.15,1520.0,1616.0,750843
2020-03-24,1650.0,1754.1,1475.0,1627.05,1489165
2020-03-25,1560.0,1683.5,1525.3,1667.65,1027512
2020-03-26,1689.9,1827.95,1645.6,1801.9,1448405
2020-03-27,1815.0,1830.35,1640.6,1661.2,1515015
2020-03-30,1635.0,1640.0,1542.3,1553.5,1250949
2020-03-31,1593.0,1633.75,1565.0,1596.45,1456426
2020-04-01,1590.1,1647.35,1565.0,1639.65,1641556
2020-04-03,1610.05,1623.0,1543.15,1582.05,1592848
2020-04-07,1630.0,1789.0,1623.65,1769.2,1374511
2020-04-08,1702.0,1883.8,1700.0,1821.65,1376706
2020-04-09,1879.15,2013.4,1853.0,1990.9,2416795
2020-04-13,1952.0,2023.5,1888.05,1919.05,1561005
2020-04-15,1940.0,1974.0,1811.7,1824.1,1537630
2020-04-16,1800.0,1807.45,1752.55,1782.65,1453650
2020-04-17,1839.95,1875.0,1812.0,1835.9,1327772
2020-04-20,1874.95,1879.95,1787.05,1805.85,2291195
2020-04-21,1785.1,1838.9,1758.0,1827.55,1650673
2020-04-22,1800.0,1905.0,1796.9,1887.65,2737381
2020-04-23,1900.0,1923.45,1855.0,1865.0,1882834
2020-04-24,1842.5,1939.4,1840.0,1894.8,1711725
2020-04-27,1909.0,1949.0,1897.45,1935.2,1322270
2020-04-28,1950.3,1972.8,1915.6,1943.1,1057093
2020-04-29,1966.25,2018.5,1941.0,1970.25,1836009
2020-04-30,2017.1,2198.1,1975.0,2166.7,2786594
2020-05-04,2051.0,2074.95,1985.0,2000.7,1328872
2020-05-05,2034.0,2051.0,1945.15,1965.35,1318956
2020-05-06,1981.0,2058.9,1933.25,2026.75,1881161
2020-05-07,2000.0,2051.4,1983.4,2000.3,1112940
2020-05-08,2040.0,2040.0,1955.0,1962.6,1139469
2020-05-11,2015.0,2134.8,1990.0,2088.65,4445500
2020-05-12,2093.0,2134.0,2020.0,2114.3,2919975
2020-05-13,2199.85,2265.0,2148.0,2187.6,3253846
2020-05-14,2135.95,2255.0,2118.7,2241.35,2570484
2020-05-15,2249.0,2249.0,2170.0,2193.55,2080652
2020-05-18,2197.0,2218.5,2060.15,2070.55,1803992
2020-05-19,2119.0,2127.95,2062.8,2073.5,1389753
2020-05-20,2059.0,2067.8,1991.35,2023.6,2782633
2020-05-21,2043.0,2130.0,2020.0,2119.5,2636698
2020-05-22,2119.0,2159.9,2083.85,2150.6,2241444
2020-05-26,2158.0,2169.9,2101.0,2113.65,1513569
2020-05-27,2125.0,2187.0,2115.25,2175.65,1403621
2020-05-28,2197.6,2335.0,2166.15,2298.1,3727630
2020-05-29,2275.0,2391.9,2250.0,2360.85,3368797
2020-06-01,2360.75,2399.0,2312.35,2326.3,2028902
2020-06-02,2359.9,2391.55,2281.9,2318.25,2408345
2020-06-03,2348.8,2371.0,2290.8,2300.2,1562886
2020-06-04,2280.0,2341.65,2263.05,2329.25,1532356
2020-06-05,2343.9,2363.95,2308.0,2340.65,1138282
2020-06-08,2359.0,2439.8,2355.0,2384.3,2354820
2020-06-09,2385.0,2429.5,2370.0,2387.3,1980625
2020-06-10,2387.0,2393.15,2282.2,2292.25,3106340
2020-06-11,2316.0,2345.0,2300.0,2309.95,2056461
2020-06-12,2242.0,2415.0,2230.7,2401.85,3296739
2020-06-15,2394.95,2394.95,2316.0,2348.15,1416149
2020-06-16,2380.0,2435.7,2360.0,2395.95,2145404
2020-06-17,2377.25,2390.0,2341.0,2363.3,1731511
2020-06-18,2360.25,2380.0,2342.2,2364.95,1087905
2020-06-19,2375.0,2382.8,2332.25,2355.85,3602756
2020-06-22,2371.15,2447.1,2361.0,2412.6,3042802
2020-06-23,2444.95,2444.95,2405.6,2418.85,996774
2020-06-24,2450.0,2545.0,2439.75,2493.8,3354530
2020-06-25,2472.95,2585.0,2454.15,2559.7,3281309
2020-06-26,2580.0,2590.65,2530.8,2540.45,1351765
2020-06-29,2530.0,2530.0,2468.0,2504.05,1131628
2020-06-30,2549.0,2568.35,2512.0,2546.95,1441648
2020-07-01,2556.0,2575.05,2530.0,2547.45,1336769
2020-07-02,2550.0,2685.0,2550.0,2671.4,3353345
2020-07-03,2680.0,2750.0,2677.6,2738.25,2637811
2020-07-06,2750.3,2779.05,2715.0,2770.95,1716059
2020-07-07,2762.0,2788.5,2727.6,2749.3,1223507
2020-07-08,2760.0,2777.95,2710.0,2719.2,974918
2020-07-09,2725.0,2727.7,2666.55,2691.45,1383578
2020-07-10,2690.0,2734.5,2671.6,2681.25,1205528
2020-07-13,2701.95,2714.35,2670.35,2689.7,713590
2020-07-14,2672.0,2681.65,2604.0,2611.85,921721
2020-07-15,2606.15,2680.0,2606.15,2648.05,1188299
2020-07-16,2650.0,2725.0,2613.05,2714.8,1607516
2020-07-17,2715.3,2775.0,2703.0,2764.05,969122
2020-07-20,2764.05,2873.45,2742.2,2860.15,1674948
2020-07-21,2860.2,2885.7,2847.0,2869.15,1289304
2020-07-22,2860.0,2860.0,2753.05,2768.0,1349352
2020-07-23,2775.0,2792.95,2745.35,2771.2,1117663
2020-07-24,2753.0,2795.0,2728.1,2740.7,701473
2020-07-27,2759.0,2759.0,2688.4,2743.6,662841
2020-07-28,2752.6,2850.0,2745.05,2841.25,1836165
2020-07-29,2859.25,2880.45,2768.4,2780.0,1092469
2020-07-30,2773.0,2789.95,2688.0,2703.95,1497970
2020-07-31,2705.0,2709.7,2646.45,2676.5,1260570
2020-08-03,2700.0,2769.8,2620.75,2631.3,2282040
2020-08-04,2663.75,2732.8,2640.05,2706.1,2033677
2020-08-05,2719.2,2740.0,2672.0,2695.75,997244
2020-08-06,2717.0,2733.0,2675.0,2704.45,859485
2020-08-07,2710.0,2720.0,2670.1,2706.2,854162
2020-08-10,2718.0,2718.0,2674.15,2702.15,684596
2020-08-11,2725.0,2775.0,2704.0,2712.85,1617217
2020-08-12,2721.0,2796.0,2705.3,2774.0,1798999
2020-08-13,2790.0,2820.0,2746.3,2809.65,1299064
2020-08-14,2800.5,2843.5,2756.05,2803.8,2158769
