date,open,high,low,close,volume
2020-01-13,212.8,213.0,209.5,211.2,6614653
2020-01-14,212.5,214.75,210.8,211.95,7981507
2020-01-15,211.1,215.0,210.0,213.65,9564560
2020-01-16,214.0,214.75,209.0,209.65,6986058
2020-01-17,209.5,212.0,208.15,210.05,8678002
2020-01-20,210.1,210.8,206.75,207.3,3977566
2020-01-21,206.0,208.5,204.65,205.15,4479791
2020-01-22,205.6,207.8,203.0,203.6,6268889
2020-01-23,203.6,205.35,202.75,204.6,5560681
2020-01-24,204.5,207.7,202.25,205.4,5749852
2020-01-27,203.55,203.55,197.4,198.25,7942736
2020-01-28,199.4,199.4,194.2,196.0,6308211
2020-01-29,197.65,200.4,197.1,197.75,8978837
2020-01-30,197.3,197.75,192.7,193.45,8588693
2020-01-31,194.8,195.15,188.25,189.35,6008376
2020-02-01,187.65,189.85,182.8,184.4,3885637
2020-02-03,183.9,185.6,180.3,181.8,7678833
2020-02-04,183.0,190.35,183.0,189.25,9235507
2020-02-05,190.1,197.55,188.3,196.3,7411014
2020-02-06,196.4,197.35,192.65,194.0,7348886
2020-02-07,194.0,198.4,192.85,197.4,6977770
2020-02-10,195.9,196.95,189.6,190.85,5385023
2020-02-11,192.4,196.95,192.0,193.65,7530810
2020-02-12,194.25,196.4,191.2,193.65,10581151
2020-02-13,194.7,197.0,192.4,195.25,6711481
2020-02-14,195.5,197.0,193.45,194.0,3798528
2020-02-17,194.0,194.7,189.75,190.25,3484321
2020-02-18,189.15,189.45,181.75,184.35,8152961
2020-02-19,186.0,188.6,184.4,188.1,4317249
2020-02-20,187.8,191.0,185.4,189.95,6207445
2020-02-24,186.9,186.9,177.9,179.05,14690243
2020-02-25,181.0,181.45,174.05,174.45,10694830
2020-02-26,172.95,173.2,167.75,169.9,16855158
2020-02-27,169.95,170.3,166.15,168.35,7657497
2020-02-28,162.0,162.2,154.1,155.9,14033411
2020-03-02,160.55,161.45,146.85,149.75,11441351
2020-03-03,152.1,160.45,150.8,159.3,21836942
2020-03-04,160.0,161.7,156.9,160.6,12074078
2020-03-05,162.7,167.9,154.85,155.5,12338386
2020-03-06,148.95,151.45,140.0,150.1,11173720
2020-03-09,143.9,145.8,140.3,143.45,10550465
2020-03-11,142.0,142.35,137.1,137.8,9682823
2020-03-12,130.0,130.0,118.15,120.2,15926860
2020-03-13,113.9,130.0,103.1,127.45,15365436
2020-03-16,120.8,129.05,114.45,115.65,20577695
2020-03-17,117.0,120.85,113.85,115.4,11615932
2020-03-18,119.0,119.0,108.15,109.2,12106435
2020-03-19,103.0,107.9,97.55,99.75,11569862
2020-03-20,101.2,107.7,98.7,105.5,13928854
2020-03-23,94.95,99.95,84.9,87.9,14591356
2020-03-24,89.05,94.8,85.0,88.75,16845643
2020-03-25,88.95,97.2,88.05,94.55,7877985
2020-03-26,97.5,97.6,92.25,94.55,11013084
2020-03-27,97.5,99.3,90.3,91.55,9159047
2020-03-30,88.1,91.45,86.55,88.8,9970409
2020-03-31,91.95,97.25,91.0,95.7,15558731
2020-04-01,94.95,95.4,91.0,91.65,9271055
2020-04-03,92.1,93.45,88.4,88.8,8216768
2020-04-07,92.15,106.55,90.0,103.95,23640664
2020-04-08,99.5,111.8,98.9,100.85,24227475
2020-04-09,105.0,109.0,101.85,107.55,14944332
2020-04-13,109.0,114.35,105.1,113.8,23260082
2020-04-15,120.0,124.0,113.8,115.1,45561435
2020-04-16,118.9,121.9,114.45,120.55,18972010
2020-04-17,124.0,125.7,119.1,124.15,14577305
2020-04-20,125.0,125.15,115.75,116.45,18342560
2020-04-21,113.65,113.7,105.8,107.1,22935461
2020-04-22,106.5,108.75,102.75,108.3,14420045
2020-04-23,109.0,113.3,108.35,111.25,16545796
2020-04-24,109.95,109.95,102.85,103.65,16901936
2020-04-27,106.4,109.7,105.3,108.2,18657008
2020-04-28,109.2,110.65,106.7,108.75,13489959
2020-04-29,109.0,117.65,108.3,116.3,35702266
2020-04-30,120.0,132.2,119.5,130.2,45993743
2020-05-04,121.4,123.0,114.6,115.9,22496899
2020-05-05,120.0,120.75,115.0,115.9,19405541
2020-05-06,116.0,120.7,115.5,118.6,15993883
2020-05-07,117.0,122.0,116.7,117.65,16733347
2020-05-08,122.9,123.0,115.85,117.1,21603443
2020-05-11,118.95,121.4,117.55,119.75,13916703
2020-05-12,118.9,122.25,116.4,121.1,13673763
2020-05-13,125.5,126.95,121.6,123.55,13922283
2020-05-14,119.0,120.9,117.0,117.2,12778247
2020-05-15,118.4,120.9,117.4,119.25,12510164
2020-05-18,120.55,121.0,114.3,115.35,14500151
2020-05-19,117.75,120.4,116.55,117.3,15916452
2020-05-20,117.3,121.95,116.25,120.8,8718400
2020-05-21,121.4,130.75,120.65,129.5,34325678
2020-05-22,126.5,126.5,123.6,124.85,17059557
2020-05-26,125.55,130.45,125.5,129.1,18786955
