date,open,high,low,close,volume
2020-01-13,253.2,256.9,251.85,252.35,2846331
2020-01-14,255.0,257.8,253.6,254.5,2853077
2020-01-15,254.5,257.45,252.6,255.95,2172267
2020-01-16,256.25,257.35,249.4,250.2,3990321
2020-01-17,248.0,252.7,246.85,249.65,3905216
2020-01-20,250.0,254.5,247.05,248.75,3421759
2020-01-21,248.85,251.85,248.0,249.45,2262648
2020-01-22,251.35,252.3,243.9,245.15,2680161
2020-01-23,248.0,251.25,244.3,246.8,4717684
2020-01-24,248.4,249.4,244.0,244.8,3816555
2020-01-27,245.5,246.6,240.0,241.0,3490953
2020-01-28,242.0,245.2,241.2,242.35,3356447
2020-01-29,243.0,248.25,241.35,245.7,3769731
2020-01-30,246.0,246.95,238.2,240.1,3872975
2020-01-31,242.0,242.15,231.35,232.45,4595587
2020-02-01,231.3,236.85,221.8,224.7,3250928
2020-02-03,225.0,230.5,221.6,223.4,4316241
2020-02-04,226.3,233.65,226.1,231.7,5013569
2020-02-05,233.1,239.15,232.5,236.95,4989111
2020-02-06,234.05,245.0,233.0,243.4,6589559
2020-02-07,242.0,243.4,236.6,241.05,3972973
2020-02-10,241.0,244.05,237.8,238.85,3378866
2020-02-11,241.2,243.45,239.55,240.0,2628201
2020-02-12,240.6,242.1,232.85,233.55,2431744
2020-02-13,233.7,236.2,232.3,235.05,1678476
2020-02-14,235.4,238.35,233.15,233.85,2328670
2020-02-17,234.0,234.7,229.15,230.0,1282476
2020-02-18,228.7,230.2,222.25,224.95,5379083
2020-02-19,226.0,227.0,223.5,226.45,2791585
2020-02-20,224.5,228.0,222.0,222.4,4909405
2020-02-24,222.2,222.6,213.9,216.2,3931405
2020-02-25,217.0,218.35,207.8,211.05,3624427
2020-02-26,211.0,211.3,207.15,208.85,5069210
2020-02-27,209.0,211.7,203.15,204.4,5070833
2020-02-28,202.95,203.0,194.5,197.55,6824810
2020-03-02,200.7,204.25,193.05,194.95,3637789
2020-03-03,196.05,207.85,196.0,205.55,6194553
2020-03-04,207.0,207.9,201.25,206.1,4134402
2020-03-05,206.95,210.8,203.1,203.7,4449463
2020-03-06,198.0,204.1,191.1,201.15,7819766
2020-03-09,206.15,226.85,204.6,212.6,24698143
2020-03-11,208.0,214.45,203.7,211.05,8384982
2020-03-12,204.65,204.65,180.3,184.2,11874314
2020-03-13,179.4,201.9,150.0,197.6,10630895
2020-03-16,191.85,215.5,184.0,204.8,14422721
2020-03-17,206.0,221.9,200.25,217.05,11902759
2020-03-18,219.0,222.15,202.0,205.3,5328383
2020-03-19,193.1,202.5,180.0,190.1,8990449
2020-03-20,195.4,212.45,189.6,208.5,7869410
2020-03-23,195.7,197.9,177.6,183.8,5621257
2020-03-24,190.75,194.0,178.75,184.55,5913638
2020-03-25,180.0,186.55,175.0,177.4,6725194
2020-03-26,179.0,183.9,175.0,177.3,5214817
2020-03-27,179.15,183.5,167.55,170.25,6766518
2020-03-30,170.1,174.4,164.3,167.9,4393333
2020-03-31,171.0,192.0,169.95,190.1,14272821
2020-04-01,190.1,195.4,180.85,184.0,7287205
2020-04-03,184.0,192.8,175.55,184.2,9509089
2020-04-07,193.0,205.9,185.25,200.1,10294946
2020-04-08,199.9,204.7,195.45,199.5,5905379
2020-04-09,202.0,211.8,197.4,207.85,9847845
2020-04-13,209.0,211.7,199.45,205.45,4934849
2020-04-15,209.0,220.0,205.8,208.45,7486566
2020-04-16,210.8,218.2,208.3,213.85,4873925
2020-04-17,219.9,219.9,213.05,217.7,3891768
2020-04-20,220.8,228.5,218.25,227.4,5607632
2020-04-21,226.95,227.45,214.5,215.85,6911751
2020-04-22,216.95,217.5,206.45,212.7,4806748
2020-04-23,212.7,218.35,207.9,209.5,5474561
2020-04-24,208.75,208.75,200.0,201.4,3619046
2020-04-27,202.4,214.1,202.4,208.25,9188353
2020-04-28,210.25,218.0,208.8,210.9,9677242
2020-04-29,211.2,212.05,206.7,208.35,6702713
2020-04-30,211.05,224.4,206.7,220.3,10064082
2020-05-04,211.0,215.25,204.75,207.8,7123341
2020-05-05,212.0,220.0,210.35,214.6,8506260
2020-05-06,200.6,205.0,186.7,202.5,20179756
2020-05-07,201.0,204.85,199.05,200.9,7455909
2020-05-08,203.0,204.95,195.55,196.95,4540370
2020-05-11,198.0,201.2,191.8,192.65,4726064
2020-05-12,192.0,195.05,187.0,189.95,3897833
2020-05-13,195.5,196.95,189.55,192.3,6069059
2020-05-14,188.5,192.75,188.25,190.25,3587944
2020-05-15,191.0,194.6,187.95,189.1,6601491
2020-05-18,189.5,190.45,170.75,172.5,11296262
2020-05-19,176.55,180.8,170.35,171.35,8206844
2020-05-20,172.0,180.9,170.95,178.85,6870474
