date,open,high,low,close,volume
2020-01-13,44.2,44.5,43.9,44.3,9007779
2020-01-14,44.3,44.8,44.0,44.6,10977076
2020-01-15,44.7,45.45,44.1,45.0,23476674
2020-01-16,45.25,45.45,44.85,45.0,14976576
2020-01-17,43.5,44.3,41.35,43.5,28332556
2020-01-20,45.45,45.45,42.7,43.05,15760822
2020-01-21,43.0,43.85,42.95,43.2,13924250
2020-01-22,43.5,43.6,43.05,43.35,8871732
2020-01-23,43.3,44.05,43.05,43.6,13603990
2020-01-24,43.5,44.25,43.5,44.0,14965229
2020-01-27,43.9,44.3,43.35,43.75,14328490
2020-01-28,43.8,43.95,43.05,43.3,11659396
2020-01-29,43.4,44.65,43.4,44.05,28530084
2020-01-30,42.55,43.05,40.25,40.75,60562619
2020-01-31,41.0,41.4,40.2,40.7,20967183
2020-02-01,40.9,40.9,38.9,39.15,18704032
2020-02-03,39.2,39.8,38.8,39.2,18296730
2020-02-04,39.55,40.8,39.3,40.55,15944397
2020-02-05,40.8,41.6,40.45,41.05,12425347
2020-02-06,41.15,42.7,40.9,42.05,18913697
2020-02-07,42.2,42.35,41.65,42.0,10135694
2020-02-10,42.15,42.25,41.1,41.25,9818382
2020-02-11,41.4,41.95,41.3,41.5,6833482
2020-02-12,41.7,41.85,40.7,40.95,7732846
2020-02-13,40.95,41.1,40.65,40.9,5677699
2020-02-14,40.85,41.6,39.45,39.6,18544193
2020-02-17,39.7,39.9,38.75,38.9,12010682
2020-02-18,38.75,38.8,37.75,38.45,17612378
2020-02-19,39.15,40.5,38.9,39.9,15547341
2020-02-20,39.95,40.85,39.45,40.3,13127946
2020-02-24,39.95,40.15,39.2,39.3,11688001
2020-02-25,39.4,39.85,38.85,39.35,12208845
2020-02-26,39.0,39.4,38.8,38.95,10700264
2020-02-27,38.95,39.05,38.3,38.6,14874412
2020-02-28,37.95,37.95,36.6,36.8,19992719
2020-03-02,37.3,39.25,36.9,37.45,26350398
2020-03-03,38.0,38.75,37.45,37.8,19865882
2020-03-04,38.0,38.25,36.65,37.4,18548658
2020-03-05,37.9,37.95,36.8,37.75,16161886
2020-03-06,35.0,36.4,34.55,36.25,27772906
2020-03-09,35.0,35.75,32.8,33.05,34178051
2020-03-11,33.05,34.45,32.65,33.3,27321721
2020-03-12,32.1,32.35,27.2,27.55,57012428
2020-03-13,24.8,30.45,20.7,29.75,57593079
2020-03-16,27.2,28.0,26.05,26.6,41302590
2020-03-17,26.25,27.7,25.0,25.25,31237027
2020-03-18,25.5,26.35,22.2,23.85,62632700
2020-03-19,22.1,22.8,20.1,20.6,84829514
2020-03-20,20.95,21.6,18.25,20.6,100064207
2020-03-23,18.7,19.45,17.75,18.15,35982238
2020-03-24,19.4,19.65,17.65,19.1,34858204
2020-03-25,18.5,20.85,18.15,20.45,32781065
2020-03-26,21.25,22.3,20.15,21.75,34294251
2020-03-27,23.3,25.0,22.0,22.4,47413229
2020-03-30,21.8,21.8,20.3,21.0,22688589
2020-03-31,21.6,22.0,20.85,21.1,21614598
2020-04-01,21.0,21.15,20.35,20.6,16262134
2020-04-03,20.7,20.9,19.5,19.65,20511280
2020-04-07,20.75,20.95,19.65,20.45,24229979
2020-04-08,20.0,21.9,19.85,20.55,28580351
2020-04-09,20.9,22.3,20.85,22.05,36905661
2020-04-13,23.0,23.0,21.7,22.2,23721656
2020-04-15,22.55,23.15,22.05,22.6,31376448
2020-04-16,22.3,24.5,22.1,24.15,29166210
2020-04-17,25.3,26.5,24.65,26.4,42576289
2020-04-20,26.9,26.9,24.5,24.85,33183029
2020-04-21,23.95,24.2,23.4,23.7,19565309
2020-04-22,23.5,24.35,22.8,23.95,23366864
2020-04-23,24.25,24.75,23.5,23.7,21214159
2020-04-24,23.35,23.4,22.1,22.2,21877628
2020-04-27,22.5,22.7,21.8,22.1,24062596
2020-04-28,22.45,22.7,21.9,22.25,33115480
2020-04-29,22.5,22.6,21.95,22.0,33311146
2020-04-30,22.4,22.75,21.7,21.9,64987885
2020-05-04,21.45,21.45,20.2,20.6,43680075
2020-05-05,21.1,21.55,20.55,20.65,37217663
2020-05-06,20.9,21.1,20.15,20.95,23676351
2020-05-07,20.9,21.2,20.6,20.75,18458595
2020-05-08,21.0,21.1,20.2,20.3,18680446
2020-05-11,20.65,20.75,20.25,20.4,16239039
2020-05-12,20.35,20.45,19.85,20.2,21908891
2020-05-13,21.7,22.6,20.7,21.85,63001904
2020-05-14,21.3,21.6,20.8,20.9,23879114
2020-05-15,21.15,21.15,20.7,20.85,20750937
2020-05-18,20.9,20.95,19.55,19.85,29865753
2020-05-19,20.15,20.3,19.5,19.6,23712321
2020-05-20,19.5,19.8,19.0,19.25,29606544
2020-05-21,19.2,19.65,18.8,18.85,32782570
2020-05-22,19.0,19.3,18.45,18.85,44779390
2020-05-26,20.0,20.2,19.55,19.85,66951080
2020-05-27,19.95,20.75,19.6,20.4,59013903
2020-05-28,20.4,20.7,20.0,20.25,42272799
2020-05-29,20.1,23.25,19.7,22.1,153802985
2020-06-01,23.0,24.25,22.4,23.65,87009478
2020-06-02,23.9,24.0,23.1,23.85,43699571
2020-06-03,24.2,24.95,23.5,23.7,52946226
2020-06-04,23.5,23.9,22.55,22.9,46330582
2020-06-05,22.75,24.5,22.7,24.25,54650710
2020-06-08,24.5,27.2,24.45,25.75,119109178
2020-06-09,25.95,26.3,24.8,25.05,64340186
2020-06-10,25.05,26.1,24.8,25.75,53591180
2020-06-11,26.15,27.0,24.5,24.9,129414452
2020-06-12,23.0,26.2,23.0,25.85,71082506
2020-06-15,26.1,26.3,25.1,25.25,50735834
2020-06-16,26.05,26.1,24.3,24.9,49241660
2020-06-17,24.6,25.7,24.3,25.45,42802571
2020-06-18,25.55,25.95,25.3,25.6,33650970
2020-06-19,25.6,26.3,25.6,25.85,46559690
2020-06-22,26.05,28.75,25.85,28.25,120040187
2020-06-23,28.7,29.2,27.8,28.4,73667386
2020-06-24,28.65,29.25,27.4,27.55,66871439
2020-06-25,27.05,27.8,26.8,27.0,55206400
2020-06-26,27.4,27.7,26.65,26.8,37680982
2020-06-29,26.8,26.85,25.55,25.95,37899112
2020-06-30,26.2,26.7,25.55,25.7,27748987
2020-07-01,25.95,26.45,25.55,26.35,28077591
2020-07-02,26.7,27.15,26.55,26.8,30552478
2020-07-03,27.0,27.1,26.55,26.75,19119529
2020-07-06,27.0,27.6,27.0,27.2,26201722
2020-07-07,27.25,28.4,26.5,28.25,47507753
2020-07-08,28.55,29.0,27.8,27.9,46766437
2020-07-09,27.95,28.5,27.9,28.05,23985158
2020-07-10,28.0,28.0,26.65,27.1,48585995
2020-07-13,27.35,27.6,26.65,26.9,28711210
2020-07-14,26.6,26.65,25.6,25.9,38728636
2020-07-15,26.3,26.45,25.0,25.25,35110757
2020-07-16,25.25,25.75,24.1,25.6,42598839
2020-07-17,25.7,26.9,25.5,26.55,36947442
2020-07-20,27.0,27.75,27.0,27.3,47570072
2020-07-21,27.5,27.7,27.0,27.1,25084034
2020-07-22,27.15,27.5,26.65,27.0,35042540
2020-07-23,27.15,27.45,26.8,27.3,23829411
2020-07-24,27.0,29.0,26.9,28.45,80940405
2020-07-27,28.8,28.8,27.25,27.35,44907663
2020-07-28,27.5,28.0,27.3,27.85,33794575
2020-07-29,29.0,29.2,27.8,28.2,63682516
2020-07-30,28.4,28.4,26.7,27.0,46906580
2020-07-31,27.0,27.15,26.2,26.6,39201211
2020-08-03,26.6,27.0,26.0,26.1,39698650
2020-08-04,26.4,26.9,26.05,26.8,32812047
2020-08-05,27.0,27.3,26.7,26.95,28301751
2020-08-06,27.1,27.45,26.75,26.95,31892478
2020-08-07,26.95,28.55,26.75,28.4,58144887
2020-08-10,28.6,28.7,27.95,28.4,30306959
2020-08-11,28.4,30.55,28.3,30.3,94328391
2020-08-12,30.25,31.55,29.8,31.05,75623483
2020-08-13,31.3,31.7,30.8,31.35,50576773
2020-08-14,31.6,31.65,29.9,30.25,43448600
2020-08-17,30.4,30.45,29.0,29.5,35289199
2020-08-18,29.7,31.55,29.35,31.3,64839029
2020-08-19,31.6,31.85,31.05,31.15,38262239
2020-08-20,31.0,31.4,30.3,30.95,29288756
2020-08-21,31.3,31.45,30.8,30.9,27263157
2020-08-24,31.2,32.95,31.0,32.15,62009384
2020-08-25,32.5,32.85,31.7,31.95,46553157
2020-08-26,32.1,32.6,31.9,32.45,34705231
