date,open,high,low,close,volume
2020-01-14,59.5,61.25,58.33,59.83,584232
2020-01-15,60.47,62.67,58.67,61.82,816258
2020-01-16,61.0,66.6,61.0,65.48,2004237
2020-01-17,65.87,66.67,61.0,61.6,1237806
2020-01-20,62.17,62.88,60.27,61.05,825588
2020-01-21,60.67,63.12,60.28,61.58,602514
2020-01-22,61.83,62.22,59.35,60.1,1867692
2020-01-23,60.0,60.58,58.53,59.07,332871
2020-01-24,59.28,60.17,58.2,59.05,558219
2020-01-27,59.23,59.23,57.05,57.4,489999
2020-01-28,57.98,57.98,55.83,56.63,1178142
2020-01-29,56.92,57.28,55.33,55.57,639492
2020-01-30,55.17,56.1,53.38,53.72,548850
2020-01-31,53.17,56.67,51.72,54.92,876780
2020-02-01,55.33,57.6,52.72,53.37,691200
2020-02-03,53.37,53.37,50.82,51.6,590658
2020-02-04,51.03,56.93,50.9,56.13,31095637
2020-02-05,56.98,60.0,56.67,59.9,5093832
2020-02-06,60.33,60.75,58.82,59.63,1532685
2020-02-07,59.62,60.07,59.08,59.87,1570377
2020-02-10,59.62,61.67,59.58,60.97,2397048
2020-02-11,61.03,63.5,60.33,62.97,7848087
2020-02-12,62.03,64.0,61.67,63.42,5746527
2020-02-13,63.87,63.87,62.22,63.07,559587
2020-02-14,63.0,63.33,61.8,63.28,929838
2020-02-17,63.0,63.33,62.03,63.32,1298472
2020-02-18,62.68,63.12,60.37,61.92,413196
2020-02-19,61.82,62.62,59.67,62.03,680733
2020-02-20,62.03,63.77,60.37,61.73,5283075
2020-02-24,60.33,65.43,59.02,64.52,3001956
2020-02-25,64.67,67.97,62.67,63.23,7108086
2020-02-26,62.77,63.38,61.03,61.67,1318887
2020-02-27,61.18,65.05,61.18,63.18,1046427
2020-02-28,62.2,64.63,56.27,58.73,3184566
2020-03-02,60.53,62.87,59.5,61.67,1780560
2020-03-03,61.75,62.83,60.87,61.72,699225
2020-03-04,61.83,64.28,61.02,62.13,1007250
2020-03-05,62.68,63.23,60.88,62.12,619311
2020-03-06,60.87,61.38,58.15,59.7,548058
2020-03-09,58.0,58.93,56.42,56.98,3966255
2020-03-11,56.98,60.0,54.4,56.67,844785
2020-03-12,51.32,54.55,48.53,49.93,4493409
2020-03-13,46.35,50.7,40.0,48.13,17710291
2020-03-16,46.7,49.98,45.7,48.72,2188098
2020-03-17,49.92,50.03,46.77,48.32,1115106
2020-03-18,49.8,49.8,45.12,46.37,936918
2020-03-19,45.0,46.2,40.67,44.95,3523977
2020-03-20,46.5,47.8,43.72,45.45,4026750
2020-03-23,43.33,46.18,40.0,43.3,578871
2020-03-24,45.9,47.45,41.1,43.4,465261
2020-03-25,43.4,43.4,38.67,40.2,2006550
2020-03-26,40.0,42.67,40.0,40.68,4933668
2020-03-27,42.33,44.73,41.05,43.62,5794185
2020-03-30,44.0,44.33,41.02,43.18,774129
2020-03-31,44.98,44.98,42.33,42.65,688350
2020-04-01,43.3,43.73,41.37,43.2,469677
2020-04-03,43.2,45.67,42.33,45.02,399525
