date,open,high,low,close,volume
2020-01-13,418.7,423.65,418.7,420.95,1210742
2020-01-14,421.95,427.5,420.0,424.8,1073907
2020-01-15,426.65,455.75,425.1,447.75,8374512
2020-01-16,453.0,459.35,445.6,456.7,5708033
2020-01-17,454.0,479.4,452.25,469.1,6428299
2020-01-20,470.15,475.0,464.0,468.7,2512486
2020-01-21,465.0,474.9,464.25,472.1,1820857
2020-01-22,475.0,475.5,469.0,472.0,1122490
2020-01-23,470.5,495.0,470.5,490.65,5368896
2020-01-24,489.0,498.95,488.5,496.35,2310925
2020-01-27,495.2,508.95,493.2,505.85,4178103
2020-01-28,504.85,517.85,500.4,514.75,4045280
2020-01-29,514.0,515.55,506.55,511.6,2641641
2020-01-30,510.0,521.35,503.65,517.55,3260261
2020-01-31,516.4,520.1,504.35,507.5,2183118
2020-02-01,507.5,519.0,497.95,504.9,3223609
2020-02-03,504.9,511.9,502.3,509.65,1608796
2020-02-04,509.65,517.95,507.9,513.7,3153693
2020-02-05,515.2,519.75,509.3,514.55,1503614
2020-02-06,515.0,526.9,514.55,522.3,2586269
2020-02-07,529.8,534.2,503.05,511.1,6644462
2020-02-10,511.0,517.1,503.6,513.0,2043574
2020-02-11,516.2,517.3,506.05,507.15,1737302
2020-02-12,507.7,522.3,507.15,520.9,3164212
2020-02-13,520.5,520.5,494.2,495.85,5997630
2020-02-14,494.8,498.6,486.1,487.5,4977352
2020-02-17,487.2,487.2,465.95,468.05,5607494
2020-02-18,465.9,479.7,461.6,471.0,6979020
2020-02-19,475.6,480.6,469.35,478.55,2397328
2020-02-20,478.8,483.45,462.0,464.65,3022826
2020-02-24,459.95,465.35,451.6,452.8,3313963
2020-02-25,452.0,462.95,448.45,453.6,2831671
2020-02-26,454.0,463.5,451.4,455.9,3439210
2020-02-27,457.95,459.95,448.25,455.95,2930835
2020-02-28,449.0,452.55,433.6,442.4,3549453
2020-03-02,454.0,457.8,429.2,432.3,2117259
2020-03-03,436.0,451.0,436.0,448.0,3709107
2020-03-04,450.2,451.95,430.45,435.25,4678553
2020-03-05,439.0,443.6,434.0,439.65,1666483
2020-03-06,429.9,443.95,422.1,440.85,1807501
2020-03-09,432.35,435.95,407.7,417.7,3099096
2020-03-11,417.4,421.0,408.75,416.8,1987951
2020-03-12,397.0,402.65,385.25,388.35,3463039
2020-03-13,349.55,429.8,349.55,415.4,4501893
2020-03-16,408.9,411.75,386.05,391.55,3411121
2020-03-17,386.6,392.75,370.2,377.4,4011481
2020-03-18,379.0,385.15,328.6,340.45,2981987
2020-03-19,320.0,350.5,284.05,322.95,9265770
2020-03-20,338.0,348.35,326.0,343.5,2711456
2020-03-23,310.0,325.0,296.2,304.95,2065636
2020-03-24,319.0,343.35,294.2,320.15,3403545
2020-03-25,312.65,349.45,300.0,343.15,5134726
2020-03-26,344.0,373.7,343.15,361.75,3440258
2020-03-27,370.0,381.9,348.75,357.4,2222710
2020-03-30,339.1,366.75,335.6,361.35,3367678
2020-03-31,362.1,392.0,358.3,387.95,4029696
2020-04-01,395.0,395.0,377.05,390.55,2970110
2020-04-03,383.2,409.95,380.1,406.7,4513937
2020-04-07,415.2,443.0,414.15,435.85,3453043
2020-04-08,440.0,460.0,429.0,435.65,3439149
2020-04-09,441.0,464.9,438.05,458.65,3149417
2020-04-13,451.0,465.0,445.25,459.95,3074637
2020-04-15,463.0,466.0,446.85,453.35,4635232
2020-04-16,450.0,474.35,448.0,464.55,4011476
2020-04-17,470.0,480.65,457.15,460.25,3919802
2020-04-20,462.0,475.0,451.0,464.4,3095341
2020-04-21,461.5,462.25,448.4,453.6,1681464
2020-04-22,450.0,451.85,435.35,446.65,3520081
2020-04-23,447.5,460.2,447.5,450.85,1943856
2020-04-24,446.0,455.7,430.0,437.25,4083406
2020-04-27,445.15,454.0,442.5,447.65,2204319
2020-04-28,449.9,470.0,445.0,466.85,3986332
2020-04-29,471.0,480.35,470.85,475.95,3016678
2020-04-30,481.0,485.0,470.6,476.65,2423236
2020-05-04,463.05,478.8,458.7,469.7,3518111
2020-05-05,477.8,477.8,461.65,463.6,1965246
2020-05-06,464.9,477.9,459.55,468.1,3167961
2020-05-07,467.0,475.25,463.0,468.35,1564269
2020-05-08,477.0,477.0,468.4,472.3,1824926
2020-05-11,476.0,500.0,472.0,495.95,5961746
2020-05-12,495.15,495.15,477.4,480.95,2913411
2020-05-13,489.0,489.0,469.4,473.0,2511909
2020-05-14,468.0,479.1,460.35,461.7,2304869
2020-05-15,466.4,467.5,451.6,456.6,2849757
2020-05-18,459.0,464.55,439.6,445.5,2216244
2020-05-19,454.7,459.75,445.65,451.0,3531814
2020-05-20,455.0,460.75,451.2,454.1,2060084
2020-05-21,457.9,464.55,448.35,450.8,2197995
2020-05-22,450.9,455.5,442.85,450.6,2187645
2020-05-26,455.85,472.2,451.1,470.0,3652826
2020-05-27,474.6,477.85,452.65,456.4,3012687
2020-05-28,459.0,473.0,456.65,470.75,2320694
2020-05-29,472.5,494.65,459.0,472.1,29968421
2020-06-01,467.0,478.8,462.0,470.55,3826469
2020-06-02,478.5,479.95,470.15,472.85,2226683
2020-06-03,474.6,497.7,474.5,489.7,4494197
2020-06-04,494.6,520.0,492.05,504.75,10060263
2020-06-05,506.0,507.9,485.0,488.75,4600112
2020-06-08,495.5,496.7,469.25,472.9,5359899
2020-06-09,477.0,482.5,459.15,463.45,4938564
2020-06-10,464.2,471.9,461.15,466.0,2612566
2020-06-11,467.95,481.3,465.25,475.0,3945476
2020-06-12,462.0,485.3,456.35,482.0,4496868
2020-06-15,482.0,485.9,470.5,472.8,2596273
2020-06-16,480.0,482.9,465.55,474.3,4711942
2020-06-17,474.85,480.85,471.05,474.15,2323055
2020-06-18,474.4,474.5,448.0,449.65,10581901
2020-06-19,450.0,454.0,443.3,447.65,4475686
2020-06-22,447.0,452.9,443.4,447.9,4389572
2020-06-23,450.0,455.75,448.3,453.55,3354661
2020-06-24,457.0,464.0,442.0,443.55,4539532
2020-06-25,443.75,447.55,428.65,445.15,8312944
2020-06-26,448.9,450.8,439.2,442.1,3245970
2020-06-29,441.65,448.0,437.0,444.45,2705545
2020-06-30,447.95,451.5,441.2,442.3,2271511
2020-07-01,443.5,445.95,437.25,438.7,2108378
2020-07-02,442.65,447.95,440.0,444.6,2763773
2020-07-03,448.6,453.25,444.0,447.5,2368537
2020-07-06,452.0,453.7,440.5,441.35,2589922
2020-07-07,438.8,439.7,412.3,415.55,9398520
2020-07-08,416.0,418.3,407.4,410.95,7356426
2020-07-09,413.1,416.9,406.15,410.4,5562877
2020-07-10,411.7,417.9,406.4,407.75,4315138
2020-07-13,408.0,411.85,402.0,405.85,3527040
2020-07-14,407.25,418.0,405.1,414.75,6809127
2020-07-15,416.25,419.25,403.0,404.15,3704816
2020-07-16,406.05,408.6,395.5,407.0,4650284
2020-07-17,409.0,414.35,406.75,412.3,2421400
2020-07-20,415.0,419.1,410.0,417.6,4661917
2020-07-21,419.5,421.1,403.25,404.75,5976797
2020-07-22,403.3,411.8,398.0,405.9,7111741
2020-07-23,407.45,415.9,406.0,414.15,4334738
2020-07-24,413.0,415.55,403.1,407.55,3081562
2020-07-27,410.0,410.5,400.0,402.3,3355110
2020-07-28,403.0,406.0,398.2,401.1,2353700
2020-07-29,402.0,407.8,401.2,401.75,1949134
2020-07-30,404.9,409.75,400.25,402.25,2177938
2020-07-31,405.0,407.9,401.6,403.7,2438676
2020-08-03,403.55,405.95,391.05,393.4,2639994
2020-08-04,391.5,395.0,386.3,388.55,4659390
2020-08-05,392.2,395.9,388.1,393.7,2745844
2020-08-06,396.0,397.65,386.75,388.2,3265558
2020-08-07,388.2,391.05,381.0,388.25,5003718
2020-08-10,390.0,392.3,385.45,389.0,2238255
2020-08-11,392.0,394.5,387.3,389.3,2341903
2020-08-12,387.8,398.9,385.1,396.85,3719201
2020-08-13,403.0,404.3,390.1,393.45,5974776
2020-08-14,395.4,395.75,386.5,387.9,2237720
2020-08-17,391.0,393.9,385.1,392.75,2245726
2020-08-18,393.0,395.6,391.4,393.3,1712472
2020-08-19,393.3,399.0,391.5,395.0,4349061
2020-08-20,396.45,413.0,395.2,410.3,12580259
2020-08-21,416.1,422.2,412.0,416.1,6603250
2020-08-24,419.0,423.0,415.6,417.75,2991769
2020-08-25,423.0,423.05,410.65,413.55,3250784
2020-08-26,416.85,418.7,411.25,413.45,2921213
2020-08-27,415.0,417.7,403.0,406.9,7574608
2020-08-28,409.8,412.7,404.5,410.75,4965744
2020-08-31,414.45,416.0,393.0,394.45,5102043
2020-09-01,394.6,397.75,387.0,394.4,3321581
2020-09-02,395.4,403.8,391.6,400.8,2517659
2020-09-03,402.8,410.85,400.25,409.2,2347040
2020-09-04,403.85,407.7,397.5,400.8,1968454
2020-09-07,401.0,404.8,393.0,397.75,1656490
2020-09-08,397.75,400.9,389.0,390.3,1376840
2020-09-09,389.9,393.9,379.1,391.5,2457008
2020-09-10,393.5,399.0,383.6,388.3,2287523
2020-09-11,390.0,405.0,389.0,403.15,3335393
2020-09-14,405.1,414.0,402.8,408.8,3319562
2020-09-15,410.9,421.7,410.0,419.85,3970107
2020-09-16,420.0,422.0,408.85,413.2,2165313
2020-09-17,412.8,423.35,407.0,418.6,4246809
2020-09-18,420.5,426.0,412.3,420.0,14026634
2020-09-21,416.9,429.0,412.1,415.2,5939158
2020-09-22,414.0,415.2,398.0,410.75,4101347
2020-09-23,411.25,416.8,402.85,407.65,1822840
2020-09-24,405.0,405.0,388.3,393.25,3682126
2020-09-25,399.4,407.35,397.85,403.25,2324011
2020-09-28,406.45,409.5,398.2,403.85,2868478
2020-09-29,405.0,405.7,388.05,391.25,4042644
2020-09-30,391.0,397.0,385.0,386.8,3419362
2020-10-01,399.9,402.4,391.5,401.1,4353165
2020-10-05,400.85,400.95,388.45,389.55,2676765
2020-10-06,392.0,393.35,387.55,389.75,1932140
2020-10-07,389.6,393.7,383.2,384.15,2985740
2020-10-08,384.25,392.5,383.0,390.75,2944923
2020-10-09,390.75,392.0,380.8,381.5,3484928
2020-10-12,383.5,384.0,370.6,372.1,3773479
2020-10-13,373.55,373.55,364.1,365.45,2975227
2020-10-14,365.45,374.0,364.3,373.1,2202388
2020-10-15,375.0,380.5,372.0,374.55,3770362
2020-10-16,377.0,383.8,371.65,376.95,2436556
2020-10-19,379.0,380.6,374.15,376.8,2775611
2020-10-20,376.0,380.35,373.7,376.5,1808181
2020-10-21,378.0,383.35,377.0,380.7,1620171
2020-10-22,376.95,392.5,376.95,391.25,4030264
2020-10-23,392.8,394.8,388.7,392.35,1641701
2020-10-26,391.0,398.9,390.5,392.95,2722994
2020-10-27,393.45,412.0,390.55,409.2,4679062
2020-10-28,409.0,413.8,404.4,406.55,2305125
2020-10-29,404.95,411.0,402.15,407.15,1718303
2020-10-30,406.0,411.7,401.1,402.25,2041873
2020-11-02,403.1,408.0,398.2,404.2,1263623
2020-11-03,405.95,414.0,404.5,407.15,1727254
2020-11-04,407.0,413.55,405.15,406.7,1386082
2020-11-05,410.45,423.4,408.05,421.5,3058354
2020-11-06,422.0,426.45,419.0,421.65,1812186
2020-11-09,425.0,429.4,421.45,423.2,1737743
2020-11-10,424.2,429.0,415.55,423.15,2257171
2020-11-11,424.9,450.5,423.95,448.3,7321277
2020-11-12,449.9,449.9,435.8,438.3,3262781
