date,open,high,low,close,volume
2019-11-06,129.0,129.9,127.0,128.4,866478
2019-11-07,129.0,129.95,126.0,127.4,844838
2019-11-08,126.6,127.9,122.5,123.5,1114274
2019-11-11,123.4,124.9,121.1,121.9,1096810
2019-11-13,122.65,123.2,117.45,118.9,1432439
2019-11-14,118.5,118.5,112.55,114.5,1555496
2019-11-15,115.2,120.5,114.55,116.8,2101034
2019-11-18,117.05,120.0,117.05,118.95,1128909
2019-11-19,119.55,128.0,117.0,123.95,5551346
2019-11-20,124.5,127.65,121.25,122.4,2529996
2019-11-21,123.4,123.4,119.85,120.65,1413757
2019-11-22,120.7,121.35,118.65,119.15,947567
2019-11-25,119.25,122.4,119.0,120.25,1164361
2019-11-26,120.95,121.9,118.9,120.85,1596993
2019-11-27,121.25,121.85,119.35,120.65,1076790
2019-11-28,121.4,128.9,121.2,125.85,4926208
2019-11-29,126.55,134.5,126.0,128.9,4591513
2019-12-02,129.6,130.35,125.5,126.2,922148
2019-12-03,126.35,126.85,121.5,123.0,1125685
2019-12-04,121.6,126.5,121.6,125.5,1157369
2019-12-05,126.0,126.8,122.4,123.2,858222
2019-12-06,123.4,124.15,118.5,119.2,891018
2019-12-09,118.8,121.65,117.1,118.25,782836
2019-12-10,118.85,118.95,115.5,116.85,710281
2019-12-11,116.95,118.5,114.6,117.65,760972
2019-12-12,118.2,119.75,115.65,117.9,698581
2019-12-13,118.7,121.0,117.2,118.1,2111307
2019-12-16,118.8,119.0,115.6,116.25,902558
2019-12-17,115.95,116.95,109.0,110.0,3501794
2019-12-18,109.9,110.8,108.1,109.95,1723215
2019-12-19,108.6,109.65,104.6,105.05,2543692
2019-12-20,106.45,109.9,105.4,107.5,2878201
2019-12-23,106.8,108.4,104.0,104.95,1715799
2019-12-24,105.85,106.9,104.4,104.75,1129055
2019-12-26,105.4,105.6,103.15,104.2,1232499
2019-12-27,105.0,107.7,104.6,104.9,2484114
2019-12-30,105.4,105.6,104.15,104.6,909066
2019-12-31,104.4,105.0,100.5,100.95,2423404
2020-01-01,101.9,102.35,100.55,101.35,957240
2020-01-02,101.6,103.7,101.4,102.85,1551597
2020-01-03,102.85,104.4,102.15,102.85,1142845
2020-01-06,102.0,102.4,99.45,100.15,1034298
2020-01-07,101.1,102.2,98.1,99.6,1193942
2020-01-08,98.5,99.0,97.25,98.2,835779
2020-01-09,99.7,101.0,98.85,99.4,1302942
2020-01-10,100.0,100.8,98.5,98.75,1389586
2020-01-13,99.5,99.75,98.2,99.35,835761
2020-01-14,99.65,99.65,98.7,99.0,712611
2020-01-15,98.6,100.85,98.2,99.1,1304110
2020-01-16,99.35,103.15,99.15,102.35,2907485
