date,open,high,low,close,volume
2021-01-29,24.9,25.8,24.35,24.8,381713533
2021-02-01,25.25,25.4,24.9,25.1,71790596
2021-02-02,25.45,25.45,24.7,24.75,36667905
2021-02-03,24.8,24.9,24.05,24.25,45782968
2021-02-04,24.25,25.8,23.85,25.35,88354703
2021-02-05,25.6,26.2,25.55,25.7,56273282
2021-02-08,25.9,25.95,25.6,25.75,28196102
2021-02-09,25.75,25.8,25.2,25.3,25107712
2021-02-10,25.4,25.8,25.0,25.4,33077816
2021-02-11,25.4,25.65,25.25,25.4,13545433
2021-02-12,25.5,25.55,25.3,25.4,15593150
2021-02-15,26.2,26.2,25.65,25.75,45311543
2021-02-16,25.9,26.0,25.8,25.85,34470146
2021-02-17,25.3,25.6,24.9,25.3,28608015
2021-02-18,25.45,25.8,25.4,25.65,20932619
2021-02-19,25.65,25.7,25.2,25.35,14483122
2021-02-22,25.3,25.4,24.95,25.0,16634411
2021-02-23,25.0,25.15,24.9,24.95,12974360
2021-02-24,25.0,25.2,24.85,24.9,10767724
2021-02-25,24.95,25.2,24.9,24.95,22742607
2021-02-26,24.85,24.95,24.5,24.65,36406161
2021-03-01,24.65,26.7,24.65,25.9,92531081
2021-03-02,26.1,26.3,25.45,25.65,48419742
2021-03-03,25.8,25.95,25.45,25.5,18737097
2021-03-04,25.25,25.7,25.25,25.4,21714603
2021-03-05,25.4,25.55,24.8,24.95,25255199
2021-03-08,25.1,25.25,24.8,24.85,16279071
2021-03-09,24.95,25.5,24.8,24.95,21345339
2021-03-10,25.0,25.1,24.85,24.85,11290663
2021-03-12,24.9,25.05,24.8,24.85,17049995
2021-03-15,24.9,24.95,24.5,24.65,17290202
2021-03-16,24.65,24.8,24.5,24.55,9641211
2021-03-17,24.55,24.6,24.1,24.15,14286965
2021-03-18,24.2,24.6,23.9,24.05,16111995
2021-03-19,24.0,24.1,23.5,23.95,15209759
2021-03-22,24.0,24.5,23.85,23.9,13775739
2021-03-23,23.9,24.1,23.75,23.8,13688020
2021-03-24,23.8,23.9,23.4,23.45,16774666
2021-03-25,23.45,23.55,22.9,22.95,19202017
2021-03-26,23.2,23.3,22.9,23.05,15796457
2021-03-30,23.15,23.3,22.9,22.95,14190771
2021-03-31,22.95,23.1,22.9,22.9,11681611
2021-04-01,23.0,23.2,22.7,22.85,18216915
2021-04-05,22.85,22.9,22.3,22.5,20098135
2021-04-06,22.5,22.5,21.9,22.0,25038845
2021-04-07,22.0,22.3,21.9,22.15,14499031
2021-04-08,22.1,22.35,21.9,21.95,18017769
2021-04-09,22.0,22.05,21.9,21.95,16364411
2021-04-12,21.85,21.85,20.8,20.85,25886366
2021-04-13,20.85,21.5,20.8,21.45,14820121
2021-04-15,21.3,21.35,20.9,21.1,18135540
2021-04-16,21.25,22.0,21.05,21.75,22147575
2021-04-19,21.2,21.35,20.9,21.15,10467862
2021-04-20,21.15,21.65,21.1,21.25,12173230
2021-04-22,21.15,21.3,21.0,21.05,8900819
2021-04-23,21.1,21.5,21.0,21.1,15582650
2021-04-26,21.1,21.35,20.95,21.0,12043837
2021-04-27,21.1,21.5,21.05,21.2,14157592
2021-04-28,21.3,21.35,21.1,21.15,14488024
2021-04-29,21.15,21.3,21.1,21.15,9494093
2021-04-30,21.05,21.4,21.0,21.3,11710931
2021-05-03,21.15,21.25,20.95,21.05,17416143
2021-05-04,21.15,21.15,20.9,20.95,26389153
2021-05-05,21.0,21.2,20.95,21.0,9308222
2021-05-06,21.1,21.15,21.0,21.1,7455411
2021-05-07,21.1,21.15,21.0,21.1,8217756
2021-05-10,21.15,22.7,21.1,22.55,51289961
2021-05-11,22.35,23.1,22.2,22.95,33081383
2021-05-12,23.0,23.8,23.0,23.4,34113951
2021-05-14,23.7,23.85,23.0,23.05,18178242
2021-05-17,23.15,23.45,23.0,23.05,13617383
2021-05-18,23.25,23.25,22.9,23.1,9977330
2021-05-19,23.1,23.55,23.05,23.1,19057980
2021-05-20,23.2,23.65,22.95,23.1,21914684
2021-05-21,23.2,23.4,23.15,23.35,14603561
2021-05-24,23.85,24.15,23.7,24.0,32778957
2021-05-25,24.2,24.25,23.85,23.95,15690124
2021-05-26,24.1,24.1,23.8,23.85,10663205
2021-05-27,23.85,23.95,23.55,23.65,10117442
2021-05-28,23.65,23.75,23.3,23.45,10524868
2021-05-31,23.45,23.95,23.35,23.75,19384351
2021-06-01,23.8,23.9,23.5,23.6,11755103
2021-06-02,23.55,24.0,23.45,23.5,12940289
2021-06-03,23.6,23.7,23.55,23.6,10743115
2021-06-04,23.55,23.95,23.45,23.7,21305162
2021-06-07,24.0,24.85,23.9,24.7,42703032
2021-06-08,24.95,25.0,24.4,24.75,25786949
2021-06-09,24.85,24.95,24.2,24.3,28022238
2021-06-10,24.5,24.7,24.3,24.5,17059174
2021-06-11,24.6,24.75,24.35,24.45,15810256
2021-06-14,24.7,24.8,24.2,24.7,18091809
2021-06-15,25.0,25.6,24.8,25.2,54009339
2021-06-16,25.3,25.5,24.85,24.95,27388620
2021-06-17,24.9,25.25,24.55,24.7,24324546
2021-06-18,25.0,25.2,24.2,24.55,77887879
2021-06-21,24.5,24.95,24.3,24.9,14248494
2021-06-22,25.2,25.3,24.9,24.95,19313375
2021-06-23,25.1,25.1,24.7,24.85,13091985
2021-06-24,24.95,25.0,24.65,24.7,8362736
2021-06-25,24.7,24.85,24.6,24.7,8120462
2021-06-28,25.0,25.1,24.7,24.75,13909656
2021-06-29,24.9,26.45,24.7,25.3,99760729
2021-06-30,25.4,25.45,24.6,24.85,34784314
2021-07-01,24.95,25.0,24.2,24.25,23813218
2021-07-02,24.45,24.6,24.25,24.35,14319211
2021-07-05,24.5,24.65,24.25,24.35,20299085
2021-07-06,24.35,24.5,23.75,24.05,17293039
2021-07-07,23.85,24.35,23.65,23.8,16061368
2021-07-08,23.85,24.2,23.7,23.8,14716601
2021-07-09,23.85,23.9,23.65,23.7,8649182
2021-07-12,23.95,24.0,23.65,23.85,13565962
2021-07-13,23.95,24.05,23.7,23.7,13701109
2021-07-14,23.8,23.85,23.45,23.5,15265092
2021-07-15,23.55,23.6,23.2,23.2,13060925
2021-07-16,23.35,23.55,23.25,23.3,16159617
2021-07-19,23.25,23.45,23.15,23.35,9175091
2021-07-20,23.35,23.45,23.2,23.25,7427906
2021-07-22,23.4,23.65,23.3,23.55,9431052
2021-07-23,23.6,23.6,23.25,23.3,6685381
2021-07-26,23.25,23.4,23.2,23.25,7553164
2021-07-27,23.25,23.35,23.0,23.1,8944757
2021-07-28,23.05,23.1,22.85,23.0,8767239
2021-07-29,23.0,23.1,22.85,22.85,6679724
2021-07-30,22.95,23.2,22.85,23.0,7024120
2021-08-02,23.15,23.8,23.1,23.3,18872464
2021-08-03,23.35,23.75,23.25,23.55,11062324
2021-08-04,23.65,23.7,23.2,23.6,15813294
2021-08-05,23.6,23.8,23.2,23.65,10469724
2021-08-06,23.5,23.6,23.3,23.55,8223906
2021-08-09,23.55,23.65,23.35,23.55,7670837
2021-08-10,23.55,23.55,23.0,23.05,7343285
2021-08-11,23.05,23.2,22.8,23.05,8655301
2021-08-12,23.15,24.1,23.05,23.95,13674855
2021-08-13,24.0,24.15,23.7,23.8,9734894
2021-08-16,24.25,24.25,23.65,23.75,9160653
2021-08-17,23.75,23.75,23.25,23.35,7973831
2021-08-18,23.35,23.9,23.1,23.45,7908641
2021-08-20,23.3,23.35,22.95,23.0,9048947
2021-08-23,23.15,23.3,22.55,22.75,9143940
2021-08-24,22.6,23.05,22.6,22.95,8233304
2021-08-25,23.0,23.25,23.0,23.05,3960870
2021-08-26,23.1,23.2,22.85,22.9,4388277
2021-08-27,22.85,23.0,22.75,22.85,6665003
2021-08-30,22.9,23.15,22.9,23.0,6514245
2021-08-31,23.0,23.35,22.85,22.95,12755814
2021-09-01,23.05,23.15,22.95,23.05,5746286
2021-09-02,23.1,23.15,22.95,23.0,4622547
2021-09-03,23.0,23.15,23.0,23.05,4485349
2021-09-06,23.1,23.15,23.0,23.05,3775722
2021-09-07,23.1,23.15,22.95,23.0,5302631
2021-09-08,23.05,23.15,23.0,23.0,3914433
2021-09-09,23.05,23.1,23.0,23.05,3847580
2021-09-13,23.1,23.15,22.9,22.95,8635952
2021-09-14,23.1,23.1,22.9,22.95,11404677
2021-09-15,22.95,23.0,22.8,22.85,17256868
2021-09-16,22.9,22.95,22.7,22.8,22286215
2021-09-17,22.9,22.95,22.7,22.8,24880477
2021-09-20,22.75,22.9,22.6,22.65,10239638
2021-09-21,22.7,22.75,22.35,22.4,10140120
2021-09-22,22.45,22.6,22.3,22.35,9723023
2021-09-23,22.45,22.5,22.35,22.4,8459264
2021-09-24,22.45,22.55,22.25,22.3,10388205
2021-09-27,22.4,22.5,22.35,22.45,8668665
2021-09-28,22.4,22.5,22.3,22.35,11350575
2021-09-29,22.5,22.9,22.35,22.65,22206444
2021-09-30,22.9,23.05,22.7,22.85,14638191
2021-10-01,22.85,24.0,22.75,23.9,35110359
2021-10-04,24.2,24.55,23.8,23.85,28542026
