date,open,high,low,close,volume
2020-01-13,43.8,44.75,42.35,43.3,2976725
2020-01-14,43.55,44.75,42.8,43.6,2510205
2020-01-15,43.75,45.8,43.0,44.8,2297003
2020-01-16,45.75,46.8,44.7,45.35,3517964
2020-01-17,45.0,45.85,42.95,43.85,1742445
2020-01-20,43.25,44.9,42.6,43.3,1590348
2020-01-21,42.9,44.6,42.9,43.45,1138574
2020-01-22,43.65,44.2,43.0,43.3,626132
2020-01-23,43.4,44.9,43.35,44.3,1384826
2020-01-24,44.1,45.65,43.9,45.25,1218666
2020-01-27,44.55,44.8,43.05,43.35,1089970
2020-01-28,43.7,44.55,42.2,42.5,992495
2020-01-29,42.8,43.9,42.65,43.2,525314
2020-01-30,43.1,43.3,40.8,41.1,1039374
2020-01-31,41.5,43.2,40.05,40.3,2363639
2020-02-01,39.8,40.8,38.55,39.0,1320549
2020-02-03,38.4,39.9,37.9,38.7,1019468
2020-02-04,39.3,40.4,38.85,39.8,684656
2020-02-05,40.5,42.4,39.95,41.75,1145065
2020-02-06,42.05,42.9,41.55,42.25,839254
2020-02-07,42.05,43.25,41.8,42.3,516158
2020-02-10,42.2,42.65,40.5,41.7,1420521
2020-02-11,41.8,42.5,41.1,41.35,892517
2020-02-12,42.85,43.3,40.4,41.6,1471218
2020-02-13,41.6,42.0,40.8,41.05,506949
2020-02-14,41.2,42.25,40.6,41.05,3328630
2020-02-17,41.15,41.95,39.7,40.25,3006267
2020-02-18,39.85,40.05,38.8,39.1,833303
2020-02-19,39.3,42.4,39.1,41.15,2192412
2020-02-20,41.35,42.4,41.0,41.6,1494611
2020-02-24,41.0,41.9,40.25,40.6,793916
2020-02-25,40.7,42.2,40.7,41.8,854139
2020-02-26,41.1,41.85,39.9,40.15,1269038
2020-02-27,40.4,42.1,39.9,40.45,2398491
2020-02-28,39.6,41.2,38.5,39.0,2215395
2020-03-02,40.5,42.9,39.1,39.7,1733523
2020-03-03,40.1,41.0,39.5,39.7,810469
2020-03-04,39.95,40.2,38.4,39.8,1171025
2020-03-05,40.4,40.8,39.5,40.0,1134299
2020-03-06,39.0,41.6,38.0,41.15,961886
2020-03-09,39.55,40.4,38.1,38.35,615930
2020-03-11,38.5,39.0,35.25,35.95,810905
2020-03-12,33.5,33.95,29.3,29.85,4073490
2020-03-13,27.7,32.6,27.0,31.65,1162714
2020-03-16,31.25,32.0,29.55,30.3,437796
