date,open,high,low,close,volume
2020-01-14,278.0,284.0,278.0,280.9,7428691
2020-01-15,279.85,283.4,276.25,282.5,5538475
2020-01-16,282.5,282.85,276.15,277.45,4791447
2020-01-17,276.8,279.55,272.85,273.35,4733742
2020-01-20,273.5,275.0,268.65,271.35,3823115
2020-01-21,270.0,270.9,264.35,267.25,4799667
2020-01-22,268.3,269.3,264.75,265.85,3334351
2020-01-23,266.0,268.95,264.1,266.65,3529142
2020-01-24,266.7,273.9,265.3,271.9,5991335
2020-01-27,265.45,265.9,258.3,262.8,17151836
2020-01-28,260.8,261.75,251.6,255.25,11168567
2020-01-29,259.0,264.6,258.3,261.25,7832991
2020-01-30,261.3,262.1,255.25,256.95,5511254
2020-01-31,258.15,259.0,249.1,250.7,6329214
2020-02-01,249.0,257.3,242.6,244.75,7485230
2020-02-03,245.5,253.0,243.75,251.5,7021154
2020-02-04,253.25,259.7,248.7,258.35,5839343
2020-02-05,259.5,271.65,256.35,269.25,7218905
2020-02-06,271.1,277.5,267.75,276.45,8567243
2020-02-07,275.4,280.0,272.75,279.3,5258442
2020-02-10,276.0,279.8,273.2,277.9,4972983
2020-02-11,280.05,293.5,278.6,288.75,10958494
2020-02-12,288.65,295.4,288.5,293.7,9119052
2020-02-13,292.2,294.6,288.4,293.35,6220243
2020-02-14,291.6,296.75,288.3,289.15,6086218
2020-02-17,289.15,290.9,285.3,288.15,6084235
2020-02-18,289.0,289.15,281.1,284.8,5463097
2020-02-19,287.2,290.0,279.9,280.85,4952306
2020-02-20,280.7,285.85,277.0,281.8,6960354
2020-02-24,277.95,277.95,256.0,258.95,10565578
2020-02-25,264.0,266.8,258.4,262.6,9928181
2020-02-26,256.0,263.7,255.55,260.8,8111249
2020-02-27,259.0,259.0,248.3,252.1,10258174
2020-02-28,245.5,245.5,232.65,235.7,10723581
2020-03-02,242.2,246.5,230.85,235.0,10865535
2020-03-03,239.25,249.1,238.65,246.45,11580274
2020-03-04,246.55,248.8,236.85,245.6,10790561
2020-03-05,248.7,252.75,244.35,247.15,7130730
2020-03-06,235.0,240.0,228.2,238.8,6850161
2020-03-09,229.05,231.65,225.1,229.05,7888019
