date,open,high,low,close,volume
2020-01-13,16.35,17.3,16.35,16.95,7517
2020-01-14,17.2,17.6,16.8,16.9,31819
2020-01-15,16.8,17.3,16.65,16.8,3906
2020-01-16,17.0,17.4,16.65,17.1,14959
2020-01-17,17.45,18.9,17.15,18.0,27068
2020-01-20,18.45,19.9,17.65,18.8,35587
2020-01-21,18.1,19.35,18.1,18.5,20405
2020-01-22,18.8,18.95,18.5,18.55,7945
2020-01-23,18.5,19.1,18.5,18.9,12958
2020-01-24,18.8,19.6,18.55,19.55,17620
2020-01-27,19.2,20.6,18.7,19.85,21259
2020-01-28,20.35,20.35,18.75,18.75,12857
2020-01-29,19.0,19.5,18.3,18.55,4930
2020-01-30,18.8,18.8,17.6,17.9,5974
2020-01-31,17.8,18.4,17.2,17.35,8801
2020-02-01,17.7,17.9,17.05,17.05,944
2020-02-03,17.05,17.4,16.6,17.15,2699
2020-02-04,16.9,17.45,16.6,17.35,5222
2020-02-05,17.65,17.65,16.75,17.0,6934
2020-02-06,17.05,17.3,16.6,17.05,7357
2020-02-07,16.95,17.1,16.5,16.65,12423
2020-02-10,16.65,16.9,15.95,16.8,6101
2020-02-11,17.35,17.9,15.65,16.75,11470
2020-02-12,17.0,17.2,16.25,16.5,7906
2020-02-13,16.8,17.65,16.0,16.5,14086
2020-02-14,16.8,17.4,16.15,16.35,5611
2020-02-17,15.55,16.8,15.55,16.3,8182
2020-02-18,16.05,17.35,16.0,16.9,7222
2020-02-19,16.55,17.25,16.3,16.8,5258
2020-02-20,16.7,17.1,16.45,16.5,6123
2020-02-24,16.0,16.7,15.25,15.95,23488
2020-02-25,15.95,16.55,15.1,16.0,11768
2020-02-26,16.25,16.25,15.25,15.6,7961
2020-02-27,16.0,16.0,15.05,15.7,4877
2020-02-28,15.55,16.1,13.75,15.3,34935
2020-03-02,15.75,16.1,14.15,14.6,4518
2020-03-03,14.55,15.2,13.8,15.2,4746
2020-03-04,15.4,15.4,13.15,13.95,53120
2020-03-05,14.25,14.65,13.9,14.4,12379
2020-03-06,14.3,14.8,13.1,14.0,19008
2020-03-09,14.0,14.5,13.0,13.4,7247
2020-03-11,13.45,13.75,11.55,12.0,40485
2020-03-12,12.0,12.0,10.4,11.6,22527
2020-03-13,11.75,13.85,9.55,13.25,14040
2020-03-16,14.4,14.4,11.3,12.15,20479
2020-03-17,11.9,12.65,10.45,11.5,6496
2020-03-18,12.65,12.65,11.3,11.3,10944
2020-03-19,11.3,12.75,9.6,12.15,53113
2020-03-20,11.6,12.3,11.2,11.45,3851
2020-03-23,11.45,12.95,9.2,10.6,11468
2020-03-24,10.35,11.4,9.85,10.4,17478
2020-03-25,10.25,12.0,9.8,10.6,7057
2020-03-26,11.45,12.2,9.95,10.75,21457
2020-03-27,10.8,11.7,10.2,10.4,28030
2020-03-30,10.6,10.6,9.85,10.4,15516
2020-03-31,10.45,11.0,10.4,10.7,5860
2020-04-01,10.5,10.75,10.2,10.75,3997
2020-04-03,10.5,11.15,10.2,10.5,7827
2020-04-07,11.45,11.45,10.3,11.05,15077
2020-04-08,11.95,11.95,10.65,10.9,5934
2020-04-09,11.65,12.25,10.65,12.1,19620
2020-04-13,12.1,12.55,11.25,12.5,4328
2020-04-15,13.45,14.9,12.05,13.2,13703
2020-04-16,13.15,13.75,13.05,13.45,2843
2020-04-17,13.6,14.8,13.6,14.15,53929
2020-04-20,14.2,14.95,13.45,13.85,16034
2020-04-21,14.65,14.65,12.65,12.95,11815
2020-04-22,13.4,13.4,12.5,13.05,1855
2020-04-23,13.55,13.9,13.3,13.6,5706
2020-04-24,13.6,13.75,13.1,13.2,10925
2020-04-27,13.8,13.8,12.6,13.2,9764
2020-04-28,13.0,13.75,13.0,13.55,9434
2020-04-29,13.55,14.05,13.5,13.65,2767
2020-04-30,13.6,14.2,13.1,13.6,4677
2020-05-04,14.15,14.15,12.55,13.0,4483
2020-05-05,12.9,13.1,12.55,12.7,5281
2020-05-06,12.7,12.7,11.2,11.8,43433
2020-05-07,11.95,13.15,11.5,12.45,11556
2020-05-08,12.6,12.6,12.1,12.1,1219
2020-05-11,12.05,12.5,11.75,12.3,1623
2020-05-12,12.35,12.4,11.5,11.9,6072
