date,open,high,low,close,volume
2020-01-14,118.45,118.73,116.92,117.24,8251968
2020-01-15,117.01,118.96,116.18,117.75,6992445
2020-01-16,118.27,118.41,116.36,117.15,5479757
2020-01-17,117.85,120.03,117.38,118.27,10465614
2020-01-20,117.01,117.01,109.2,109.76,18547432
2020-01-21,109.25,111.06,107.9,110.69,11910178
2020-01-22,110.83,111.53,108.51,108.88,9298335
2020-01-23,108.74,111.39,108.55,110.65,7116811
2020-01-24,110.41,113.39,110.13,111.48,7158632
2020-01-27,110.51,112.18,109.86,110.65,5742706
2020-01-28,110.41,112.09,109.44,110.92,7021418
2020-01-29,110.92,111.99,110.6,111.39,5457339
2020-01-30,111.3,111.3,107.49,108.74,8023299
2020-01-31,109.3,110.32,106.79,108.88,8372282
2020-02-01,109.07,109.67,100.47,102.19,10094085
2020-02-03,101.44,105.44,100.38,103.3,8556151
2020-02-04,103.72,106.42,103.63,106.09,6274471
2020-02-05,106.51,110.88,106.14,110.09,8767090
2020-02-06,110.83,120.5,109.2,119.01,24557973
2020-02-07,119.24,123.1,118.68,122.26,16458243
2020-02-10,121.75,121.84,118.03,118.59,7003373
2020-02-11,118.96,124.54,118.96,121.61,13179638
2020-02-12,121.61,124.12,116.27,118.45,15391493
2020-02-13,118.54,120.08,116.87,117.75,5837223
2020-02-14,117.75,119.47,116.59,117.38,5410842
2020-02-17,117.38,118.03,114.64,115.29,5024453
2020-02-18,114.83,114.87,111.44,113.67,5397610
2020-02-19,114.08,117.66,113.85,114.64,8793444
2020-02-20,114.32,118.64,113.85,114.41,6584869
2020-02-24,113.85,113.85,109.62,109.86,5313801
2020-02-25,110.13,110.88,107.62,108.32,6536409
2020-02-26,107.86,108.83,105.67,106.88,6609035
2020-02-27,106.04,106.88,103.81,104.37,7946924
2020-02-28,101.3,101.77,92.01,92.89,14711851
2020-03-02,95.73,99.68,94.1,95.45,14998211
2020-03-03,97.59,100.65,95.87,99.72,10667302
2020-03-04,100.33,101.03,95.17,98.19,10995645
2020-03-05,98.52,101.77,96.66,99.26,9098538
2020-03-06,92.94,94.57,88.25,93.73,16422649
2020-03-09,89.04,91.27,86.81,87.78,12632871
2020-03-11,87.78,92.01,86.81,90.48,13743398
2020-03-12,83.65,85.09,74.82,75.89,16418243
2020-03-13,70.08,80.21,65.06,77.56,22373309
2020-03-16,74.35,74.35,65.24,65.99,23121828
2020-03-17,66.92,68.5,61.34,61.81,21226648
2020-03-18,63.01,63.9,57.44,58.41,19931153
2020-03-19,55.76,58.27,52.42,54.14,21042783
2020-03-20,55.76,57.99,52.74,55.35,21955817
2020-03-23,49.82,51.12,44.8,45.12,11564310
2020-03-24,47.68,48.93,42.66,45.35,25801290
2020-03-25,43.68,52.14,43.54,51.3,20933941
2020-03-26,52.14,55.62,48.56,49.82,25679530
2020-03-27,52.98,56.55,47.26,49.35,28183500
2020-03-30,47.4,49.07,45.82,47.68,12640819
2020-03-31,49.07,50.19,46.75,47.68,14297544
2020-04-01,47.59,48.33,46.47,46.98,10183767
2020-04-03,47.4,47.4,44.8,45.45,11342675
2020-04-07,48.28,51.63,46.24,50.05,17383102
2020-04-08,49.17,53.95,48.33,51.21,17750280
2020-04-09,52.42,54.79,52.14,53.16,16622218
2020-04-13,53.12,53.12,49.63,50.33,11370552
2020-04-15,51.12,52.88,49.03,50.23,13491183
2020-04-16,49.96,58.04,49.26,57.02,28725940
2020-04-17,62.27,64.27,58.18,60.88,46543105
2020-04-20,61.2,61.34,59.02,59.25,14102350
2020-04-21,56.6,56.6,54.04,54.74,11515652
2020-04-22,54.83,55.62,52.84,55.11,12098847
2020-04-23,54.97,58.92,54.42,57.58,14827125
2020-04-24,54.37,55.95,53.95,54.79,14921431
2020-04-27,55.07,58.37,55.07,57.02,16940346
2020-04-28,57.62,59.95,56.74,59.67,19200730
2020-04-29,59.95,61.34,59.48,60.04,12352631
2020-04-30,61.25,62.73,60.41,60.97,15363291
2020-05-04,58.09,58.09,51.86,53.91,20638097
2020-05-05,55.49,56.28,53.21,53.49,21702910
2020-05-06,54.0,55.62,52.84,55.11,25318409
2020-05-07,54.7,56.32,53.91,54.28,14939818
