date,open,high,low,close,volume
2020-01-13,329.2,334.25,322.6,327.2,41784
2020-01-14,327.0,329.9,320.0,321.95,23614
2020-01-15,322.0,332.85,312.0,327.75,38938
2020-01-16,328.1,334.85,321.0,325.05,22855
2020-01-17,325.05,334.0,320.0,327.15,25638
2020-01-20,330.0,330.0,320.1,320.65,13381
2020-01-21,321.0,326.0,317.0,322.55,15118
2020-01-22,323.0,326.7,311.35,314.2,19606
2020-01-23,317.05,324.8,314.3,317.6,22695
2020-01-24,317.6,325.25,317.6,323.15,17373
2020-01-27,324.0,327.95,315.1,317.0,8525
2020-01-28,318.0,322.25,316.25,319.55,11508
2020-01-29,320.0,328.0,318.05,319.8,9733
2020-01-30,319.2,320.45,312.0,313.25,9640
2020-01-31,319.0,319.0,307.2,310.5,13482
2020-02-01,306.0,310.45,285.0,290.8,23961
2020-02-03,291.0,298.95,275.1,280.85,29853
2020-02-04,281.15,287.2,272.35,281.15,55906
2020-02-05,292.5,309.25,285.0,309.25,60004
2020-02-06,315.7,324.95,303.0,306.1,48507
2020-02-07,310.0,320.0,303.25,305.75,28165
2020-02-10,306.0,309.0,294.0,295.85,17376
2020-02-11,296.25,303.95,285.1,292.1,13880
2020-02-12,294.0,294.0,280.0,284.55,37932
2020-02-13,284.3,314.7,279.1,298.05,100179
2020-02-14,309.9,315.0,290.0,296.35,46712
2020-02-17,296.35,296.35,280.05,282.35,29925
2020-02-18,282.4,283.9,276.0,280.95,19825
2020-02-19,285.1,289.25,278.65,282.55,17909
2020-02-20,283.05,288.0,280.0,281.65,10275
2020-02-24,281.0,281.0,270.0,275.55,13163
2020-02-25,277.35,277.35,267.0,270.35,10801
2020-02-26,263.2,266.2,250.1,254.35,50878
2020-02-27,254.05,264.0,247.15,260.25,46333
2020-02-28,248.0,254.05,245.0,247.65,24084
2020-03-02,249.2,259.15,241.0,243.9,32285
2020-03-03,254.5,254.5,237.25,240.85,36274
2020-03-04,243.25,244.75,236.4,238.95,15478
2020-03-05,239.5,241.45,234.35,239.5,10943
2020-03-06,235.7,246.0,226.85,239.15,22954
2020-03-09,237.0,237.0,215.0,217.15,21492
2020-03-11,217.0,223.45,201.35,209.65,42564
2020-03-12,192.3,210.0,188.2,203.05,47632
2020-03-13,168.5,239.6,165.1,208.1,28888
2020-03-16,208.1,208.1,180.1,195.45,20688
2020-03-17,191.0,199.9,184.3,189.5,18738
2020-03-18,189.5,194.0,174.35,181.45,28438
2020-03-19,174.2,186.85,149.0,181.8,32392
2020-03-20,176.3,193.0,174.15,183.9,6892
2020-03-23,175.0,188.35,153.0,171.35,31029
2020-03-24,174.0,183.4,147.1,151.45,67129
2020-03-25,145.2,163.2,145.2,158.3,17547
2020-03-26,156.0,173.95,156.0,164.55,11621
2020-03-27,180.4,180.4,157.0,166.85,20525
2020-03-30,167.0,168.95,150.25,152.1,42429
2020-03-31,162.7,170.0,154.0,162.65,9917
2020-04-01,158.2,172.45,156.0,164.25,23173
2020-04-03,162.0,164.45,150.0,152.25,19408
2020-04-07,155.25,182.7,155.25,182.2,96681
2020-04-08,185.0,192.0,170.0,173.7,42301
2020-04-09,179.95,184.0,171.6,181.1,29187
