date,open,high,low,close,volume
2020-01-13,442.0,455.35,441.0,453.5,3344728
2020-01-14,453.0,456.85,445.05,453.0,3133130
2020-01-15,449.35,459.45,447.5,456.95,1830488
2020-01-16,459.9,474.3,458.0,470.4,3984810
2020-01-17,469.7,470.95,458.0,466.65,3481469
2020-01-20,467.0,474.8,461.85,463.35,3519666
2020-01-21,462.0,486.75,459.65,478.4,6905432
2020-01-22,483.55,483.55,472.25,476.85,3834127
2020-01-23,476.0,483.85,473.2,476.5,3383538
2020-01-24,476.0,476.0,458.8,462.15,3578017
2020-01-27,460.0,461.0,450.35,452.9,2365406
2020-01-28,452.0,461.6,447.6,457.7,4515453
2020-01-29,459.15,465.0,456.0,458.85,2990594
2020-01-30,459.85,461.85,435.1,440.95,6149923
2020-01-31,440.95,444.5,425.0,437.7,7580796
2020-02-01,441.9,463.95,396.1,402.3,14442922
2020-02-03,402.0,412.25,382.15,391.65,13599915
2020-02-04,394.9,400.35,390.6,393.05,5302040
2020-02-05,395.9,407.8,386.35,404.75,7091563
2020-02-06,407.25,441.6,403.25,437.45,12153792
2020-02-07,437.5,445.45,433.75,441.15,6479095
2020-02-10,441.85,441.85,425.6,429.85,3250307
2020-02-11,431.6,441.95,431.6,434.05,2570044
2020-02-12,434.65,439.8,415.45,422.7,4796478
2020-02-13,421.0,428.0,420.3,424.4,1997695
2020-02-14,427.0,431.0,408.45,412.3,2817526
2020-02-17,399.0,399.0,351.1,379.85,36528007
2020-02-18,380.0,382.0,354.3,363.95,18284085
2020-02-19,366.95,374.4,361.25,366.2,6880554
2020-02-20,362.25,375.65,362.25,364.6,6059345
2020-02-24,357.95,361.7,346.4,348.3,6748965
2020-02-25,351.0,354.8,345.2,350.7,4523258
2020-02-26,349.65,354.0,344.65,348.15,4281773
2020-02-27,349.5,349.5,333.55,336.35,5684574
2020-02-28,328.0,330.0,317.25,320.25,7698998
2020-03-02,327.25,335.5,318.0,322.45,5472696
2020-03-03,325.0,334.0,322.5,330.0,3211488
2020-03-04,330.0,331.35,315.0,320.9,3812349
