date,open,high,low,close,volume
2021-04-19,218.0,239.0,211.3,232.63,22102730
2021-04-20,234.0,256.93,228.68,251.55,11705072
2021-04-22,249.0,271.38,245.8,261.88,4728296
2021-04-23,261.4,268.45,258.85,265.35,2300838
2021-04-26,266.0,293.0,266.0,290.05,4139576
2021-04-27,288.0,306.38,285.53,302.2,4373976
2021-04-28,302.4,310.0,298.1,307.83,1970340
2021-04-29,309.38,309.5,290.58,300.83,3749610
2021-04-30,296.0,310.95,294.05,296.85,689580
2021-05-03,295.0,302.5,285.1,299.65,848474
2021-05-04,300.63,304.0,291.35,298.85,587900
2021-05-05,295.5,306.0,293.75,303.0,582008
2021-05-06,303.0,306.13,297.78,300.98,281584
2021-05-07,301.5,319.0,301.5,315.88,2697842
2021-05-10,315.0,379.05,314.93,345.88,3202552
2021-05-11,342.4,351.35,337.58,345.85,938596
2021-05-12,350.0,355.13,317.48,323.33,1409480
2021-05-14,332.45,335.73,307.25,323.95,1291314
2021-05-17,324.0,328.5,313.8,323.7,2173164
2021-05-18,323.93,323.93,307.25,316.43,1331362
2021-05-19,311.75,321.0,311.75,317.15,676842
2021-05-20,317.15,322.58,308.03,314.28,415756
2021-05-21,318.45,328.45,314.25,322.18,1315414
2021-05-24,324.48,326.0,319.0,322.1,601734
2021-05-25,321.5,325.0,314.0,316.33,872216
2021-05-26,310.0,314.85,309.0,312.55,481392
2021-05-27,310.08,312.5,305.0,307.48,207686
2021-05-28,308.0,321.5,307.5,317.58,832566
2021-05-31,317.43,320.75,310.98,315.58,471108
2021-06-01,318.0,318.4,309.03,313.15,327116
2021-06-02,315.0,318.85,308.5,309.0,279100
2021-06-03,310.28,317.98,309.65,311.35,580872
2021-06-04,314.0,317.0,310.5,313.85,380764
2021-06-07,316.85,344.5,315.78,335.03,2295650
2021-06-08,331.5,355.0,331.5,345.38,2462672
2021-06-09,348.0,351.33,325.78,333.1,1648102
2021-06-10,334.88,350.2,333.15,347.13,1125198
2021-06-11,347.0,349.58,330.73,336.45,998786
2021-06-14,335.13,352.5,325.9,342.55,1202520
2021-06-15,345.88,357.5,345.0,354.43,1744190
2021-06-16,355.0,359.03,337.0,340.9,975476
2021-06-17,339.45,346.5,331.0,335.33,533454
2021-06-18,337.9,343.1,316.05,340.5,1099232
2021-06-21,337.5,354.0,333.4,352.03,656338
2021-06-22,354.0,356.55,348.0,349.9,691016
2021-06-23,351.35,352.28,340.0,341.03,402636
2021-06-24,340.5,348.5,338.05,344.0,314878
2021-06-25,343.5,343.88,336.53,338.13,227050
2021-06-28,337.0,346.5,336.03,343.63,755846
2021-06-29,344.0,344.75,336.5,337.83,288388
2021-06-30,346.3,352.2,340.0,341.83,1182746
2021-07-01,344.88,347.43,339.0,340.78,279824
2021-07-02,343.88,343.88,334.25,338.1,289698
2021-07-05,342.45,344.0,332.68,335.48,700086
2021-07-06,336.5,338.38,322.5,325.43,982870
2021-07-07,327.5,336.23,327.5,332.13,812308
2021-07-08,335.95,351.0,334.03,343.93,958542
2021-07-09,342.13,394.5,338.53,386.33,4419464
2021-07-12,395.0,407.9,387.83,395.23,1616146
2021-07-13,399.0,399.0,384.83,389.18,650124
2021-07-14,387.53,413.48,387.53,395.55,1570018
2021-07-15,395.08,419.5,386.0,414.73,2022148
2021-07-16,418.55,436.25,412.63,426.3,1764134
2021-07-19,412.0,423.85,410.5,415.9,1110652
2021-07-20,415.75,417.78,394.0,396.6,769106
2021-07-22,402.95,433.5,400.98,428.13,1395546
2021-07-23,424.5,426.98,415.55,422.43,716396
2021-07-26,420.98,427.4,416.1,421.73,580478
2021-07-27,423.85,442.5,417.98,438.5,1263070
2021-07-28,439.5,439.5,408.03,426.58,820236
2021-07-29,430.0,442.68,425.5,427.9,449450
2021-07-30,428.0,432.5,420.73,426.9,350354
2021-08-02,430.0,464.05,426.4,459.43,3402276
2021-08-03,462.5,472.45,456.8,460.73,841332
2021-08-04,460.45,464.73,438.0,441.5,403084
2021-08-05,442.35,443.28,417.6,434.0,463746
2021-08-06,437.0,442.45,431.0,437.05,514600
2021-08-09,439.58,442.35,425.15,429.23,526400
2021-08-10,427.7,433.25,393.5,402.28,659950
2021-08-11,405.15,422.95,380.68,417.85,1117712
2021-08-12,420.0,434.95,412.73,426.08,789418
2021-08-13,428.75,438.7,419.73,435.8,520180
2021-08-16,435.0,441.5,427.5,435.03,242652
2021-08-17,435.03,435.03,421.18,425.43,139248
2021-08-18,424.93,438.5,418.85,430.68,480416
2021-08-20,423.03,441.13,422.5,426.43,465826
2021-08-23,426.5,434.85,400.5,404.8,303248
2021-08-24,403.98,423.05,403.03,419.85,225588
2021-08-25,424.48,429.5,422.08,425.68,424412
2021-08-26,426.9,440.0,423.93,433.33,368752
2021-08-27,435.98,453.48,435.98,445.65,620758
2021-08-30,445.0,473.65,445.0,466.9,706930
2021-08-31,469.4,486.63,461.13,479.25,800842
2021-09-01,484.45,512.5,482.5,497.2,2093950
2021-09-02,494.93,525.0,493.15,519.0,1464952
2021-09-03,524.5,550.0,521.0,544.28,2532386
2021-09-06,544.75,551.0,523.2,544.58,1292892
2021-09-07,542.0,542.5,508.0,514.05,703248
2021-09-08,520.0,528.0,512.75,526.23,606406
2021-09-09,522.5,530.1,513.05,517.93,688002
2021-09-13,521.98,536.7,520.2,531.38,343822
2021-09-14,534.95,534.95,522.5,524.3,266326
2021-09-15,525.0,529.0,504.0,510.83,290150
2021-09-16,515.95,519.95,499.5,507.45,414828
2021-09-17,502.5,521.35,495.0,502.65,936826
2021-09-20,498.03,512.0,485.53,491.38,430956
2021-09-21,486.55,512.5,468.08,509.08,677092
2021-09-22,514.35,537.25,508.13,527.4,1049552
2021-09-23,537.0,576.0,528.28,553.23,3459764
2021-09-24,557.85,561.0,516.5,531.0,1250308
2021-09-27,535.5,553.5,529.0,550.95,753626
2021-09-28,551.98,551.98,521.5,526.58,427030
2021-09-29,524.0,542.0,520.0,534.8,456410
2021-09-30,537.45,539.5,526.28,528.75,280948
2021-10-01,530.5,537.0,525.28,527.58,303420
2021-10-04,543.9,549.9,525.28,529.55,706526
2021-10-05,530.0,549.85,519.0,541.18,2286168
2021-10-06,547.58,550.0,525.0,526.35,646294
2021-10-07,547.5,572.5,536.33,561.53,2913302
2021-10-08,572.0,591.08,557.8,581.85,1872180
2021-10-11,590.0,605.0,585.0,594.88,815064
2021-10-12,597.1,601.0,581.4,596.8,1093142
2021-10-13,593.5,597.5,583.6,590.3,464342
2021-10-14,594.9,612.5,589.3,598.55,601920
2021-10-18,602.4,608.65,588.03,592.05,295274
2021-10-19,597.5,601.5,545.6,553.03,619186
2021-10-20,556.55,566.5,515.53,525.9,685170
2021-10-21,529.5,544.98,500.5,513.58,818354
2021-10-22,529.5,541.5,515.13,526.13,1183770
2021-10-25,528.45,530.0,475.0,483.53,929288
2021-10-26,480.0,535.0,477.53,529.33,1214192
2021-10-27,531.5,553.78,524.43,535.48,737406
2021-10-28,538.75,540.6,517.5,523.33,282240
2021-10-29,522.5,548.78,505.1,532.1,841916
2021-11-01,524.9,579.9,523.25,575.03,1199966
2021-11-02,574.0,595.0,561.5,589.05,647448
2021-11-03,590.88,599.3,550.18,590.95,546436
2021-11-04,596.9,596.9,577.1,584.98,138674
2021-11-08,585.0,588.48,571.5,576.63,214294
2021-11-09,582.9,610.0,580.33,591.85,922452
2021-11-10,589.0,620.0,582.93,616.8,847110
2021-11-11,626.5,633.0,607.5,618.18,1290202
2021-11-12,617.5,637.5,609.08,626.8,826108
2021-11-15,637.0,653.35,628.93,642.3,971626
2021-11-16,645.0,729.33,642.5,708.23,4838454
2021-11-17,704.95,731.0,696.3,714.4,1156958
2021-11-18,699.0,700.0,674.5,688.33,1148046
2021-11-22,696.95,740.9,680.0,687.53,1063008
2021-11-23,688.45,690.33,666.05,678.83,546854
2021-11-24,682.23,698.63,675.0,695.55,1670310
2021-11-25,702.9,720.45,695.58,707.13,488030
2021-11-26,704.0,704.0,665.5,679.73,486842
2021-11-29,656.55,740.0,582.0,702.9,532176
2021-11-30,720.0,759.0,677.5,708.9,1579478
2021-12-01,707.15,769.5,695.83,745.2,1657866
2021-12-02,753.73,753.73,712.5,717.25,733008
2021-12-03,724.3,732.0,702.43,714.68,357996
2021-12-06,718.85,727.48,706.95,716.35,428438
2021-12-07,725.0,730.73,713.0,715.0,358724
2021-12-08,720.0,734.5,712.5,720.58,499964
2021-12-09,727.88,730.0,714.0,718.68,365538
2021-12-10,724.5,725.03,700.0,704.4,417044
2021-12-13,711.85,713.8,680.13,685.53,416282
2021-12-14,689.5,689.9,630.7,652.98,1238144
2021-12-15,653.98,654.5,631.2,639.08,1066986
2021-12-16,632.68,670.18,626.2,631.45,1241892
2021-12-17,637.48,641.63,581.2,592.08,5157754
2021-12-20,565.0,572.93,531.13,537.5,2037696
2021-12-21,549.75,575.85,548.25,568.4,2229748
2021-12-22,572.53,609.4,565.03,606.18,1216016
2021-12-23,608.38,640.95,607.95,637.55,1196650
2021-12-24,643.4,648.65,619.05,623.1,560720
2021-12-27,629.9,636.5,594.03,614.95,655276
2021-12-28,616.0,627.5,600.0,607.3,419708
2021-12-29,610.5,634.88,610.5,624.25,1027698
2021-12-30,624.98,627.5,613.08,620.35,270284
2021-12-31,623.5,630.83,610.1,616.78,173134
2022-01-03,616.6,668.85,615.0,620.78,687116
2022-01-04,628.85,629.78,611.5,616.45,506730
2022-01-05,627.5,636.0,616.1,619.78,412058
2022-01-06,617.5,623.05,595.65,600.03,418062
2022-01-07,619.15,619.15,591.53,602.83,772460
2022-01-10,611.0,617.45,605.55,612.4,279504
2022-01-11,614.58,628.5,613.63,623.58,470536
2022-01-12,628.5,642.03,616.0,620.8,654450
2022-01-13,622.58,624.18,606.03,609.5,219734
2022-01-14,609.5,612.2,596.4,601.85,444188
2022-01-17,608.83,626.0,596.5,621.28,572394
2022-01-18,629.35,638.55,615.28,619.98,635700
2022-01-19,618.85,625.93,605.78,619.23,561364
2022-01-20,622.38,642.5,618.6,637.8,438652
2022-01-21,630.0,649.95,623.0,638.18,474180
2022-01-24,640.0,660.2,583.0,605.93,652578
