date,open,high,low,close,volume
2020-01-14,1830.0,1894.0,1822.05,1877.95,196390
2020-01-15,1889.0,2003.0,1885.0,1933.6,1110275
2020-01-16,1945.0,1957.5,1887.05,1901.6,377999
2020-01-17,1905.0,1918.0,1882.7,1902.35,133212
2020-01-20,1921.0,1921.0,1875.05,1895.9,90779
2020-01-21,1897.0,1920.0,1895.1,1908.75,104946
2020-01-22,1915.0,1928.0,1902.0,1924.15,142099
2020-01-23,1919.0,1940.0,1919.0,1935.35,167063
2020-01-24,1925.0,1975.0,1922.0,1960.8,122603
2020-01-27,1950.0,1968.5,1940.0,1948.05,75736
2020-01-28,1949.9,1958.9,1924.3,1948.1,45498
2020-01-29,1955.0,1965.0,1942.3,1958.4,57942
2020-01-30,1952.0,1965.0,1945.0,1949.8,66300
2020-01-31,1951.0,1954.85,1914.0,1940.25,36496
2020-02-01,1940.0,1984.0,1910.05,1972.9,84917
2020-02-03,1970.0,1986.0,1920.65,1956.25,111165
2020-02-04,1960.9,1974.0,1925.0,1940.65,69255
2020-02-05,1949.95,1960.5,1919.2,1924.7,101884
2020-02-06,1927.0,1949.35,1901.0,1913.85,270273
2020-02-07,1915.0,1960.0,1915.0,1944.65,113586
2020-02-10,1954.0,1969.8,1938.65,1950.2,81940
2020-02-11,1964.4,2008.9,1927.0,1996.45,201195
2020-02-12,2004.9,2045.0,1999.35,2018.8,254798
2020-02-13,2024.8,2050.0,1988.0,2020.3,149499
2020-02-14,2037.8,2048.0,2020.1,2032.5,96950
2020-02-17,2030.0,2039.95,1985.0,1990.8,87972
2020-02-18,1997.0,2025.0,1935.0,1962.6,91588
2020-02-19,1974.0,1989.7,1951.1,1965.9,55627
2020-02-20,1966.05,2010.0,1963.25,2005.95,71624
2020-02-24,2010.0,2020.0,1982.8,1999.25,77015
2020-02-25,1992.15,2012.0,1985.0,1997.55,51801
2020-02-26,1990.05,2004.0,1970.0,1998.4,61515
2020-02-27,1997.9,1997.9,1963.85,1986.2,37212
2020-02-28,1933.0,1969.95,1852.4,1910.15,180561
2020-03-02,1901.05,1947.0,1877.1,1906.75,108079
2020-03-03,1938.0,1985.0,1926.05,1961.1,82575
2020-03-04,1966.0,1972.95,1873.85,1897.65,67995
2020-03-05,1896.0,1919.0,1880.0,1892.2,43705
2020-03-06,1860.0,1934.95,1846.0,1897.5,91570
2020-03-09,1885.0,1890.0,1850.15,1870.85,164511
2020-03-11,1870.75,1900.0,1712.25,1772.4,145955
2020-03-12,1682.25,1705.0,1550.0,1610.4,198483
2020-03-13,1499.0,1900.3,1355.0,1620.35,234804
2020-03-16,1588.0,1588.0,1494.0,1527.3,168799
2020-03-17,1515.0,1524.35,1425.0,1490.65,163058
2020-03-18,1505.5,1560.0,1360.0,1376.45,216457
2020-03-19,1326.0,1414.0,1210.0,1362.0,226828
2020-03-20,1350.0,1600.0,1311.7,1511.45,275061
2020-03-23,1240.0,1490.0,1228.0,1293.1,116594
2020-03-24,1330.0,1405.0,1273.15,1386.6,83425
2020-03-25,1382.0,1440.0,1302.5,1421.8,151453
2020-03-26,1440.0,1510.0,1375.0,1428.25,147627
2020-03-27,1440.0,1479.0,1380.0,1393.85,78304
2020-03-30,1365.8,1399.05,1340.1,1343.95,90379
2020-03-31,1360.0,1469.0,1346.1,1428.85,71659
2020-04-01,1446.0,1490.0,1380.0,1392.25,126718
2020-04-03,1380.0,1392.25,1345.0,1354.15,76517
2020-04-07,1395.0,1395.0,1355.0,1367.15,88451
2020-04-08,1360.0,1377.25,1335.55,1355.5,92221
2020-04-09,1377.0,1445.0,1365.05,1398.65,247088
2020-04-13,1413.0,1424.95,1393.55,1399.25,110210
2020-04-15,1413.95,1489.1,1404.35,1470.5,146529
2020-04-16,1446.05,1524.5,1431.65,1467.85,164504
2020-04-17,1510.1,1510.1,1435.0,1444.7,131889
2020-04-20,1474.95,1510.0,1461.8,1492.1,275764
2020-04-21,1450.0,1488.8,1435.35,1449.9,147847
2020-04-22,1448.0,1448.0,1385.05,1418.45,151232
2020-04-23,1430.0,1472.0,1420.0,1459.15,122755
2020-04-24,1455.0,1470.0,1421.55,1433.8,151941
2020-04-27,1452.25,1470.0,1421.35,1450.65,447191
2020-04-28,1463.85,1471.95,1445.0,1465.85,51626
2020-04-29,1479.65,1493.0,1445.2,1465.05,101143
2020-04-30,1488.0,1650.0,1480.0,1592.95,236847
2020-05-04,1570.0,1570.0,1503.25,1545.35,78506
2020-05-05,1552.2,1588.5,1525.0,1535.4,137671
2020-05-06,1535.4,1567.45,1510.05,1536.1,148484
2020-05-07,1536.1,1601.0,1535.9,1593.25,73425
2020-05-08,1605.25,1614.0,1570.1,1584.65,84477
2020-05-11,1600.0,1674.7,1595.75,1614.2,115873
2020-05-12,1614.0,1655.0,1590.8,1648.35,82164
2020-05-13,1689.0,1689.0,1645.1,1656.45,316636
2020-05-14,1645.0,1667.15,1628.0,1648.25,173342
2020-05-15,1650.0,1657.95,1636.05,1645.8,66726
2020-05-18,1655.0,1668.0,1600.0,1645.65,205525
2020-05-19,1661.0,1680.0,1640.0,1670.15,59442
2020-05-20,1719.95,1834.0,1711.0,1784.0,842336
2020-05-21,1763.95,1800.0,1745.8,1784.9,104118
2020-05-22,1784.95,1839.0,1771.0,1786.65,125113
2020-05-26,1795.0,1809.65,1767.05,1787.25,82065
2020-05-27,1787.0,1809.05,1787.0,1794.2,113020
2020-05-28,1787.0,1818.95,1775.1,1793.4,90551
2020-05-29,1780.2,1812.0,1780.2,1798.85,46008
2020-06-01,1795.0,1860.0,1795.0,1842.95,170384
2020-06-02,1846.0,1894.0,1817.85,1858.55,321389
2020-06-03,1854.95,1880.1,1844.05,1848.35,154333
2020-06-04,1849.95,1869.3,1846.5,1861.25,50397
2020-06-05,1865.05,1870.7,1849.1,1857.25,54930
2020-06-08,1873.15,1884.85,1855.0,1870.0,54423
2020-06-09,1856.0,1895.0,1850.2,1885.4,210894
2020-06-10,1885.0,1899.0,1879.6,1887.5,48949
2020-06-11,1881.5,1887.95,1866.8,1870.4,44855
2020-06-12,1820.0,1870.4,1801.0,1850.0,68224
2020-06-15,1846.0,1877.25,1841.0,1860.4,44697
2020-06-16,1860.0,1882.6,1851.0,1876.05,59204
2020-06-17,1860.0,1908.9,1860.0,1882.4,57194
2020-06-18,1879.95,1888.0,1863.0,1877.8,104370
2020-06-19,1880.0,1920.1,1860.0,1869.85,159385
2020-06-22,1870.0,1894.95,1866.6,1877.5,38770
2020-06-23,1880.0,1908.0,1863.4,1885.3,91005
2020-06-24,1890.0,1940.0,1890.0,1926.4,104080
2020-06-25,1895.25,1919.9,1881.0,1892.8,148028
2020-06-26,1906.95,1953.0,1892.85,1928.7,171354
2020-06-29,1925.0,1945.0,1890.15,1936.45,61906
2020-06-30,1940.0,1980.0,1934.0,1957.9,153842
2020-07-01,1960.2,1969.0,1925.0,1937.4,84097
2020-07-02,1942.0,1970.0,1935.0,1962.75,79240
2020-07-03,1961.05,1998.75,1957.05,1978.25,203541
